year,state,place,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2015,45,16000,3,1,0.2433321184991265,1
2015,45,48535,2,1,0.26756749930979346,1
2015,45,50875,3,1,0.2476136407597007,1
2015,46,59020,3,1,0.23706182415554447,1
2015,47,14000,3,1,0.2678304698515149,1
2015,47,15160,1,1,0.3029802869948287,1
2015,47,27740,0,1,0.27209898014494427,1
2015,47,40000,5,1,0.2640168012894158,1
2015,47,48000,4,1,0.2563755453717041,1
2015,47,51560,1,1,0.2614664798338494,1
2015,47,52006,4,1,0.24796287456709148,1
2015,48,01000,2,1,0.2918945397666377,1
2015,48,01924,1,1,0.25622288034210067,1
2015,48,03000,0,1,0.2800645885194192,1
2015,48,04000,2,1,0.2351498361450413,1
2015,48,05000,9,1,0.20768642082438904,1
2015,48,06128,2,1,0.24516008603909328,1
2015,48,07000,2,1,0.27706393325550005,1
2015,48,10768,5,1,0.39391066577728434,1
2015,48,10912,0,1,0.3190483576469573,1
2015,48,13024,6,1,0.22994418956148696,1
2015,48,13552,0,1,0.2413144555227187,1
2015,48,15976,0,1,0.3008575193836527,1
2015,48,16432,0,2,0.2539525056215742,2
2015,48,17000,9,1,0.2727172819914452,1
2015,48,19000,20,1,0.21055280954598887,1
2015,48,19972,3,1,0.23825811191782714,1
2015,48,22660,1,1,0.40411690632092234,1
2015,48,24000,11,1,0.3208901597927022,1
2015,48,26232,1,1,0.26509328457969933,1
2015,48,27000,5,1,0.2409034465139705,1
2015,48,27684,0,1,0.2533405919748272,1
2015,48,29000,10,1,0.2380218395213055,1
2015,48,30464,2,1,0.24323412272053282,1
2015,48,35000,13,1,0.2166271332981848,1
2015,48,37000,10,1,0.21370452826297892,1
2015,48,39148,7,1,0.2651833895504596,1
2015,48,41464,12,1,0.3552241463337349,1
2015,48,41980,0,1,0.26197208267589467,1
2015,48,42508,5,1,0.2234640366106569,1
2015,48,43888,1,1,0.28700218285257406,1
2015,48,45000,8,1,0.2871956692479871,1
2015,48,45384,1,1,0.3962500687557078,1
2015,48,45744,1,1,0.2465585353433716,1
2015,48,47892,3,1,0.2428610041445384,1
2015,48,48072,2,1,0.21891769879073275,1
2015,48,48768,0,1,0.4160406802765795,1
2015,48,50820,0,1,0.2924047691265188,1
2015,48,53388,1,1,0.2540159600756118,1
2015,48,56000,1,1,0.24064279190777857,1
2015,48,56348,0,1,0.2696777541792985,1
2015,48,57200,0,1,0.39969983272828374,1
2015,48,58016,2,1,0.23265717489150287,1
2015,48,61796,11,1,0.23033943881728453,1
2015,48,63500,0,1,0.2346265810469158,1
2015,48,64472,2,1,0.2933384962021391,1
2015,48,65000,9,1,0.256374380794805,1
2015,48,70808,0,1,0.2669103302660038,1
2015,48,72176,3,1,0.2779160393278597,1
2015,48,74144,0,1,0.2844190341614364,1
2015,48,76000,5,1,0.2946158836898569,1
2015,48,79000,2,1,0.28470946271690134,1
2015,49,43660,4,1,0.2525481361089147,1
2015,49,44320,1,1,0.29053603725192817,1
2015,49,55980,12,1,0.23401270369803867,1
2015,49,57300,4,1,0.2585299853984236,1
2015,49,62470,6,1,0.2431560346633025,1
2015,49,65330,2,1,0.29401767010993624,1
2015,49,67000,22,1,0.2139981203341257,1
2015,49,67440,8,1,0.2535148168037585,1
2015,49,70850,6,1,0.26700134206709264,1
2015,49,82950,10,1,0.2553512472063133,1
2015,49,83470,10,1,0.24097654288938983,1
2015,51,01000,6,1,0.12257749069214552,1
2015,51,16000,2,1,0.24876088716602474,1
2015,51,35000,4,1,0.2344958163911752,1
2015,51,47672,5,1,0.2559692232192933,1
2015,51,56000,5,1,0.22433089921004684,1
2015,51,57000,10,1,0.20664196679878222,1
2015,51,64000,5,1,0.22636803874092007,1
2015,51,67000,14,1,0.1934563483296574,1
2015,51,68000,5,1,0.2458668866488117,1
2015,51,76432,0,1,0.26995579219102933,1
2015,51,82000,6,1,0.2292051346831728,1
2015,53,03180,3,1,0.21060230176141168,1
2015,53,05210,5,1,0.19683266675269365,1
2015,53,05280,9,1,0.2603380585531638,1
2015,53,22640,3,1,0.1965932599048762,1
2015,53,23515,6,1,0.20404426665155792,1
2015,53,35275,11,1,0.2618024490065722,1
2015,53,35415,4,1,0.2071382016225328,1
2015,53,35940,7,1,0.2041534173782511,1
2015,53,53545,14,1,0.2741807029443417,1
2015,53,57745,5,1,0.20292056993040358,1
2015,53,63000,20,1,0.17515984398445408,1
2015,53,67000,13,1,0.2481361530263362,1
2015,53,67167,8,1,0.26859923823495657,1
2015,53,70000,5,1,0.19254853925888601,1
