year,state,place,index_transit_trips,index_transit_trips_quality
2019,06,57792,91.5,1
2019,06,58072,99.21,1
2019,06,59444,73.6,1
2019,06,59451,93.67,1
2019,06,59920,85.6,1
2019,06,60102,93.61,1
2019,06,60466,94.4,1
2019,06,60620,95.78,1
2019,06,62000,99.34,1
2019,06,62938,71.46,1
2019,06,64000,89.06,1
2019,06,64224,99.41,1
2019,06,65000,99.47,1
2019,06,65042,89.58,1
2019,06,66000,99.54,1
2019,06,67000,98.09,1
2019,06,68000,98.02,1
2019,06,68084,96.44,1
2019,06,68196,96.18,1
2019,06,68252,96.04,1
2019,06,68378,86.55,1
2019,06,69000,97.96,1
2019,06,69070,92.09,1
2019,06,69084,93.94,1
2019,06,69088,84.11,1
2019,06,69196,85.23,1
2019,06,70000,88.33,1
2019,06,70098,92.55,1
2019,06,72016,90.8,1
2019,06,73080,77.59,1
2019,06,75000,96.57,1
2019,06,77000,95.91,1
2019,06,78120,91.63,1
2019,06,78582,88.53,1
2019,06,80000,80.49,1
2019,06,80238,87.94,1
2019,06,80854,96.77,1
2019,06,81344,93.21,1
2019,06,81554,99.74,1
2019,06,81666,89.26,1
2019,06,82590,99.8,1
2019,06,82954,89.98,1
2019,06,82996,97.43,1
2019,06,84200,81.15,1
2019,06,84550,96.9,1
2019,06,85292,73.6,1
2019,08,03455,97.6,1
2019,08,04000,98.47,1
2019,08,07850,97.39,1
2019,08,12815,97.82,1
2019,08,16000,98.04,1
2019,08,20000,98.69,1
2019,08,27425,96.3,1
2019,08,32155,99.35,1
2019,08,43000,98.26,1
2019,08,45970,94.77,1
2019,08,46465,90.63,1
2019,08,62000,99.56,1
2019,08,77290,96.73,1
2019,08,83835,97.17,1
2019,09,08000,97.2,1
2019,09,18430,90.21,1
2019,09,37000,98.6,1
2019,09,52000,93.71,1
2019,09,55990,95.1,1
2019,09,73000,96.5,1
2019,09,80000,93.01,1
2019,11,50000,NA,NA
2019,12,07300,98.7,1
2019,12,07875,81.22,1
2019,12,10275,95.98,1
2019,12,12875,98.05,1
2019,12,14400,79.04,1
2019,12,16475,73.62,1
2019,12,16725,76.38,1
2019,12,17200,91.69,1
2019,12,17935,29.04,1
2019,12,24000,91.04,1
2019,12,24125,96.09,1
2019,12,25175,97.94,1
2019,12,30000,70.36,1
