year,state,place,index_transportation_cost,index_transportation_cost_quality
2019,48,58016,23.17,1
2019,48,61796,23.2,1
2019,48,63500,24.08,1
2019,48,64472,29.42,1
2019,48,65000,26.63,1
2019,48,70808,26.62,1
2019,48,72176,28.07,1
2019,48,74144,28.16,1
2019,48,76000,29.51,1
2019,48,79000,30.59,1
2019,49,43660,24.98,1
2019,49,44320,27.21,1
2019,49,55980,23.8,1
2019,49,57300,24.31,1
2019,49,62470,22.86,1
2019,49,65330,29.24,1
2019,49,67000,20.25,1
2019,49,67440,24.46,1
2019,49,70850,25.97,1
2019,49,82950,25.96,1
2019,49,83470,25.3,1
2019,51,01000,12.51,1
2019,51,16000,25.94,1
2019,51,35000,23.59,1
2019,51,47672,27.13,1
2019,51,56000,22.68,1
2019,51,57000,21.37,1
2019,51,64000,22.55,1
2019,51,67000,20.2,1
2019,51,68000,24.48,1
2019,51,76432,27.1,1
2019,51,82000,23.68,1
2019,53,03180,20.64,1
2019,53,05210,17.71,1
2019,53,05280,24.78,1
2019,53,22640,18.98,1
2019,53,23515,19.33,1
2019,53,35275,25.97,1
2019,53,35415,19.73,1
2019,53,35940,17.9,1
2019,53,53545,28.68,1
2019,53,57745,18.93,1
2019,53,63000,14.85,1
2019,53,67000,25.4,1
2019,53,67167,28.04,1
2019,53,70000,18.82,1
2019,53,74060,21.24,1
2019,53,80010,30.71,1
2019,55,02375,24.11,1
2019,55,31000,25.08,1
2019,55,39225,22.81,1
2019,55,48000,19.4,1
2019,55,53000,21.32,1
2019,55,66000,24.85,1
