year,state,county,lbw,lbw_lb,lbw_ub,lbw_quality,subgroup_type,subgroup
2018,01,091,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,091,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,093,.10073359,.09678819,.10467898,3,all,All
2018,01,093,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,093,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,093,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,093,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,095,.10073359,.09678819,.10467898,3,all,All
2018,01,095,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,095,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,095,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,095,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,097,.1298233,.12097731,.13866928,1,all,All
2018,01,097,.17904291,.1637803,.19430551,1,race-ethnicity,"Black, non-Hispanic"
2018,01,097,.076433122,.03487258,.11799367,2,race-ethnicity,Hispanic
2018,01,097,.125,.084486932,.16551307,1,race-ethnicity,Other Races and Ethnicities
2018,01,097,.08879023,.07806702,.099513441,1,race-ethnicity,"White, Non-Hispanic"
2018,01,099,.10073359,.09678819,.10467898,3,all,All
2018,01,099,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,099,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,099,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,099,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,101,.1351179,.12315699,.14707883,1,all,All
2018,01,101,.16552399,.14940397,.18164401,1,race-ethnicity,"Black, non-Hispanic"
2018,01,101,.05905512,.030064994,.088045247,2,race-ethnicity,Hispanic
2018,01,101,.15333334,.095671967,.21099471,2,race-ethnicity,Other Races and Ethnicities
2018,01,101,.06936416,.050433729,.088294588,1,race-ethnicity,"White, Non-Hispanic"
