year,state,county,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality
2018,13,011,0.415493,0.4729098,0.3580761,1
2018,13,013,0.4136859,0.4406139,0.3867578,1
2018,13,015,0.4206687,0.4445325,0.3968049,1
2018,13,017,0.5080906,0.563924,0.4522572,1
2018,13,019,0.444079,0.5000253,0.3881327,1
2018,13,021,0.4900319,0.5096006,0.4704632,1
2018,13,023,0.4101124,0.4825735,0.3376512,1
2018,13,025,0.4385965,0.5300893,0.3471037,1
2018,13,027,0.5462185,0.6096038,0.4828332,1
2018,13,029,0.3327556,0.371237,0.2942743,1
2018,13,031,0.4172063,0.4466151,0.3877975,1
2018,13,033,0.5485564,0.5985917,0.4985211,1
2018,13,035,0.3850575,0.4362577,0.3338573,1
2018,13,037,0.5316456,0.6423863,0.4209049,1
2018,13,039,0.3830049,0.4164621,0.3495478,1
2018,13,043,0.4379085,0.5167817,0.3590353,1
2018,13,045,0.3871508,0.4097227,0.3645789,1
2018,13,047,0.3857868,0.4162021,0.3553715,1
2018,13,049,0.5529412,0.627902,0.4779803,1
2018,13,051,0.4595682,0.4737814,0.4453549,1
2018,13,053,0.3426966,0.4126176,0.2727757,1
2018,13,055,0.5117493,0.5618767,0.461622,1
2018,13,057,0.2487117,0.2626667,0.2347567,1
2018,13,059,0.364069,0.387078,0.34106,1
2018,13,061,NA,NA,NA,NA
2018,13,063,0.5464801,0.5611386,0.5318216,1
2018,13,065,0.5,0.6027319,0.3972681,1
2018,13,067,0.3005213,0.3088978,0.2921448,1
2018,13,069,0.4070175,0.4473846,0.3666504,1
2018,13,071,0.4657933,0.5031222,0.4284644,1
2018,13,073,0.3078672,0.3271655,0.2885689,1
2018,13,075,0.5249042,0.5856058,0.4642026,1
2018,13,077,0.3092783,0.3288933,0.2896634,1
2018,13,079,0.3933333,0.4717699,0.3148968,1
2018,13,081,0.5703325,0.6194633,0.5212017,1
2018,13,083,0.4292237,0.4949294,0.3635181,1
2018,13,085,0.3058252,0.350371,0.2612795,1
2018,13,087,0.424821,0.4722094,0.3774326,1
2018,13,089,0.3895095,0.3984388,0.3805802,1
2018,13,091,0.4774775,0.5312074,0.4237476,1
2018,13,093,0.5337423,0.6105629,0.4569218,1
2018,13,095,0.6030043,0.6286616,0.577347,1
2018,13,097,0.4346642,0.4553647,0.4139638,1
2018,13,099,0.5414013,0.6195946,0.4632079,1
2018,13,101,0.4237288,0.5509032,0.2965545,1
2018,13,103,0.442288,0.4734156,0.4111605,1
2018,13,105,0.3968254,0.4509397,0.3427111,1
2018,13,107,0.456,0.506478,0.405522,1
2018,13,109,0.4566474,0.5310903,0.3822045,1
2018,13,111,0.2572815,0.2995437,0.2150194,1
2018,13,113,0.2172433,0.2364982,0.1979885,1
2018,13,115,0.4479788,0.4730781,0.4228795,1
2018,13,117,0.1761572,0.1897849,0.1625295,1
2018,13,119,0.401084,0.4511604,0.3510076,1
2018,13,121,0.3416547,0.3489894,0.3343201,1
2018,13,123,0.3476395,0.3909245,0.3043544,1
2018,13,125,NA,NA,NA,NA
2018,13,127,0.398051,0.4243288,0.3717731,1
2018,13,129,0.4279329,0.4603668,0.3954991,1
2018,13,131,0.4135338,0.4619167,0.365151,1
2018,13,133,0.3191489,0.3736526,0.26464530000000003,1
2018,13,135,0.3394808,0.3472978,0.3316637,1
2018,13,137,0.3426357,0.3792906,0.3059807,1
2018,13,139,0.3732562,0.3907458,0.3557667,1
2018,13,141,0.5203252,0.6089769,0.4316735,1
2018,13,143,0.4496788,0.4948459,0.4045117,1
2018,13,145,0.2604167,0.2997188,0.2211145,1
2018,13,147,0.3774648,0.4279628,0.3269668,1
2018,13,149,0.4210526,0.4952724,0.3468329,1
2018,13,151,0.3868719,0.4031428,0.3706011,1
2018,13,153,0.343803,0.3629867,0.3246194,1
2018,13,155,0.4109589,0.4910426,0.3308752,1
2018,13,157,0.3450768,0.3730944,0.3170591,1
2018,13,159,0.4439252,0.5106501,0.3772004,1
2018,13,161,0.321267,0.382973,0.259561,1
2018,13,163,0.5560166,0.6188771,0.4931561,1
2018,13,165,0.527559,0.6147317,0.4403864,1
2018,13,167,0.5054945,0.6087894,0.4021997,1
2018,13,169,0.3585366,0.4050145,0.3120586,1
2018,13,171,0.4072727,0.4654497,0.3490958,1
2018,13,173,0.5688074,0.6622107,0.475404,1
2018,13,175,0.4653938,0.4991863,0.4316013,1
2018,13,177,0.3757829,0.4192017,0.332364,1
2018,13,179,0.4566075,0.4872822,0.4259328,1
2018,13,181,0.4242424,0.5088769,0.339608,1
2018,13,183,0.4104046,0.4839195,0.3368898,1
2018,13,185,0.4530816,0.4760785,0.4300847,1
2018,13,187,0.3316456,0.3781344,0.2851568,1
2018,13,189,0.5502793,0.6018835,0.4986751,1
2018,13,191,0.423913,0.495513,0.352313,1
2018,13,193,0.5434783,0.6156476,0.471309,1
2018,13,195,0.3950893,0.4404099,0.3497687,1
2018,13,197,0.4957983,0.5860115,0.4055852,1
2018,13,199,0.5029586,0.5563416,0.4495755,1
2018,13,201,0.4329897,0.5321082,0.3338712,1
2018,13,205,0.5899054,0.6441361,0.5356746,1
2018,13,207,0.3043478,0.3487253,0.2599704,1
2018,13,209,0.4285714,0.5236827,0.3334602,1
2018,13,211,0.3407643,0.3932731,0.2882556,1
2018,13,213,0.4446178,0.4831173,0.4061182,1
2018,13,215,0.4712871,0.4890642,0.4535101,1
2018,13,217,0.4660023,0.489681,0.4423237,1
2018,13,219,0.1666667,0.1998346,0.1334987,1
2018,13,221,0.372973,0.4428491,0.3030968,1
2018,13,223,0.3670048,0.3868504,0.3471593,1
2018,13,225,0.4653938,0.5132122,0.4175754,1
2018,13,227,0.3353535,0.3769867,0.2937204,1
2018,13,229,0.3797468,0.4333428,0.3261508,1
2018,13,231,0.2532751,0.3097253,0.1968249,1
2018,13,233,0.4841629,0.5222326,0.4460932,1
2018,13,235,0.4044118,0.487201,0.3216225,1
2018,13,237,0.4727794,0.525235,0.4203238,1
2018,13,239,NA,NA,NA,NA
2018,13,241,0.2717391,0.3243178,0.2191605,1
2018,13,243,0.5306122,0.6299295,0.431295,1
2018,13,245,0.5706886,0.5876257,0.5537515,1
2018,13,247,0.4410727,0.4669344,0.415211,1
2018,13,249,0.4925373,0.6131535,0.3719211,1
2018,13,251,0.4868914,0.5469584,0.4268244,1
2018,13,253,0.3630137,0.4412843,0.2847431,1
2018,13,255,0.4683426,0.4982002,0.4384851,1
2018,13,257,0.3593381,0.405117,0.3135591,1
2018,13,259,0.597561,0.7043569,0.4907651,1
2018,13,261,0.5597345,0.6055504,0.5139186,1
2018,13,263,0.6153846,0.7240515,0.5067177,1
2018,13,265,NA,NA,NA,NA
2018,13,267,0.3769968,0.4307733,0.3232203,1
2018,13,269,0.4230769,0.5334287,0.3127252,1
2018,13,271,0.4827586,0.5740897,0.3914275,1
2018,13,273,0.5113636,0.5854256,0.4373017,1
2018,13,275,0.4363636,0.4714159,0.4013113,1
2018,13,277,0.3735726,0.4118994,0.3352457,1
2018,13,279,0.4360731,0.4825681,0.389578,1
