year,state,county,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2022,05,081,race-ethnicity,Majority Non-White,NA,NA
2022,05,081,race-ethnicity,Majority White,0.4513513,1
2022,05,083,race-ethnicity,All,0.3323217,1
2022,05,083,race-ethnicity,Majority Non-White,NA,NA
2022,05,083,race-ethnicity,Majority White,0.3323217,1
2022,05,085,race-ethnicity,All,0.3081033,1
2022,05,085,race-ethnicity,Majority Non-White,NA,NA
2022,05,085,race-ethnicity,Majority White,0.3081502,1
2022,05,087,race-ethnicity,All,0.2821159,1
2022,05,087,race-ethnicity,Majority Non-White,NA,NA
2022,05,087,race-ethnicity,Majority White,0.2821159,1
2022,05,089,race-ethnicity,All,0.3185841,1
2022,05,089,race-ethnicity,Majority Non-White,NA,NA
2022,05,089,race-ethnicity,Majority White,0.3185841,1
2022,05,091,race-ethnicity,All,0.4875284,1
2022,05,091,race-ethnicity,Majority Non-White,NA,NA
2022,05,091,race-ethnicity,Majority White,0.4846154,1
2022,05,093,race-ethnicity,All,0.5196983,1
2022,05,093,race-ethnicity,Majority Non-White,NA,NA
2022,05,093,race-ethnicity,Majority White,0.4551495,1
2022,05,095,race-ethnicity,All,0.3558559,1
2022,05,095,race-ethnicity,Majority Non-White,NA,NA
2022,05,095,race-ethnicity,Majority White,0.25,1
2022,05,097,race-ethnicity,All,0.3008475,1
2022,05,097,race-ethnicity,Majority Non-White,NA,NA
2022,05,097,race-ethnicity,Majority White,0.3008475,1
2022,05,099,race-ethnicity,All,0.445,1
2022,05,099,race-ethnicity,Majority Non-White,NA,NA
2022,05,099,race-ethnicity,Majority White,0.448718,1
2022,05,101,race-ethnicity,All,0.2286996,1
2022,05,101,race-ethnicity,Majority Non-White,NA,NA
2022,05,101,race-ethnicity,Majority White,0.2304147,1
2022,05,103,race-ethnicity,All,0.4010695,1
2022,05,103,race-ethnicity,Majority Non-White,NA,NA
2022,05,103,race-ethnicity,Majority White,0.442623,1
2022,05,105,race-ethnicity,All,0.3137255,1
2022,05,105,race-ethnicity,Majority Non-White,NA,NA
2022,05,105,race-ethnicity,Majority White,0.3137255,1
2022,05,107,race-ethnicity,All,0.5440313,1
2022,05,107,race-ethnicity,Majority Non-White,0.588689,1
2022,05,107,race-ethnicity,Majority White,NA,NA
2022,05,109,race-ethnicity,All,0.3010753,1
2022,05,109,race-ethnicity,Majority Non-White,NA,NA
2022,05,109,race-ethnicity,Majority White,0.3010753,1
2022,05,111,race-ethnicity,All,0.5151515,1
2022,05,111,race-ethnicity,Majority Non-White,NA,NA
2022,05,111,race-ethnicity,Majority White,0.5165126,1
2022,05,113,race-ethnicity,All,0.2928803,1
2022,05,113,race-ethnicity,Majority Non-White,NA,NA
2022,05,113,race-ethnicity,Majority White,0.2928803,1
2022,05,115,race-ethnicity,All,0.3188688,1
2022,05,115,race-ethnicity,Majority Non-White,NA,NA
2022,05,115,race-ethnicity,Majority White,0.3196803,1
2022,05,117,race-ethnicity,All,0.3014354,1
2022,05,117,race-ethnicity,Majority Non-White,NA,NA
2022,05,117,race-ethnicity,Majority White,0.3058252,1
2022,05,119,race-ethnicity,All,0.3541185,1
2022,05,119,race-ethnicity,Majority Non-White,0.5513555,1
2022,05,119,race-ethnicity,Majority White,0.2459243,1
2022,05,121,race-ethnicity,All,0.3780261,1
2022,05,121,race-ethnicity,Majority Non-White,NA,NA
