state,puma12,place,place_name,afact,afact2,afact_product,afact_sum
48,1400,19000,Dallas city,0.0022,0.0051,0.000011,0.672815
48,1901,19000,Dallas city,0.2355,0.0229,0.005393,0.672815
48,1907,19000,Dallas city,0.004,0.0059,0.000024,0.672815
48,2001,19000,Dallas city,0.0851,0.0072,0.000613,0.672815
48,2301,19000,Dallas city,0.0047,0.0005,2.30E-06,0.672815
48,2302,19000,Dallas city,0.0758,0.0058,0.00044,0.672815
48,2303,19000,Dallas city,0.016,0.0026,0.000042,0.672815
48,2304,19000,Dallas city,0.3153,0.1409,0.044426,0.672815
48,2305,19000,Dallas city,0.5416,0.049,0.026538,0.672815
48,2306,19000,Dallas city,0.8801,0.0687,0.060463,0.672815
48,2307,19000,Dallas city,0.9977,0.0519,0.051781,0.672815
48,2308,19000,Dallas city,0.0234,0.0017,0.00004,0.672815
48,2309,19000,Dallas city,0.4579,0.0369,0.016897,0.672815
48,2310,19000,Dallas city,0.1979,0.0141,0.00279,0.672815
48,2311,19000,Dallas city,1,0.0727,0.0727,0.672815
48,2312,19000,Dallas city,0.6947,0.0727,0.050505,0.672815
48,2313,19000,Dallas city,1,0.0455,0.0455,0.672815
48,2314,19000,Dallas city,1,0.1082,0.1082,0.672815
48,2315,19000,Dallas city,0.9724,0.0794,0.077209,0.672815
48,2316,19000,Dallas city,0.999,0.0669,0.066833,0.672815
48,2317,19000,Dallas city,0.1342,0.0251,0.003368,0.672815
48,2318,19000,Dallas city,0.1083,0.0175,0.001895,0.672815
48,2319,19000,Dallas city,0.5057,0.0635,0.032112,0.672815
48,2320,19000,Dallas city,0.0081,0.0009,7.30E-06,0.672815
48,2321,19000,Dallas city,0.1877,0.0244,0.00458,0.672815
48,2322,19000,Dallas city,0.0575,0.0077,0.000443,0.672815
44,101,19180,Cranston city,0.0019,0.0197,0.000037,0.666373
44,103,19180,Cranston city,0.0105,0.0066,0.000069,0.666373
44,104,19180,Cranston city,0.6885,0.9677,0.666261,0.666373
44,201,19180,Cranston city,0.001,0.0059,5.90E-06,0.666373
6,3753,19766,Downey city,0.9995,0.974,0.973513,0.974201
6,3754,19766,Downey city,0.0003,0.0006,1.80E-07,0.974201
6,3755,19766,Downey city,0.0271,0.0254,0.000688,0.974201
48,2003,19972,Denton city,0.0393,0.0488,0.001918,0.396365
48,2005,19972,Denton city,0.8516,0.4068,0.346431,0.396365
48,2006,19972,Denton city,0.0882,0.5444,0.048016,0.396365
8,807,20000,Denver city,0.0017,0.0019,3.20E-06,0.686605
8,808,20000,Denver city,0.0042,0.0008,3.40E-06,0.686605
8,809,20000,Denver city,0.0106,0.0015,0.000016,0.686605
8,810,20000,Denver city,0.0045,0.0005,2.30E-06,0.686605
8,811,20000,Denver city,0.0025,0.0008,2.00E-06,0.686605
8,812,20000,Denver city,0.8179,0.2917,0.238581,0.686605
8,813,20000,Denver city,0.977,0.1082,0.105711,0.686605
8,814,20000,Denver city,1,0.0974,0.0974,0.686605
8,815,20000,Denver city,0.8417,0.1439,0.121121,0.686605
8,816,20000,Denver city,0.9754,0.1234,0.120364,0.686605
8,817,20000,Denver city,0.0009,0.0002,1.80E-07,0.686605
8,819,20000,Denver city,0.0045,0.0013,5.80E-06,0.686605
8,820,20000,Denver city,0.0341,0.0067,0.000228,0.686605
8,824,20000,Denver city,0.0143,0.2215,0.003167,0.686605
19,1400,21000,Des Moines city,0.0023,0.0729,0.000168,0.706002
19,1500,21000,Des Moines city,0.0091,0.03,0.000273,0.706002
19,1600,21000,Des Moines city,0.0361,0.1695,0.006119,0.706002
19,1700,21000,Des Moines city,0.9613,0.7276,0.699442,0.706002
26,3203,21000,Dearborn city,0.6696,0.9927,0.664712,0.664735
26,3207,21000,Dearborn city,0.0039,0.0042,0.000016,0.664735
26,3208,21000,Dearborn city,0.0024,0.0031,7.40E-06,0.664735
34,1800,21000,Elizabeth city,0.9841,0.9939,0.978097,0.978126
34,1901,21000,Elizabeth city,0.0047,0.0061,0.000029,0.978126
39,4601,21000,Dayton city,0.0076,0.034,0.000258,0.563089
39,4602,21000,Dayton city,0.1055,0.1924,0.020298,0.563089
39,4603,21000,Dayton city,0.7014,0.7735,0.542533,0.563089
39,4700,21000,Dayton city,0,0,0,0.563089
6,7307,21712,El Cajon city,0.0008,0.0136,0.000011,0.351733
6,7313,21712,El Cajon city,0.3618,0.972,0.35167,0.351733
6,7314,21712,El Cajon city,0.0036,0.0144,0.000052,0.351733
18,3300,22000,Evansville city,0.2027,1,0.2027,0.2027
26,3203,22000,Detroit city,0.0031,0.0008,2.50E-06,0.965439
26,3207,22000,Detroit city,0.0037,0.0007,2.60E-06,0.965439
26,3208,22000,Detroit city,0.9953,0.2249,0.223843,0.965439
26,3209,22000,Detroit city,1,0.146,0.146,0.965439
26,3210,22000,Detroit city,1,0.192,0.192,0.965439
26,3211,22000,Detroit city,1,0.2114,0.2114,0.965439
26,3212,22000,Detroit city,0.9993,0.1819,0.181773,0.965439
26,3213,22000,Detroit city,0.2457,0.0424,0.010418,0.965439
6,6709,22020,Elk Grove city,0.0022,0.0013,2.90E-06,0.72214
6,6710,22020,Elk Grove city,0.8917,0.8067,0.719334,0.72214
6,6711,22020,Elk Grove city,0.0146,0.192,0.002803,0.72214
6,3717,22230,El Monte city,0.0036,0.0105,0.000038,0.610583
6,3737,22230,El Monte city,0.0079,0.0121,0.000096,0.610583
6,3738,22230,El Monte city,0.6245,0.9775,0.610449,0.610583
53,11702,22640,Everett city,0.1953,0.1915,0.0374,0.50816
53,11703,22640,Everett city,0.7571,0.6201,0.469478,0.50816
53,11705,22640,Everett city,0.0068,0.1885,0.001282,0.50816
48,6804,22660,Edinburg city,0.3386,0.9757,0.330372,0.330398
48,6805,22660,Edinburg city,0.0004,0.0004,1.60E-07,0.330398
48,6807,22660,Edinburg city,0.0011,0.0239,0.000026,0.330398
6,7302,22804,Escondido city,0,0,0,0.263242
6,7305,22804,Escondido city,0.1822,0.22,0.040084,0.263242
6,7306,22804,Escondido city,0.2861,0.78,0.223158,0.263242
37,5001,22920,Fayetteville city,0.9497,0.3568,0.338853,0.622548
37,5002,22920,Fayetteville city,0.0636,0.2166,0.013776,0.622548
37,5003,22920,Fayetteville city,0.636,0.4244,0.269918,0.622548
37,5200,22920,Fayetteville city,0.0003,0.0023,6.90E-07,0.622548
25,4301,23000,Fall River city,0.0007,0.0059,4.10E-06,0.8095
25,4302,23000,Fall River city,0.8143,0.9941,0.809496,0.8095
17,3007,23074,Elgin city,0.0111,0.018,0.0002,0.202738
17,3008,23074,Elgin city,0.3315,0.5026,0.166612,0.202738
17,3009,23074,Elgin city,0.0331,0.3161,0.010463,0.202738
17,3208,23074,Elgin city,0.0019,0.0035,6.70E-06,0.202738
17,3417,23074,Elgin city,0.1593,0.1598,0.025456,0.202738
6,9502,23182,Fairfield city,0.1859,0.948,0.176233,0.176441
6,9503,23182,Fairfield city,0.004,0.052,0.000208,0.176441
40,1003,23200,Edmond city,0.4918,1,0.4918,0.4918
18,1802,23278,Fishers city,0.2003,0.3617,0.072449,0.160279
18,1803,23278,Fishers city,0.1376,0.6383,0.08783,0.160279
5,200,23290,Fayetteville city,0.0567,1,0.0567,0.0567
53,11612,23515,Federal Way city,0.3198,0.8856,0.283215,0.287471
53,11614,23515,Federal Way city,0.0372,0.1144,0.004256,0.287471
4,400,23620,Flagstaff city,0.0035,1,0.0035,0.0035
41,703,23850,Eugene city,0.6412,0.7188,0.460895,0.513263
41,704,23850,Eugene city,0.2235,0.2342,0.052344,0.513263
41,705,23850,Eugene city,0.0005,0.047,0.000024,0.513263
12,1104,24000,Fort Lauderdale city,0.1678,0.1313,0.022032,0.643449
12,1105,24000,Fort Lauderdale city,0.176,0.162,0.028512,0.643449
12,1107,24000,Fort Lauderdale city,0.0081,0.0028,0.000023,0.643449
12,1108,24000,Fort Lauderdale city,0.8491,0.6982,0.592842,0.643449
12,1109,24000,Fort Lauderdale city,0.0071,0.0057,0.00004,0.643449
42,101,24000,Erie city,0.89,1,0.89,0.89
48,3301,24000,El Paso city,0.0186,0.0521,0.000969,0.813812
48,3302,24000,El Paso city,0.9741,0.1005,0.097897,0.813812
48,3303,24000,El Paso city,0.7942,0.1304,0.103564,0.813812
48,3304,24000,El Paso city,0.9985,0.1156,0.115427,0.813812
48,3305,24000,El Paso city,0.8817,0.3051,0.269007,0.813812
48,3306,24000,El Paso city,0.7662,0.2962,0.226948,0.813812
12,7103,24125,Fort Myers city,0.0017,0.0091,0.000015,0.487538
12,7104,24125,Fort Myers city,0.492,0.9909,0.487523,0.487538
5,1400,24550,Fort Smith city,0.0565,1,0.0565,0.0565
17,3421,24582,Evanston city,0.2675,0.9901,0.264852,0.26498
17,3501,24582,Evanston city,0.0129,0.0099,0.000128,0.26498
6,6702,24638,Folsom city,0.0023,0.0054,0.000012,0.652784
6,6711,24638,Folsom city,0.0002,0.0033,6.60E-07,0.652784
6,6712,24638,Folsom city,0.6585,0.9913,0.652771,0.652784
6,7104,24680,Fontana city,0.0002,0.0062,1.20E-06,0.721752
6,7106,24680,Fontana city,0.0067,0.0064,0.000043,0.721752
6,7109,24680,Fontana city,0.1635,0.0861,0.014077,0.721752
6,7110,24680,Fontana city,0.8863,0.4224,0.374373,0.721752
6,7111,24680,Fontana city,0.0081,0.0096,0.000078,0.721752
6,7115,24680,Fontana city,0.7098,0.4694,0.33318,0.721752
18,1001,25000,Fort Wayne city,0.7703,0.4239,0.32653,0.646971
18,1002,25000,Fort Wayne city,0.7163,0.4421,0.316676,0.646971
18,1003,25000,Fort Wayne city,0.0281,0.134,0.003765,0.646971
12,101,25175,Gainesville city,0.644,0.7446,0.479522,0.484656
12,102,25175,Gainesville city,0.0201,0.2554,0.005134,0.484656
37,3001,25580,Gastonia city,0.0456,0.2409,0.010985,0.374138
37,3002,25580,Gastonia city,0.4784,0.7591,0.363153,0.374138
38,500,25700,Fargo city,0.0282,1,0.0282,0.0282
6,107,26000,Fremont city,0.1254,0.0928,0.011637,0.410086
6,108,26000,Fremont city,0.4203,0.3137,0.131848,0.410086
6,109,26000,Fremont city,0.6428,0.4014,0.25802,0.410086
6,110,26000,Fremont city,0.025,0.1377,0.003443,0.410086
6,8502,26000,Fremont city,0.096,0.0535,0.005136,0.410086
6,8504,26000,Fremont city,0.0023,0.0008,1.80E-06,0.410086
48,2002,26232,Flower Mound town,0.0246,0.0222,0.000546,0.322298
48,2003,26232,Flower Mound town,0.3359,0.9572,0.321523,0.322298
48,2006,26232,Flower Mound town,0,0.0005,0,0.322298
48,2322,26232,Flower Mound town,0.0002,0.0002,4.00E-08,0.322298
48,2501,26232,Flower Mound town,0.0115,0.0199,0.000229,0.322298
6,1901,27000,Fresno city,0.0005,0.0112,5.60E-06,0.583354
6,1902,27000,Fresno city,0.6549,0.3529,0.231114,0.583354
6,1903,27000,Fresno city,0.787,0.1542,0.121355,0.583354
6,1904,27000,Fresno city,0.5009,0.3205,0.160538,0.583354
6,1905,27000,Fresno city,0.4519,0.1555,0.07027,0.583354
6,1906,27000,Fresno city,0.0124,0.0057,0.000071,0.583354
48,600,27000,Fort Worth city,0.0001,0.0015,1.50E-07,0.531396
48,2003,27000,Fort Worth city,0.0324,0.0112,0.000363,0.531396
48,2006,27000,Fort Worth city,0.0273,0.0468,0.001278,0.531396
48,2102,27000,Fort Worth city,0.0001,0.0002,2.00E-08,0.531396
48,2400,27000,Fort Worth city,0.0099,0.0258,0.000255,0.531396
48,2501,27000,Fort Worth city,0.0032,0.0007,2.20E-06,0.531396
48,2502,27000,Fort Worth city,0.2127,0.0233,0.004956,0.531396
48,2506,27000,Fort Worth city,0.326,0.0792,0.025819,0.531396
48,2507,27000,Fort Worth city,0.2937,0.0284,0.008341,0.531396
48,2508,27000,Fort Worth city,0.9343,0.0862,0.080537,0.531396
48,2509,27000,Fort Worth city,0.4896,0.0727,0.035594,0.531396
48,2510,27000,Fort Worth city,0.024,0.0029,0.00007,0.531396
48,2511,27000,Fort Worth city,0.9317,0.0751,0.069971,0.531396
48,2512,27000,Fort Worth city,0.728,0.0813,0.059186,0.531396
48,2513,27000,Fort Worth city,0.9582,0.0787,0.07541,0.531396
48,2514,27000,Fort Worth city,0.4211,0.1367,0.057564,0.531396
48,2515,27000,Fort Worth city,0.5079,0.1029,0.052263,0.531396
48,2516,27000,Fort Worth city,0.4081,0.1465,0.059787,0.531396
4,100,27400,Gilbert town,0.4749,0.4757,0.22591,0.716332
4,101,27400,Gilbert town,0,0,0,0.716332
4,104,27400,Gilbert town,0.0119,0.0036,0.000043,0.716332
4,105,27400,Gilbert town,0.9572,0.5122,0.490278,0.716332
4,106,27400,Gilbert town,0.0158,0.0053,0.000084,0.716332
4,107,27400,Gilbert town,0.0053,0.0032,0.000017,0.716332
8,102,27425,Fort Collins city,0.0053,0.066,0.00035,0.026876
8,103,27425,Fort Collins city,0.0284,0.934,0.026526,0.026876
26,2905,27440,Farmington Hills city,0.0016,0.0034,5.40E-06,0.499407
26,2906,27440,Farmington Hills city,0.0108,0.0239,0.000258,0.499407
26,2907,27440,Farmington Hills city,0.5131,0.9728,0.499144,0.499407
48,1905,27684,Frisco city,0,0,0,0.333878
48,1906,27684,Frisco city,0.2702,0.6306,0.170388,0.333878
48,2001,27684,Frisco city,0.0013,0.0005,6.50E-07,0.333878
48,2004,27684,Frisco city,0.4433,0.3688,0.163489,0.333878
47,2600,27740,Franklin city,0.0749,1,0.0749,0.0749
4,122,27820,Glendale city,0.0008,0.0002,1.60E-07,0.763635
4,123,27820,Glendale city,0.0318,0.0085,0.00027,0.763635
4,124,27820,Glendale city,0.8818,0.3712,0.327324,0.763635
4,126,27820,Glendale city,0.9425,0.4527,0.42667,0.763635
4,127,27820,Glendale city,0.038,0.0175,0.000665,0.763635
4,130,27820,Glendale city,0.0001,0,0,0.763635
4,132,27820,Glendale city,0.06,0.1443,0.008658,0.763635
4,133,27820,Glendale city,0.0087,0.0055,0.000048,0.763635
6,3754,28000,Fullerton city,0.0008,0.0009,7.20E-07,0.691928
6,5906,28000,Fullerton city,0.0116,0.0301,0.000349,0.691928
6,5907,28000,Fullerton city,0.7217,0.9582,0.691533,0.691928
6,5908,28000,Fullerton city,0.0046,0.0071,0.000033,0.691928
6,5909,28000,Fullerton city,0.0042,0.0026,0.000011,0.691928
6,5910,28000,Fullerton city,0.0008,0.0011,8.80E-07,0.691928
31,801,28000,Lincoln city,0.1405,0.5744,0.080703,0.121092
31,802,28000,Lincoln city,0.0949,0.4256,0.040389,0.121092
37,1701,28000,Greensboro city,0.9309,0.4067,0.378597,0.685601
37,1702,28000,Greensboro city,0.9069,0.3133,0.284132,0.685601
37,1703,28000,Greensboro city,0.0902,0.2438,0.021991,0.685601
37,1704,28000,Greensboro city,0.0244,0.0361,0.000881,0.685601
37,4200,28080,Greenville city,0.0559,1,0.0559,0.0559
4,132,28380,Goodyear city,0.5445,0.4217,0.229616,0.239735
4,133,28380,Goodyear city,0.0008,0.0002,1.60E-07,0.239735
4,134,28380,Goodyear city,0.0175,0.5782,0.010119,0.239735
6,5908,29000,Garden Grove city,0.0007,0.0014,9.80E-07,0.755638
6,5909,29000,Garden Grove city,0.0063,0.0049,0.000031,0.755638
6,5912,29000,Garden Grove city,0.1987,0.2095,0.041628,0.755638
6,5913,29000,Garden Grove city,0.9278,0.7692,0.713664,0.755638
6,5916,29000,Garden Grove city,0.0209,0.015,0.000314,0.755638
26,1702,29000,Flint city,0.0046,0.0148,0.000068,0.957615
26,1703,29000,Flint city,0.9827,0.9744,0.957543,0.957615
26,1704,29000,Flint city,0.0004,0.0108,4.30E-06,0.957615
48,900,29000,Garland city,0,0.0006,0,0.67051
48,1901,29000,Garland city,0.0131,0.0076,0.0001,0.67051
48,2301,29000,Garland city,0.3074,0.2092,0.064308,0.67051
48,2302,29000,Garland city,0.8634,0.3909,0.337503,0.67051
48,2303,29000,Garland city,0.0538,0.0516,0.002776,0.67051
48,2306,29000,Garland city,0.0037,0.0017,6.30E-06,0.67051
48,2307,29000,Garland city,0.0023,0.0007,1.60E-06,0.67051
48,2308,29000,Garland city,0.7876,0.3375,0.265815,0.67051
48,2309,29000,Garland city,0,0,0,0.67051
6,3708,30000,Glendale city,0.0001,0.0002,2.00E-08,0.885482
6,3709,30000,Glendale city,0.0112,0.0367,0.000411,0.885482
6,3719,30000,Glendale city,0.9821,0.8967,0.880649,0.885482
6,3720,30000,Glendale city,0.0669,0.0661,0.004422,0.885482
6,3735,30000,Glendale city,0.0004,0.0003,1.20E-07,0.885482
12,8601,30000,Hialeah city,0.0857,0.1193,0.010224,0.722805
12,8606,30000,Hialeah city,0.035,0.0331,0.001158,0.722805
12,8607,30000,Hialeah city,0.9596,0.3204,0.307456,0.722805
12,8609,30000,Hialeah city,0.942,0.4155,0.391401,0.722805
12,8610,30000,Hialeah city,0.1126,0.1116,0.012566,0.722805
24,302,30325,Frederick city,0.2529,1,0.2529,0.2529
48,2101,30464,Grand Prairie city,0.004,0.0508,0.000203,0.355056
48,2315,30464,Grand Prairie city,0.0066,0.0025,0.000017,0.355056
48,2318,30464,Grand Prairie city,0.125,0.0943,0.011788,0.355056
48,2319,30464,Grand Prairie city,0.4478,0.2633,0.117906,0.355056
48,2320,30464,Grand Prairie city,0.5892,0.2902,0.170986,0.355056
48,2502,30464,Grand Prairie city,0.133,0.0699,0.009297,0.355056
48,2503,30464,Grand Prairie city,0.1705,0.071,0.012106,0.355056
48,2504,30464,Grand Prairie city,0.2704,0.1021,0.027608,0.355056
48,2505,30464,Grand Prairie city,0.0922,0.0558,0.005145,0.355056
18,101,31000,Hammond city,0.5856,0.9974,0.584077,0.584079
18,103,31000,Hammond city,0.0007,0.0026,1.80E-06,0.584079
55,200,31000,Green Bay city,0.8994,0.8963,0.806132,0.807148
55,300,31000,Green Bay city,0.0098,0.1037,0.001016,0.807148
41,1302,31250,Gresham city,0.0018,0.0022,4.00E-06,0.096691
41,1316,31250,Gresham city,0.0969,0.9978,0.096687,0.096691
37,1702,31400,High Point city,0.0019,0.0015,2.90E-06,0.214145
37,1703,31400,High Point city,0.0149,0.0929,0.001384,0.214145
37,1704,31400,High Point city,0.2497,0.8513,0.21257,0.214145
37,1803,31400,High Point city,0.0017,0.0081,0.000014,0.214145
37,3500,31400,High Point city,0.0042,0.0409,0.000172,0.214145
37,3600,31400,High Point city,0.0004,0.0053,2.10E-06,0.214145
32,404,31900,Henderson city,0.0009,0.0162,0.000015,0.221435
32,410,31900,Henderson city,0.0417,0.0087,0.000363,0.221435
32,411,31900,Henderson city,0.354,0.6066,0.214736,0.221435
32,412,31900,Henderson city,0.0167,0.3575,0.00597,0.221435
32,413,31900,Henderson city,0.0319,0.011,0.000351,0.221435
12,1108,32000,Hollywood city,0.0155,0.0161,0.00025,0.571555
12,1109,32000,Hollywood city,0.5657,0.5797,0.327936,0.571555
12,1113,32000,Hollywood city,0.6021,0.4042,0.243369,0.571555
8,300,32155,Greeley city,0.0863,1,0.0863,0.0863
12,8623,32275,Homestead city,0.0116,0.0375,0.000435,0.165735
12,8624,32275,Homestead city,0.2943,0.5581,0.164249,0.165735
12,8700,32275,Homestead city,0.0026,0.4044,0.001051,0.165735
6,3749,32548,Hawthorne city,0.0047,0.0072,0.000034,0.689203
6,3758,32548,Hawthorne city,0.0087,0.0195,0.00017,0.689203
6,3759,32548,Hawthorne city,0.7079,0.9733,0.688999,0.689203
6,106,33000,Hayward city,0.0799,0.0716,0.005721,0.420495
6,107,33000,Hayward city,0.5564,0.7041,0.391761,0.420495
6,108,33000,Hayward city,0.1334,0.1702,0.022705,0.420495
6,110,33000,Hayward city,0.0057,0.0541,0.000308,0.420495
6,6506,33182,Hemet city,0.107,0.9081,0.097167,0.097875
6,6507,33182,Hemet city,0.0077,0.0919,0.000708,0.097875
6,7102,33434,Hesperia city,0.007,0.0317,0.000222,0.333173
6,7103,33434,Hesperia city,0.3487,0.9548,0.332939,0.333173
6,7104,33434,Hesperia city,0.0009,0.0134,0.000012,0.333173
26,1001,34000,Grand Rapids city,0.0243,0.052,0.001264,0.841311
26,1002,34000,Grand Rapids city,0.9335,0.8995,0.839683,0.841311
26,1003,34000,Grand Rapids city,0.0075,0.0485,0.000364,0.841311
41,1321,34100,Hillsboro city,0.0023,0.0492,0.000113,0.275824
41,1322,34100,Hillsboro city,0.2925,0.9423,0.275623,0.275824
41,1323,34100,Hillsboro city,0.0104,0.0085,0.000088,0.275824
25,701,34550,Lawrence city,0.1106,0.9954,0.110091,0.110092
25,702,34550,Lawrence city,0.0002,0.0046,9.20E-07,0.110092
12,3101,35000,Jacksonville city,0.995,0.5362,0.533519,0.984068
12,3102,35000,Jacksonville city,1,0.0789,0.0789,0.984068
12,3103,35000,Jacksonville city,1,0.0454,0.0454,0.984068
12,3104,35000,Jacksonville city,0.7455,0.0523,0.03899,0.984068
12,3105,35000,Jacksonville city,1,0.1355,0.1355,0.984068
12,3106,35000,Jacksonville city,1,0.0692,0.0692,0.984068
12,3107,35000,Jacksonville city,0.9995,0.0826,0.082559,0.984068
29,901,35000,Independence city,0.0006,0.0026,1.60E-06,0.263795
29,1001,35000,Independence city,0.0028,0.0021,5.90E-06,0.263795
29,1002,35000,Independence city,0.4526,0.3803,0.172124,0.263795
29,1003,35000,Independence city,0.1511,0.6062,0.091597,0.263795
29,1004,35000,Independence city,0.0075,0.0088,0.000066,0.263795
48,4503,35000,Houston city,0.0175,0.0014,0.000024,0.651066
48,4504,35000,Houston city,0.0363,0.0083,0.000301,0.651066
48,4601,35000,Houston city,1,0.0407,0.0407,0.651066
48,4602,35000,Houston city,1,0.0398,0.0398,0.651066
48,4603,35000,Houston city,1,0.0348,0.0348,0.651066
48,4604,35000,Houston city,0.8259,0.0285,0.023538,0.651066
48,4605,35000,Houston city,0.0998,0.0044,0.000439,0.651066
48,4606,35000,Houston city,0.5485,0.0347,0.019033,0.651066
48,4607,35000,Houston city,0.4678,0.046,0.021519,0.651066
48,4608,35000,Houston city,0.3813,0.0179,0.006825,0.651066
48,4609,35000,Houston city,0.915,0.0402,0.036783,0.651066
48,4610,35000,Houston city,0.4291,0.0181,0.007767,0.651066
48,4611,35000,Houston city,0.6376,0.0317,0.020212,0.651066
48,4612,35000,Houston city,0.9245,0.0284,0.026256,0.651066
48,4613,35000,Houston city,0.6879,0.0223,0.01534,0.651066
48,4614,35000,Houston city,0.9314,0.0152,0.014157,0.651066
48,4615,35000,Houston city,0.9015,0.0192,0.017309,0.651066
48,4616,35000,Houston city,0.9518,0.0279,0.026555,0.651066
48,4617,35000,Houston city,0.858,0.0709,0.060832,0.651066
48,4618,35000,Houston city,1,0.0314,0.0314,0.651066
48,4619,35000,Houston city,0.8837,0.0386,0.034111,0.651066
48,4620,35000,Houston city,0.5035,0.0352,0.017723,0.651066
48,4621,35000,Houston city,0.215,0.0211,0.004537,0.651066
48,4622,35000,Houston city,0.0622,0.0078,0.000485,0.651066
48,4623,35000,Houston city,0.0038,0.0007,2.70E-06,0.651066
48,4624,35000,Houston city,0.2786,0.0614,0.017106,0.651066
48,4625,35000,Houston city,0.4298,0.0515,0.022135,0.651066
48,4626,35000,Houston city,0.2714,0.0121,0.003284,0.651066
48,4627,35000,Houston city,0.0538,0.0042,0.000226,0.651066
48,4628,35000,Houston city,0.181,0.0085,0.001538,0.651066
48,4629,35000,Houston city,0.1142,0.0055,0.000628,0.651066
48,4630,35000,Houston city,0.0256,0.0036,0.000092,0.651066
48,4631,35000,Houston city,0.0934,0.0062,0.000579,0.651066
48,4632,35000,Houston city,0.023,0.0083,0.000191,0.651066
48,4633,35000,Houston city,0.0885,0.0027,0.000239,0.651066
48,4634,35000,Houston city,0.3245,0.0135,0.004381,0.651066
48,4635,35000,Houston city,0.6062,0.0367,0.022248,0.651066
48,4636,35000,Houston city,0.7476,0.0505,0.037754,0.651066
48,4637,35000,Houston city,0.9512,0.0276,0.026253,0.651066
48,4638,35000,Houston city,0.6776,0.0152,0.0103,0.651066
48,4901,35000,Houston city,0.1899,0.0109,0.00207,0.651066
48,4902,35000,Houston city,0.0129,0.001,0.000013,0.651066
48,4903,35000,Houston city,0.002,0.0002,4.00E-07,0.651066
48,4904,35000,Houston city,0.1513,0.0103,0.001558,0.651066
48,4905,35000,Houston city,0.0046,0.0048,0.000022,0.651066
48,5000,35000,Houston city,0,0.0001,0,0.651066
51,51175,35000,Hampton city,0.0184,0.0266,0.000489,0.962306
51,51186,35000,Hampton city,0.9881,0.9734,0.961817,0.962306
53,10702,35275,Kennewick city,0.2682,1,0.2682,0.2682
53,11610,35415,Kent city,0.0006,0.0005,3.00E-07,0.739776
53,11611,35415,Kent city,0.0202,0.0243,0.000491,0.739776
53,11612,35415,Kent city,0.007,0.0127,0.000089,0.739776
53,11613,35415,Kent city,0.8195,0.9017,0.738943,0.739776
53,11614,35415,Kent city,0.0091,0.0185,0.000168,0.739776
53,11615,35415,Kent city,0.002,0.0423,0.000085,0.739776
5,500,35710,Jonesboro city,0.027,0.9863,0.02663,0.026638
5,600,35710,Jonesboro city,0.0006,0.0137,8.20E-06,0.026638
1,1200,35896,Hoover city,0.0266,0.4362,0.011603,0.090972
1,1303,35896,Hoover city,0.1669,0.4695,0.07836,0.090972
1,1305,35896,Hoover city,0.0107,0.0943,0.001009,0.090972
53,11606,35940,Kirkland city,0.016,0.026,0.000416,0.458227
53,11607,35940,Kirkland city,0.4753,0.9632,0.457809,0.458227
53,11608,35940,Kirkland city,0.0007,0.0013,9.10E-07,0.458227
53,11616,35940,Kirkland city,0.0001,0.0095,9.50E-07,0.458227
6,5908,36000,Huntington Beach city,0.0011,0.0014,1.50E-06,0.874075
6,5912,36000,Huntington Beach city,0.036,0.0253,0.000911,0.874075
6,5914,36000,Huntington Beach city,0.8973,0.9731,0.873163,0.874075
6,5918,36000,Huntington Beach city,0.0002,0.0002,4.00E-08,0.874075
20,500,36000,Kansas City city,0.8226,1,0.8226,0.8226
28,1000,36000,Jackson city,0.2643,0.4592,0.121367,0.61396
28,1100,36000,Jackson city,1,0.4925,0.4925,0.61396
28,1200,36000,Jackson city,0.001,0.0184,0.000018,0.61396
28,1300,36000,Jackson city,0.0025,0.03,0.000075,0.61396
34,601,36000,Jersey City city,0.9995,0.4257,0.425487,0.932033
34,602,36000,Jersey City city,0.9942,0.5057,0.502767,0.932033
34,702,36000,Jersey City city,0.0229,0.0053,0.000121,0.932033
34,703,36000,Jersey City city,0.0577,0.0634,0.003658,0.932033
18,2301,36003,Indianapolis city (balance),0.997,0.1338,0.133399,0.929902
18,2302,36003,Indianapolis city (balance),0.9316,0.1083,0.100892,0.929902
18,2303,36003,Indianapolis city (balance),0.5689,0.0735,0.041814,0.929902
18,2304,36003,Indianapolis city (balance),0.9094,0.1473,0.133955,0.929902
18,2305,36003,Indianapolis city (balance),0.9783,0.1124,0.109961,0.929902
18,2306,36003,Indianapolis city (balance),0.9703,0.242,0.234813,0.929902
18,2307,36003,Indianapolis city (balance),0.9577,0.1828,0.175068,0.929902
6,6501,36448,Indio city,0.0075,0.9806,0.007354,0.007377
6,6515,36448,Indio city,0.0012,0.0194,0.000023,0.007377
6,3748,36546,Inglewood city,0.0015,0.0048,7.20E-06,0.966101
6,3749,36546,Inglewood city,0.9767,0.9891,0.966054,0.966101
6,3759,36546,Inglewood city,0.0066,0.0061,0.00004,0.966101
6,5903,36770,Irvine city,0.1527,0.1693,0.025852,0.552306
6,5904,36770,Irvine city,0.8208,0.614,0.503971,0.552306
6,5905,36770,Irvine city,0.1038,0.2166,0.022483,0.552306
6,5917,36770,Irvine city,0.0001,0,0,0.552306
12,9701,36950,Kissimmee city,0.1112,0.9574,0.106463,0.106497
12,9702,36950,Kissimmee city,0.0008,0.0426,0.000034,0.106497
