state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
12,63000,Florida,St. Petersburg city,91.060%,87.003%,95.116%,1
12,69700,Florida,Sunrise city,91.038%,84.303%,97.772%,1
12,70600,Florida,Tallahassee city,91.680%,88.275%,95.084%,1
12,71000,Florida,Tampa city,93.583%,90.624%,96.543%,1
12,76600,Florida,West Palm Beach city,90.910%,84.502%,97.318%,1
13,03440,Georgia,Athens-Clarke County unified government (balance),94.073%,89.907%,98.240%,1
13,04000,Georgia,Atlanta city,90.804%,88.115%,93.494%,1
13,04204,Georgia,Augusta-Richmond County consolidated government (balance),85.362%,80.966%,89.757%,1
13,19000,Georgia,Columbus city,90.364%,86.907%,93.820%,1
13,42425,Georgia,Johns Creek city,NA,NA,NA,NA
13,49008,Georgia,Macon-Bibb County,84.491%,79.810%,89.172%,1
13,67284,Georgia,Roswell city,97.383%,90.224%,100.000%,1
13,68516,Georgia,Sandy Springs city,95.893%,90.838%,100.000%,1
13,69000,Georgia,Savannah city,89.337%,83.945%,94.730%,1
13,72122,Georgia,South Fulton city,90.164%,79.938%,100.000%,2
13,80508,Georgia,Warner Robins city,91.431%,84.292%,98.571%,1
15,71550,Hawaii,Urban Honolulu CDP,86.570%,84.201%,88.938%,1
16,08830,Idaho,Boise City city,94.048%,90.909%,97.187%,1
16,52120,Idaho,Meridian city,93.065%,88.494%,97.636%,1
16,56260,Idaho,Nampa city,96.724%,92.027%,100.000%,1
17,02154,Illinois,Arlington Heights village,95.725%,88.442%,100.000%,1
17,03012,Illinois,Aurora city,90.926%,85.832%,96.020%,1
17,06613,Illinois,Bloomington city,89.243%,83.522%,94.965%,1
17,12385,Illinois,Champaign city,88.053%,82.237%,93.869%,1
17,14000,Illinois,Chicago city,87.487%,86.338%,88.637%,1
17,14351,Illinois,Cicero town,86.089%,78.356%,93.821%,1
17,23074,Illinois,Elgin city,94.574%,88.226%,100.000%,1
17,24582,Illinois,Evanston city,94.013%,87.314%,100.000%,1
17,38570,Illinois,Joliet city,92.903%,87.078%,98.728%,1
17,51622,Illinois,Naperville city,96.756%,92.667%,100.000%,1
17,59000,Illinois,Peoria city,88.401%,83.050%,93.753%,1
17,65000,Illinois,Rockford city,87.392%,82.350%,92.434%,1
17,68003,Illinois,Schaumburg village,94.793%,88.271%,100.000%,1
17,72000,Illinois,Springfield city,92.800%,88.386%,97.214%,1
17,79293,Illinois,Waukegan city,87.352%,78.587%,96.117%,1
18,05860,Indiana,Bloomington city,87.124%,80.436%,93.813%,1
18,10342,Indiana,Carmel city,95.503%,90.407%,100.000%,1
18,22000,Indiana,Evansville city,86.779%,81.937%,91.621%,1
18,23278,Indiana,Fishers city,NA,NA,NA,NA
18,25000,Indiana,Fort Wayne city,91.485%,88.214%,94.756%,1
18,31000,Indiana,Hammond city,88.765%,82.415%,95.115%,1
18,36003,Indiana,Indianapolis city (balance),90.805%,88.762%,92.849%,1
18,71000,Indiana,South Bend city,88.664%,83.882%,93.446%,1
19,12000,Iowa,Cedar Rapids city,92.746%,88.367%,97.125%,1
19,19000,Iowa,Davenport city,87.076%,82.914%,91.239%,1
19,21000,Iowa,Des Moines city,89.657%,86.779%,92.536%,1
19,73335,Iowa,Sioux City city,86.609%,81.159%,92.060%,1
20,36000,Kansas,Kansas City city,86.178%,82.027%,90.330%,1
20,38900,Kansas,Lawrence city,92.680%,87.930%,97.431%,1
20,52575,Kansas,Olathe city,95.043%,88.964%,100.000%,1
20,53775,Kansas,Overland Park city,93.534%,90.140%,96.928%,1
20,71000,Kansas,Topeka city,87.458%,83.605%,91.312%,1
20,79000,Kansas,Wichita city,90.430%,87.913%,92.946%,1
21,46027,Kentucky,Lexington-Fayette urban county,90.698%,87.781%,93.616%,1
21,48006,Kentucky,Louisville/Jefferson County metro government (balance),89.464%,87.684%,91.244%,1
22,05000,Louisiana,Baton Rouge city,87.585%,82.997%,92.173%,1
22,40735,Louisiana,Lafayette city,91.360%,86.456%,96.264%,1
22,41155,Louisiana,Lake Charles city,86.415%,78.557%,94.273%,1
22,55000,Louisiana,New Orleans city,83.073%,80.790%,85.357%,1
22,70000,Louisiana,Shreveport city,84.144%,79.479%,88.808%,1
24,04000,Maryland,Baltimore city,81.795%,79.755%,83.835%,1
24,30325,Maryland,Frederick city,88.498%,80.001%,96.995%,1
25,07000,Massachusetts,Boston city,90.119%,88.334%,91.903%,1
25,09000,Massachusetts,Brockton city,86.171%,79.539%,92.802%,1
25,11000,Massachusetts,Cambridge city,94.743%,89.776%,99.709%,1
25,23000,Massachusetts,Fall River city,84.315%,77.666%,90.963%,1
25,34550,Massachusetts,Lawrence city,91.581%,83.883%,99.279%,1
25,37000,Massachusetts,Lowell city,88.811%,82.718%,94.904%,1
25,37490,Massachusetts,Lynn city,89.824%,82.940%,96.709%,1
