year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2019,06,00884,race-ethnicity,"Black, Non-Hispanic",7,7,7,0.0666666667,1,1
2019,06,00884,race-ethnicity,Hispanic,260,260,260,0.0387712496,1,1
2019,06,00884,race-ethnicity,Other Races and Ethnicities,24,24,24,0.0026304253,1,1
2019,06,00884,race-ethnicity,"White, Non-Hispanic",5,5,5,0.0145772595,1,1
2019,06,02000,all,All,6549,6549,6549,0.1189883537,1,1
2019,06,02000,race-ethnicity,"Black, Non-Hispanic",160,160,160,0.1373390558,1,1
2019,06,02000,race-ethnicity,Hispanic,5408,5408,5408,0.1340505168,1,1
2019,06,02000,race-ethnicity,Other Races and Ethnicities,599,598,600,0.0668004907,1,1
2019,06,02000,race-ethnicity,"White, Non-Hispanic",375,374,376,0.0821827745,1,1
2019,06,02252,all,All,468,468,468,0.0279119699,1,1
2019,06,02252,race-ethnicity,"Black, Non-Hispanic",145,145,145,0.0347721823,1,1
2019,06,02252,race-ethnicity,Hispanic,187,187,187,0.0237219333,1,1
2019,06,02252,race-ethnicity,Other Races and Ethnicities,73,73,73,0.0273510678,1,1
2019,06,02252,race-ethnicity,"White, Non-Hispanic",63,63,63,0.030806846,1,1
2019,06,02364,all,All,817,817,817,0.0554424539,1,1
2019,06,02364,race-ethnicity,"Black, Non-Hispanic",122,122,122,0.1040955631,1,1
2019,06,02364,race-ethnicity,Hispanic,427,427,427,0.0585653545,1,1
2019,06,02364,race-ethnicity,Other Races and Ethnicities,50,50,50,0.0552486188,1,1
2019,06,02364,race-ethnicity,"White, Non-Hispanic",217,217,217,0.0404247392,1,1
2019,06,03526,all,All,3325,3324,3326,0.0251907298,1,1
2019,06,03526,race-ethnicity,"Black, Non-Hispanic",539,538,540,0.0652463382,1,1
2019,06,03526,race-ethnicity,Hispanic,2015,2012,2018,0.0235967819,1,1
2019,06,03526,race-ethnicity,Other Races and Ethnicities,182,179,185,0.019384386,1,1
2019,06,03526,race-ethnicity,"White, Non-Hispanic",576,575,577,0.0199025604,1,1
2019,06,04982,all,All,194,194,194,0.0170100833,1,1
2019,06,04982,race-ethnicity,"Black, Non-Hispanic",65,65,65,0.0448585231,1,1
2019,06,04982,race-ethnicity,Hispanic,107,107,107,0.0142857143,1,1
2019,06,04982,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,04982,race-ethnicity,"White, Non-Hispanic",15,15,15,0.0150451354,1,1
2019,06,06000,all,All,251,251,251,0.0186895011,1,1
2019,06,06000,race-ethnicity,"Black, Non-Hispanic",138,138,138,0.0994236311,1,1
2019,06,06000,race-ethnicity,Hispanic,67,67,67,0.0242139501,1,1
2019,06,06000,race-ethnicity,Other Races and Ethnicities,31,30,32,0.0074644835,2,2
2019,06,06000,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,08786,all,All,755,755,755,0.0869615296,1,1
2019,06,08786,race-ethnicity,"Black, Non-Hispanic",32,32,32,0.1240310078,1,1
2019,06,08786,race-ethnicity,Hispanic,579,579,579,0.1120789779,1,1
2019,06,08786,race-ethnicity,Other Races and Ethnicities,75,75,75,0.0310945274,1,1
2019,06,08786,race-ethnicity,"White, Non-Hispanic",69,69,69,0.0817535545,1,1
2019,06,08954,all,All,114,114,114,0.0075088921,1,1
2019,06,08954,race-ethnicity,"Black, Non-Hispanic",14,14,14,0.0358974359,1,1
2019,06,08954,race-ethnicity,Hispanic,66,66,66,0.012994684,1,1
2019,06,08954,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,08954,race-ethnicity,"White, Non-Hispanic",22,22,22,0.0030349014,1,1
2019,06,11194,all,All,79,79,79,0.0068809337,1,1
2019,06,11194,race-ethnicity,"Black, Non-Hispanic",11,11,11,0.0814814815,1,1
2019,06,11194,race-ethnicity,Hispanic,38,38,38,0.01215611,1,1
2019,06,11194,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,11194,race-ethnicity,"White, Non-Hispanic",25,25,25,0.0038856077,1,1
2019,06,11530,all,All,31,31,31,0.0623742455,1,1
2019,06,11530,race-ethnicity,"Black, Non-Hispanic",12,12,12,0.0576923077,1,1
2019,06,11530,race-ethnicity,Hispanic,19,19,19,0.0703703704,1,1
2019,06,11530,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,11530,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,13014,all,All,777,777,777,0.0508740915,1,1
2019,06,13014,race-ethnicity,"Black, Non-Hispanic",18,15,21,0.0578778135,3,3
2019,06,13014,race-ethnicity,Hispanic,189,186,192,0.0513168613,1,1
2019,06,13014,race-ethnicity,Other Races and Ethnicities,124,118,130,0.0574606117,3,3
2019,06,13014,race-ethnicity,"White, Non-Hispanic",431,430,432,0.0472898837,1,1
2019,06,13210,all,All,2590,2590,2590,0.0941441605,1,1
2019,06,13210,race-ethnicity,"Black, Non-Hispanic",86,86,86,0.0882956879,1,1
2019,06,13210,race-ethnicity,Hispanic,1815,1815,1815,0.1175518135,1,1
2019,06,13210,race-ethnicity,Other Races and Ethnicities,523,523,523,0.0748425873,1,1
2019,06,13210,race-ethnicity,"White, Non-Hispanic",163,163,163,0.0396786758,1,1
2019,06,13214,all,All,,,,,,
2019,06,13214,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,06,13214,race-ethnicity,Hispanic,,,,,,
2019,06,13214,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,13214,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,13392,all,All,1131,1126,1136,0.0164415822,1,1
2019,06,13392,race-ethnicity,"Black, Non-Hispanic",50,48,52,0.0227583068,2,2
2019,06,13392,race-ethnicity,Hispanic,932,926,938,0.0190522916,1,1
2019,06,13392,race-ethnicity,Other Races and Ethnicities,55,46,64,0.0050113895,3,3
2019,06,13392,race-ethnicity,"White, Non-Hispanic",51,47,55,0.0076130766,3,3
2019,06,13588,all,All,,,,,,
2019,06,13588,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,06,13588,race-ethnicity,Hispanic,,,,,,
2019,06,13588,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,13588,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,14218,all,All,112,112,112,0.0025656297,1,1
2019,06,14218,race-ethnicity,"Black, Non-Hispanic",10,10,10,0.0071942446,1,1
2019,06,14218,race-ethnicity,Hispanic,60,60,60,0.0035627338,1,1
2019,06,14218,race-ethnicity,Other Races and Ethnicities,10,10,10,0.0011026574,1,1
2019,06,14218,race-ethnicity,"White, Non-Hispanic",32,32,32,0.0019568275,1,1
2019,06,15044,all,All,352,352,352,0.017254902,1,1
2019,06,15044,race-ethnicity,"Black, Non-Hispanic",175,175,175,0.0537304268,1,1
2019,06,15044,race-ethnicity,Hispanic,169,169,169,0.0102916997,1,1
2019,06,15044,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,15044,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,16000,all,All,655,655,655,0.0193764052,1,1
2019,06,16000,race-ethnicity,"Black, Non-Hispanic",78,77,79,0.0686619718,1,1
2019,06,16000,race-ethnicity,Hispanic,423,422,424,0.0295576829,1,1
2019,06,16000,race-ethnicity,Other Races and Ethnicities,84,82,86,0.0102314251,1,1
2019,06,16000,race-ethnicity,"White, Non-Hispanic",67,67,67,0.0066029368,1,1
2019,06,16350,all,All,744,744,744,0.04045897,1,1
2019,06,16350,race-ethnicity,"Black, Non-Hispanic",31,30,32,0.0453216374,2,2
2019,06,16350,race-ethnicity,Hispanic,631,630,632,0.0432132585,1,1
2019,06,16350,race-ethnicity,Other Races and Ethnicities,30,28,32,0.0221893491,3,3
2019,06,16350,race-ethnicity,"White, Non-Hispanic",53,53,53,0.0302857143,1,1
2019,06,16532,all,All,992,992,992,0.0427217916,1,1
2019,06,16532,race-ethnicity,"Black, Non-Hispanic",44,44,44,0.1698841699,1,1
2019,06,16532,race-ethnicity,Hispanic,824,824,824,0.0742676881,1,1
2019,06,16532,race-ethnicity,Other Races and Ethnicities,49,49,49,0.0188824663,1,1
2019,06,16532,race-ethnicity,"White, Non-Hispanic",71,71,71,0.0076599417,1,1
2019,06,17918,all,All,153,153,153,0.0144544166,1,1
2019,06,17918,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,06,17918,race-ethnicity,Hispanic,58,57,59,0.015688396,1,1
2019,06,17918,race-ethnicity,Other Races and Ethnicities,76,76,76,0.013300665,1,1
2019,06,17918,race-ethnicity,"White, Non-Hispanic",12,12,12,0.0116166505,1,1
2019,06,19766,all,All,479,479,479,0.0199408851,1,1
2019,06,19766,race-ethnicity,"Black, Non-Hispanic",102,102,102,0.1090909091,1,1
2019,06,19766,race-ethnicity,Hispanic,351,351,351,0.0169409721,1,1
2019,06,19766,race-ethnicity,Other Races and Ethnicities,5,5,5,0.0042589438,1,1
2019,06,19766,race-ethnicity,"White, Non-Hispanic",17,17,17,0.0142737196,1,1
2019,06,21712,all,All,1002,1001,1003,0.0259102193,1,1
2019,06,21712,race-ethnicity,"Black, Non-Hispanic",155,154,156,0.073286052,1,1
2019,06,21712,race-ethnicity,Hispanic,480,480,480,0.0345323741,1,1
2019,06,21712,race-ethnicity,Other Races and Ethnicities,101,99,103,0.021466525,1,1
