year,state,county,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2023,36,037,tenure,All,1.9853631306350426,1.9922703573765488,1.6791330185399236,2,2,2,0.6031497355120143,0.8328438516477339,0.9580809277148957,2,2,2
2022,36,037,tenure,All,1.4387593558460192,1.6612223211358856,1.5772062350518736,2,2,2,0.4605162971295875,0.7523444386200414,0.9145613014272733,2,2,2
2021,36,037,tenure,All,1.5416138981299459,1.8104195002805084,1.6278481172980603,2,2,2,0.5435670231299461,0.8229662755391479,0.9774093182218472,2,2,2
2019,36,037,tenure,All,1.5966392863157286,1.8580720948062752,1.7109631034619162,2,2,2,0.6156944221822295,0.8220867826887718,0.9510192343048465,2,2,2
2018,36,037,tenure,All,1.654865270659192,2.003451405508651,1.7158862838535536,2,2,2,0.6054256691647966,0.92205292948893,0.9823056935274824,2,2,2
2017,36,037,tenure,All,1.349980843169715,1.7582856095615942,1.6852247323704577,2,2,2,0.6446405290335894,0.88884437642094,0.97539819786798,2,2,2
2016,36,037,tenure,All,1.5438549685850633,1.756897724240282,1.8570172370109923,2,2,2,0.5468753866109188,0.8407675988590563,1.0445672450122723,2,2,2
2015,36,037,tenure,All,1.4389950150659319,1.6733888086553932,1.785926307489803,2,2,2,0.6626371875898935,0.8236353198946348,1.0428875347673074,2,2,2
2014,36,037,tenure,All,1.5418239302073538,1.9294253732210953,1.6329518999628432,2,2,2,0.6531428033063318,0.8783875441259368,0.9867386305158178,2,2,2
2024,36,039,tenure,All,1.2727197481261372,1.3849684115409868,1.5304179826577549,2,2,2,0.535941298428501,0.6785328722048928,0.9280591711358674,2,2,2
2023,36,039,tenure,All,0.929178727694629,1.4108121897935921,1.4507094534144183,2,2,2,0.4194747480827878,0.6834670249982276,0.9186049987293186,2,2,2
2022,36,039,tenure,All,1.025418148294482,1.555796616419946,1.650533131299526,2,2,2,0.36849730014487025,0.6566321105138672,0.9144029284073506,2,2,2
2021,36,039,tenure,All,1.1689249953683198,1.3386492888488504,1.4719584472774676,2,2,2,0.3753444124035934,0.6211899897871781,0.8627915225329629,2,2,2
2019,36,039,tenure,All,1.438873687326164,1.5958847039475925,1.5849112700141428,2,2,2,0.47720167877915487,0.6887684629224183,0.8615528200679639,2,2,2
2018,36,039,tenure,All,1.2648556086082487,1.4775353454633193,1.4765416202032178,2,2,2,0.4856275226399804,0.6034536779423898,0.8744454872071922,2,2,2
2017,36,039,tenure,All,1.1704540302714455,1.2139257346023755,1.642263460109999,2,2,2,0.4269010216754573,0.5622364874749534,0.9346804931763115,2,2,2
2016,36,039,tenure,All,0.933817209435584,1.1480389934255264,1.5569495021969963,2,2,2,0.3508738420399197,0.5255799894203881,0.9058744556805626,2,2,2
2015,36,039,tenure,All,0.9682068465669361,0.9818886323399927,1.483204261383429,2,2,2,0.4526788962563773,0.4961016457896476,0.967155133506455,2,2,2
