year,state,county,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,12,125,19755.3915,3,44576.268,3,84087.051,3
2018,12,127,24010.3989,1,50654.85,1,96244.215,1
2018,12,129,18235.746,3,45589.365,3,89152.536,3
2018,12,131,23706.4698,3,50654.85,3,99283.506,3
2018,12,133,23706.4698,3,50654.850000000006,3,99283.506,3
2018,13,001,15196.455,3,42347.4546,3,87126.342,3
2018,13,003,15272.121188736004,3,37484.589,3,76995.372,3
2018,13,005,15196.454999999998,3,37484.589,3,76995.372,3
2018,13,007,NA,3,NA,3,NA,3
2018,13,009,16412.1714,3,45791.9844,3,94369.98555,3
2018,13,011,23301.231,3,50654.85,3,99080.8866,3
2018,13,013,29582.4324,2,66864.402,2,117114.0132,2
2018,13,015,25327.425,1,55720.335,1,101309.7,1
2018,13,017,13170.261,3,37296.48728000997,3,80845.1406,3
2018,13,019,13170.260999999999,3,37246.56185984997,3,80845.1406,3
2018,13,021,17020.0296,1,40523.88,1,86721.1032,1
2018,13,023,13170.261,3,36876.7308,3,80034.663,3
2018,13,025,15196.454999999998,3,37484.589,3,76995.372,3
2018,13,027,13170.261,3,37309.72845780004,3,80845.14059999998,3
2018,13,029,22389.4437,3,53694.141,3,99283.506,3
2018,13,031,20261.94,2,47919.4881,2,100499.2224,2
2018,13,033,16310.8617,3,40523.88,3,88645.9875,3
2018,13,035,21072.4176,3,45589.365,3,92232.35087999998,3
2018,13,037,15804.3132,3,37889.8278,3,81047.76,3
2018,13,039,20768.4885,3,53896.7604,3,109921.0245,3
2018,13,043,13170.260999999999,3,36876.7308,3,80034.663,3
2018,13,045,22288.134,1,50654.85,1,108705.3081,1
2018,13,047,20768.4885,2,47716.8687,2,95231.118,2
2018,13,049,15196.455,3,37484.589,3,76995.372,3
2018,13,051,24516.9474,1,54099.3798,1,110427.573,1
2018,13,053,19248.843,3,47818.1784,3,91583.9688,3
2018,13,055,20768.4885,3,47716.8687,3,95231.118,3
2018,13,057,34951.8465,1,83073.954,1,149978.87988,1
2018,13,059,17222.649,1,42550.074,1,94724.5695,1
2018,13,061,NA,3,NA,3,NA,3
2018,13,063,22592.0631,1,46501.1523,1,88139.439,1
2018,13,065,NA,3,NA,3,NA,3
2018,13,067,38295.0666,1,79021.566,1,152977.647,1
2018,13,069,15196.455,3,37484.589,3,76995.372,3
2018,13,071,18438.3654,2,40523.88,2,88139.439,2
2018,13,073,42144.8352,1,80764.09284,1,159056.229,1
