year,state,county,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,01,103,race-ethnicity,Hispanic,16060.17655,1,40523.88,1,63260.40499200001,1
2018,01,103,race-ethnicity,Other Races and Ethnicities,20243.450507999998,1,56246.0052,1,101217.25253999999,1
2018,01,103,race-ethnicity,"White, Non-Hispanic",24197.157875,1,51514.951676,1,98270.409,1
2018,01,103,all,All,22085.5146,1,47615.559,1,99688.7448,1
2018,01,105,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21998.662358003996,3,49384.523888255964,3
2018,01,105,race-ethnicity,Hispanic,21841.477075,3,44322.16779914319,3,78672.10106966879,3
2018,01,105,race-ethnicity,Other Races and Ethnicities,35337.41337704608,3,71680.15464299999,3,434112.0645,3
2018,01,105,race-ethnicity,"White, Non-Hispanic",20235.704840087998,3,50834.17328,3,99359.1059109408,3
2018,01,105,all,All,10130.97,3,28164.0966,3,73246.9131,3
2018,01,107,race-ethnicity,"Black, Non-Hispanic",13398.41074443331,3,34266.052704,3,80760.952976,3
2018,01,107,race-ethnicity,Hispanic,25161.212175,3,54298.91732,3,129894.305373,3
2018,01,107,race-ethnicity,Other Races and Ethnicities,31731.057424,3,49720.16312999999,3,95512.575488,3
2018,01,107,race-ethnicity,"White, Non-Hispanic",29832.097878,3,69126.35337351824,3,117519.25200000001,3
2018,01,107,all,All,30392.910000000003,3,63825.11099999999,3,109414.476,3
2018,01,109,race-ethnicity,"Black, Non-Hispanic",9551.057296,3,25910.47195,3,59430.02472,3
2018,01,109,race-ethnicity,Hispanic,12416.674864,3,41334.3576,3,85708.0062,3
2018,01,109,race-ethnicity,Other Races and Ethnicities,15399.0744,3,31094.25352,3,63776.42369711364,3
2018,01,109,race-ethnicity,"White, Non-Hispanic",20820.38151,3,47965.735125,3,92424.677312,3
2018,01,109,all,All,12157.164,3,34040.0592,3,75982.275,3
2018,01,111,race-ethnicity,"Black, Non-Hispanic",13459.726288497619,3,30798.1488,3,62206.467944000004,3
2018,01,111,race-ethnicity,Hispanic,9700.049676,3,19888.065252,3,37473.073,3
2018,01,111,race-ethnicity,Other Races and Ethnicities,9523.111799999999,3,25236.24627,3,69903.693,3
2018,01,111,race-ethnicity,"White, Non-Hispanic",19845.05248,3,44955.440562,3,84687.910384,3
2018,01,111,all,All,15500.3841,3,38497.686,3,80034.663,3
2018,01,113,race-ethnicity,"Black, Non-Hispanic",9551.057296,2,25910.47195,2,59430.02472,2
2018,01,113,race-ethnicity,Hispanic,12416.674864,2,41334.3576,2,85708.0062,2
2018,01,113,race-ethnicity,Other Races and Ethnicities,15399.0744,2,31094.25352,2,63109.5361569922,2
2018,01,113,race-ethnicity,"White, Non-Hispanic",20820.38151,2,47965.735125,2,92424.677312,2
2018,01,113,all,All,12157.164,2,34040.0592,2,75982.275,2
2018,01,115,race-ethnicity,"Black, Non-Hispanic",25895.539101,2,48180.52965,2,83626.570544,2
2018,01,115,race-ethnicity,Hispanic,16060.17655,2,34182.232956,2,63825.111000000004,2
