year,state,place,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,05,66080,all,All,22288.134,3,49641.753,3,104348.991,3
2018,06,00562,race-ethnicity,"Black, Non-Hispanic",23554.79115,3,55675.14425,3,115290.4386,3
2018,06,00562,race-ethnicity,Hispanic,38116.44815,3,76652.170956,3,136939.072875,3
2018,06,00562,race-ethnicity,Other Races and Ethnicities,34266.052704,3,84348.214244,3,163812.5907,3
2018,06,00562,race-ethnicity,"White, Non-Hispanic",37079.3502,3,95512.575488,3,184299.936256,3
2018,06,00562,all,All,37079.3502,3,94420.6404,3,176278.878,3
2018,06,00884,race-ethnicity,"Black, Non-Hispanic",34796.71305,3,67016.60682616488,3,128578.71021952003,3
2018,06,00884,race-ethnicity,Hispanic,30576.265448,3,69802.3833,3,128663.319,3
2018,06,00884,race-ethnicity,Other Races and Ethnicities,19272.010175,3,59005.488784,3,134741.901,3
2018,06,00884,race-ethnicity,"White, Non-Hispanic",30392.91,3,74260.0101,3,173984.573675,3
2018,06,00884,all,All,25327.425,3,65851.305,3,137477.2629,3
2018,06,02000,race-ethnicity,"Black, Non-Hispanic",22788.155304,3,64842.31815199999,3,96244.215,3
2018,06,02000,race-ethnicity,Hispanic,30392.91,3,62253.850785,3,110370.331984,3
2018,06,02000,race-ethnicity,Other Races and Ethnicities,25895.539101,3,79021.566,3,147088.563129,3
2018,06,02000,race-ethnicity,"White, Non-Hispanic",31986.379744000005,3,81370.821675,3,154093.528336,3
2018,06,02000,all,All,32419.104,3,76995.372,3,144568.9419,3
2018,06,02252,race-ethnicity,"Black, Non-Hispanic",19700.5908,1,63675.38408,1,129479.717883,1
2018,06,02252,race-ethnicity,Hispanic,28899.78162,1,63887.652048,1,113342.083536,1
2018,06,02252,race-ethnicity,Other Races and Ethnicities,37290.627942,1,86598.322096,1,172545.2851629588,1
2018,06,02252,race-ethnicity,"White, Non-Hispanic",33191.30045,1,81124.76597500002,1,144540.580525,1
2018,06,02252,all,All,28366.716,1,79122.8757,1,137983.8114,1
2018,06,02364,race-ethnicity,"Black, Non-Hispanic",15393.929464,3,36564.59424,3,79814.068244,3
