year,state,county,pctl_20,pctl_50,pctl_80
2018,08,019,40523.88,102170.8,202619.4
2018,08,021,18235.75,40523.88,78616.33
2018,08,023,18235.75,40523.88,78616.33
2018,08,025,22693.37,51465.33,91583.97
2018,08,027,19248.84,52701.31,98270.41
2018,08,029,24314.33,51667.95,99374.68
2018,08,031,27657.55,67877.50,141631.0
2018,08,033,31102.08,60785.82,121571.6
2018,08,035,57270.37,119545.4,200795.8
2018,08,037,38497.69,81047.76,155713.0
2018,08,039,49641.75,101917.6,179622.1
2018,08,041,31203.39,66864.40,123597.8
2018,08,043,19248.84,52701.31,98270.41
2018,08,045,33533.51,75171.80,126637.1
2018,08,047,40523.88,102170.8,202619.4
2018,08,049,38497.69,81047.76,155713.0
2018,08,051,31102.08,60785.82,121571.6
2018,08,053,31102.08,60785.82,121571.6
2018,08,055,19248.84,52701.31,98270.41
2018,08,057,38497.69,81047.76,155713.0
2018,08,059,35509.05,83073.95,150748.8
2018,08,061,22693.37,51465.33,91583.97
2018,08,063,22693.37,51465.33,91583.97
2018,08,065,19248.84,52701.31,98270.41
2018,08,067,31102.08,60785.82,121571.6
2018,08,069,30595.53,70916.79,129777.7
2018,08,071,18235.75,40523.88,78616.33
2018,08,073,22693.37,51465.33,91583.97
2018,08,075,22693.37,51465.33,91583.97
2018,08,077,19856.70,49641.75,96244.21
2018,08,079,18235.75,40523.88,78616.33
2018,08,081,33533.51,75171.80,126637.1
2018,08,083,31102.08,60785.82,121571.6
2018,08,085,24314.33,51667.95,99374.68
2018,08,087,22693.37,51465.33,91583.97
2018,08,089,18235.75,40523.88,78616.33
2018,08,091,24314.33,51667.95,99374.68
2018,08,093,19248.84,52701.31,98270.41
2018,08,095,22693.37,51465.33,91583.97
2018,08,097,38497.69,81047.76,155713.0
2018,08,099,18235.75,40523.88,78616.33
2018,08,101,17425.27,47716.87,86721.10
2018,08,103,33533.51,75171.80,126637.1
2018,08,105,18235.75,40523.88,78616.33
2018,08,107,33533.51,75171.80,126637.1
2018,08,109,18235.75,40523.88,78616.33
2018,08,111,31102.08,60785.82,121571.6
2018,08,113,24314.33,51667.95,99374.68
2018,08,115,22693.37,51465.33,91583.97
2018,08,117,38497.69,81047.76,155713.0
2018,08,119,35458.39,61798.92,110630.2
2018,08,121,22693.37,51465.33,91583.97
2018,08,123,30392.91,73753.46,132715.7
2018,08,125,22693.37,51465.33,91583.97
2018,09,001,34141.37,91178.73,207229.0
2018,09,003,27353.62,73145.60,146899.1
2018,09,005,30291.60,75982.27,140820.5
2018,09,007,35458.39,88747.30,157030.0
2018,09,009,27252.31,67370.95,141833.6
2018,09,011,29683.74,67269.64,135755.0
2018,09,013,36268.87,91280.04,157718.9
2018,09,015,29379.81,65851.30,126333.2
2018,10,001,25327.42,55821.64,104349.0
2018,10,003,28366.72,68890.60,133931.4
2018,10,005,26340.52,60785.82,111440.7
2018,11,001,27049.69,85100.15,187422.9
2018,12,001,18235.75,50654.85,111440.7
2018,12,003,29379.81,60785.82,130689.5
2018,12,005,23706.47,50654.85,99283.51
2018,12,007,19755.39,44576.27,84087.05
2018,12,009,25327.42,57746.53,112555.1
2018,12,011,25124.81,57543.91,118927.5
2018,12,013,18235.75,45589.36,89152.54
2018,12,015,23199.92,52681.04,93610.16
2018,12,017,18337.06,40422.57,72942.98
2018,12,019,27860.17,61798.92,113365.6
2018,12,021,30595.53,72031.20,150951.5
2018,12,023,19755.39,44576.27,84087.05
2018,12,027,17729.20,35053.16,71322.03
2018,12,029,19755.39,44576.27,84087.05
2018,12,031,24314.33,56429.50,106780.4
2018,12,033,25124.81,50857.47,98878.27
2018,12,035,24314.33,57543.91,113466.9
2018,12,037,18235.75,45589.36,89152.54
2018,12,039,18235.75,45589.36,89152.54
2018,12,041,19755.39,44576.27,84087.05
2018,12,043,19248.84,42904.66,95231.12
2018,12,045,18235.75,45589.36,89152.54
2018,12,047,14993.84,35458.39,81068.02
2018,12,049,17729.20,35053.16,71322.03
2018,12,051,19248.84,42904.66,95231.12
2018,12,053,20667.18,46399.84,87835.51
2018,12,055,18235.75,35357.09,73348.22
2018,12,057,24314.33,58557.01,119545.4
2018,12,059,23706.47,50654.85,99283.51
2018,12,061,21882.90,56125.57,111440.7
2018,12,063,18235.75,45589.36,89152.54
2018,12,065,18235.75,45589.36,89152.54
2018,12,067,14993.84,35458.39,81068.02
2018,12,069,25327.42,54200.69,100499.2
2018,12,071,24314.33,56226.88,111592.6
2018,12,073,19147.53,50654.85,111440.7
2018,12,075,19755.39,44576.27,84087.05
2018,12,077,18235.75,45589.36,89152.54
2018,12,079,14993.84,35458.39,81068.02
2018,12,081,27961.48,60279.27,117924.5
2018,12,083,20464.56,44981.51,90530.35
2018,12,085,24314.33,60228.62,133627.5
2018,12,086,20261.94,51667.95,109515.8
2018,12,087,30392.91,68586.67,126637.1
2018,12,089,29379.81,60785.82,130689.5
2018,12,091,26340.52,61798.92,121571.6
2018,12,093,19248.84,42904.66,95231.12
2018,12,095,25327.42,58253.08,114581.3
2018,12,097,26239.21,53592.83,100701.8
2018,12,099,25327.42,62031.93,134741.9
2018,12,101,24314.33,52984.97,104855.5
2018,12,103,23301.23,52478.42,109414.5
2018,12,105,23909.09,52681.04,95231.12
2018,12,107,20261.94,46197.22,84087.05
2018,12,109,32419.10,76792.75,156016.9
2018,12,111,25732.66,54707.24,103335.9
2018,12,113,35964.94,70410.24,126333.2
2018,12,115,26340.52,60887.13,120558.5
2018,12,117,30798.15,69903.69,132107.8
2018,12,119,25226.12,53187.59,94724.57
2018,12,121,14993.84,35458.39,81068.02
2018,12,123,14993.84,35458.39,81068.02
2018,12,125,19755.39,44576.27,84087.05
2018,12,127,24010.40,50654.85,96244.21
2018,12,129,18235.75,45589.36,89152.54
2018,12,131,23706.47,50654.85,99283.51
2018,12,133,23706.47,50654.85,99283.51
2018,13,001,15196.45,42347.45,87126.34
2018,13,003,15196.45,37484.59,76995.37
2018,13,005,15196.45,37484.59,76995.37
2018,13,007,15804.31,37889.83,81047.76
2018,13,009,16412.17,45791.98,94369.99
2018,13,011,23301.23,50654.85,99080.89
2018,13,013,29582.43,66864.40,117114.0
2018,13,015,25327.42,55720.33,101309.7
2018,13,017,13170.26,37180.66,80845.14
2018,13,019,13170.26,37180.66,80845.14
2018,13,021,17020.03,40523.88,86721.10
2018,13,023,13170.26,36876.73,80034.66
2018,13,025,15196.45,37484.59,76995.37
2018,13,027,13170.26,37180.66,80845.14
2018,13,029,22389.44,53694.14,99283.51
2018,13,031,20261.94,47919.49,100499.2
2018,13,033,16310.86,40523.88,88645.99
2018,13,035,21072.42,45589.36,92232.35
2018,13,037,15804.31,37889.83,81047.76
2018,13,039,20768.49,53896.76,109921.0
2018,13,043,13170.26,36876.73,80034.66
2018,13,045,22288.13,50654.85,108705.3
2018,13,047,20565.87,47615.56,95231.12
2018,13,049,15196.45,37484.59,76995.37
2018,13,051,24516.95,54099.38,110427.6
2018,13,053,19248.84,47818.18,91583.97
2018,13,055,20565.87,47615.56,95231.12
2018,13,057,34951.85,83073.95,149978.9
2018,13,059,17222.65,42550.07,94724.57
2018,13,061,15196.45,39510.78,92597.07
2018,13,063,22592.06,46501.15,88139.44
2018,13,065,15196.45,37484.59,76995.37
2018,13,067,38244.41,79021.57,152977.6
2018,13,069,15196.45,37484.59,76995.37
2018,13,071,18438.37,40523.88,88139.44
2018,13,073,42144.84,80764.09,159056.2
2018,13,075,13170.26,37180.66,80845.14
2018,13,077,30392.91,68991.91,126637.1
2018,13,079,16412.17,45791.98,94369.99
2018,13,081,15196.45,39510.78,92597.07
2018,13,083,20565.87,47615.56,95231.12
2018,13,085,21680.28,51667.95,96750.76
2018,13,087,15804.31,37889.83,81047.76
2018,13,089,27657.55,62710.70,131702.6
2018,13,091,13170.26,36876.73,80034.66
