year,state,county,subgroup_type,subgroup,pctl_20,pctl_50,pctl_80,pctl_quality
2021,01,053,race-ethnicity,"Black, Non-Hispanic",10729.72,29661.92,65294.03,2
2021,01,053,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,053,race-ethnicity,Other Races and Ethnicities,17052.44,42499.83,134405.60,2
2021,01,053,race-ethnicity,"White, Non-Hispanic",20987.31,47376.68,100587.01,2
2021,01,055,all,All,19055.37,45823.04,94327.75,1
2021,01,055,race-ethnicity,"Black, Non-Hispanic",13164.45,33338.99,61795.67,1
2021,01,055,race-ethnicity,Hispanic,18999.23,35806.83,81787.40,3
2021,01,055,race-ethnicity,Other Races and Ethnicities,17984.62,31309.81,100564.06,3
2021,01,055,race-ethnicity,"White, Non-Hispanic",20117.60,50337.99,101704.37,1
2021,01,057,all,All,18466.60,45810.97,94486.49,2
2021,01,057,race-ethnicity,"Black, Non-Hispanic",9634.76,24116.38,47958.65,2
2021,01,057,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,057,race-ethnicity,Other Races and Ethnicities,12637.23,29513.54,59735.82,3
2021,01,057,race-ethnicity,"White, Non-Hispanic",19671.62,49287.37,98640.18,2
2021,01,059,all,All,20852.43,48504.71,96786.96,2
2021,01,059,race-ethnicity,"Black, Non-Hispanic",14428.52,32792.93,71168.02,2
2021,01,059,race-ethnicity,Hispanic,18956.85,36859.26,67392.71,3
2021,01,059,race-ethnicity,Other Races and Ethnicities,19568.63,38669.88,85261.23,3
2021,01,059,race-ethnicity,"White, Non-Hispanic",22518.10,52883.11,101561.20,2
2021,01,061,all,All,19568.63,49642.52,101447.90,2
2021,01,061,race-ethnicity,"Black, Non-Hispanic",13608.93,32647.52,68865.26,2
2021,01,061,race-ethnicity,Hispanic,23230.30,51076.16,104470.46,2
2021,01,061,race-ethnicity,Other Races and Ethnicities,13690.66,47891.65,87198.90,2
2021,01,061,race-ethnicity,"White, Non-Hispanic",23168.59,56646.03,109309.11,2
2021,01,063,all,All,13225.98,33699.95,80580.64,2
2021,01,063,race-ethnicity,"Black, Non-Hispanic",10281.76,24588.07,54868.32,2
2021,01,063,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,063,race-ethnicity,Other Races and Ethnicities,16993.81,33529.00,106082.58,3
2021,01,063,race-ethnicity,"White, Non-Hispanic",21534.38,55920.75,107122.85,2
2021,01,065,all,All,13225.98,33699.95,80580.64,2
2021,01,065,race-ethnicity,"Black, Non-Hispanic",10281.76,24588.07,54868.32,2
2021,01,065,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,065,race-ethnicity,Other Races and Ethnicities,16993.81,33529.00,106082.58,3
2021,01,065,race-ethnicity,"White, Non-Hispanic",21534.38,55920.75,107122.85,2
2021,01,067,all,All,19568.63,49642.52,101447.90,2
2021,01,067,race-ethnicity,"Black, Non-Hispanic",13608.93,32647.52,68865.26,2
2021,01,067,race-ethnicity,Hispanic,23230.30,51076.16,104470.46,2
2021,01,067,race-ethnicity,Other Races and Ethnicities,13690.66,47891.65,87198.90,2
2021,01,067,race-ethnicity,"White, Non-Hispanic",23168.59,56646.03,109309.11,2
2021,01,069,all,All,19568.63,49642.52,101447.90,2
2021,01,069,race-ethnicity,"Black, Non-Hispanic",13608.93,32647.52,68865.26,2
2021,01,069,race-ethnicity,Hispanic,23230.30,51076.16,104470.46,2
2021,01,069,race-ethnicity,Other Races and Ethnicities,13690.66,47891.65,87198.90,2
2021,01,069,race-ethnicity,"White, Non-Hispanic",23168.59,56646.03,109309.11,2
2021,01,071,all,All,19447.18,44705.67,89516.07,2
2021,01,071,race-ethnicity,"Black, Non-Hispanic",16395.96,29487.20,90030.18,3
2021,01,071,race-ethnicity,Hispanic,14007.02,24047.88,53646.61,3
2021,01,071,race-ethnicity,Other Races and Ethnicities,15412.24,41197.11,72422.36,2
2021,01,071,race-ethnicity,"White, Non-Hispanic",20186.58,47102.05,92763.44,2
2021,01,073,all,All,22352.33,57675.96,122426.69,1
2021,01,073,race-ethnicity,"Black, Non-Hispanic",15164.67,40064.19,83499.59,1
2021,01,073,race-ethnicity,Hispanic,19568.63,42392.75,94998.17,1
2021,01,073,race-ethnicity,Other Races and Ethnicities,23551.53,67772.13,160576.68,1
2021,01,073,race-ethnicity,"White, Non-Hispanic",34811.56,76755.86,152704.23,1
2021,01,075,all,All,18466.60,45810.97,94486.49,2
2021,01,075,race-ethnicity,"Black, Non-Hispanic",9634.76,24116.38,47958.65,2
2021,01,075,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,075,race-ethnicity,Other Races and Ethnicities,12637.23,29513.54,59735.82,3
2021,01,075,race-ethnicity,"White, Non-Hispanic",19671.62,49287.37,98640.18,2
2021,01,077,all,All,20852.43,48504.71,96786.96,2
2021,01,077,race-ethnicity,"Black, Non-Hispanic",14428.52,32792.93,71168.02,2
2021,01,077,race-ethnicity,Hispanic,18956.85,36859.26,67392.71,3
2021,01,077,race-ethnicity,Other Races and Ethnicities,19568.63,38669.88,85261.23,3
2021,01,077,race-ethnicity,"White, Non-Hispanic",22518.10,52883.11,101561.20,2
2021,01,079,all,All,24622.28,55881.33,110583.60,2
2021,01,079,race-ethnicity,"Black, Non-Hispanic",19053.66,37468.29,85484.02,2
2021,01,079,race-ethnicity,Hispanic,20117.60,46716.93,95730.04,3
2021,01,079,race-ethnicity,Other Races and Ethnicities,21195.87,50023.71,103206.73,2
2021,01,079,race-ethnicity,"White, Non-Hispanic",26327.90,59735.82,116568.85,2
2021,01,081,all,All,17489.09,54998.15,117423.62,1
2021,01,081,race-ethnicity,"Black, Non-Hispanic",10931.31,30588.86,75998.94,1
2021,01,081,race-ethnicity,Hispanic,22352.33,37280.83,101657.19,3
2021,01,081,race-ethnicity,Other Races and Ethnicities,21410.02,63188.16,126375.33,1
2021,01,081,race-ethnicity,"White, Non-Hispanic",20009.28,66275.34,130388.50,1
2021,01,083,all,All,34015.88,77299.40,143225.31,2
2021,01,083,race-ethnicity,"Black, Non-Hispanic",31383.79,72645.84,136918.08,2
2021,01,083,race-ethnicity,Hispanic,23551.53,51410.87,98378.81,3
2021,01,083,race-ethnicity,Other Races and Ethnicities,27917.91,75998.94,133466.41,2
2021,01,083,race-ethnicity,"White, Non-Hispanic",36543.33,79795.57,150175.72,2
2021,01,085,all,All,26120.32,63061.39,116009.66,2
2021,01,085,race-ethnicity,"Black, Non-Hispanic",17128.01,42469.93,88573.80,2
2021,01,085,race-ethnicity,Hispanic,29058.53,50719.68,84250.89,3
2021,01,085,race-ethnicity,Other Races and Ethnicities,24704.37,49286.20,98873.08,3
2021,01,085,race-ethnicity,"White, Non-Hispanic",34256.03,73236.78,125322.90,2
2021,01,087,all,All,15302.83,40458.68,86354.36,2
2021,01,087,race-ethnicity,"Black, Non-Hispanic",11123.22,28748.65,70653.58,2
2021,01,087,race-ethnicity,Hispanic,4282.00,39116.83,101035.93,3
2021,01,087,race-ethnicity,Other Races and Ethnicities,16614.79,51496.39,175242.98,3
2021,01,087,race-ethnicity,"White, Non-Hispanic",22352.33,53144.28,100047.43,2
2021,01,089,all,All,27907.55,67058.00,139658.23,1
2021,01,089,race-ethnicity,"Black, Non-Hispanic",16764.50,42742.01,100731.61,1
2021,01,089,race-ethnicity,Hispanic,20117.60,45472.85,99903.01,1
2021,01,089,race-ethnicity,Other Races and Ethnicities,26822.79,74463.79,143159.99,1
2021,01,089,race-ethnicity,"White, Non-Hispanic",34979.20,79576.74,154489.19,1
2021,01,091,all,All,13225.98,33699.95,80580.64,2
2021,01,091,race-ethnicity,"Black, Non-Hispanic",10281.76,24588.07,54868.32,2
2021,01,091,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,091,race-ethnicity,Other Races and Ethnicities,16993.81,33529.00,106082.58,3
2021,01,091,race-ethnicity,"White, Non-Hispanic",21534.38,55920.75,107122.85,2
2021,01,093,all,All,18956.85,46604.68,94753.37,2
2021,01,093,race-ethnicity,"Black, Non-Hispanic",10712.48,29066.63,54654.55,2
2021,01,093,race-ethnicity,Hispanic,17406.81,27381.98,53097.26,2
2021,01,093,race-ethnicity,Other Races and Ethnicities,13187.92,29513.54,61469.16,2
2021,01,093,race-ethnicity,"White, Non-Hispanic",20430.86,50628.21,98889.35,2
2021,01,095,all,All,24588.07,61469.16,125814.49,1
2021,01,095,race-ethnicity,"Black, Non-Hispanic",21410.02,62918.38,84671.46,1
2021,01,095,race-ethnicity,Hispanic,21062.72,47723.06,96345.60,1
2021,01,095,race-ethnicity,Other Races and Ethnicities,23695.81,69411.32,147279.70,1
2021,01,095,race-ethnicity,"White, Non-Hispanic",25469.25,62364.07,128639.41,1
2021,01,097,all,All,20331.84,51385.06,101962.87,1
2021,01,097,race-ethnicity,"Black, Non-Hispanic",14987.52,36562.44,72902.16,1
2021,01,097,race-ethnicity,Hispanic,18999.23,39137.26,90304.23,1
2021,01,097,race-ethnicity,Other Races and Ethnicities,20598.55,52656.80,97941.56,1
2021,01,097,race-ethnicity,"White, Non-Hispanic",27941.17,63188.16,120501.57,1
2021,01,099,all,All,15242.93,39116.83,86504.18,2
2021,01,099,race-ethnicity,"Black, Non-Hispanic",10729.72,29661.92,65294.03,2
2021,01,099,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,099,race-ethnicity,Other Races and Ethnicities,17052.44,42499.83,134405.60,2
2021,01,099,race-ethnicity,"White, Non-Hispanic",20987.31,47376.68,100587.01,2
2021,01,101,all,All,20331.84,51908.37,105593.07,1
2021,01,101,race-ethnicity,"Black, Non-Hispanic",15164.67,40679.54,76935.62,1
2021,01,101,race-ethnicity,Hispanic,25748.19,43723.24,104048.88,1
2021,01,101,race-ethnicity,Other Races and Ethnicities,23168.59,67662.72,143983.93,1
2021,01,101,race-ethnicity,"White, Non-Hispanic",31794.31,71248.07,133139.18,1
2021,01,103,all,All,24622.28,55881.33,110583.60,1
2021,01,103,race-ethnicity,"Black, Non-Hispanic",19053.66,37468.29,85484.02,1
2021,01,103,race-ethnicity,Hispanic,20117.60,46716.93,95730.04,3
2021,01,103,race-ethnicity,Other Races and Ethnicities,21195.87,50023.71,103206.73,1
2021,01,103,race-ethnicity,"White, Non-Hispanic",26327.90,59735.82,116568.85,1
2021,01,105,all,All,13225.98,33699.95,80580.64,2
2021,01,105,race-ethnicity,"Black, Non-Hispanic",10281.76,24588.07,54868.32,2
2021,01,105,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,105,race-ethnicity,Other Races and Ethnicities,16993.81,33529.00,106082.58,3
2021,01,105,race-ethnicity,"White, Non-Hispanic",21534.38,55920.75,107122.85,2
2021,01,107,all,All,31515.79,67989.95,125174.07,2
2021,01,107,race-ethnicity,"Black, Non-Hispanic",17903.41,45213.83,97843.15,2
2021,01,107,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,107,race-ethnicity,Other Races and Ethnicities,37999.47,72517.23,120398.58,3
2021,01,107,race-ethnicity,"White, Non-Hispanic",35635.50,74978.75,129969.20,2
2021,01,109,all,All,15302.83,40458.68,86354.36,2
2021,01,109,race-ethnicity,"Black, Non-Hispanic",11123.22,28748.65,70653.58,2
2021,01,109,race-ethnicity,Hispanic,4282.00,39116.83,101035.93,3
2021,01,109,race-ethnicity,Other Races and Ethnicities,16614.79,51496.39,175242.98,3
2021,01,109,race-ethnicity,"White, Non-Hispanic",22352.33,53144.28,100047.43,2
2021,01,111,all,All,18364.40,44929.14,90993.86,2
2021,01,111,race-ethnicity,"Black, Non-Hispanic",13796.31,33082.05,67357.29,2
2021,01,111,race-ethnicity,Hispanic,4372.52,37077.40,86513.95,3
2021,01,111,race-ethnicity,Other Races and Ethnicities,11268.86,44705.67,73845.83,3
2021,01,111,race-ethnicity,"White, Non-Hispanic",19686.50,50293.50,100047.43,2
2021,01,113,all,All,15302.83,40458.68,86354.36,2
2021,01,113,race-ethnicity,"Black, Non-Hispanic",11123.22,28748.65,70653.58,2
2021,01,113,race-ethnicity,Hispanic,4282.00,39116.83,101035.93,3
2021,01,113,race-ethnicity,Other Races and Ethnicities,16614.79,51496.39,175242.98,3
2021,01,113,race-ethnicity,"White, Non-Hispanic",22352.33,53144.28,100047.43,2
2021,01,115,all,All,25359.84,58117.07,108121.88,2
2021,01,115,race-ethnicity,"Black, Non-Hispanic",27941.17,51919.30,90527.70,3
2021,01,115,race-ethnicity,Hispanic,11149.13,43177.87,80288.34,3
2021,01,115,race-ethnicity,Other Races and Ethnicities,26822.79,68979.56,116999.82,3
2021,01,115,race-ethnicity,"White, Non-Hispanic",25542.21,59355.32,108871.40,2
2021,01,117,all,All,37468.29,82394.23,152429.34,1
2021,01,117,race-ethnicity,"Black, Non-Hispanic",32115.53,65492.68,137025.15,1
2021,01,117,race-ethnicity,Hispanic,31852.45,69211.16,126902.55,1
2021,01,117,race-ethnicity,Other Races and Ethnicities,35806.83,100564.0,162056.18,1
2021,01,117,race-ethnicity,"White, Non-Hispanic",39351.72,86711.85,157969.41,1
2021,01,119,all,All,13225.98,33699.95,80580.64,2
2021,01,119,race-ethnicity,"Black, Non-Hispanic",10281.76,24588.07,54868.32,2
2021,01,119,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,119,race-ethnicity,Other Races and Ethnicities,16993.81,33529.00,106082.58,3
2021,01,119,race-ethnicity,"White, Non-Hispanic",21534.38,55920.75,107122.85,2
2021,01,121,all,All,18364.40,44929.14,90993.86,2
2021,01,121,race-ethnicity,"Black, Non-Hispanic",13796.31,33082.05,67357.29,2
2021,01,121,race-ethnicity,Hispanic,4372.52,37077.40,86513.95,3
2021,01,121,race-ethnicity,Other Races and Ethnicities,11268.86,44705.67,73845.83,3
2021,01,121,race-ethnicity,"White, Non-Hispanic",19686.50,50293.50,100047.43,2
2021,01,123,all,All,20341.07,50829.10,93990.96,2
2021,01,123,race-ethnicity,"Black, Non-Hispanic",15194.42,30175.90,70980.79,2
2021,01,123,race-ethnicity,Hispanic,32792.93,54596.31,98596.62,3
2021,01,123,race-ethnicity,Other Races and Ethnicities,25954.18,56132.04,71051.53,3
2021,01,123,race-ethnicity,"White, Non-Hispanic",23688.34,55822.09,103939.10,2
2021,01,125,all,All,21800.23,54763.97,112864.51,1
2021,01,125,race-ethnicity,"Black, Non-Hispanic",15270.32,37077.40,74566.78,1
2021,01,125,race-ethnicity,Hispanic,34399.59,67058.00,103843.45,3
2021,01,125,race-ethnicity,Other Races and Ethnicities,18691.63,51385.06,99903.01,1
2021,01,125,race-ethnicity,"White, Non-Hispanic",26855.12,68865.26,129534.64,1
2021,01,127,all,All,18466.60,45810.97,94486.49,2
2021,01,127,race-ethnicity,"Black, Non-Hispanic",9634.76,24409.29,47958.65,2
2021,01,127,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,127,race-ethnicity,Other Races and Ethnicities,12637.23,29513.54,59735.82,3
2021,01,127,race-ethnicity,"White, Non-Hispanic",19671.62,49287.37,98640.18,2
2021,01,129,all,All,15242.93,39116.83,86504.18,2
2021,01,129,race-ethnicity,"Black, Non-Hispanic",10729.72,29661.92,65294.03,2
2021,01,129,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,129,race-ethnicity,Other Races and Ethnicities,17052.44,42499.83,134405.60,2
2021,01,129,race-ethnicity,"White, Non-Hispanic",20987.31,47376.68,100587.01,2
2021,01,131,all,All,15242.93,39116.83,86504.18,2
2021,01,131,race-ethnicity,"Black, Non-Hispanic",10729.72,29661.92,65294.03,2
2021,01,131,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,131,race-ethnicity,Other Races and Ethnicities,17052.44,42499.83,134405.60,2
2021,01,131,race-ethnicity,"White, Non-Hispanic",20987.31,47376.68,100587.01,2
2021,01,133,all,All,22480.77,51397.45,97843.15,2
2021,01,133,race-ethnicity,"Black, Non-Hispanic",9723.59,51746.58,115400.98,3
2021,01,133,race-ethnicity,Hispanic,30622.84,54998.15,93002.49,3
2021,01,133,race-ethnicity,Other Races and Ethnicities,22627.52,53525.56,90118.69,3
2021,01,133,race-ethnicity,"White, Non-Hispanic",22040.45,51397.45,98255.13,2
2021,02,013,all,All,28220.26,67728.42,124396.23,2
2021,02,013,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,013,race-ethnicity,Hispanic,52516.02,72795.08,104012.42,3
2021,02,013,race-ethnicity,Other Races and Ethnicities,21945.40,56308.51,107068.73,2
2021,02,013,race-ethnicity,"White, Non-Hispanic",44442.60,89516.07,154234.90,2
2021,02,016,all,All,28220.26,67728.42,124396.23,2
2021,02,016,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,02,016,race-ethnicity,Hispanic,52516.02,72795.08,104012.42,3
2021,02,016,race-ethnicity,Other Races and Ethnicities,21945.40,56308.51,107068.73,2
2021,02,016,race-ethnicity,"White, Non-Hispanic",44442.60,89516.07,154234.90,2
2021,02,020,all,All,42805.65,88209.90,164962.33,1
2021,02,020,race-ethnicity,"Black, Non-Hispanic",31594.08,66979.33,105548.91,3
2021,02,020,race-ethnicity,Hispanic,34541.54,68979.56,126907.62,1
2021,02,020,race-ethnicity,Other Races and Ethnicities,34760.37,79128.57,145515.15,1
2021,02,020,race-ethnicity,"White, Non-Hispanic",48172.80,98487.21,175988.11,1
