year,state,county,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality
2021,02,275,NA,NA,0.9495837187789085,2,0.620259019426457,1,0.4315448658649399,1
2021,02,282,NA,NA,0.8879003558718861,2,0.4483985765124555,1,0.6957295373665481,2
2021,02,290,NA,NA,0.9689521405682757,2,0.2145666835919256,1,0.6923794745998461,1
2021,04,001,0.9548256071146858,2,0.761999620580971,1,0.06247903681627374,1,0.3510091148076928,1
2021,04,003,0.9122838649079134,1,0.46678246900181536,1,0.8910492070064912,1,0.36370055931853246,1
2021,04,005,0.9659601842028284,1,0.7774935590090999,1,0.38569772988917067,1,0.3327253259656616,1
2021,04,007,0.9803800717689247,2,0.6409812003875953,1,0.2537271411728716,1,0.2214314418931236,1
2021,04,009,0.9464466150499629,1,0.5993947628818839,1,0.23686297297459125,1,0.39407464415989435,1
2021,04,011,0.9544392114965798,1,0.4905732854515421,1,0.932496141729699,1,0.5252824724369803,1
2021,04,012,0.9806170234031071,3,0.5865848199354182,1,0.7067035141343809,1,0.2635820337492132,1
2021,04,013,0.8901007579649218,1,0.5101702718123681,1,0.8533512032397879,1,0.34885745446087957,1
2021,04,015,0.9695826643050052,1,0.7697938570218575,1,0.8427998606542302,1,0.2210764415132145,1
2021,04,017,0.9601244722563436,1,0.7651409245923094,1,0.1706879149332338,1,0.27874637973083233,1
2021,04,019,0.9361615389402376,1,0.46617730408452634,1,0.8085041921479702,1,0.3804650714785775,1
2021,04,021,0.8830485248189166,1,0.6118048688363139,1,0.7582187112168323,1,0.3698781470518711,1
2021,04,023,0.9874674422205917,3,0.10898402688456456,1,0.9156864958969896,2,0.5290359985043002,1
2021,04,025,0.9715127824344394,1,0.7789176588488562,1,0.9311153079634736,1,0.19201475482331937,1
2021,04,027,0.944333950369809,1,0.24690914081886997,1,0.9178189990471814,1,0.5095596254940751,1
2021,05,001,0.5760710160911876,1,0.9406876117993542,2,0.977370024928684,2,0.2561294355206378,1
2021,05,003,0.6949780433173807,1,0.920234924356116,2,0.9790557667430213,2,0.3023873383958698,1
2021,05,005,0.9904739537930645,2,0.9569492404346471,1,0.9291237890097761,1,0.07143226151073812,1
2021,05,007,0.952704548843791,1,0.6850027944533993,1,0.8197282326145717,1,0.28283704873383125,1
2021,05,009,0.9949578379243998,2,0.9656789470841345,1,0.9609037134061745,1,0.06607997295046597,1
2021,05,011,0.6993645209907663,1,0.7705542978705497,1,0.9425157827633834,2,0.42377889909915256,1
2021,05,013,0.7662859219663549,1,0.9169118261300486,1,0.9854500088952144,3,0.27978077247569816,1
2021,05,015,0.9921079306440308,3,0.6965117142027926,1,0.8671872293868197,1,0.2032148938340377,1
2021,05,017,0.32032944840014077,1,0.8927186674579475,2,0.9802143926708384,2,0.4739530242831675,1
2021,05,019,0.7134742241601038,1,0.941044688430485,1,0.9657800023587699,1,0.302437992392564,1
2021,05,021,0.9802241957846345,3,0.9797321101173395,3,0.9260964958796076,2,0.053927974089471364,1
2021,05,023,0.9941369554786336,3,0.949235456347477,2,0.9511620272934809,1,0.0657470840833313,1
2021,05,025,0.8541821103655857,1,NA,NA,0.9870504866014703,3,0.15819319223462097,1
2021,05,027,0.5140084004543508,1,0.9360682731949352,2,0.9638581925149848,2,0.3338081110450338,1
2021,05,029,0.8400185561027206,1,0.9423155950613193,2,0.9461177115912011,1,0.1763058108088892,1
2021,05,031,0.7495987667011236,1,0.9047028498516324,1,0.9230361168827123,1,0.2260769542191551,1
2021,05,033,0.9717537325108379,2,0.8382307088449968,1,0.9067636141041351,1,0.15360821611849299,1
