year,state_name,county_name,total_people,total_nonhisp,asian_other,black_nonhispanic,total_hispanic,white_nonhispanic,total_people_quality,total_nonhisp_quality,asian_other_quality,black_nonhispanic_quality,total_hispanic_quality,white_nonhispanic_quality
2020,Minnesota,Watonwan County,11223,8231,0.02681992337164751,0.003296801211797202,0.2665953844783035,0.7032878909382518,1,1,1,1,1,1
2020,Minnesota,Wilkin County,6495,6263,0.03648960739030023,0.0023094688221709007,0.035719784449576596,0.9254811393379523,1,1,1,1,1,1
2020,Minnesota,Winona County,49889,48350,0.051634628876104954,0.01030287237667622,0.03084848363366674,0.907214015113552,1,1,1,1,1,1
2020,Minnesota,Wright County,139890,135389,0.04156837515190507,0.01640574737293588,0.032175280577596686,0.9098505968975624,1,1,1,1,1,1
2020,Minnesota,Yellow Medicine County,9616,9146,0.05418053244592346,0.007383527454242929,0.048876871880199665,0.8895590682196339,1,1,1,1,1,1
2020,Mississippi,Adams County,29927,27010,0.02202024927323153,0.520633541617937,0.09747051157817356,0.35987569753065796,1,1,1,1,1,1
2020,Mississippi,Alcorn County,34964,33777,0.04996567898409793,0.10367806887083858,0.033949204896464934,0.8124070472485986,1,1,1,1,1,1
2020,Mississippi,Amite County,12718,12710,0.015725743041358705,0.40831891806887877,6.290297216543482e-4,0.5753263091681082,1,1,1,1,1,1
2020,Mississippi,Attala County,18025,17632,0.019195561719833564,0.4295700416088766,0.021803051317614425,0.5294313453536754,1,1,1,1,1,1
2020,Mississippi,Benton County,7687,7470,0.04943410953557955,0.31845973721868087,0.028229478340054636,0.603876674905685,1,1,1,1,1,1
2020,Mississippi,Bolivar County,31301,30592,0.039775087057921474,0.6347081562889365,0.022651033513306284,0.3028657231398358,1,1,1,1,1,1
2020,Mississippi,Calhoun County,13420,12601,0.015797317436661698,0.2836810730253353,0.061028315946348735,0.6394932935916543,1,1,1,1,1,1
2020,Mississippi,Carroll County,10053,10037,0.001193673530289466,0.35491892967273453,0.001591564707052621,0.6422958320899234,1,1,1,1,1,1
2020,Mississippi,Chickasaw County,17100,16258,0.0160233918128655,0.4435087719298246,0.04923976608187135,0.49122807017543857,1,1,1,1,1,1
2020,Mississippi,Choctaw County,8264,8207,0.020934172313649566,0.29888673765730883,0.006897386253630203,0.6732817037754114,1,1,1,1,1,1
2020,Mississippi,Claiborne County,9115,9096,0.020186505759736698,0.8699945145364784,0.0020844761382336806,0.1077345035655513,1,1,1,1,1,1
2020,Mississippi,Clarke County,15678,15487,0.008865926776374537,0.34691924990432454,0.01218267636178084,0.6320321469575201,1,1,1,1,1,1
2020,Mississippi,Clay County,18768,18744,0.015505115089514066,0.5999040920716112,0.0012787723785166241,0.38331202046035806,1,1,1,1,1,1
2020,Mississippi,Coahoma County,21839,21457,0.02912221255551994,0.7534227757681212,0.017491643390265123,0.19996336828609368,1,1,1,1,1,1
2020,Mississippi,Copiah County,28453,27468,0.021087407303272063,0.513091765367448,0.03461849365620497,0.4312023336730749,1,1,1,1,1,1
2020,Mississippi,Covington County,18491,18032,0.013357849764750419,0.3608782651019415,0.024822886809799362,0.6009409983235088,1,1,1,1,1,1
2020,Mississippi,DeSoto County,183220,173774,0.041976858421569695,0.2934232070734636,0.05155550704071608,0.6130444274642506,1,1,1,1,1,1
2020,Mississippi,Forrest County,77743,75326,0.034588323064455966,0.36614228933794685,0.031089615785344017,0.5681797718122532,1,1,1,1,1,1
2020,Mississippi,Franklin County,7705,7703,0.018040233614536015,0.35794938351719663,2.5957170668397143e-4,0.6237508111615834,1,1,1,1,1,1
