year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,081,all,All,0.24327137546468403,1
2014,01,081,race-ethnicity,Black,0.20486046941415634,1
2014,01,081,race-ethnicity,Hispanic,0.29900332225913623,2
2014,01,081,race-ethnicity,Other Races and Ethnicities,0.20616113744075829,1
2014,01,081,race-ethnicity,"White, Non-Hispanic",0.2620668784990165,1
2014,01,083,all,All,0,1
2014,01,083,race-ethnicity,Black,0,1
2014,01,083,race-ethnicity,Hispanic,0,2
2014,01,083,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,083,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,085,all,All,0.2334913112164297,1
2014,01,085,race-ethnicity,Black,0.23719412724306688,1
2014,01,085,race-ethnicity,Hispanic,0,3
2014,01,085,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,085,race-ethnicity,"White, Non-Hispanic",0.15,2
2014,01,087,all,All,0.039049586776859505,1
2014,01,087,race-ethnicity,Black,0.038130667286677515,1
2014,01,087,race-ethnicity,Hispanic,0.25,3
2014,01,087,race-ethnicity,Other Races and Ethnicities,0.2835820895522388,3
2014,01,087,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,089,all,All,0.15440472212941309,1
2014,01,089,race-ethnicity,Black,0.19693688935833115,1
2014,01,089,race-ethnicity,Hispanic,0.3608886592611728,1
2014,01,089,race-ethnicity,Other Races and Ethnicities,0.16412930135557874,1
2014,01,089,race-ethnicity,"White, Non-Hispanic",0.07846931097495431,1
2014,01,091,all,All,0.35199841709537,1
2014,01,091,race-ethnicity,Black,0.37691169215589543,1
2014,01,091,race-ethnicity,Hispanic,0.297029702970297,3
2014,01,091,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,091,race-ethnicity,"White, Non-Hispanic",0.2410032715376227,2
2014,01,093,all,All,0,1
2014,01,093,race-ethnicity,Black,0,3
2014,01,093,race-ethnicity,Hispanic,0,3
2014,01,093,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,093,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,095,all,All,0,1
2014,01,095,race-ethnicity,Black,0,2
2014,01,095,race-ethnicity,Hispanic,0,1
2014,01,095,race-ethnicity,Other Races and Ethnicities,0,1
2014,01,095,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,097,all,All,0.21741779833855643,1
2014,01,097,race-ethnicity,Black,0.3639401934916447,1
2014,01,097,race-ethnicity,Hispanic,0.09223744292237443,1
2014,01,097,race-ethnicity,Other Races and Ethnicities,0.04085106382978723,1
2014,01,097,race-ethnicity,"White, Non-Hispanic",0.0233847637415622,1
2014,01,099,all,All,0.10514162561576355,1
2014,01,099,race-ethnicity,Black,0.12951945080091534,1
2014,01,099,race-ethnicity,Hispanic,0,3
2014,01,099,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,099,race-ethnicity,"White, Non-Hispanic",0.056195965417867436,1
2014,01,101,all,All,0.3209264024704066,1
2014,01,101,race-ethnicity,Black,0.33646706906682333,1
2014,01,101,race-ethnicity,Hispanic,0.5330564209068882,1
2014,01,101,race-ethnicity,Other Races and Ethnicities,0.3753957485300769,1
2014,01,101,race-ethnicity,"White, Non-Hispanic",0.16395068726087572,1
2014,01,103,all,All,0.0657408444394669,1
2014,01,103,race-ethnicity,Black,0.1772771792360431,1
2014,01,103,race-ethnicity,Hispanic,0.10918955578162089,2
2014,01,103,race-ethnicity,Other Races and Ethnicities,0.11855273287143957,1
2014,01,103,race-ethnicity,"White, Non-Hispanic",0.012997562956945572,1
2014,01,105,all,All,0.43208828522920206,1
2014,01,105,race-ethnicity,Black,0.4645820038289726,1
2014,01,105,race-ethnicity,Hispanic,NA,NA
2014,01,105,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,105,race-ethnicity,"White, Non-Hispanic",0.1775,2
2014,01,107,all,All,0,1
2014,01,107,race-ethnicity,Black,0,1
2014,01,107,race-ethnicity,Hispanic,NA,NA
2014,01,107,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,107,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,109,all,All,0.259368025372959,1
2014,01,109,race-ethnicity,Black,0.15657573741406078,1
2014,01,109,race-ethnicity,Hispanic,0,3
2014,01,109,race-ethnicity,Other Races and Ethnicities,0.44293015332197616,2
2014,01,109,race-ethnicity,"White, Non-Hispanic",0.3705250596658711,1
2014,01,111,all,All,0,1
2014,01,111,race-ethnicity,Black,0,1
2014,01,111,race-ethnicity,Hispanic,0,3
2014,01,111,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,111,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,113,all,All,0.22259805105903196,1
2014,01,113,race-ethnicity,Black,0.3309992706053975,1
