year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,06,44000,race-ethnicity,Hispanic,NA,NA
2014,06,44000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,44000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,45484,all,All,NA,NA
2014,06,45484,race-ethnicity,Black,NA,NA
2014,06,45484,race-ethnicity,Hispanic,NA,NA
2014,06,45484,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,45484,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,46842,all,All,NA,NA
2014,06,46842,race-ethnicity,Black,NA,NA
2014,06,46842,race-ethnicity,Hispanic,NA,NA
2014,06,46842,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,46842,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,46898,all,All,NA,NA
2014,06,46898,race-ethnicity,Black,NA,NA
2014,06,46898,race-ethnicity,Hispanic,NA,NA
2014,06,46898,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,46898,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,47766,all,All,NA,NA
2014,06,47766,race-ethnicity,Black,NA,NA
2014,06,47766,race-ethnicity,Hispanic,NA,NA
2014,06,47766,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,47766,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,48256,all,All,NA,NA
2014,06,48256,race-ethnicity,Black,NA,NA
2014,06,48256,race-ethnicity,Hispanic,NA,NA
2014,06,48256,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,48256,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,48354,all,All,NA,NA
2014,06,48354,race-ethnicity,Black,NA,NA
2014,06,48354,race-ethnicity,Hispanic,NA,NA
2014,06,48354,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,48354,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,49270,all,All,NA,NA
2014,06,49270,race-ethnicity,Black,NA,NA
2014,06,49270,race-ethnicity,Hispanic,NA,NA
2014,06,49270,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,49270,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,49670,all,All,NA,NA
2014,06,49670,race-ethnicity,Black,NA,NA
2014,06,49670,race-ethnicity,Hispanic,NA,NA
2014,06,49670,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,49670,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,50076,all,All,NA,NA
2014,06,50076,race-ethnicity,Black,NA,NA
2014,06,50076,race-ethnicity,Hispanic,NA,NA
2014,06,50076,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,50076,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,50258,all,All,NA,NA
2014,06,50258,race-ethnicity,Black,NA,NA
2014,06,50258,race-ethnicity,Hispanic,NA,NA
2014,06,50258,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,50258,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,51182,all,All,NA,NA
2014,06,51182,race-ethnicity,Black,NA,NA
2014,06,51182,race-ethnicity,Hispanic,NA,NA
2014,06,51182,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,51182,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,52526,all,All,NA,NA
2014,06,52526,race-ethnicity,Black,NA,NA
2014,06,52526,race-ethnicity,Hispanic,NA,NA
2014,06,52526,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,52526,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,53000,all,All,NA,NA
2014,06,53000,race-ethnicity,Black,NA,NA
2014,06,53000,race-ethnicity,Hispanic,NA,NA
2014,06,53000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,53000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,53322,all,All,NA,NA
2014,06,53322,race-ethnicity,Black,NA,NA
2014,06,53322,race-ethnicity,Hispanic,NA,NA
2014,06,53322,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,53322,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,53896,all,All,NA,NA
2014,06,53896,race-ethnicity,Black,NA,NA
2014,06,53896,race-ethnicity,Hispanic,NA,NA
