year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2016,06,43000,0.15295382706825159,1
2018,06,43000,0.05382265543967961,1
2021,06,43000,9.165072770036239e-4,1
2023,06,43000,0.016648938561599165,1
2014,06,44000,0.2357018706983839,1
2016,06,44000,0.18362700816509875,1
2018,06,44000,0.1366044008974026,1
2021,06,44000,0.07672192535232289,1
2023,06,44000,0.07709102335628393,1
2014,06,45484,0,1
2016,06,45484,0,1
2018,06,45484,0,1
2021,06,45484,0,1
2023,06,45484,0,1
2014,06,46842,0,1
2016,06,46842,0,1
2018,06,46842,0,1
2021,06,46842,0,1
2023,06,46842,0,1
2014,06,46898,0.29901035126578923,1
2016,06,46898,0.3645823281682134,1
2018,06,46898,0.25092199842318336,1
2021,06,46898,0.24566779616813958,1
2023,06,46898,0.11290739366428963,1
2014,06,47766,0,1
2016,06,47766,0,1
2018,06,47766,0,1
2021,06,47766,0,1
2023,06,47766,0,1
2014,06,48256,0,1
2016,06,48256,0,1
2018,06,48256,0,1
2021,06,48256,0,1
2023,06,48256,0,1
2014,06,48354,0.12071198535163806,1
2016,06,48354,0.08754647059146081,1
2018,06,48354,0.086700828870512,1
2021,06,48354,0.08430248253021705,1
2023,06,48354,0.0037035557683654232,1
2014,06,49270,0.08490644732153761,1
2016,06,49270,0.04905220999078413,1
2018,06,49270,0,1
2021,06,49270,0,1
2023,06,49270,0,1
2014,06,49670,0,1
2016,06,49670,0,1
2018,06,49670,0,1
2021,06,49670,0,1
2023,06,49670,0,1
2014,06,50076,0,1
2016,06,50076,0,1
2018,06,50076,0,1
2021,06,50076,0,1
2023,06,50076,0,1
2014,06,50258,1.1516088794591572e-4,1
2016,06,50258,3.158085449254409e-5,1
2018,06,50258,2.8121222078008453e-5,1
2021,06,50258,0.006163433549056238,1
2023,06,50258,0.004234434258921148,1
2014,06,51182,0,1
2016,06,51182,0,1
2018,06,51182,0,1
2021,06,51182,0,1
2023,06,51182,0,1
2014,06,52526,0.025124400515248873,1
2016,06,52526,0.050472201832328936,1
2018,06,52526,0.07582618199654013,1
2021,06,52526,0,1
2023,06,52526,0,1
2014,06,53000,0.14265684751703192,1
2016,06,53000,0.06258060577511626,1
2018,06,53000,0.030106586179565763,1
2021,06,53000,0.010287400931218266,1
2023,06,53000,0.01235293040074204,1
2014,06,53322,0,1
2016,06,53322,0,1
2018,06,53322,0,1
2021,06,53322,0,1
2023,06,53322,0,1
2014,06,53896,0.08446751741638855,1
2016,06,53896,0,1
2018,06,53896,0,1
2021,06,53896,0,1
2023,06,53896,0,1
2014,06,53980,0,1
2016,06,53980,0,1
2018,06,53980,0,1
2021,06,53980,0,1
2023,06,53980,0,1
2014,06,54652,0,1
2016,06,54652,0,1
2018,06,54652,0.016464890971395738,1
2021,06,54652,0,1
2023,06,54652,0,1
2014,06,55156,0.20755328897087902,1
2016,06,55156,0.21340943316865754,1
2018,06,55156,0.1947774173702966,1
2021,06,55156,0,1
2023,06,55156,0,1
2014,06,56000,0,1
2016,06,56000,0,1
2018,06,56000,0,1
2021,06,56000,0.08384036967537978,1
2023,06,56000,0,1
2014,06,56700,0,1
2016,06,56700,0.045387585776378886,1
2018,06,56700,0,1
2021,06,56700,0,1
2023,06,56700,0,1
2014,06,57456,0,1
