year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,06,19766,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,19766,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,21712,all,All,0.25219662253460223,1
2014,06,21712,race-ethnicity,Black,0.2830548742962435,2
2014,06,21712,race-ethnicity,Hispanic,0.2296930824345406,1
2014,06,21712,race-ethnicity,Other Races and Ethnicities,0.2902432563387286,1
2014,06,21712,race-ethnicity,"White, Non-Hispanic",0.26114548316121267,1
2014,06,22020,all,All,0,1
2014,06,22020,race-ethnicity,Black,0,2
2014,06,22020,race-ethnicity,Hispanic,0,2
2014,06,22020,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,22020,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,22230,all,All,0,1
2014,06,22230,race-ethnicity,Black,0,3
2014,06,22230,race-ethnicity,Hispanic,0,1
2014,06,22230,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,22230,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,22804,all,All,0.08569423795488264,1
2014,06,22804,race-ethnicity,Black,0.09627634060506242,3
2014,06,22804,race-ethnicity,Hispanic,0.10002341044815219,1
2014,06,22804,race-ethnicity,Other Races and Ethnicities,0.12553743899846698,1
2014,06,22804,race-ethnicity,"White, Non-Hispanic",0.0665733697857844,1
2014,06,23182,all,All,0,1
2014,06,23182,race-ethnicity,Black,0,2
2014,06,23182,race-ethnicity,Hispanic,0,1
2014,06,23182,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,23182,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,24638,all,All,0,2
2014,06,24638,race-ethnicity,Black,0,3
2014,06,24638,race-ethnicity,Hispanic,0,3
2014,06,24638,race-ethnicity,Other Races and Ethnicities,0,3
2014,06,24638,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,24680,all,All,0.07031803871408962,1
2014,06,24680,race-ethnicity,Black,0.07407326492870472,2
2014,06,24680,race-ethnicity,Hispanic,0.07842563741914142,1
2014,06,24680,race-ethnicity,Other Races and Ethnicities,0.05419715860152144,1
2014,06,24680,race-ethnicity,"White, Non-Hispanic",0.024368629592271835,2
2014,06,26000,all,All,0,1
2014,06,26000,race-ethnicity,Black,0,2
2014,06,26000,race-ethnicity,Hispanic,0,2
2014,06,26000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,26000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,27000,all,All,0.5345245968234795,1
2014,06,27000,race-ethnicity,Black,0.5291616952081528,1
2014,06,27000,race-ethnicity,Hispanic,0.5979130896567684,1
2014,06,27000,race-ethnicity,Other Races and Ethnicities,0.5735427806143789,1
2014,06,27000,race-ethnicity,"White, Non-Hispanic",0.29411452542972377,1
2014,06,28000,all,All,0,1
2014,06,28000,race-ethnicity,Black,0,3
2014,06,28000,race-ethnicity,Hispanic,0,1
2014,06,28000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,28000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,29000,all,All,0,1
2014,06,29000,race-ethnicity,Black,0,3
