year,state,place,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality
2021,40,09050,275.277137117774,74.39922624804701,178.55814299531286,3
2021,40,23200,3019.0349712262064,141.6555998229305,327.5785745905268,1
2021,40,41850,1364.3026271281994,281.8807080843387,259.3302514375916,1
2021,40,52500,2459.4363791631085,623.398804440649,614.8590947907771,3
2021,40,55000,1603.2885258469141,309.2906142194377,441.46609038159056,2
2021,40,75000,826.7823258335593,304.9606939550014,273.33514050781605,2
2021,41,05350,833.2327013645695,229.44088878154813,193.21338002656682,1
2021,41,05800,931.9764327798607,203.53508302088912,310.6588109266202,1
2021,41,23850,1022.8387277567606,441.3619167717529,357.2929802437999,2
2021,41,31250,146.5370970229832,46.27487274409995,46.27487274409995,1
2021,41,34100,268.5851318944844,115.10791366906474,105.515587529976,1
2021,41,47000,2029.639175257732,451.0309278350515,633.5910652920962,1
2021,41,59000,228.4720677733072,34.371904001294,99.07195859196506,1
2021,41,64900,685.4531607006854,233.56181772023356,213.25209444021326,1
2021,42,02000,NA,NA,NA,NA
2021,42,06088,NA,NA,NA,NA
2021,42,24000,278.32182249252656,92.77394083084218,41.232862591485414,2
2021,42,60000,727.8241091736163,177.34120051422357,283.48221643537596,2
2021,42,61000,NA,NA,NA,NA
2021,42,63624,NA,NA,NA,NA
2021,42,69000,1115.494490545504,204.05387022173855,149.63950482927493,2
2021,44,19180,1074.3285446595878,199.87507807620236,324.79700187382883,1
2021,44,54640,3021.5827338129498,745.5853499018967,719.4244604316547,1
2021,44,59000,599.0176111177668,365.4007427818378,107.82317000119802,1
2021,44,74300,834.0649692712907,248.75621890547262,336.55253146034534,1
2021,45,13330,2000.6488590894344,454.2013626040878,778.6309073212934,1
2021,45,16000,447.48858447488584,136.986301369863,255.70776255707761,2
2021,45,48535,438.6801449551783,76.29219912263972,152.58439824527943,1
2021,45,50875,3426.99216950714,1501.612160294795,838.3233532934131,1
2021,46,59020,5463.626273837151,1034.2044193320553,827.3635354656443,1
2021,47,14000,2562.300319488818,747.6038338658146,1073.4824281150159,2
2021,47,15160,2100.79275198188,764.4394110985277,730.4643261608154,2
2021,47,27740,1539.6458814472671,241.94435279885624,318.92664687121965,2
2021,47,40000,2877.6513191929644,834.1955509570616,685.463010863942,2
2021,47,48000,3043.7706499809947,1018.976053331774,1023.3618900032163,2
2021,47,51560,682.469075620011,188.8976905733959,310.76716836268355,2
2021,47,52006,1094.634580190535,354.0458720303761,251.4238801375135,1
2021,48,01000,1025.7562144354597,209.64360587002096,306.97813716681645,2
2021,48,01924,NA,NA,NA,NA
2021,48,03000,2494.968131499497,813.4854075813486,511.5732975511573,2
2021,48,04000,1820.7583630351696,644.1362133379139,322.06810666895694,1
2021,48,05000,706.2020173538572,296.06654448047374,188.40598285121055,2
2021,48,06128,943.4809955970886,197.68173241081857,233.62386557642193,1
2021,48,07000,3102.3622047244094,362.20472440944883,307.0866141732283,1
2021,48,10768,1382.0375881609523,354.68221289086387,387.2966692486445,2
2021,48,10912,1894.1868060091442,315.69780100152406,370.12845634661437,1
2021,48,13024,790.6783187682065,201.13746705507006,76.29352198640588,1
2021,48,13552,569.94300569943,239.97600239976003,59.99400059994001,1
2021,48,15976,1557.632398753894,383.4172058471124,275.581116702612,1
2021,48,16432,4267.623890716921,1076.8770565360455,259.2481802771961,1
2021,48,17000,2639.760330111356,409.81289921428976,361.7658696512351,2
2021,48,19000,681.3789575399306,302.6772011595521,125.04973569033139,2
2021,48,19972,936.5158296038454,406.09978451848167,207.19376761147026,1
2021,48,22660,880.1679586563308,274.54780361757105,250.32299741602066,2
