year,state,county,total_people,crime_violent_rate,crime_property_rate,crime_rate_quality,agencies_reporting,core_reporting
2021,21,063,7414,94.41596978688966,202.31993525762073,3,0.5,NA
2021,21,065,14157,204.8456593911139,628.6642650279014,3,0.75,NA
2021,21,067,321354,1371.6960112523882,4493.175750107358,2,0.5555555555555556,1
2021,21,069,14996,326.7538010136036,686.8498266204322,1,1,NA
2021,21,071,36127,157.77673208403687,417.9699393805187,3,0.7142857142857143,NA
2021,21,073,51319,1161.3632377871743,3037.8612209902763,3,0.6,NA
2021,21,075,6507,245.88904256954046,368.83356385431074,1,1,NA
2021,21,077,8694,425.58086036346907,816.6551644812515,3,0.5,NA
2021,21,079,17018,546.4801974380068,1463.156657656599,3,0.42857142857142855,NA
2021,21,081,24918,533.7507023035557,898.9485512480938,3,0.6,NA
2021,21,083,36796,652.2448092183934,2073.5949559734754,3,0.6,NA
2021,21,085,26351,523.6992903495124,1210.5802436340177,3,0.4,NA
2021,21,087,11141,547.5271519612244,628.3098465128803,3,0.5,NA
2021,21,089,35996,161.1290143349261,483.3870430047784,2,0.8888888888888888,NA
2021,21,091,9050,143.646408839779,640.8839779005525,3,0.6666666666666666,NA
2021,21,093,110134,562.0426026476838,1475.4753300524815,2,0.75,1
2021,21,095,26921,170.8703242821589,404.8883771033765,3,0.625,NA
2021,21,097,18690,508.2932049224184,1139.6468699839486,1,1,NA
2021,21,099,19194,255.28811086797958,547.0459518599562,1,1,NA
2021,21,101,45102,1410.137022748437,2906.744711986165,3,0.6666666666666666,NA
2021,21,103,15691,286.78860493276403,834.8734943598241,3,0.4,NA
2021,21,105,4529,220.799293442261,551.9982336056524,1,1,NA
2021,21,107,45432,748.3711921112872,1307.4484944532487,3,0.5,NA
2021,21,109,13029,99.77741960242535,560.2885869982347,3,0.6666666666666666,NA
2021,21,111,780449,1793.2960268323836,5028.137803271519,2,0.5945945945945946,1
2021,21,113,53016,671.4953976158141,2814.244756299985,3,0.5,NA
2021,21,115,22794,184.25901553040273,368.51803106080547,3,0.6666666666666666,NA
2021,21,117,168264,814.1967384586127,1664.0517282365804,3,0.6818181818181818,NA
