year,state,county,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_
2018,13,121,0.8435957305,0.9029246329,0.7842668281,144
2018,13,123,0.7770115019,0.9285112907,0.6255117131,29
2018,13,125,0.867924513,1.012734499,0.723114527,21
2018,13,127,0.7514635351,0.9457883599,0.5571387102,19
2018,13,129,0.7770115062,0.9285112939,0.6255117184,29
2018,13,131,0.9968287528,1.0208763533,0.9727811523,21
2018,13,133,0.7244655706,0.915557892,0.5333732492,21
2018,13,135,0.8954689578,0.9441076831,0.8468302324,152
2018,13,137,0.8561403204,0.991040155,0.7212404858,26
2018,13,139,0.8492224476,0.9549550229,0.7434898723,44
2018,13,141,0.8679245625,1.0127345255,0.7231145995,21
2018,13,143,0.8548601638,0.9877265257,0.7219938019,27
2018,13,145,0.745840123,0.890084342,0.6015959041,35
2018,13,147,0.8561403324,0.9910401623,0.7212405025,26
2018,13,149,0.8931828059,1.0167608196,0.7696047922,24
2018,13,151,0.7773444754,0.9314437348,0.623245216,28
2018,13,153,1,1,1,18
2018,13,155,0.9497784369,1.043190441,0.8563664329,21
2018,13,157,0.8478074114,0.9635519654,0.7320628574,37
2018,13,159,0.7173765899,0.8785053667,0.556247813,30
2018,13,161,0.7752351377,0.9271632025,0.6233070728,29
2018,13,163,0.8679245194,1.0127345024,0.7231145364,21
2018,13,165,0.8679245245,1.0127345052,0.7231145438,21
2018,13,167,0.7544812585,0.8846473843,0.6243151327,42
2018,13,169,0.8251365758,0.9838658898,0.6664072617,22
2018,13,171,0.9629517197,1.0369927324,0.888910707,25
2018,13,173,0.8394872445,0.9505052069,0.7284692821,42
2018,13,175,0.7544812643,0.8846473891,0.6243151396,42
2018,13,177,0.9152242961,1.0343610867,0.7960875055,21
2018,13,179,0.8268819506,0.9487944235,0.7049694778,37
2018,13,181,0.8679245194,1.0127345024,0.7231145364,21
2018,13,183,0.8268819802,0.9487944448,0.7049695156,37
2018,13,185,1,1,1,20
2018,13,187,1,1,1,23
2018,13,189,0.867924558,1.0127345231,0.7231145929,21
2018,13,191,0.7514635342,0.9457883593,0.5571387092,19
2018,13,193,0.7458401185,0.8900843383,0.6015958987,35
2018,13,195,0.7244655862,0.9155579043,0.5333732682,21
2018,13,197,0.7458401312,0.8900843486,0.6015959138,35
