year,metro,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,28860,.73102689,.45420116,1.0078527,1
2017,28900,1.2065421,.9680751,1.4450092,2
2017,28940,.98241448,.93596393,1.0288651,1
2017,29020,.9475351,.80813867,1.0869315,1
2017,29060,.8871721,.71582037,1.0585239,1
2017,29100,1.0032548,.84859896,1.1579106,1
2017,29180,1.0233077,.96436745,1.0822479,1
2017,29200,.80912769,.71371639,.90453899,1
2017,29260,1.0088159,.63606322,1.3815686,2
2017,29300,.78494775,.63655668,.93333882,1
2017,29340,.94493705,.85886592,1.0310081,1
2017,29380,.72275937,.56036127,.88515747,1
2017,29404,1.0488794,1.0084405,1.0893183,1
2017,29420,.98396301,.79662395,1.1713021,2
2017,29460,.84457427,.79352528,.89562327,1
2017,29500,1.0779505,.73903632,1.4168646,1
2017,29540,.89160842,.83059084,.95262599,1
2017,29620,1.0635012,.99998963,1.1270128,1
2017,29660,.9864257,.71548796,1.2573634,1
2017,29700,1.1133102,1.0522702,1.1743503,1
2017,29740,1.3354855,.87258857,1.7983824,3
2017,29780,1.1127251,-.40871647,2.6341667,3
2017,29820,1.0371389,1.0066609,1.0676169,2
2017,29860,1.0513949,.9152739,1.187516,1
2017,29900,.7984789,.58123285,1.015725,1
2017,29940,.90148789,.7542873,1.0486884,1
2017,29980,.83438039,.63912278,1.0296381,1
2017,30020,.93408531,.82602239,1.0421482,1
2017,30060,.94411659,.73820931,1.1500239,1
2017,30140,.82741594,.71321136,.94162053,1
2017,30220,.97497851,.74508083,1.2048762,1
2017,30260,.94917369,.72662461,1.1717228,1
2017,30280,1.0491066,.82805145,1.2701617,1
2017,30300,1.1729114,.98743367,1.3583891,1
2017,30340,.93909383,.16897702,1.7092106,3
2017,30380,.90767676,.69196248,1.123391,1
2017,30420,1.0902369,.87715906,1.3033147,1
2017,30460,.88347763,.82406408,.94289118,1
2017,30580,.8298173,.60429341,1.0553412,1
2017,30620,1.0010835,.86637414,1.1357929,1
2017,30660,1.2389055,.97969091,1.4981202,1
2017,30700,.95878047,.88704276,1.0305182,1
2017,30780,.89088565,.84346908,.93830222,1
2017,30820,.79627192,.56382644,1.0287174,1
2017,30860,.86854655,.72369713,1.0133959,1
2017,30880,.86440063,.65745896,1.0713422,1
2017,30900,.98943526,.78910542,1.1897651,1
2017,30940,1.1079676,1.0040565,1.2118788,1
2017,30980,.98854971,.90729898,1.0698004,1
2017,31020,1.0812794,.93137717,1.2311816,3
2017,31060,1.3841126,-.149376,2.9176011,3
2017,31084,1.0953127,1.0811528,1.1094726,1
2017,31140,.91058731,.87294638,.94822824,1
