year,state,place,subgroup_type,subgroup,share_in_preschool,share_in_preschool_quality
2021,06,46842,race-ethnicity,"White, Non-Hispanic",0.28606156182559167,2
2021,06,46898,race-ethnicity,"Black, Non-Hispanic",0.07983078033523137,3
2021,06,46898,race-ethnicity,Hispanic,0.5201852816245626,2
2021,06,46898,race-ethnicity,Other Races and Ethnicities,0.5705777741474554,2
2021,06,46898,race-ethnicity,"White, Non-Hispanic",0.36090065867121707,2
2021,06,47766,race-ethnicity,"Black, Non-Hispanic",0.5457093925660511,3
2021,06,47766,race-ethnicity,Hispanic,0.4807427179697371,2
2021,06,47766,race-ethnicity,Other Races and Ethnicities,0.6149287028927107,2
2021,06,47766,race-ethnicity,"White, Non-Hispanic",0.4184137685259155,2
2021,06,48256,race-ethnicity,"Black, Non-Hispanic",0.006060709822116455,3
2021,06,48256,race-ethnicity,Hispanic,0.6913715733149477,1
2021,06,48256,race-ethnicity,Other Races and Ethnicities,0.8148190029958193,1
2021,06,48256,race-ethnicity,"White, Non-Hispanic",0.602518819562094,1
2021,06,48354,race-ethnicity,"Black, Non-Hispanic",0.0696818554964216,3
2021,06,48354,race-ethnicity,Hispanic,0.26708987634479653,1
2021,06,48354,race-ethnicity,Other Races and Ethnicities,0.478614157559459,1
2021,06,48354,race-ethnicity,"White, Non-Hispanic",0.3974862703942666,1
2021,06,49270,race-ethnicity,"Black, Non-Hispanic",0.2848977530182798,1
2021,06,49270,race-ethnicity,Hispanic,0.17672814794264877,1
2021,06,49270,race-ethnicity,Other Races and Ethnicities,0.3106858199230233,1
2021,06,49270,race-ethnicity,"White, Non-Hispanic",0.26063636962255193,1
2021,06,49670,race-ethnicity,"Black, Non-Hispanic",0.9894281217208813,3
2021,06,49670,race-ethnicity,Hispanic,0.7899690128698906,2
2021,06,49670,race-ethnicity,Other Races and Ethnicities,0.6254541178963653,2
2021,06,49670,race-ethnicity,"White, Non-Hispanic",0.6875376222526579,2
2021,06,50076,race-ethnicity,"Black, Non-Hispanic",0.6846017699115045,3
2021,06,50076,race-ethnicity,Hispanic,0.2622617354974346,2
2021,06,50076,race-ethnicity,Other Races and Ethnicities,0.346279479366161,2
2021,06,50076,race-ethnicity,"White, Non-Hispanic",0.3097590923907483,2
2021,06,50258,race-ethnicity,"Black, Non-Hispanic",0.68,3
2021,06,50258,race-ethnicity,Hispanic,0.3835051546391752,2
2021,06,50258,race-ethnicity,Other Races and Ethnicities,0.44354838709677424,3
2021,06,50258,race-ethnicity,"White, Non-Hispanic",0.5688185140073082,2
2021,06,51182,race-ethnicity,"Black, Non-Hispanic",0.00913978494623656,3
2021,06,51182,race-ethnicity,Hispanic,0.4115808036183775,3
2021,06,51182,race-ethnicity,Other Races and Ethnicities,0.7912455334891049,3
2021,06,51182,race-ethnicity,"White, Non-Hispanic",0.6349516385063129,3
2021,06,52526,race-ethnicity,"Black, Non-Hispanic",0.8556338028169014,3
2021,06,52526,race-ethnicity,Hispanic,0.3248317392844492,1
2021,06,52526,race-ethnicity,Other Races and Ethnicities,0.5123762376237624,3
2021,06,52526,race-ethnicity,"White, Non-Hispanic",0,3
2021,06,53000,race-ethnicity,"Black, Non-Hispanic",0.5688607053370721,1
2021,06,53000,race-ethnicity,Hispanic,0.4494118842402006,1
2021,06,53000,race-ethnicity,Other Races and Ethnicities,0.64743789948923,1
2021,06,53000,race-ethnicity,"White, Non-Hispanic",0.6729781485818255,1
2021,06,53322,race-ethnicity,"Black, Non-Hispanic",0.8416070082893745,3
