year,state,county,subgroup_type,subgroup,digital_access,digital_access_quality
2021,01,079,all,All,0.721659766085406,1
2021,01,079,race-ethnicity,Other Races and Ethnicities,0.8360456643186787,2
2021,01,079,race-ethnicity,Black,0.6585577758470895,1
2021,01,079,race-ethnicity,Hispanic,0.7013801756587202,2
2021,01,079,race-ethnicity,White,0.71174419060308,1
2021,01,081,all,All,0.8578993514222839,1
2021,01,081,race-ethnicity,Other Races and Ethnicities,0.8982838880011117,1
2021,01,081,race-ethnicity,Black,0.7654943113927997,1
2021,01,081,race-ethnicity,Hispanic,0.8005193218267909,1
2021,01,081,race-ethnicity,White,0.8828394730667382,1
2021,01,083,all,All,0.8763350030133278,1
2021,01,083,race-ethnicity,Other Races and Ethnicities,0.8982980056385089,1
2021,01,083,race-ethnicity,Black,0.8081158545783678,1
2021,01,083,race-ethnicity,Hispanic,0.773214000319642,1
2021,01,083,race-ethnicity,White,0.8851904774055268,1
2021,01,085,all,All,0.5790594155215792,1
2021,01,085,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,085,race-ethnicity,Black,0.5060147458284827,1
2021,01,085,race-ethnicity,Hispanic,NA,NA
2021,01,085,race-ethnicity,White,0.8035853468433359,1
2021,01,087,all,All,0.6295023088763468,1
2021,01,087,race-ethnicity,Other Races and Ethnicities,0.7439293598233996,3
2021,01,087,race-ethnicity,Black,0.607294370923827,1
2021,01,087,race-ethnicity,Hispanic,0.44660194174757284,3
2021,01,087,race-ethnicity,White,0.7216399506781751,1
2021,01,089,all,All,0.8871487299456494,1
2021,01,089,race-ethnicity,Other Races and Ethnicities,0.9052985312436629,1
2021,01,089,race-ethnicity,Black,0.8238444710269094,1
2021,01,089,race-ethnicity,Hispanic,0.8655661567974153,1
2021,01,089,race-ethnicity,White,0.9077410266170141,1
2021,01,091,all,All,0.7719234933237098,1
2021,01,091,race-ethnicity,Other Races and Ethnicities,0.8538812785388128,3
2021,01,091,race-ethnicity,Black,0.720076443371555,1
2021,01,091,race-ethnicity,Hispanic,0.8220973782771536,3
2021,01,091,race-ethnicity,White,0.8243919072516481,1
2021,01,093,all,All,0.7929708764289602,1
2021,01,093,race-ethnicity,Other Races and Ethnicities,0.8891454965357968,2
2021,01,093,race-ethnicity,Black,0.6095890410958904,2
2021,01,093,race-ethnicity,Hispanic,0.9442282749675746,1
2021,01,093,race-ethnicity,White,0.7962859795728876,1
2021,01,095,all,All,0.8826186727585178,1
2021,01,095,race-ethnicity,Other Races and Ethnicities,0.8437810945273632,1
2021,01,095,race-ethnicity,Black,0.7793079096045198,1
2021,01,095,race-ethnicity,Hispanic,0.8456248684302856,1
2021,01,095,race-ethnicity,White,0.8896265656319882,1
2021,01,097,all,All,0.8199387390863924,1
2021,01,097,race-ethnicity,Other Races and Ethnicities,0.8440631586732241,1
2021,01,097,race-ethnicity,Black,0.7427272119307162,1
2021,01,097,race-ethnicity,Hispanic,0.8041078097093683,1
2021,01,097,race-ethnicity,White,0.8656987905749705,1
2021,01,099,all,All,0.5669898086005468,1
2021,01,099,race-ethnicity,Other Races and Ethnicities,0.5286284953395473,3
2021,01,099,race-ethnicity,Black,0.43763263381278,1
2021,01,099,race-ethnicity,Hispanic,NA,NA
2021,01,099,race-ethnicity,White,0.6704649880536666,1
2021,01,101,all,All,0.8429533072571069,1
2021,01,101,race-ethnicity,Other Races and Ethnicities,0.8548275464298074,1
2021,01,101,race-ethnicity,Black,0.8191688617928646,1
2021,01,101,race-ethnicity,Hispanic,0.7298295793111668,1
2021,01,101,race-ethnicity,White,0.8813123190736571,1
2021,01,103,all,All,0.8242529035625734,1
2021,01,103,race-ethnicity,Other Races and Ethnicities,0.734346345297354,1
2021,01,103,race-ethnicity,Black,0.7582527301092044,1
2021,01,103,race-ethnicity,Hispanic,0.7318567389255419,1
2021,01,103,race-ethnicity,White,0.8461926586217046,1
2021,01,105,all,All,0.5280395311422661,1
2021,01,105,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,105,race-ethnicity,Black,0.513845649680485,2
2021,01,105,race-ethnicity,Hispanic,NA,NA
2021,01,105,race-ethnicity,White,0.5655897236278707,2
2021,01,107,all,All,0.6967775467775468,1
2021,01,107,race-ethnicity,Other Races and Ethnicities,0.4126679462571977,3
2021,01,107,race-ethnicity,Black,0.7169493720056973,1
2021,01,107,race-ethnicity,Hispanic,NA,NA
2021,01,107,race-ethnicity,White,0.696071298654056,1
2021,01,109,all,All,0.7590125391849529,1
2021,01,109,race-ethnicity,Other Races and Ethnicities,0.8514285714285714,2
2021,01,109,race-ethnicity,Black,0.6668592653735039,1
2021,01,109,race-ethnicity,Hispanic,0.8738853503184714,1
2021,01,109,race-ethnicity,White,0.8076578239544328,1
2021,01,111,all,All,0.7995360262008734,1
2021,01,111,race-ethnicity,Other Races and Ethnicities,0.7676130389064143,2
2021,01,111,race-ethnicity,Black,0.7448529411764706,1
2021,01,111,race-ethnicity,Hispanic,0.5117004680187207,3
2021,01,111,race-ethnicity,White,0.8144871114257064,1
2021,01,113,all,All,0.8001362978107164,1
2021,01,113,race-ethnicity,Other Races and Ethnicities,0.8550998948475289,2
