year,state,place,digital_access,digital_access_quality
2021,25,09000,0.8767751592845628,1
2021,25,11000,0.791234643944838,1
2021,25,23000,0.7954017077534579,1
2021,25,34550,0.8120458324790998,1
2021,25,37000,0.812489111877635,1
2021,25,37490,0.8671395648139835,1
2021,25,45000,0.8458463348253895,1
2021,25,45560,0.8903403386465419,1
2021,25,55745,0.923575747931254,1
2021,25,62535,0.8998858674077015,1
2021,25,67000,0.8012133273415933,1
2021,25,82000,0.8414750793409429,1
2021,26,03000,0.8344346579103894,1
2021,26,21000,0.9181738204380238,1
2021,26,22000,0.7813439932595895,1
2021,26,27440,0.9402858541594526,1
2021,26,29000,0.7426781256001537,1
2021,26,34000,0.8580294959011008,1
2021,26,46000,0.8709768293541799,1
2021,26,49000,0.9336999181480471,1
2021,26,69035,0.9370969864455849,1
2021,26,74900,0.901832117171505,1
2021,26,76460,0.9345452104250273,1
2021,26,80700,0.9648379970544919,1
2021,26,84000,0.9020763187429854,1
2021,26,86000,0.9154435564553148,1
2021,26,88940,0.9027862969004894,1
2021,27,06616,0.922033632988953,1
2021,27,07966,0.925475383297946,1
2021,27,17000,0.8418770398219373,1
2021,27,43000,0.862083647971846,1
2021,27,51730,0.9560811655046605,1
2021,27,54880,0.9122540340092874,1
2021,27,58000,0.8993385009249365,1
2021,27,71428,0.9719512524657498,1
2021,28,36000,0.8485679483173154,1
2021,29,15670,0.8319956249698413,1
2021,29,35000,0.8882925632005236,1
2021,29,38000,0.8705782167422408,1
2021,29,41348,0.9523181042353035,1
2021,29,54074,0.9548908614347702,1
2021,29,65000,0.812247553560754,1
2021,29,70000,0.7619911863964461,1
2021,30,06550,0.8885373717466656,1
2021,31,28000,0.8893531071883127,1
2021,31,37000,0.8917016180420809,1
2021,32,31900,0.9384963855421686,1
2021,32,40000,0.8576323359368354,1
2021,32,51800,0.9083993868385983,1
2021,32,60600,0.8673671574719233,1
2021,32,68400,0.9273152478952292,1
2021,33,45140,0.9009500566547547,1
2021,33,50260,0.930034524978215,1
2021,34,13690,0.9185893136597362,1
2021,34,21000,0.8364095689832955,1
2021,34,36000,0.9118810639883543,1
2021,34,51000,0.7546620864857452,1
2021,34,57000,0.852653441146859,1
2021,34,74000,0.7543314427783389,1
2021,35,02000,0.8802975445285381,1
2021,35,39380,0.8559499335965215,1
2021,35,63460,0.9381170473521283,1
2021,35,70500,0.859136136193708,1
2021,36,01000,0.7796422607191003,1
2021,36,11000,0.841980935542424,1
2021,36,50617,0.8835099460866332,1
2021,36,51000,0.866489385874412,1
2021,36,63000,0.8131454287067741,1
2021,36,73000,0.7113863510944877,1
2021,36,84000,0.8729223287083393,1
2021,37,02140,0.858071018097607,1
2021,37,10740,0.9680075523155189,1
2021,37,12000,0.9096801719562801,1
2021,37,14100,0.9106916522044343,1
2021,37,19000,0.8792824231653924,1
2021,37,22920,0.8416763790366288,1
2021,37,25580,0.8584854623001145,1
2021,37,28000,0.8069838197121323,1
2021,37,28080,0.8139383932130047,1
2021,37,31400,0.8748983632057129,1
2021,37,55000,0.9014449860347584,1
2021,37,74440,0.8491670690487687,1
2021,37,75000,0.8342751808064796,1
2021,38,25700,0.8505268885172709,1
2021,39,01000,0.8617475180564332,1
2021,39,15000,0.8525775600653137,1
2021,39,16000,0.7719661421166779,1
2021,39,18000,0.8956379997394625,1
2021,39,21000,0.75999884406427,1
2021,39,61000,0.908753709198813,1
2021,39,77000,0.8501992971184805,1
2021,40,09050,0.9443463916062829,1
2021,40,23200,0.9432539937127093,1
2021,40,41850,0.8185803368877881,1
2021,40,52500,0.8565270984929818,1
2021,40,55000,0.888485003334903,1
2021,40,75000,0.870367123501164,1
2021,41,05350,0.9290214023351733,1
2021,41,05800,0.9371406195255663,1
2021,41,23850,0.8952030840614504,1
2021,41,31250,0.9102606776216671,1
2021,41,34100,0.9474643325874099,1
2021,41,47000,0.9008174900464109,1
2021,41,59000,0.9184441326625215,1
2021,41,64900,0.8903859512150316,1
2021,42,02000,0.8179241516966068,1
2021,42,06088,0.8089392716834879,1
2021,42,24000,0.8060312342991124,1
2021,42,60000,0.8361508330384848,1
2021,42,61000,0.8258252612901417,1
2021,42,63624,0.8192988604623995,1
2021,42,69000,0.8191269559266716,1
2021,44,19180,0.8784087884433905,1
2021,44,54640,0.8932978723404256,1
2021,44,59000,0.8267694849903607,1
2021,44,74300,0.9128662327921999,1
2021,45,13330,0.8556662700773349,1
2021,45,16000,0.6984760628223433,1
2021,45,48535,0.8429358830146232,1
2021,45,50875,0.7868380157496814,1
2021,46,59020,0.9060013315157087,1
2021,47,14000,0.8310258215832285,1
2021,47,15160,0.9149390281192284,1
2021,47,27740,0.954876059412984,1
2021,47,40000,0.8002366126365936,1
2021,47,48000,0.7911025816106564,1
2021,47,51560,0.8955293012015842,1
2021,47,52006,0.8856684137898706,1
2021,48,01000,0.790514369510815,1
2021,48,01924,0.9737103271128063,1
