year,state,county,subgroup_type,subgroup,rate_juv_arrest,rate_juv_arrest_quality
2021,01,097,age,Age 10 to 14,647.6176920613458,2
2021,01,097,age,Age 15 to 17,1606.0150375939852,2
2021,01,099,all,All,176.444640494045,2
2021,01,099,race-ethnicity,"White, Non-Hispanic",0,2
2021,01,099,race-ethnicity,Black,387.97284190106694,2
2021,01,099,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,099,race-ethnicity,Hispanic,NA,NA
2021,01,099,gender,Male,260.19080659150046,2
2021,01,099,gender,Female,89.76660682226212,2
2021,01,099,age,Age 10 to 14,0,2
2021,01,099,age,Age 15 to 17,465.6577415599534,2
2021,01,101,all,All,28.977108084613157,3
2021,01,101,race-ethnicity,"White, Non-Hispanic",15.62255897516013,3
2021,01,101,race-ethnicity,Black,39.55435427516645,3
2021,01,101,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,101,race-ethnicity,Hispanic,130.718954248366,3
2021,01,101,gender,Male,55.86146357034554,3
2021,01,101,gender,Female,0,3
2021,01,101,age,Age 10 to 14,0,3
2021,01,101,age,Age 15 to 17,78.98894154818325,3
2021,01,103,all,All,91.47860303089575,2
2021,01,103,race-ethnicity,"White, Non-Hispanic",62.49254772605269,2
2021,01,103,race-ethnicity,Black,321.1959541381348,2
2021,01,103,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,103,race-ethnicity,Hispanic,28.694871658799986,2
2021,01,103,gender,Male,168.43438758481125,2
2021,01,103,gender,Female,8.73242627078737,2
2021,01,103,age,Age 10 to 14,42.17048100852332,2
2021,01,103,age,Age 15 to 17,167.81016245053632,2
2021,01,105,all,All,0,1
2021,01,105,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,105,race-ethnicity,Black,0,1
2021,01,105,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,105,race-ethnicity,Hispanic,NA,NA
2021,01,105,gender,Male,0,1
2021,01,105,gender,Female,0,1
2021,01,105,age,Age 10 to 14,0,1
2021,01,105,age,Age 15 to 17,0,1
2021,01,107,all,All,58.651026392961874,3
2021,01,107,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,107,race-ethnicity,Black,126.74271229404309,3
2021,01,107,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,107,race-ethnicity,Hispanic,NA,NA
2021,01,107,gender,Male,113.25028312570782,3
2021,01,107,gender,Female,0,3
2021,01,107,age,Age 10 to 14,0,3
2021,01,107,age,Age 15 to 17,145.5604075691412,3
2021,01,109,all,All,337.07865168539325,3
2021,01,109,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,109,race-ethnicity,Black,667.2226855713094,3
2021,01,109,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,109,race-ethnicity,Hispanic,1851.8518518518517,3
2021,01,109,gender,Male,506.32911392405066,3
2021,01,109,gender,Female,202.02020202020202,3
2021,01,109,age,Age 10 to 14,119.9040767386091,3
2021,01,109,age,Age 15 to 17,698.6027944111777,3
2021,01,111,all,All,46.04051565377532,3
2021,01,111,race-ethnicity,"White, Non-Hispanic",64.93506493506493,3
2021,01,111,race-ethnicity,Black,0,3
2021,01,111,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,111,race-ethnicity,Hispanic,1851.8518518518517,3
2021,01,111,gender,Male,89.20606601248885,3
2021,01,111,gender,Female,0,3
2021,01,111,age,Age 10 to 14,0,3
2021,01,111,age,Age 15 to 17,119.47431302270012,3
2021,01,113,all,All,67.95218342794125,3
2021,01,113,race-ethnicity,"White, Non-Hispanic",44.84494317097828,3
2021,01,113,race-ethnicity,Black,107.28714930415967,3
2021,01,113,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,113,race-ethnicity,Hispanic,0,3
2021,01,113,gender,Male,105.40206674993188,3
2021,01,113,gender,Female,31.536121326687958,3
2021,01,113,age,Age 10 to 14,24.422881373346616,3
2021,01,113,age,Age 15 to 17,150.47152971814046,3
2021,01,115,all,All,58.629278912734264,3
2021,01,115,race-ethnicity,"White, Non-Hispanic",16.268650310128766,3
2021,01,115,race-ethnicity,Black,402.7007433351251,3
2021,01,115,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,115,race-ethnicity,Hispanic,0,3
2021,01,115,gender,Male,78.98960904598471,3
2021,01,115,gender,Female,34.77847942927601,3
2021,01,115,age,Age 10 to 14,1.8406541567771002,3
2021,01,115,age,Age 15 to 17,162.9388840992827,3
2021,01,117,all,All,217.95192052522168,2
2021,01,117,race-ethnicity,"White, Non-Hispanic",152.6201697722002,2
