year,state,county,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,17,067,tenure,All,NA,NA,3,NA,NA,1.3495988228057596,NA,NA,2.4624897114446798,NA,NA,3
2022,17,069,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,071,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,073,tenure,All,2,2,2,0.4449826875160307,0.6960701566295961,1.0319894078750085,1.5667767801378856,2.1767838231999517,2.087549453131191,2,2,2
2022,17,075,tenure,All,NA,3,3,NA,2.0895948374476583,1.8601381773053003,NA,3.233366199530416,2.8517773143010996,NA,3,3
2022,17,077,tenure,All,3,3,3,0.8558607143268757,0.9447051360818257,1.1143277001932386,1.8067397215657588,1.9490332586949934,1.9047149215985377,3,3,3
2022,17,079,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,081,tenure,All,3,3,3,0.7496858384193763,0.8536469018486337,1.0632489413656452,2.300986244050491,2.4160858896086395,2.2195842240167174,3,3,3
2022,17,083,tenure,All,NA,3,3,NA,1.8921480321725472,1.65461839155869,NA,3.615558813554343,2.7185349437564925,NA,3,3
2022,17,085,tenure,All,NA,3,3,NA,1.5316247261616511,1.4683604767537077,NA,3.032893030093393,2.4478891820580473,NA,3,3
2022,17,087,tenure,All,NA,NA,3,NA,NA,1.3759910702747133,NA,NA,2.0675882431553085,NA,NA,3
2022,17,089,tenure,All,1,1,1,0.2389873417721519,0.4557170779379428,0.8018578727357176,1.07873417721519,1.5467261177620328,1.7921195231459979,1,1,1
2022,17,091,tenure,All,2,2,2,0.2684492032472179,0.5194066187900793,0.8256788904756036,0.9430644812175493,1.4108067018810637,1.6757342124494916,2,2,2
2022,17,093,tenure,All,NA,1,1,NA,0.4595139300533491,0.7933646812957158,NA,1.4145820983995259,1.7193704284221525,NA,1,1
2022,17,095,tenure,All,3,3,3,0.5967709888701501,0.71034130256583,0.9466138026514698,1.6304476925151579,2.003109644362363,2.0677100136135795,3,3,3
2022,17,097,tenure,All,1,1,1,0.1572872721483722,0.41540634867874354,0.7689795207351195,0.9235851309400621,1.330397207910919,1.5880521290378773,1,1,1
2022,17,099,tenure,All,1,1,1,0.44663209867980863,0.6327162721343343,0.9303803413525853,1.2441513360750078,1.6157530634491715,1.9819420666872405,1,1,1
2022,17,101,tenure,All,NA,NA,3,NA,NA,1.0317616684567705,NA,NA,2.0750976508792847,NA,NA,3
2022,17,103,tenure,All,3,3,3,1.137882349168085,1.1559367617183125,1.2501902462919783,2.414121131844636,2.637932472295127,2.2309408222589964,3,3,3
2022,17,105,tenure,All,NA,3,3,NA,1.0278683013404002,1.1910247095363156,NA,1.9995220724012144,2.253992150980178,NA,3,3
2022,17,107,tenure,All,NA,3,3,NA,1.14263817721519,1.1939046555302755,NA,2.12862217721519,2.098579338973773,NA,3,3
2022,17,109,tenure,All,NA,3,3,NA,0.7021169177986505,1.1740578061627656,NA,2.0924311968285183,2.3098679563716358,NA,3,3
2022,17,111,tenure,All,1,1,1,0.22573732013470763,0.37989374322999947,0.7401527179254556,1.058067149709154,1.5981843503378552,1.863007484690406,1,1,1
2022,17,113,tenure,All,1,1,1,0.43147271368053824,0.6949239155121508,0.9727901757885551,1.413904809369549,1.7247331364978424,1.8092507168682208,1,1,1
2022,17,115,tenure,All,1,1,1,0.5458819649747559,0.7157596634295655,1.0753601411121347,1.449612916104551,1.7578893939445648,2.0994595723318525,1,1,1
2022,17,117,tenure,All,3,3,3,0.9121946161212732,1.3432831282589466,1.345616393357779,2.4166080557568086,3.2192249726821665,2.826742542635376,3,3,3
2022,17,119,tenure,All,1,1,1,0.35784700315457413,0.6187870338096898,0.9430185114465459,1.1611461619348056,1.678982223771349,1.8459590376459711,1,1,1
2022,17,121,tenure,All,3,3,3,0.7428601435410714,0.8484329118611139,1.059320953518256,2.2941605491721857,2.41087189962112,2.215656236169328,3,3,3
2022,17,123,tenure,All,NA,NA,3,NA,NA,1.3067504962467633,NA,NA,2.3409385304347974,NA,NA,3
2022,17,125,tenure,All,NA,NA,3,NA,NA,1.7136528747021844,NA,NA,2.722839282221429,NA,NA,3
2022,17,127,tenure,All,NA,3,3,NA,1.4218839366269211,1.3434037399347105,NA,2.4054163062058027,2.0350009128153057,NA,3,3
2022,17,129,tenure,All,NA,NA,3,NA,NA,1.5872155177978553,NA,NA,2.3574014174821767,NA,NA,3
2022,17,131,tenure,All,NA,NA,3,NA,NA,1.3843385392553549,NA,NA,2.4398985845115373,NA,NA,3
2022,17,133,tenure,All,NA,NA,3,NA,NA,0.9561887412209948,NA,NA,2.0227791659233914,NA,NA,3
2022,17,135,tenure,All,NA,3,3,NA,1.0991910999621939,1.1981667597000694,NA,2.0596235171175676,2.2869079993469246,NA,3,3
2022,17,137,tenure,All,3,3,3,1.0927829323851326,1.612261050870685,1.52067793248276,2.597196372020668,3.4362593503711634,3.0206491621277336,3,3,3
2022,17,139,tenure,All,NA,NA,3,NA,NA,1.5539294203301997,NA,NA,2.599232317608514,NA,NA,3
2022,17,141,tenure,All,NA,3,3,NA,0.5839499896439397,0.843214799068709,NA,1.414341448718673,1.7416519681847988,NA,3,3
2022,17,143,tenure,All,1,1,1,0.23439220669207964,0.5639472746704667,0.9066312024213519,0.8963998305802626,1.3692299862588426,1.7999938854749458,1,1,1
2022,17,145,tenure,All,NA,NA,3,NA,NA,1.5535761951610871,NA,NA,2.3439634165663867,NA,NA,3
2022,17,147,tenure,All,NA,3,3,NA,1.4928840786347952,1.4178602370119844,NA,2.531130569236746,2.2350954647398034,NA,3,3
2022,17,149,tenure,All,NA,NA,3,NA,NA,1.6134883843385524,NA,NA,2.622674791857797,NA,NA,3
2022,17,151,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,153,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,155,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,157,tenure,All,3,3,3,0.8452636602242902,0.9295946684381395,1.119292287467134,2.396564065855405,2.5216594700581796,2.2513475021910603,3,3,3
2022,17,159,tenure,All,NA,NA,3,NA,NA,1.0240230234221825,NA,NA,2.067359005844697,NA,NA,3
2022,17,161,tenure,All,1,1,1,0.32600999583506873,0.6122984386997696,0.843165728807406,0.8960849645980842,1.4960967494241106,1.7626429479034307,1,1,1
2022,17,163,tenure,All,1,1,1,0.28390467344872694,0.6329959831841291,0.8695344319538091,0.7829010175429493,1.4524355460028373,1.5995655918466327,1,1,1
2022,17,165,tenure,All,3,3,3,0.9525655576980335,1.1086571950721156,1.1404697442183545,2.0521596292547217,2.0921895646509965,1.8320669170989499,3,3,3
2022,17,167,tenure,All,1,1,1,0.62509888529306,0.9162705486234898,1.1740504459802705,1.322042430780295,2.069122598534363,2.2467363695433873,1,1,1
2022,17,169,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,171,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,173,tenure,All,NA,3,3,NA,1.2979653710240866,1.3300843145204664,NA,2.25839778817946,2.418825554167322,NA,3,3
2022,17,175,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,177,tenure,All,3,3,3,0.9341296850238193,1.0371161657058758,1.1466046157617038,2.2103684677003703,2.5101770714841165,2.2995130100494086,3,3,3
2022,17,179,tenure,All,1,1,1,0.30687361419068737,0.5649420352082439,0.8115910688219712,1.9314855875831485,2.347788750536711,2.2748013191328322,1,1,1
2022,17,181,tenure,All,NA,3,3,NA,1.283661126436661,1.2538516568915552,NA,2.2671934960155427,1.9454488297721504,NA,3,3
