statefip,puma,place,pop20,afact,afact2,totpop,placepop,placewgt,products,sum_products,place_pop,puma_flag,small_place
06,07301,11194,878,0.0044,0.0077,110522959,114746,0.0010382096266532278,3.388e-5,0.7740621400000001,114746,1,0
06,07304,11194,104475,0.8454,0.9105,110522959,114746,0.0010382096266532278,0.7697367,0.7740621400000001,114746,1,0
06,07309,11194,9393,0.0524,0.0819,110522959,114746,0.0010382096266532278,0.00429156,0.7740621400000001,114746,1,0
06,03757,11530,597,0.0037,0.0062,110522959,95558,8.64598639636494e-4,2.294e-5,0.7884365200000001,95558,1,1
06,03762,11530,93790,0.8032,0.9815,110522959,95558,8.64598639636494e-4,0.7883408000000001,0.7884365200000001,95558,1,1
06,03763,11530,53,4e-4,6e-4,110522959,95558,8.64598639636494e-4,2.4e-7,0.7884365200000001,95558,1,1
06,03767,11530,1118,0.0062,0.0117,110522959,95558,8.64598639636494e-4,7.254e-5,0.7884365200000001,95558,1,1
06,00701,13014,101475,0.8143,1,110522959,101475,9.181350274923421e-4,0.8143,0.8143,101475,1,1
06,07113,13210,5852,0.0336,0.064,110522959,91403,8.270046407280861e-4,0.0021504,0.454332,91403,2,1
06,07114,13210,85551,0.4831,0.936,110522959,91403,8.270046407280861e-4,0.4521816,0.454332,91403,2,1
06,03714,13214,140,0.0013,0.0018,110522959,78411,7.094544039487759e-4,2.3399999999999996e-6,0.43965932999999996,78411,2,1
06,05906,13214,136,7e-4,0.0017,110522959,78411,7.094544039487759e-4,1.1899999999999998e-6,0.43965932999999996,78411,2,1
06,07114,13214,78135,0.4412,0.9965,110522959,78411,7.094544039487759e-4,0.4396558,0.43965932999999996,78411,2,1
06,07318,13392,507,0.0033,0.0018,110522959,275487,0.0024925771305127653,5.94e-6,0.80196171,275487,1,0
06,07319,13392,3868,0.0282,0.014,110522959,275487,0.0024925771305127653,3.948e-4,0.80196171,275487,1,0
06,07320,13392,150696,0.9282,0.547,110522959,275487,0.0024925771305127653,0.5077254000000001,0.80196171,275487,1,0
06,07321,13392,120321,0.6727,0.4368,110522959,275487,0.0024925771305127653,0.29383536,0.80196171,275487,1,0
06,07322,13392,95,7e-4,3e-4,110522959,275487,0.0024925771305127653,2.0999999999999997e-7,0.80196171,275487,1,0
06,06701,13588,87053,0.7827,0.9939,110522959,87583,7.92441686256337e-4,0.77792553,0.77794871,87583,1,1
06,06704,13588,530,0.0038,0.0061,110522959,87583,7.92441686256337e-4,2.318e-5,0.77794871,87583,1,1
06,01903,14218,2480,0.0224,0.0206,110522959,120124,0.0010868691997288997,4.6144000000000003e-4,0.8896587000000001,120124,1,0
06,01906,14218,117644,0.9079,0.9794,110522959,120124,0.0010868691997288997,0.8891972600000001,0.8896587000000001,120124,1,0
06,03752,15044,642,0.0039,0.0067,110522959,95740,8.662453563155145e-4,2.613e-5,0.5870664299999999,95740,2,1
06,03757,15044,95098,0.591,0.9933,110522959,95740,8.662453563155145e-4,0.5870403,0.5870664299999999,95740,2,1
06,01303,16000,36610,0.2687,0.2919,110522959,125410,0.0011346963665712208,0.07843353,0.34315132000000004,125410,3,0
06,01306,16000,54319,0.4519,0.4331,110522959,125410,0.0011346963665712208,0.19571789,0.34315132000000004,125410,3,0
06,01307,16000,34481,0.251,0.2749,110522959,125410,0.0011346963665712208,0.06899989999999999,0.34315132000000004,125410,3,0
06,06509,16350,2489,0.0187,0.0158,110522959,157136,0.0014217498465635542,2.9546000000000005e-4,0.6859535800000001,157136,2,0
06,06512,16350,36627,0.3431,0.2331,110522959,157136,0.0014217498465635542,0.07997661,0.6859535800000001,157136,2,0
06,06513,16350,118004,0.8065,0.751,110522959,157136,0.0014217498465635542,0.6056815,0.6859535800000001,157136,2,0
06,06514,16350,16,1e-4,1e-4,110522959,157136,0.0014217498465635542,1e-8,0.6859535800000001,157136,2,0
06,05903,16532,315,0.0015,0.0028,110522959,111918,0.0010126221828715245,4.2000000000000004e-6,0.61071394,111918,2,0
06,05904,16532,390,0.0015,0.0035,110522959,111918,0.0010126221828715245,5.2500000000000006e-6,0.61071394,111918,2,0
06,05916,16532,27,2e-4,2e-4,110522959,111918,0.0010126221828715245,4e-8,0.61071394,111918,2,0
06,05918,16532,111186,0.6147,0.9935,110522959,111918,0.0010126221828715245,0.6107044500000001,0.61071394,111918,2,0
06,07507,17918,213,0.0019,0.002,110522959,104901,9.491331117908271e-4,3.8e-6,0.61952892,104901,2,1
06,08101,17918,95683,0.6724,0.9121,110522959,104901,9.491331117908271e-4,0.61329604,0.61952892,104901,2,1
06,08102,17918,9005,0.0726,0.0858,110522959,104901,9.491331117908271e-4,0.00622908,0.61952892,104901,2,1
06,03753,19766,112920,1,0.9875,110522959,114355,0.001034671900161486,0.9875,0.9876512500000001,114355,1,0
