year,state,place,subgroup_type,subgroup,min_all,min_black,min_hispanic,min_other,min_white,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,04,71510,race-ethnicity,_supp_all,4,4,4,4,4,176,,,,,
2021,04,71510,race-ethnicity,_supp_black,4,4,4,4,4,292,,,,,
2021,04,71510,race-ethnicity,_supp_hispanic,4,4,4,4,4,332,,,,,
2021,04,71510,race-ethnicity,_supp_other,4,4,4,4,4,720,,,,,
2021,04,71510,race-ethnicity,_supp_white,4,4,4,4,4,376,,,,,
2021,04,73000,all,All,6,6,6,6,6,689,687,691,.0152572021,1,1
2021,04,73000,race-ethnicity,"Black, Non-Hispanic",6,6,6,6,6,221,220,222,.3207547069,1,1
2021,04,73000,race-ethnicity,Hispanic,6,6,6,6,6,191,191,191,.2772133648,1,1
2021,04,73000,race-ethnicity,Other Races and Ethnicities,6,6,6,6,6,209,207,211,.3033381701,1,1
2021,04,73000,race-ethnicity,"White, Non-Hispanic",6,6,6,6,6,69,68,70,.1001451388,1,1
2021,04,73000,race-ethnicity,_supp_all,6,6,6,6,6,264,,,,,
2021,04,73000,race-ethnicity,_supp_black,6,6,6,6,6,438,,,,,
2021,04,73000,race-ethnicity,_supp_hispanic,6,6,6,6,6,498,,,,,
2021,04,73000,race-ethnicity,_supp_other,6,6,6,6,6,1080,,,,,
2021,04,73000,race-ethnicity,_supp_white,6,6,6,6,6,564,,,,,
2021,04,77000,all,All,32,32,32,32,32,2252,2249,2255,.0230699889,1,1
2021,04,77000,race-ethnicity,"Black, Non-Hispanic",32,32,32,32,32,149,141,157,.0661634132,3,3
2021,04,77000,race-ethnicity,Hispanic,32,32,32,32,32,1455,1445,1465,.6460923553,1,1
2021,04,77000,race-ethnicity,Other Races and Ethnicities,32,32,32,32,32,237,213,261,.1052397862,3,3
2021,04,77000,race-ethnicity,"White, Non-Hispanic",32,32,32,32,32,323,313,333,.1434280574,2,2
2021,04,77000,race-ethnicity,_supp_all,32,32,32,32,32,1408,,,,,
2021,04,77000,race-ethnicity,_supp_black,32,32,32,32,32,2336,,,,,
2021,04,77000,race-ethnicity,_supp_hispanic,32,32,32,32,32,2656,,,,,
2021,04,77000,race-ethnicity,_supp_other,32,32,32,32,32,5760,,,,,
2021,04,77000,race-ethnicity,_supp_white,32,32,32,32,32,3008,,,,,
2021,04,85540,all,All,4,4,4,4,4,302,301,303,.0109396512,1,1
2021,04,85540,race-ethnicity,"Black, Non-Hispanic",4,4,4,4,4,14,12,16,.0463576168,3,3
2021,04,85540,race-ethnicity,Hispanic,4,4,4,4,4,256,255,257,.8476821184,1,1
2021,04,85540,race-ethnicity,Other Races and Ethnicities,4,4,4,4,4,8,5,11,.0264900662,3,3
2021,04,85540,race-ethnicity,"White, Non-Hispanic",4,4,4,4,4,14,13,15,.0463576168,3,3
2021,04,85540,race-ethnicity,_supp_all,4,4,4,4,4,176,,,,,
2021,04,85540,race-ethnicity,_supp_black,4,4,4,4,4,292,,,,,
2021,04,85540,race-ethnicity,_supp_hispanic,4,4,4,4,4,332,,,,,
2021,04,85540,race-ethnicity,_supp_other,4,4,4,4,4,720,,,,,
2021,04,85540,race-ethnicity,_supp_white,4,4,4,4,4,376,,,,,
2021,05,23290,all,All,2,2,2,2,2,228,227,229,.0193236712,1,1
2021,05,23290,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,58,58,58,.254385978,1,1
2021,05,23290,race-ethnicity,Hispanic,2,2,2,2,2,31,31,31,.1359649152,1,1
2021,05,23290,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,46,45,47,.2017543912,1,1
2021,05,23290,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,89,88,90,.3903508782,1,1
2021,05,23290,race-ethnicity,_supp_all,2,2,2,2,2,14,,,,,
2021,05,23290,race-ethnicity,_supp_black,2,2,2,2,2,122,,,,,
2021,05,23290,race-ethnicity,_supp_hispanic,2,2,2,2,2,148,,,,,
2021,05,23290,race-ethnicity,_supp_other,2,2,2,2,2,326,,,,,
2021,05,23290,race-ethnicity,_supp_white,2,2,2,2,2,116,,,,,
2021,05,24550,all,All,2,2,2,2,2,227,227,227,.0155309252,1,1
2021,05,24550,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,41,40,42,.1806167364,1,1
2021,05,24550,race-ethnicity,Hispanic,2,2,2,2,2,44,43,45,.1938326061,1,1
2021,05,24550,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,38,37,39,.1674008816,2,2
2021,05,24550,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,100,100,100,.4405286312,1,1
2021,05,24550,race-ethnicity,_supp_all,2,2,2,2,2,14,,,,,
2021,05,24550,race-ethnicity,_supp_black,2,2,2,2,2,122,,,,,
2021,05,24550,race-ethnicity,_supp_hispanic,2,2,2,2,2,148,,,,,
2021,05,24550,race-ethnicity,_supp_other,2,2,2,2,2,326,,,,,
2021,05,24550,race-ethnicity,_supp_white,2,2,2,2,2,116,,,,,
2021,05,35710,all,All,4,4,4,4,4,308,308,308,.0204978045,1,1
2021,05,35710,race-ethnicity,"Black, Non-Hispanic",4,4,4,4,4,147,147,147,.4772727191,1,1
2021,05,35710,race-ethnicity,Hispanic,4,4,4,4,4,18,17,19,.058441557,3,3
2021,05,35710,race-ethnicity,Other Races and Ethnicities,4,4,4,4,4,21,20,22,.0681818202,2,2
2021,05,35710,race-ethnicity,"White, Non-Hispanic",4,4,4,4,4,113,112,114,.3668831289,1,1
2021,05,35710,race-ethnicity,_supp_all,4,4,4,4,4,28,,,,,
2021,05,35710,race-ethnicity,_supp_black,4,4,4,4,4,244,,,,,
2021,05,35710,race-ethnicity,_supp_hispanic,4,4,4,4,4,296,,,,,
2021,05,35710,race-ethnicity,_supp_other,4,4,4,4,4,652,,,,,
2021,05,35710,race-ethnicity,_supp_white,4,4,4,4,4,232,,,,,
2021,05,41000,all,All,10,10,10,10,10,381,380,382,.0082555087,1,1
2021,05,41000,race-ethnicity,"Black, Non-Hispanic",10,10,10,10,10,237,233,241,.6220472455,1,1
2021,05,41000,race-ethnicity,Hispanic,10,10,10,10,10,58,56,60,.152230978,2,2
2021,05,41000,race-ethnicity,Other Races and Ethnicities,10,10,10,10,10,19,11,27,.0498687662,3,3
2021,05,41000,race-ethnicity,"White, Non-Hispanic",10,10,10,10,10,60,57,63,.1574803144,3,3
2021,05,41000,race-ethnicity,_supp_all,10,10,10,10,10,70,,,,,
2021,05,41000,race-ethnicity,_supp_black,10,10,10,10,10,610,,,,,
2021,05,41000,race-ethnicity,_supp_hispanic,10,10,10,10,10,740,,,,,
2021,05,41000,race-ethnicity,_supp_other,10,10,10,10,10,1630,,,,,
2021,05,41000,race-ethnicity,_supp_white,10,10,10,10,10,580,,,,,
2021,05,66080,all,All,2,2,2,2,2,587,587,587,.0257016513,1,1
2021,05,66080,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,17,17,17,.0289608184,1,1
2021,05,66080,race-ethnicity,Hispanic,2,2,2,2,2,173,173,173,.2947189212,1,1
2021,05,66080,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,273,272,274,.4650766551,1,1
2021,05,66080,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,124,123,125,.2112436146,1,1
2021,05,66080,race-ethnicity,_supp_all,2,2,2,2,2,14,,,,,
2021,05,66080,race-ethnicity,_supp_black,2,2,2,2,2,122,,,,,
2021,05,66080,race-ethnicity,_supp_hispanic,2,2,2,2,2,148,,,,,
2021,05,66080,race-ethnicity,_supp_other,2,2,2,2,2,326,,,,,
2021,05,66080,race-ethnicity,_supp_white,2,2,2,2,2,116,,,,,
2021,06,00562,all,All,4,4,4,4,4,83,82,84,.0083274804,1,1
2021,06,00562,race-ethnicity,"Black, Non-Hispanic",4,4,4,4,4,21,20,22,.2530120611,2,2
2021,06,00562,race-ethnicity,Hispanic,4,4,4,4,4,27,26,28,.3253012002,2,2
2021,06,00562,race-ethnicity,Other Races and Ethnicities,4,4,4,4,4,28,26,30,.337349385,3,3
2021,06,00562,race-ethnicity,"White, Non-Hispanic",4,4,4,4,4,8,7,9,.0963855386,3,3
2021,06,00562,race-ethnicity,_supp_all,4,4,4,4,4,944,,,,,
2021,06,00562,race-ethnicity,_supp_black,4,4,4,4,4,1472,,,,,
2021,06,00562,race-ethnicity,_supp_hispanic,4,4,4,4,4,1692,,,,,
2021,06,00562,race-ethnicity,_supp_other,4,4,4,4,4,3736,,,,,
2021,06,00562,race-ethnicity,_supp_white,4,4,4,4,4,1516,,,,,
2021,06,00884,all,All,1,1,1,1,1,294,294,294,.0192635302,1,1
2021,06,00884,race-ethnicity,"Black, Non-Hispanic",1,1,1,1,1,1,0,2,.0034013605,3,3
2021,06,00884,race-ethnicity,Hispanic,1,1,1,1,1,236,236,236,.8027210832,1,1
2021,06,00884,race-ethnicity,Other Races and Ethnicities,1,1,1,1,1,47,47,47,.1598639488,1,1
2021,06,00884,race-ethnicity,"White, Non-Hispanic",1,1,1,1,1,7,7,7,.0238095243,1,1
2021,06,00884,race-ethnicity,_supp_all,1,1,1,1,1,236,,,,,
2021,06,00884,race-ethnicity,_supp_black,1,1,1,1,1,368,,,,,
2021,06,00884,race-ethnicity,_supp_hispanic,1,1,1,1,1,423,,,,,
2021,06,00884,race-ethnicity,_supp_other,1,1,1,1,1,934,,,,,
2021,06,00884,race-ethnicity,_supp_white,1,1,1,1,1,379,,,,,
2021,06,02000,all,All,7,7,7,7,7,5430,5429,5431,.1048505455,1,1
2021,06,02000,race-ethnicity,"Black, Non-Hispanic",7,7,7,7,7,128,127,129,.0235727448,1,1
2021,06,02000,race-ethnicity,Hispanic,7,7,7,7,7,4571,4571,4571,.8418048024,1,1
2021,06,02000,race-ethnicity,Other Races and Ethnicities,7,7,7,7,7,460,458,462,.0847145468,1,1
2021,06,02000,race-ethnicity,"White, Non-Hispanic",7,7,7,7,7,257,255,259,.0473296493,1,1
