year,state,place,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,41,59000,1464,1464,1464,.0234961808,1,1
2021,41,64900,826,826,826,.020907687,1,1
2021,42,02000,637,637,637,.0208647233,1,1
2021,42,06088,316,316,316,.0198779646,1,1
2021,42,24000,427,427,427,.0204325765,1,1
2021,42,60000,5827,5815,5839,.0315612741,1,1
2021,42,61000,1101,1096,1106,.0157386884,1,1
2021,42,63624,994,994,994,.0364864357,1,1
2021,42,69000,188,188,188,.0202739127,1,1
2021,44,19180,43,43,43,.0041918503,1,1
2021,44,54640,88,88,88,.0103883836,1,1
2021,44,59000,395,390,400,.0145691941,1,1
2021,44,74300,79,79,79,.0096718902,1,1
2021,45,13330,285,285,285,.0057773003,1,1
2021,45,16000,1292,1292,1292,.0140495868,1,1
2021,45,48535,,,,,,
2021,45,50875,,,,,,
2021,46,59020,796,796,796,.0318948589,1,1
2021,47,14000,1620,1620,1620,.0358597487,1,1
2021,47,15160,768,768,768,.0203821659,1,1
2021,47,27740,237,237,237,.0052427831,1,1
2021,47,40000,466,466,466,.0076940856,1,1
2021,47,48000,1383,1383,1383,.0130970869,1,1
2021,47,51560,1302,1302,1302,.0222116075,1,1
2021,47,52006,3436,3435,3437,.0373093002,1,1
