year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2018,48,43888,tenure,All,2,2,2,0.5478445630336028,0.7360052908605232,1.1672016737873772,1.5129060112695873,1.6357967990606532,1.9522570534047459,2,2,2
2017,48,43888,tenure,All,2,2,2,0.5299771847864022,0.6550692251334035,1.1293754251559849,1.7410311709195718,1.5328572631449493,1.7724982063700012,2,2,2
2016,48,43888,tenure,All,2,2,2,0.4867542393431185,0.568171972663803,0.9937875845536043,1.1907094859337857,1.262586811313944,1.6979564006560441,2,2,2
2015,48,43888,tenure,All,2,2,2,0.4993891381492264,0.6866838122262747,1.232054915520239,1.3434446217800577,1.5901714061162497,1.968022070335754,2,2,2
2014,48,43888,tenure,All,2,2,2,0.7801636977142314,0.8208603939521939,1.1731284163543085,1.4703883611008244,1.523030654047703,1.8732313976407193,2,2,2
2023,48,45000,tenure,All,1,1,1,0.2420506457293125,0.4818581890786975,0.9395334671509804,0.7472388692552386,0.9843635772840496,1.4413644765510454,1,1,1
2022,48,45000,tenure,All,1,1,1,0.3194800871588711,0.48725692411288024,0.8680486072166106,0.7967369862880104,1.0051881571538455,1.4089874802017597,1,1,1
2021,48,45000,tenure,All,3,3,3,0.3347809223390028,0.5133730565007026,0.96017015159134,0.816821997571767,1.0737572684954033,1.588321330259701,3,3,3
2019,48,45000,tenure,All,3,3,3,0.39903607361416094,0.4721703991792174,0.9116754905924306,1.0147364230537481,1.0807219095879688,1.6399453486010347,3,3,3
2018,48,45000,tenure,All,3,3,3,0.2800810956230946,0.4053490780322501,0.9636089029932143,0.8615197949854053,1.0423702084417097,1.5420454161131893,3,3,3
2017,48,45000,tenure,All,3,3,3,0.33140287926451567,0.3903764170430657,0.8597404816047023,0.7529774370996967,0.8565228119120707,1.457907357254306,3,3,3
2016,48,45000,tenure,All,3,3,3,0.3809502043471402,0.444018549054854,0.8869037576806656,1.0192882514173285,1.1035321288407354,1.5168186987293066,3,3,3
2015,48,45000,tenure,All,3,3,3,0.31467524746029346,0.3802529577365091,0.8433782118954345,0.9454181527458703,1.0111075299009733,1.4897758420110807,3,3,3
2014,48,45000,tenure,All,3,3,3,0.32559194493695387,0.5126218927171491,0.9827181958372448,0.9676209209402354,1.1332315163972162,1.555337401112354,3,3,3
