year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,103,race-ethnicity,"White, Non-Hispanic",23,23,23,.2233009636,1,1
2021,01,105,all,All,,,,,,
2021,01,105,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,105,race-ethnicity,Hispanic,,,,,,
2021,01,105,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,105,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,107,all,All,3,3,3,.0012804097,1,1
2021,01,107,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,107,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,107,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,107,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,109,all,All,68,68,68,.017712947,1,1
2021,01,109,race-ethnicity,"Black, Non-Hispanic",50,50,50,.7352941036,1,1
2021,01,109,race-ethnicity,Hispanic,5,4,6,.0735294148,3,3
2021,01,109,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,109,race-ethnicity,"White, Non-Hispanic",13,12,14,.1911764741,3,3
2021,01,111,all,All,6,6,6,.0029239766,1,1
2021,01,111,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,111,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,111,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,111,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,113,all,All,114,114,114,.0103448275,1,1
2021,01,113,race-ethnicity,"Black, Non-Hispanic",65,65,65,.5701754093,1,1
2021,01,113,race-ethnicity,Hispanic,7,6,8,.0614035092,3,3
2021,01,113,race-ethnicity,Other Races and Ethnicities,8,7,9,.0701754391,3,3
2021,01,113,race-ethnicity,"White, Non-Hispanic",31,31,31,.2719298303,1,1
2021,01,115,all,All,210,210,210,.0150959669,1,1
2021,01,115,race-ethnicity,"Black, Non-Hispanic",13,12,14,.0619047619,3,3
2021,01,115,race-ethnicity,Hispanic,107,107,107,.509523809,1,1
2021,01,115,race-ethnicity,Other Races and Ethnicities,4,4,4,.0190476198,1,1
2021,01,115,race-ethnicity,"White, Non-Hispanic",78,77,79,.3714285791,1,1
2021,01,117,all,All,387,387,387,.0124935433,1,1
2021,01,117,race-ethnicity,"Black, Non-Hispanic",101,100,102,.2609819174,1,1
2021,01,117,race-ethnicity,Hispanic,99,99,99,.2558139563,1,1
2021,01,117,race-ethnicity,Other Races and Ethnicities,17,16,18,.0439276472,3,3
2021,01,117,race-ethnicity,"White, Non-Hispanic",163,163,163,.4211886227,1,1
2021,01,119,all,All,,,,,,
2021,01,119,race-ethnicity,"Black, Non-Hispanic",,,,,,
