year,state,county,share_affordable_80_ami,share_affordable_50_ami,housing_quality
2018,13,269,1.5674587245,1.5384002613,2
2018,13,271,1.8298064281,1.9344798525,2
2018,13,273,1.6264784422,1.5608432893,2
2018,13,275,1.6048552672,1.5369649898,2
2018,13,277,1.5559243294,1.4865653765,2
2018,13,279,1.8298064575,1.9344798205,2
2018,13,281,1.56444558,1.8758151489,2
2018,13,283,1.5031900375,1.6766931506,2
2018,13,285,1.4710341939,1.2263687514,2
2018,13,287,1.5666093679,1.4452013178,2
2018,13,289,1.6519691416,1.5905129556,2
2018,13,291,1.5504982882,1.7169657257,2
2018,13,293,1.5817377559,1.3713896718,2
2018,13,295,1.7411306102,1.7195110682,2
2018,13,297,1.6212981238,1.675138307,2
2018,13,299,1.6520228533,1.6886754921,2
2018,13,301,1.7049300679,1.9326728137,2
2018,13,303,1.7346771579,1.9389090529,2
2018,13,305,1.7799370253,1.934674642,2
2018,13,307,1.5133145501,1.5219400727,2
2018,13,309,1.8298064772,1.934479902,2
2018,13,311,1.5658911316,1.8479788375,2
2018,13,313,1.7652680933,1.7088151055,1
2018,13,315,1.6508627898,1.6249188318,2
2018,13,317,1.7049300552,1.9326728371,2
2018,13,319,1.7570954911,1.5344376315,2
2018,13,321,1.5093247241,1.499214236,2
2018,15,001,1.2898095891,1.4588168695,1
2018,15,003,1.2412465768,1.1509160184,1
2018,15,005,,,
2018,15,007,1.4479969384,1.2348331205,2
2018,15,009,1.4525789185,1.2332158895,2
2018,16,001,1.6446080285,1.3983125618,1
2018,16,003,1.5931020857,1.6988544465,2
2018,16,005,1.757174929,2.2047740675,2
2018,16,007,1.7814937166,2.228500564,2
2018,16,009,1.5209848275,1.8016592616,2
2018,16,011,1.8289330684,2.0803124624,2
2018,16,013,1.4956306041,2.1628179648,2
2018,16,015,1.5823067992,1.63232238,2
2018,16,017,1.5209848133,1.8016592888,2
2018,16,019,1.7963483146,1.8171227607,1
2018,16,021,1.5209848146,1.8016593763,2
2018,16,023,1.5931020924,1.6988544885,2
2018,16,025,1.8927015542,2.1380223567,2
2018,16,027,1.6321105046,1.7269778475,2
2018,16,029,1.6361731127,2.0991788304,2
2018,16,031,1.7867939619,1.935918323,2
2018,16,033,1.5931020736,1.698854411,2
2018,16,035,1.5931021007,1.6988544905,2
2018,16,037,1.5949977836,1.7158273217,2
2018,16,039,1.8927014933,2.1380222624,2
2018,16,041,1.6217294435,2.0479819213,2
