year,state,county,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality
2014,05,045,0.2906730555,0.2990827721,0.2822633389,0.4306942954,0.4418576635,0.4195309273,0.5595419847,0.5724051458,0.5466788237,2
2014,05,047,0.2443715521,0.2688856016,0.2198575027,0.3107698142,0.3405434062,0.2809962221,0.3107698142,0.3405434062,0.2809962221,2
2014,05,049,0.1925351662,0.2155648667,0.1695054658,0.3284701391,0.3642999879,0.2926402903,0.3284701391,0.3642999879,0.2926402903,2
2014,05,051,0.429106434,0.4399907409,0.4182221271,0.5903205264,0.6031938914,0.5774471614,0.5903205264,0.6031938914,0.5774471614,2
2014,05,053,0.2606252195,0.2803546542,0.2408957848,0.3414241344,0.3658170105,0.3170312582,0.4395734597,0.4685440069,0.4106029126,2
2014,05,055,0.4320415542,0.4463951787,0.4176879297,0.5433799342,0.5601235787,0.5266362897,0.5452561937,0.5622189076,0.5282934798,2
2014,05,057,0.2856694889,0.305375943,0.2659630348,0.4243129949,0.4505899218,0.3980360679,0.4243129949,0.4505899218,0.3980360679,2
2014,05,059,0.4229917307,0.4414132087,0.4045702526,0.5761939293,0.5980201107,0.5543677479,0.5855353195,0.6074695476,0.5636010914,2
2014,05,061,0.2443715521,0.2724659024,0.2162772019,0.3107698142,0.3448918684,0.27664776,0.3107698142,0.3448918684,0.27664776,2
2014,05,063,0.191038858,0.2042439471,0.177833769,0.3284701391,0.3491565119,0.3077837662,0.3284701391,0.3491565119,0.3077837662,2
2014,05,065,0.1925351662,0.2142746315,0.170795701,0.3284701391,0.3622926265,0.2946476517,0.3284701391,0.3622926265,0.2946476517,2
2014,05,067,0.3313731896,0.3552929513,0.3074534279,0.4475,0.4768634289,0.4181365711,0.4475,0.4768634289,0.4181365711,2
2014,05,069,0.2939486976,0.3043777652,0.28351963,0.4345534407,0.4483507623,0.4207561191,0.4395734597,0.4534680781,0.4256788414,2
2014,05,071,0.2032705838,0.2213482721,0.1851928955,0.3578242678,0.3863942302,0.3292543053,0.3578242678,0.3863942302,0.3292543053,2
2014,05,073,0.2856694889,0.3196414438,0.2516975339,0.4243129949,0.4696117875,0.3790142022,0.4243129949,0.4696117875,0.3790142022,2
2014,05,075,0.449674034,0.4724657848,0.4268822833,0.5571115974,0.5838090442,0.5304141505,0.5571115974,0.5838090442,0.5304141505,2
2014,05,077,0.2900756484,0.3176061479,0.2625451489,0.3654828095,0.398276133,0.332689486,0.3654828095,0.398276133,0.332689486,2
2014,05,079,0.3403683013,0.3663681621,0.3143684405,0.4383160139,0.4692121746,0.4074198531,0.4383160139,0.4692121746,0.4074198531,2
2014,05,081,0.2675739182,0.2920538035,0.2430940329,0.4104219853,0.4441107399,0.3767332307,0.4197511903,0.453932033,0.3855703476,2
2014,05,083,0.205801105,0.2248622537,0.1867399563,0.2713576159,0.2954309342,0.2472842976,0.2771389922,0.3016274683,0.2526505161,2
2014,05,085,0.2906730555,0.3015068286,0.2798392824,0.4306942954,0.4450754454,0.4163131453,0.5595419847,0.5761128841,0.5429710854,2
2014,05,087,0.1448721014,0.1641544239,0.1255897788,0.2151988636,0.2426385303,0.187759197,0.2439613527,0.2744931293,0.213429576,2
2014,05,089,0.1710575837,0.192842293,0.1492728745,0.2462413653,0.27614503,0.2163377006,0.2462413653,0.27614503,0.2163377006,2
2014,05,091,0.2629148629,0.2761963653,0.2496333606,0.3823447118,0.4000254913,0.3646639323,0.4197511903,0.4385648075,0.4009375731,2
2014,05,093,0.2783776427,0.291079665,0.2656756204,0.3897693596,0.4062397244,0.3732989948,0.3897693596,0.4062397244,0.3732989948,2
2014,05,095,0.2900756484,0.3213160485,0.2588352483,0.3654828095,0.4026952308,0.3282703881,0.3654828095,0.4026952308,0.3282703881,2
2014,05,097,0.4229917307,0.4572459087,0.3887375527,0.5855353195,0.6263213494,0.5447492896,0.5855353195,0.6263213494,0.5447492896,2
2014,05,099,0.2819269651,0.3128311674,0.2510227628,0.4197511903,0.4611126329,0.3783897477,0.4197511903,0.4611126329,0.3783897477,2
2014,05,101,0.1710575837,0.2018658151,0.1402493524,0.2462413653,0.2885315335,0.2039511971,0.2462413653,0.2885315335,0.2039511971,2
2014,05,103,0.406965598,0.4269603821,0.386970814,0.4990669155,0.5218329984,0.4763008326,0.4990669155,0.5218329984,0.4763008326,2
2014,05,105,0.1722387819,0.1966573304,0.1478202335,0.2460016109,0.2792874508,0.2127157709,0.321021021,0.3622400728,0.2798019692,2
2014,05,107,0.2900756484,0.3091412267,0.2710100702,0.3654828095,0.3881930286,0.3427725904,0.3654828095,0.3881930286,0.3427725904,2
2014,05,109,0.2856694889,0.3136048998,0.257734078,0.4243129949,0.4615625553,0.3870634345,0.4243129949,0.4615625553,0.3870634345,2
2014,05,111,0.2900756484,0.3080305025,0.2721207943,0.3654828095,0.3868699746,0.3440956443,0.3654828095,0.3868699746,0.3440956443,2
2014,05,113,0.2443715521,0.2673677689,0.2213753353,0.3107698142,0.3386999193,0.2828397091,0.3107698142,0.3386999193,0.2828397091,2
2014,05,115,0.1850761773,0.1957894098,0.1743629448,0.2937216651,0.3095500071,0.277893323,0.321021021,0.3379828679,0.3040591741,2
2014,05,117,0.3281216304,0.3623383195,0.2939049412,0.4441039113,0.4862288421,0.4019789804,0.4441039113,0.4862288421,0.4019789804,2
2014,05,119,0.2987400301,0.3030534739,0.2944265862,0.4524192984,0.458191698,0.4466468987,0.5350692986,0.5414047199,0.5287338773,1
2014,05,121,0.4333656842,0.4553170576,0.4114143109,0.5452561937,0.5711486527,0.5193637347,0.5452561937,0.5711486527,0.5193637347,2
2014,05,123,0.2900756484,0.3068235793,0.2733277176,0.3654828095,0.3854323318,0.3455332871,0.3654828095,0.3854323318,0.3455332871,2
2014,05,125,0.1962361512,0.2058257416,0.1866465607,0.2900608519,0.3042234438,0.2758982601,0.3986062718,0.416519202,0.3806933416,3
2014,05,127,0.2443715521,0.2755215587,0.2132215455,0.3107698142,0.3486031224,0.272936506,0.3107698142,0.3486031224,0.272936506,2
2014,05,129,0.1710575837,0.2021551006,0.1399600669,0.2462413653,0.288928633,0.2035540976,0.2462413653,0.288928633,0.2035540976,2
2014,05,131,0.3000957625,0.3085857232,0.2916058018,0.4591154656,0.4705337462,0.4476971851,0.4591154656,0.4705337462,0.4476971851,2
2014,05,133,0.2443715521,0.2696895535,0.2190535507,0.3107698142,0.3415198478,0.2800197805,0.3107698142,0.3415198478,0.2800197805,2
2014,05,135,0.1925351662,0.2119220356,0.1731482969,0.3284701391,0.3586324332,0.298307845,0.3284701391,0.3586324332,0.298307845,2
2014,05,137,0.1925351662,0.2154379803,0.1696323521,0.3284701391,0.3641025768,0.2928377014,0.3284701391,0.3641025768,0.2928377014,2
