year,state,place,subgroup_type,subgroup,share_employed,share_employed_quality
2018,06,04982,all,All,0.8035375249958454,3
2018,06,06000,race-ethnicity,"Black, Non-Hispanic",0.8400804626602967,1
2018,06,06000,race-ethnicity,Hispanic,0.6964933494558645,1
2018,06,06000,race-ethnicity,Other Races and Ethnicities,0.7918656255266558,1
2018,06,06000,race-ethnicity,"White, Non-Hispanic",0.816816374613459,1
2018,06,06000,all,All,0.7961589690053636,1
2018,06,08786,race-ethnicity,"Black, Non-Hispanic",0.8532902838177523,3
2018,06,08786,race-ethnicity,Hispanic,0.8154273592400232,3
2018,06,08786,race-ethnicity,Other Races and Ethnicities,0.8293860112169792,3
2018,06,08786,race-ethnicity,"White, Non-Hispanic",0.8199692055422086,3
2018,06,08786,all,All,0.823168352958717,3
2018,06,08954,race-ethnicity,"Black, Non-Hispanic",0.8912855910267472,1
2018,06,08954,race-ethnicity,Hispanic,0.7303751637007936,1
2018,06,08954,race-ethnicity,Other Races and Ethnicities,0.7513184584178499,1
2018,06,08954,race-ethnicity,"White, Non-Hispanic",0.8335265476466498,1
2018,06,08954,all,All,0.7950951264970199,1
2018,06,11194,race-ethnicity,"Black, Non-Hispanic",0.1429464018957461,1
2018,06,11194,race-ethnicity,Hispanic,0.8303379836434679,1
2018,06,11194,race-ethnicity,Other Races and Ethnicities,0.8424376097300599,1
2018,06,11194,race-ethnicity,"White, Non-Hispanic",0.8454629650645491,1
2018,06,11194,all,All,0.8241308763354822,1
2018,06,11530,race-ethnicity,"Black, Non-Hispanic",0.7775203134507582,3
2018,06,11530,race-ethnicity,Hispanic,0.7838055805310535,3
2018,06,11530,race-ethnicity,Other Races and Ethnicities,0.8577683081241363,3
2018,06,11530,race-ethnicity,"White, Non-Hispanic",0.9041344674594411,3
2018,06,11530,all,All,0.8122564684142591,3
2018,06,13014,race-ethnicity,"Black, Non-Hispanic",0.4576719576719577,3
2018,06,13014,race-ethnicity,Hispanic,0.8322862605845397,3
2018,06,13014,race-ethnicity,Other Races and Ethnicities,0.7455059065228558,3
2018,06,13014,race-ethnicity,"White, Non-Hispanic",0.8391931962592459,3
2018,06,13014,all,All,0.8226952017064767,3
2018,06,13210,race-ethnicity,"Black, Non-Hispanic",0.8457471216698195,3
2018,06,13210,race-ethnicity,Hispanic,0.7912181866551656,3
2018,06,13210,race-ethnicity,Other Races and Ethnicities,0.7881871669520096,3
2018,06,13210,race-ethnicity,"White, Non-Hispanic",0.7377956398845844,3
2018,06,13210,all,All,0.780946246082621,3
2018,06,13214,race-ethnicity,"Black, Non-Hispanic",0.8479642268769122,3
2018,06,13214,race-ethnicity,Hispanic,0.7895964193026668,3
2018,06,13214,race-ethnicity,Other Races and Ethnicities,0.7912544865621991,3
2018,06,13214,race-ethnicity,"White, Non-Hispanic",0.7336839030090564,3
2018,06,13214,all,All,0.7801178016017628,3
2018,06,13392,race-ethnicity,"Black, Non-Hispanic",0.771990004733355,1
2018,06,13392,race-ethnicity,Hispanic,0.7840757920179328,1
2018,06,13392,race-ethnicity,Other Races and Ethnicities,0.8552966227328794,1
2018,06,13392,race-ethnicity,"White, Non-Hispanic",0.812955193766863,1
2018,06,13392,all,All,0.8011930269433497,1
2018,06,13588,race-ethnicity,"Black, Non-Hispanic",0.810682852313929,3
