year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,26,21000,all,All,0.6733077633354642,0.6535364818043027,0.6930790448666256,3
2018,26,21000,disability,With Disability,0.3841414944356121,0.2970759258733223,0.4712070629979018,3
2018,26,21000,disability,Without Disability,0.7016808361282272,0.6807392172127523,0.722622455043702,3
2018,26,22000,all,All,0.6090385919245433,0.5965044304660404,0.6215727533830463,1
2018,26,22000,disability,With Disability,0.23932875246137456,0.21187535116064404,0.26678215376210507,1
2018,26,22000,disability,Without Disability,0.6815241120331545,0.6678329374449286,0.6952152866213805,1
2018,26,27440,all,All,0.8177993576307734,0.8006483460245315,0.8349503692370153,2
2018,26,27440,disability,With Disability,0.4991840065279477,0.3967344532151338,0.6016335598407616,2
2018,26,27440,disability,Without Disability,0.8432304811528127,0.8264971698436322,0.8599637924619933,2
2018,26,29000,all,All,0.5577526592051546,0.5210782037324279,0.5944271146778813,3
2018,26,29000,disability,With Disability,0.21184479237576584,0.15220962421109432,0.2714799605404373,3
2018,26,29000,disability,Without Disability,0.6463959249180099,0.6090038672046338,0.683787982631386,3
2018,26,34000,all,All,0.7965610568094579,0.7757497650145866,0.8173723486043292,1
2018,26,34000,disability,With Disability,0.3643514872731344,0.2913692314630241,0.43733374308324463,1
2018,26,34000,disability,Without Disability,0.8408845452519006,0.821620133180347,0.8601489573234542,1
2018,26,46000,all,All,0.7796623826455602,0.7556683463238429,0.8036564189672775,3
2018,26,46000,disability,With Disability,0.4238648450835847,0.34936722501255835,0.498362465154611,3
2018,26,46000,disability,Without Disability,0.8474394479398375,0.8272959501587177,0.8675829457209573,3
2018,26,49000,all,All,0.8242599277978341,0.8034522494307174,0.8450676061649508,2
2018,26,49000,disability,With Disability,0.3811166199611985,0.2942460624032947,0.4679871775191023,2
2018,26,49000,disability,Without Disability,0.8647583774945332,0.8439966647725307,0.8855200902165358,2
2018,26,69035,all,All,0.7989587161311813,0.7807929315876868,0.8171245006746758,2
2018,26,69035,disability,With Disability,0.38868955614923084,0.28020369620769325,0.49717541609076843,2
2018,26,69035,disability,Without Disability,0.8223209296603295,0.8063753600727618,0.8382664992478973,2
2018,26,74900,all,All,0.8177993576307735,0.8006483460245316,0.8349503692370154,2
2018,26,74900,disability,With Disability,0.4991840065279477,0.39673445321513373,0.6016335598407616,2
2018,26,74900,disability,Without Disability,0.8432304811528128,0.8264971698436323,0.8599637924619934,2
2018,26,76460,all,All,0.7976288679571047,0.7777183436542522,0.8175393922599573,1
2018,26,76460,disability,With Disability,0.44331742243436756,0.32642258232692467,0.5602122625418104,1
2018,26,76460,disability,Without Disability,0.821978472578165,0.80260879219455,0.8413481529617801,1
2018,26,80700,all,All,0.799342351094836,0.7810089997537543,0.8176757024359177,2
2018,26,80700,disability,With Disability,0.3885296598256958,0.2772648736669153,0.4997944459844763,2
2018,26,80700,disability,Without Disability,0.8224095472627392,0.8063182019295362,0.8385008925959422,2
2018,26,84000,all,All,0.7409260707149683,0.7176644758260962,0.7641876656038404,2
2018,26,84000,disability,With Disability,0.32121704796190914,0.2641139677406728,0.3783201281831455,2
