year,state,county,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,089,race-ethnicity,"Black, Non-Hispanic",0.8109225368072406,1
2018,01,089,race-ethnicity,Hispanic,0.6823432533089517,1
2018,01,089,race-ethnicity,Other Races and Ethnicities,0.7168546655338083,1
2018,01,089,race-ethnicity,"White, Non-Hispanic",0.8066956876432104,1
2018,01,089,all,All,0.7944112087746423,1
2018,01,091,race-ethnicity,"Black, Non-Hispanic",0.5490778813662827,3
2018,01,091,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,091,race-ethnicity,"White, Non-Hispanic",0.676888970995751,3
2018,01,091,all,All,0.6030012647144664,3
2018,01,093,race-ethnicity,"Black, Non-Hispanic",0.5411610895231022,3
2018,01,093,race-ethnicity,Hispanic,0.7912190709619021,3
2018,01,093,race-ethnicity,Other Races and Ethnicities,0.6349862104766796,3
2018,01,093,race-ethnicity,"White, Non-Hispanic",0.7287222991265069,3
2018,01,093,all,All,0.7147165985369138,3
2018,01,095,race-ethnicity,"Black, Non-Hispanic",0.5148717948717949,1
2018,01,095,race-ethnicity,Hispanic,0.614858787551718,1
2018,01,095,race-ethnicity,Other Races and Ethnicities,0.868788386376326,1
2018,01,095,race-ethnicity,"White, Non-Hispanic",0.7702770914694084,1
2018,01,095,all,All,0.7450203446880126,1
2018,01,097,race-ethnicity,"Black, Non-Hispanic",0.6502635884384658,1
2018,01,097,race-ethnicity,Hispanic,0.7421668554171386,1
2018,01,097,race-ethnicity,Other Races and Ethnicities,0.8413264770699969,1
2018,01,097,race-ethnicity,"White, Non-Hispanic",0.7288679179981772,1
2018,01,097,all,All,0.7085383150819714,1
2018,01,099,race-ethnicity,"Black, Non-Hispanic",0.5943619431160332,3
2018,01,099,race-ethnicity,Hispanic,0.37464788732394366,3
2018,01,099,race-ethnicity,Other Races and Ethnicities,0.6519963702359346,3
2018,01,099,race-ethnicity,"White, Non-Hispanic",0.6489555778527775,3
2018,01,099,all,All,0.6224577226606539,3
2018,01,101,race-ethnicity,"Black, Non-Hispanic",0.7382837329221682,1
2018,01,101,race-ethnicity,Hispanic,0.6800075960761414,1
2018,01,101,race-ethnicity,Other Races and Ethnicities,0.7405016619566721,1
2018,01,101,race-ethnicity,"White, Non-Hispanic",0.8039137074232189,1
2018,01,101,all,All,0.7589771663936965,1
2018,01,103,race-ethnicity,"Black, Non-Hispanic",0.8121775025799794,1
2018,01,103,race-ethnicity,Hispanic,0.6724489795918367,1
2018,01,103,race-ethnicity,Other Races and Ethnicities,0.7637506547930853,1
2018,01,103,race-ethnicity,"White, Non-Hispanic",0.7365874585885549,1
2018,01,103,all,All,0.7435449602074256,1
2018,01,105,race-ethnicity,"Black, Non-Hispanic",0.5490778813662827,3
2018,01,105,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,105,race-ethnicity,"White, Non-Hispanic",0.676888970995751,3
2018,01,105,all,All,0.6030012647144664,3
2018,01,107,race-ethnicity,"Black, Non-Hispanic",0.8498056308163506,3
2018,01,107,race-ethnicity,Hispanic,0.9515219842164601,3
2018,01,107,race-ethnicity,Other Races and Ethnicities,0.8210947930574101,3
2018,01,107,race-ethnicity,"White, Non-Hispanic",0.779483188044832,3
2018,01,107,all,All,0.7979642561249852,3
2018,01,109,race-ethnicity,"Black, Non-Hispanic",0.5932264384821465,3
2018,01,109,race-ethnicity,Hispanic,0.7629904559915164,3
2018,01,109,race-ethnicity,Other Races and Ethnicities,0.7066441441441442,3
2018,01,109,race-ethnicity,"White, Non-Hispanic",0.6815205707026287,3
2018,01,109,all,All,0.6406170502879704,3
2018,01,111,race-ethnicity,"Black, Non-Hispanic",0.6445486698446872,3
2018,01,111,race-ethnicity,Hispanic,0.34027777777777773,3
2018,01,111,race-ethnicity,Other Races and Ethnicities,0.5198135198135198,3
2018,01,111,race-ethnicity,"White, Non-Hispanic",0.7436266243428231,3
2018,01,111,all,All,0.7148604011736266,3
2018,01,113,race-ethnicity,"Black, Non-Hispanic",0.5932264384821464,2
2018,01,113,race-ethnicity,Hispanic,0.7629904559915164,2
2018,01,113,race-ethnicity,Other Races and Ethnicities,0.7066441441441441,2
2018,01,113,race-ethnicity,"White, Non-Hispanic",0.6815205707026287,2
2018,01,113,all,All,0.6406170502879703,2
2018,01,115,race-ethnicity,"Black, Non-Hispanic",0.8899736147757257,2
