year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,Alaska,"Chugach Census Area, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Chugach Census Area, Alaska",.0057143,1,race-ethnicity,Majority White
2023,Alaska,"Copper River Census Area, Alaska",.0135135,1,race-ethnicity,All
2023,Alaska,"Copper River Census Area, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Copper River Census Area, Alaska",.0136986,1,race-ethnicity,Majority White
2023,Alaska,"Denali Borough, Alaska",.08,1,race-ethnicity,All
2023,Alaska,"Denali Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Denali Borough, Alaska",.08,1,race-ethnicity,Majority White
2023,Alaska,"Dillingham Census Area, Alaska",.0210526,1,race-ethnicity,All
2023,Alaska,"Dillingham Census Area, Alaska",.0210526,1,race-ethnicity,Majority Non-White
2023,Alaska,"Dillingham Census Area, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Fairbanks North Star Borough, Alaska",.0488936,1,race-ethnicity,All
2023,Alaska,"Fairbanks North Star Borough, Alaska",.0185185,1,race-ethnicity,Majority Non-White
2023,Alaska,"Fairbanks North Star Borough, Alaska",.0493643,1,race-ethnicity,Majority White
2023,Alaska,"Haines Borough, Alaska",.027027,1,race-ethnicity,All
2023,Alaska,"Haines Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Haines Borough, Alaska",.027027,1,race-ethnicity,Majority White
2023,Alaska,"Hoonah-Angoon Census Area, Alaska",.037037,1,race-ethnicity,All
2023,Alaska,"Hoonah-Angoon Census Area, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Hoonah-Angoon Census Area, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Juneau City and Borough, Alaska",.022869,1,race-ethnicity,All
2023,Alaska,"Juneau City and Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Juneau City and Borough, Alaska",.022869,1,race-ethnicity,Majority White
2023,Alaska,"Kenai Peninsula Borough, Alaska",.0346562,1,race-ethnicity,All
2023,Alaska,"Kenai Peninsula Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Kenai Peninsula Borough, Alaska",.0347339,1,race-ethnicity,Majority White
2023,Alaska,"Ketchikan Gateway Borough, Alaska",.0283224,1,race-ethnicity,All
2023,Alaska,"Ketchikan Gateway Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Ketchikan Gateway Borough, Alaska",.0283224,1,race-ethnicity,Majority White
2023,Alaska,"Kodiak Island Borough, Alaska",.0147059,1,race-ethnicity,All
2023,Alaska,"Kodiak Island Borough, Alaska",.0147059,1,race-ethnicity,Majority Non-White
2023,Alaska,"Kodiak Island Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Kusilvak Census Area, Alaska",.0254237,1,race-ethnicity,All
2023,Alaska,"Kusilvak Census Area, Alaska",.0254237,1,race-ethnicity,Majority Non-White
2023,Alaska,"Kusilvak Census Area, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Lake and Peninsula Borough, Alaska",NA,3,race-ethnicity,All
2023,Alaska,"Lake and Peninsula Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Lake and Peninsula Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Matanuska-Susitna Borough, Alaska",.0314361,1,race-ethnicity,All
2023,Alaska,"Matanuska-Susitna Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Matanuska-Susitna Borough, Alaska",.0314361,1,race-ethnicity,Majority White
2023,Alaska,"Nome Census Area, Alaska",.0182927,1,race-ethnicity,All
2023,Alaska,"Nome Census Area, Alaska",.0182927,1,race-ethnicity,Majority Non-White
2023,Alaska,"Nome Census Area, Alaska",NA,3,race-ethnicity,Majority White
