year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,025,Alabama,Clarke County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,TRUE,White neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,TRUE,All,all,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,TRUE,White neighborhoods,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,All,all,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,White neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,TRUE,All,all,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,TRUE,White neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,TRUE,All,all,NA,NA,33,Strong,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,TRUE,White neighborhoods,race-ethnicity,NA,NA,33,Strong,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,28,Strong,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,TRUE,All,all,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,TRUE,White neighborhoods,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,12,Strong,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,All,all,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,White neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,TRUE,All,all,NA,NA,17,Strong,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,TRUE,White neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
