year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality,share_poverty_exposure,share_poverty_exposure_quality,rate_juv_arrest,rate_juv_arrest_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_digital_access,share_digital_access_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,77256,Alabama,Tuscaloosa city,TRUE,"White, Non-Hispanic",race-ethnicity,23362,20988,26136,Marginal,59534,56110,63838,Marginal,122256,115507,132008,Marginal,NA,NA,NA,NA,NA,NA,0.3082,Strong,NA,NA,0.3583,0.2195,0.4971,Marginal,0.88,0.85,0.91,Strong,0.9821,0.9655,0.9987,Marginal,NA,NA,0.7557,0.7188,0.7926,Marginal
2014,01,77256,Alabama,Tuscaloosa city,TRUE,Other Races and Ethnicities,race-ethnicity,20329,4284,26459,Marginal,36301,26459,64013,Marginal,83951,64013,166433,Marginal,NA,NA,NA,NA,NA,NA,0.2839,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7396,0.6157,0.8636,Marginal
2014,01,77256,Alabama,Tuscaloosa city,TRUE,Hispanic,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1242,Weak,NA,NA,NA,NA,NA,NA,1.11,1.02,1.21,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,02,03000,Alaska,Anchorage municipality,TRUE,All,all,47918,43561,51135,Marginal,104939,101578,108904,Marginal,189612,184642,196305,Marginal,NA,NA,NA,NA,NA,NA,0,Strong,NA,NA,0.364,0.2764,0.4515,Marginal,1.2,1.18,1.22,Strong,0.8471,0.7836,0.9107,Marginal,NA,NA,0.8168,0.7979,0.8356,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,02,03000,Alaska,Anchorage municipality,TRUE,"Black, Non-Hispanic",race-ethnicity,32351,21189,40222,Marginal,86892,70129,101644,Marginal,160314,117356,203738,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,1.17,1.27,Strong,NA,NA,NA,NA,NA,NA,0.7636,0.67,0.8572,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,02,03000,Alaska,Anchorage municipality,TRUE,"White, Non-Hispanic",race-ethnicity,60008,54382,65197,Marginal,119068,112378,123819,Marginal,202125,196376,212436,Marginal,NA,NA,NA,NA,NA,NA,0,Strong,NA,NA,0.4181,0.2778,0.5584,Marginal,1.12,1.11,1.14,Strong,0.8852,0.8114,0.9591,Marginal,NA,NA,0.8408,0.817,0.8646,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,Other Races and Ethnicities,race-ethnicity,33165,27474,39688,Marginal,78222,70449,84074,Marginal,143315,130876,160416,Marginal,NA,NA,NA,NA,NA,NA,0,Strong,NA,NA,0.295,0.1522,0.4378,Marginal,NA,NA,NA,NA,0.7408,0.6099,0.8716,Marginal,NA,NA,0.7439,0.696,0.7919,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,Hispanic,race-ethnicity,34709,30613,41110,Marginal,68043,58749,92037,Marginal,146122,117056,211954,Marginal,NA,NA,NA,NA,NA,NA,0,Marginal,NA,NA,NA,NA,NA,NA,1.2,1.17,1.24,Strong,0.9098,0.7981,1,Marginal,NA,NA,0.8651,0.8077,0.9225,Marginal
2014,04,04720,Arizona,Avondale city,TRUE,All,all,33420,29410,37314,Marginal,69516,65197,78508,Marginal,126589,120312,138202,Marginal,NA,NA,NA,NA,NA,NA,0.2349,Strong,NA,NA,0.1863,0.1052,0.2674,Marginal,1.24,1.2,1.27,Strong,0.852,0.766,0.9381,Marginal,NA,NA,0.77,0.7468,0.7931,NA
2014,04,04720,Arizona,Avondale city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1928,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,04,04720,Arizona,Avondale city,TRUE,"Black, Non-Hispanic",race-ethnicity,28469,21732,42842,Marginal,64166,43464,84218,Marginal,122243,114707,151058,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,1.24,1.39,Strong,NA,NA,NA,NA,NA,NA,0.7845,0.7017,0.8672,NA
2014,04,04720,Arizona,Avondale city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,04,04720,Arizona,Avondale city,TRUE,"White, Non-Hispanic",race-ethnicity,42513,37176,48125,Marginal,82921,74704,90053,Marginal,137320,128527,146079,Marginal,NA,NA,NA,NA,NA,NA,0.2164,Marginal,NA,NA,NA,NA,NA,NA,1.25,1.18,1.31,Strong,NA,NA,NA,NA,NA,NA,0.7822,0.7526,0.8119,NA
2014,04,04720,Arizona,Avondale city,TRUE,Other Races and Ethnicities,race-ethnicity,40748,29437,59427,Marginal,68177,60156,109732,Marginal,137690,122718,185815,Marginal,NA,NA,NA,NA,NA,NA,0.1986,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7791,0.7005,0.8578,NA
2014,04,04720,Arizona,Avondale city,TRUE,Hispanic,race-ethnicity,27166,20730,33420,Marginal,56663,50306,70630,Marginal,114707,105862,129986,Marginal,NA,NA,NA,NA,NA,NA,0.2655,Strong,NA,NA,0.1938,0.0877,0.3,Marginal,1.23,1.2,1.26,Strong,0.858,0.7324,0.9836,Marginal,NA,NA,0.7534,0.7249,0.782,NA
2014,04,07940,Arizona,Buckeye town,TRUE,All,all,31783,27166,34636,Marginal,70630,66840,76840,Marginal,128527,121649,136086,Marginal,NA,NA,NA,NA,NA,NA,0.0045,Strong,NA,NA,0.3469,0.2317,0.462,Marginal,1.16,1.12,1.21,Strong,0.8267,0.7221,0.9313,Marginal,NA,NA,0.7449,0.7258,0.764,NA
2014,04,07940,Arizona,Buckeye town,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,04,07940,Arizona,Buckeye town,TRUE,"Black, Non-Hispanic",race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.9,1.3,Strong,NA,NA,NA,NA,NA,NA,0.7589,0.657,0.8608,NA
