year,state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
2016,06,16532,California,Costa Mesa city,NA,NA,1.00007,0.88853401,1.1116059,1,0.37967914,1,0.64919519,1,0.27109826,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4%:1.3%,3,12.4%:23.4%,2,19.2%:16.6%,2,68.0%:58.7%,2,950,950,950,0.0338487849,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,16532,California,Costa Mesa city,NA,NA,0.97657305,0.85066497,1.1024811,1,0.42944786,1,0.63697606,1,0.2496879,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3%:1.0%,3,11.6%:20.1%,2,20.3%:18.6%,2,67.8%:60.4%,2,1129,1129,1129,0.0406509936,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,16532,California,Costa Mesa city,NA,NA,NA,NA,NA,NA,0.42553192,1,0.64328343,1,0.24601063,1,NA,NA,NA,NA,35271.83493815421,2,83627.14205820583,2,168155.00751869584,2,2,NA,NA,0.0%:1.5%,3,13.8%:18.5%,2,18.7%:20.0%,2,67.5%:60.0%,2,1175,1175,1175,0.0495070368,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8299403634203919,2
2019,06,16532,California,Costa Mesa city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3%:0.4%,3,9.5%:19.6%,2,25.2%:22.6%,2,65.1%:57.4%,2,992,992,992,0.0427217931,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,06,16532,California,Costa Mesa city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6950110198641666,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9013603665851172,3,4.6,2,NA,NA,NA,NA,NA,NA,NA
2021,06,16532,California,Costa Mesa city,0.6037148020136833,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9127448381793296,2,0.9316884830759352,1,49320.18861935539,2,102356.14152068448,2,198182.4326619083,2,2,NA,NA,0.0%:1.4%,3,8.4%:19.6%,2,26.0%:22.5%,2,65.6%:56.5%,2,NA,NA,NA,NA,NA,1.4850430699469646,0.9358555747497423,1.0405812637080116,2,NA,NA,0.137684131683133,0.01251025430680886,0.35921282590862075,0.49059278810143736,0,1,0.9749038530898568,1,0.5255626511518939,1,0.8158401567240923,1,0.42869376908887286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8682747446647716,2
2014,06,17918,California,Daly City city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8%:2.5%,3,15.5%:21.1%,3,44.5%:43.2%,3,38.2%:33.1%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,17918,California,Daly City city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4%:4.0%,3,18.0%:18.5%,3,43.7%:46.1%,3,36.9%:31.4%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,17918,California,Daly City city,NA,NA,1.1161454,0.91146326,1.3208276,1,0.033333335,1,0.025269646,1,0.0067114094,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6%:2.9%,3,11.2%:17.4%,3,47.2%:46.0%,3,40.9%:33.7%,3,170,170,170,0.0138560599,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,17918,California,Daly City city,NA,NA,1.1489615,0.9144578,1.3834652,1,0.29032257,1,0.41383609,1,0.15262321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5%:2.4%,3,14.9%:20.6%,3,43.6%:44.5%,3,40.1%:32.5%,3,146,146,146,0.0120981103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,17918,California,Daly City city,NA,NA,NA,NA,NA,NA,0.035211269,1,0.062003665,1,0.029605264,1,NA,NA,NA,NA,42519.80364224194,2,92640.27236698152,2,185056.3673042099,2,2,NA,NA,1.4%:2.9%,3,13.0%:18.5%,3,48.4%:46.5%,3,37.1%:32.1%,3,100,100,100,0.009380863,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8576619424275134,2
2019,06,17918,California,Daly City city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3%:3.8%,3,17.9%:22.3%,3,49.5%:48.6%,3,30.4%:25.4%,3,153,153,153,0.0144544169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,06,17918,California,Daly City city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5591342862967791,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1936815865325077,3,1.3,2,NA,NA,NA,NA,NA,NA,NA
2021,06,17918,California,Daly City city,0.5693621823142707,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8418926948218493,2,0.9293325962216672,1,43140.369132937165,2,107383.70759592176,2,211916.9339445633,2,2,NA,NA,2.1%:1.9%,3,16.4%:20.4%,3,44.7%:45.7%,3,36.8%:32.0%,3,NA,NA,NA,NA,NA,1.3910469292615082,1.2565702490928146,1.0505549240780778,2,NA,NA,0.6196313170787502,0.03196904131002535,0.2313990506510094,0.11700059096021503,0,1,0.9369360340452983,1,0.6992916448656092,1,0.35911844881619404,1,0.8421115404554275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8501018722971968,2
2014,06,19766,California,Downey city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0%:4.1%,3,50.0%:63.0%,1,12.3%:10.4%,1,36.7%:22.5%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,19766,California,Downey city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0%:4.4%,3,60.7%:66.5%,1,12.0%:9.3%,1,25.3%:19.7%,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,19766,California,Downey city,NA,NA,1.0306473,0.91847992,1.1428146,1,0.45794392,1,0.40638572,1,0.29109275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8%:4.3%,3,52.0%:63.0%,1,17.8%:12.2%,1,27.3%:20.5%,1,734,734,734,0.0251025986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,19766,California,Downey city,NA,NA,1.0323514,0.90236026,1.1623424,1,0.44211996,1,0.41013294,1,0.30523255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9%:3.5%,3,67.2%:68.5%,1,10.1%:9.3%,1,21.7%:18.7%,1,767,767,767,0.0255462304,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,19766,California,Downey city,NA,NA,NA,NA,NA,NA,0.44615385,1,0.40662983,1,0.32762095,1,NA,NA,NA,NA,37679.05579413202,1,72994.01000621574,1,128852.05673198392,1,1,NA,NA,0.6%:3.9%,3,60.0%:67.1%,1,8.3%:8.0%,1,31.1%:21.0%,1,627,627,627,0.0258247871,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8088806890596356,1
2019,06,19766,California,Downey city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3%:2.7%,3,65.7%:73.8%,1,11.2%:8.2%,1,21.8%:15.3%,1,479,479,479,0.0199408848,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,06,19766,California,Downey city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6717666605180735,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7873801335792987,3,1.5,2,NA,NA,NA,NA,NA,NA,NA
2021,06,19766,California,Downey city,0.1383336743626547,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8129193978186458,1,0.9251747701084057,1,29753.461063740364,1,72187.70139333313,1,149634.93580940383,1,1,NA,NA,1.2%:3.6%,3,69.3%:67.5%,1,9.6%:11.0%,1,20.0%:17.9%,1,NA,NA,NA,NA,NA,1.12039895698525,0.9053833721589089,0.9481843509258996,1,NA,NA,0.08486958956366532,0.03461279343441855,0.7415677250575275,0.13894989194438853,0,1,0.9300553359091512,1,0.2522561323099511,1,0.899099707802532,1,0.8376760777987146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7426803228706819,1
2014,06,21712,California,El Cajon city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0%:5.4%,3,15.9%:21.8%,2,6.5%:7.9%,2,76.6%:64.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,21712,California,El Cajon city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6%:3.9%,3,9.6%:18.7%,2,4.8%:7.7%,2,85.0%:69.6%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,21712,California,El Cajon city,NA,NA,1.077495,0.85625362,1.2987363,3,0.65661103,1,0.54518014,1,0.38148499,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1%:4.8%,3,11.4%:19.1%,2,6.8%:6.9%,2,80.7%:69.2%,2,762,762,762,0.0169502832,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,21712,California,El Cajon city,NA,NA,1.1160067,0.95878863,1.2732247,2,0.61141467,1,0.50592065,1,0.33513415,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6%:5.1%,3,13.2%:20.2%,2,7.0%:7.5%,2,78.2%:67.2%,2,965,965,965,0.0201903973,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,21712,California,El Cajon city,NA,NA,NA,NA,NA,NA,0.55948371,1,0.46576563,1,0.2832956,1,NA,NA,NA,NA,27268.82512531897,2,60778.116147479086,2,128684.07705724923,2,2,NA,NA,0.6%:3.1%,3,12.1%:17.6%,2,12.7%:9.8%,2,74.6%:69.5%,2,1233,1233,1233,0.0295832437,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7820975395937728,2
2019,06,21712,California,El Cajon city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5%:4.4%,3,11.3%:18.0%,2,5.5%:6.9%,2,82.7%:70.7%,2,1002,1001,1003,0.0259102192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,06,21712,California,El Cajon city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6224460117915961,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8108750590319361,3,2.2,2,NA,NA,NA,NA,NA,NA,NA
2021,06,21712,California,El Cajon city,0.21832186994864344,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8882754248794655,2,0.9068491083805628,1,33903.08682398776,2,78485.6603946176,2,149352.67815974334,2,2,NA,NA,1.0%:6.8%,3,9.9%:17.8%,2,9.4%:10.0%,2,79.7%:65.3%,2,NA,NA,NA,NA,NA,1.263257025642903,0.8731989420362186,0.6025966808975773,2,NA,NA,0.0996199654856992,0.06224833322331507,0.2711164338994559,0.5670152673915299,0.1311514174336026,1,0.8826599445589159,1,0.71164488805349,1,0.8893721217805248,1,0.4009560953917457,1,NA,NA,NA,NA,NA,NA,1478.7581699346404,1,1238.176965947776,2947.860773459823,1,0.7386497735848025,2
2014,06,22020,California,Elk Grove city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8%:10.9%,2,10.1%:12.5%,2,32.8%:32.0%,2,48.4%:44.6%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,22020,California,Elk Grove city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0%:10.6%,2,10.3%:13.3%,2,34.1%:31.3%,2,46.6%:44.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,22020,California,Elk Grove city,NA,NA,1.0924473,1.0268471,1.1580474,1,0.030415602,1,0.017187148,1,0.0062564104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3%:11.2%,2,10.6%:13.3%,2,37.0%:32.4%,2,45.1%:43.0%,2,777,777,777,0.0123214033,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,22020,California,Elk Grove city,NA,NA,1.1217085,1.0473984,1.1960186,1,0.030033637,1,0.016807659,1,0.0095561687,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9%:10.1%,2,16.6%:18.7%,2,34.3%:28.2%,2,42.3%:43.0%,2,823,823,823,0.0130021963,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,22020,California,Elk Grove city,NA,NA,NA,NA,NA,NA,0.051337153,1,0.033613447,1,0.015449128,1,NA,NA,NA,NA,39262.1044598936,1,89475.5779158566,1,158956.02703464407,1,1,NA,NA,9.3%:9.6%,2,11.8%:16.1%,2,29.6%:28.7%,2,49.3%:45.7%,2,799,798,800,0.0125005869,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7768333168334016,1
2019,06,22020,California,Elk Grove city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9%:9.7%,2,14.0%:14.1%,2,35.7%:33.4%,2,43.5%:42.8%,2,664,663,665,0.0102977669,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,06,22020,California,Elk Grove city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7501020747157114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.969012811027299,3,1.2,2,NA,NA,NA,NA,NA,NA,NA
2021,06,22020,California,Elk Grove city,0.3290176942755813,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9113579445007726,1,0.958321463164492,1,51410.42075043173,1,103436.71027386688,1,178136.65188909645,1,1,NA,NA,7.4%:11.5%,2,11.8%:15.3%,2,41.8%:34.0%,2,38.9%:39.2%,2,NA,NA,NA,NA,NA,1.3187341265589425,1.5197384433286705,1.5333592349021243,1,NA,NA,0.3759159022277933,0.10546407612101874,0.18727707822916073,0.33134294342202725,0,1,0.8753575412768888,1,0.7910279767254838,1,0.5820765179076939,1,0.6081080828156518,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7940989337778842,1
2014,06,22230,California,El Monte city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6%:0.4%,3,29.8%:60.9%,2,50.7%:30.4%,2,18.9%:8.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,22230,California,El Monte city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0%:0.1%,3,45.6%:62.9%,2,44.5%:30.7%,2,9.9%:6.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,22230,California,El Monte city,NA,NA,1.2928643,1.1406087,1.44512,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0%:0.5%,3,45.0%:61.5%,2,48.6%:33.8%,2,6.4%:4.2%,2,2876,2876,2876,0.1172059625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,06,22230,California,El Monte city,NA,NA,1.3086005,1.1342753,1.4829258,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2%:0.1%,3,45.2%:64.3%,2,46.8%:30.7%,2,7.8%:4.9%,2,2967,2967,2967,0.1242150217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,06,22230,California,El Monte city,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,22458.411633459786,1,51716.22548728541,1,95697.77386200304,1,1,NA,NA,0.0%:0.4%,3,43.0%:64.5%,2,47.8%:30.1%,2,9.1%:5.0%,2,2572,2572,2572,0.1118747294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7529497402270906,1
2019,06,22230,California,El Monte city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0%:0.0%,3,34.3%:56.7%,2,54.8%:38.8%,2,10.9%:4.5%,2,2350,2350,2350,0.1051407084,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,06,22230,California,El Monte city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49495062188596367,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6320558227671489,3,1.6,2,NA,NA,NA,NA,NA,NA,NA
2021,06,22230,California,El Monte city,0.2006551483394989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8959921010364729,1,0.8678275711795468,1,24185.167569138222,1,56602.987735093615,1,123214.18261860448,1,1,NA,NA,0.0%:0.0%,3,43.0%:62.2%,2,50.7%:33.1%,2,6.3%:4.7%,2,NA,NA,NA,NA,NA,1.2680346953206865,0.9310518906112016,0.7660826880421071,1,NA,NA,0.3116465717606043,0.00445780069726902,0.6496495496804183,0.03424607786170831,0,1,0.9827252156145936,2,0.3260565710816572,1,0.651204632554891,1,0.9494526785697572,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7422899406570622,1
2014,06,22804,California,Escondido city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2%:2.8%,3,16.1%:32.6%,3,13.5%:9.1%,3,68.2%:55.4%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,06,22804,California,Escondido city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3%:2.1%,3,16.2%:30.3%,3,11.5%:10.3%,3,71.0%:57.3%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,06,22804,California,Escondido city,NA,NA,1.222203,1.1122336,1.3321723,1,0.54740608,1,0.68111318,1,0.16514248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3%:3.5%,3,16.6%:33.9%,3,16.5%:11.5%,3,65.7%:51.1%,3,1296,1295,1297,0.0445422046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
