year,state,county,state_name,county_name,subgroup,subgroup_type,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2021,48,265,Texas,Kerr County,With Disability,disability,NA,NA,NA,NA,0.5833333333333334,0.4816180448463304,0.6850486218203363,Marginal
2021,48,265,Texas,Kerr County,Without Disability,disability,0.9298632554036173,0.863846691491432,0.9958798193158024,Marginal,0.8328165440893832,0.8142558869469728,0.8513772012317936,Marginal
2021,48,267,Texas,Kimble County,All,all,NA,NA,NA,NA,0.7692451769994382,0.7449856743170035,0.7935046796818729,Weak
2021,48,267,Texas,Kimble County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,267,Texas,Kimble County,Without Disability,disability,NA,NA,NA,NA,0.8087732289572975,0.7836960054414426,0.8338504524731525,Weak
2021,48,269,Texas,King County,All,all,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,269,Texas,King County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,269,Texas,King County,Without Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,271,Texas,Kinney County,All,all,NA,NA,NA,NA,0.743577644961728,0.7185753595087314,0.7685799304147245,Weak
2021,48,271,Texas,Kinney County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,271,Texas,Kinney County,Without Disability,disability,NA,NA,NA,NA,0.7761070492481723,0.7509906800109494,0.8012234184853952,Weak
2021,48,273,Texas,Kleberg County,All,all,0.9042434394193188,0.859006549358449,0.9494803294801888,Weak,0.7135828753920075,0.6844640968907538,0.7427016538932611,Weak
2021,48,273,Texas,Kleberg County,With Disability,disability,NA,NA,NA,NA,0.26930596285434993,0.1756693103621763,0.3629426153465235,Weak
2021,48,273,Texas,Kleberg County,Without Disability,disability,0.8987577639751553,0.8477865487334567,0.9497289792168538,Weak,0.7728680906571009,0.7445438361297924,0.8011923451844095,Weak
2021,48,275,Texas,Knox County,All,all,NA,NA,NA,NA,0.7646164501579472,0.7426303529156236,0.7866025474002708,Weak
2021,48,275,Texas,Knox County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,275,Texas,Knox County,Without Disability,disability,NA,NA,NA,NA,0.8157775724089111,0.795276692827596,0.8362784519902262,Weak
2021,48,277,Texas,Lamar County,All,all,0.919751166407465,0.8746462162062212,0.9648561166087088,Weak,0.7595707394627017,0.7410169794393683,0.7781244994860351,Weak
2021,48,277,Texas,Lamar County,With Disability,disability,NA,NA,NA,NA,0.4490543014032947,0.3855963307720174,0.5125122720345721,Weak
2021,48,277,Texas,Lamar County,Without Disability,disability,0.92282644089873,0.8770067273925285,0.9686461544049316,Weak,0.8012911158930218,0.7837379547210226,0.818844277065021,Weak
2021,48,279,Texas,Lamb County,All,all,NA,NA,NA,NA,0.7667170517526812,0.745010594074262,0.7884235094311005,Weak
2021,48,279,Texas,Lamb County,With Disability,disability,NA,NA,NA,NA,0.43514450867052024,0.3612925673780077,0.5089964499630327,Weak
2021,48,279,Texas,Lamb County,Without Disability,disability,NA,NA,NA,NA,0.8051078867055736,0.7849641087365833,0.825251664674564,Weak
2021,48,281,Texas,Lampasas County,All,all,0.9027730229373502,0.8618572358012124,0.943688810073488,Weak,0.7407886128265275,0.719900242735327,0.761676982917728,Weak
