year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,01,055,Alabama,Etowah County,TRUE,Renter,tenure,0.5941,0.5941,1.0234,Strong,Strong,Strong,0.4511,0.4511,0.7596,Strong,Strong,Strong
2014,01,055,Alabama,Etowah County,TRUE,Owner,tenure,2.0367,2.0367,1.8973,Strong,Strong,Strong,0.9124,0.9124,0.9731,Strong,Strong,Strong
2014,01,057,Alabama,Fayette County,TRUE,All,all,NA,NA,1.8665,NA,NA,Weak,NA,NA,1.3235,NA,NA,Weak
2014,01,057,Alabama,Fayette County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,TRUE,All,all,1.9173,1.9474,2.0371,Weak,Weak,Weak,1.0037,1.0207,1.3626,Weak,Weak,Weak
2014,01,059,Alabama,Franklin County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,059,Alabama,Franklin County,TRUE,Owner,tenure,NA,NA,2.3543,NA,NA,Weak,NA,NA,1.1799,NA,NA,Weak
2014,01,061,Alabama,Geneva County,TRUE,All,all,2.1778,2.2655,2.5199,Weak,Weak,Weak,1.273,1.4121,1.8609,Weak,Weak,Weak
2014,01,061,Alabama,Geneva County,TRUE,Renter,tenure,1.6187,1.8448,2.6954,Weak,Weak,Weak,1.3587,1.5945,2.4392,Weak,Weak,Weak
2014,01,061,Alabama,Geneva County,TRUE,Owner,tenure,2.8537,2.7699,2.3614,Weak,Weak,Weak,1.1693,1.1933,1.3389,Weak,Weak,Weak
2014,01,063,Alabama,Greene County,TRUE,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,063,Alabama,Greene County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,TRUE,All,all,NA,NA,1.5494,NA,NA,Weak,NA,NA,1.2071,NA,NA,Weak
2014,01,065,Alabama,Hale County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,065,Alabama,Hale County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,067,Alabama,Henry County,TRUE,All,all,2.5467,2.5407,3.0806,Weak,Weak,Weak,1.6419,1.6774,2.4236,Weak,Weak,Weak
2014,01,067,Alabama,Henry County,TRUE,Renter,tenure,NA,NA,3.5656,NA,NA,Weak,NA,NA,3.3189,NA,NA,Weak
2014,01,067,Alabama,Henry County,TRUE,Owner,tenure,NA,NA,2.6355,NA,NA,Weak,NA,NA,1.6021,NA,NA,Weak
2014,01,069,Alabama,Houston County,TRUE,All,all,1.6833,1.6991,1.7929,Marginal,Marginal,Marginal,0.7786,0.8456,1.1339,Marginal,Marginal,Marginal
2014,01,069,Alabama,Houston County,TRUE,Renter,tenure,0.995,1.0876,1.5215,Marginal,Marginal,Marginal,0.735,0.8374,1.2652,Marginal,Marginal,Marginal
2014,01,069,Alabama,Houston County,TRUE,Owner,tenure,2.5156,2.4321,2.0379,Marginal,Marginal,Marginal,0.8312,0.8555,1.0154,Marginal,Marginal,Marginal
2014,01,071,Alabama,Jackson County,TRUE,All,all,1.7276,1.7628,1.7861,Marginal,Marginal,Marginal,0.8331,0.9039,1.2681,Marginal,Marginal,Marginal
2014,01,071,Alabama,Jackson County,TRUE,Renter,tenure,0.9751,1.14,1.6787,Marginal,Marginal,Marginal,0.6755,0.8203,1.5188,Marginal,Marginal,Marginal
2014,01,071,Alabama,Jackson County,TRUE,Owner,tenure,2.394,2.2919,1.862,Marginal,Marginal,Marginal,0.9725,0.975,1.0909,Marginal,Marginal,Marginal
2014,01,073,Alabama,Jefferson County,TRUE,All,all,1.0534,1.112,1.4171,Strong,Strong,Strong,0.4889,0.65,0.9449,Strong,Strong,Strong
2014,01,073,Alabama,Jefferson County,TRUE,Renter,tenure,0.4895,0.7388,1.1813,Strong,Strong,Strong,0.362,0.5946,0.9387,Strong,Strong,Strong
2014,01,073,Alabama,Jefferson County,TRUE,Owner,tenure,2.002,1.6529,1.6818,Strong,Strong,Strong,0.7024,0.7302,0.9518,Strong,Strong,Strong
2014,01,075,Alabama,Lamar County,TRUE,All,all,NA,NA,1.9444,NA,NA,Weak,NA,NA,1.4014,NA,NA,Weak
2014,01,075,Alabama,Lamar County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,075,Alabama,Lamar County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,077,Alabama,Lauderdale County,TRUE,All,all,1.6456,1.6479,1.6573,Marginal,Marginal,Marginal,0.732,0.7581,1.0253,Marginal,Marginal,Marginal
2014,01,077,Alabama,Lauderdale County,TRUE,Renter,tenure,0.8958,0.9654,1.2406,Marginal,Marginal,Marginal,0.6354,0.6743,1.0674,Marginal,Marginal,Marginal
2014,01,077,Alabama,Lauderdale County,TRUE,Owner,tenure,2.6262,2.4924,2.0676,Marginal,Marginal,Marginal,0.8582,0.8618,0.9838,Marginal,Marginal,Marginal
2014,01,079,Alabama,Lawrence County,TRUE,All,all,2.2965,2.5811,2.1141,Weak,Weak,Weak,0.9709,1.3101,1.4192,Weak,Weak,Weak
2014,01,079,Alabama,Lawrence County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,079,Alabama,Lawrence County,TRUE,Owner,tenure,NA,NA,2.5315,NA,NA,Weak,NA,NA,1.5016,NA,NA,Weak
2014,01,081,Alabama,Lee County,TRUE,All,all,1.1221,1.2213,1.4457,Strong,Strong,Strong,0.4724,0.6473,0.9849,Strong,Strong,Strong
2014,01,081,Alabama,Lee County,TRUE,Renter,tenure,0.5791,0.8344,1.2067,Strong,Strong,Strong,0.4137,0.6315,1.0224,Strong,Strong,Strong
2014,01,081,Alabama,Lee County,TRUE,Owner,tenure,2.4293,2.0288,1.8141,Strong,Strong,Strong,0.6138,0.6804,0.927,Strong,Strong,Strong
2014,01,083,Alabama,Limestone County,TRUE,All,all,1.9098,1.8065,1.8177,Marginal,Marginal,Marginal,0.6169,0.8398,1.0823,Marginal,Marginal,Marginal
2014,01,083,Alabama,Limestone County,TRUE,Renter,tenure,NA,NA,1.1597,NA,NA,Marginal,NA,NA,0.9825,NA,NA,Marginal
2014,01,083,Alabama,Limestone County,TRUE,Owner,tenure,NA,2.2487,2.1687,NA,Marginal,Marginal,NA,0.8746,1.1356,NA,Marginal,Marginal
2014,01,085,Alabama,Lowndes County,TRUE,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,085,Alabama,Lowndes County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,All,all,2.0275,2.0275,2.1051,Weak,Weak,Weak,1.3888,1.3888,1.6594,Weak,Weak,Weak
2014,01,087,Alabama,Macon County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,087,Alabama,Macon County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,089,Alabama,Madison County,TRUE,All,all,1.473,1.6728,1.6378,Strong,Strong,Strong,0.6146,0.8869,1.0422,Strong,Strong,Strong
2014,01,089,Alabama,Madison County,TRUE,Renter,tenure,0.6984,1.1769,1.2183,Strong,Strong,Strong,0.5191,0.8974,1.0398,Strong,Strong,Strong
2014,01,089,Alabama,Madison County,TRUE,Owner,tenure,3.016,2.4228,2.1249,Strong,Strong,Strong,0.8048,0.871,1.045,Strong,Strong,Strong
2014,01,091,Alabama,Marengo County,TRUE,All,all,1.3227,1.3186,1.4836,Weak,Weak,Weak,0.7388,0.7396,1.0749,Weak,Weak,Weak
2014,01,091,Alabama,Marengo County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,091,Alabama,Marengo County,TRUE,Owner,tenure,NA,NA,1.5136,NA,NA,Weak,NA,NA,0.9803,NA,NA,Weak
2014,01,093,Alabama,Marion County,TRUE,All,all,2.1401,2.1401,2.2451,Weak,Weak,Weak,1.2634,1.2634,1.6568,Weak,Weak,Weak
2014,01,093,Alabama,Marion County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,093,Alabama,Marion County,TRUE,Owner,tenure,NA,NA,2.1941,NA,NA,Weak,NA,NA,1.323,NA,NA,Weak
2014,01,095,Alabama,Marshall County,TRUE,All,all,1.7327,1.7351,1.5183,Strong,Strong,Strong,0.7731,0.7789,0.8952,Strong,Strong,Strong
2014,01,095,Alabama,Marshall County,TRUE,Renter,tenure,1.0628,1.0834,1.0013,Strong,Strong,Strong,0.6252,0.6268,0.8445,Strong,Strong,Strong
2014,01,095,Alabama,Marshall County,TRUE,Owner,tenure,2.4901,2.4606,2.0271,Strong,Strong,Strong,0.9405,0.9483,0.9452,Strong,Strong,Strong
2014,01,097,Alabama,Mobile County,TRUE,All,all,1.1551,1.1414,1.493,Strong,Strong,Strong,0.4806,0.5487,0.8831,Strong,Strong,Strong
2014,01,097,Alabama,Mobile County,TRUE,Renter,tenure,0.4054,0.503,1.1203,Strong,Strong,Strong,0.3115,0.4206,0.8558,Strong,Strong,Strong
2014,01,097,Alabama,Mobile County,TRUE,Owner,tenure,2.2525,2.0462,1.865,Strong,Strong,Strong,0.7281,0.7303,0.9104,Strong,Strong,Strong
2014,01,099,Alabama,Monroe County,TRUE,All,all,1.3833,1.3833,1.3892,Weak,Weak,Weak,0.711,0.711,0.8323,Weak,Weak,Weak
2014,01,099,Alabama,Monroe County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,099,Alabama,Monroe County,TRUE,Owner,tenure,NA,NA,1.7085,NA,NA,Weak,NA,NA,0.9299,NA,NA,Weak
2014,01,101,Alabama,Montgomery County,TRUE,All,all,0.9803,1.0636,1.5877,Strong,Strong,Strong,0.4573,0.5789,0.9943,Strong,Strong,Strong
2014,01,101,Alabama,Montgomery County,TRUE,Renter,tenure,0.4466,0.6458,1.4209,Strong,Strong,Strong,0.3216,0.4531,0.9937,Strong,Strong,Strong
2014,01,101,Alabama,Montgomery County,TRUE,Owner,tenure,1.8147,1.6194,1.7674,Strong,Strong,Strong,0.6693,0.7462,0.9949,Strong,Strong,Strong
2014,01,103,Alabama,Morgan County,TRUE,All,all,2.0058,2.1062,1.7308,Strong,Strong,Strong,0.6802,0.8352,1.0359,Strong,Strong,Strong
2014,01,103,Alabama,Morgan County,TRUE,Renter,tenure,0.868,1.1352,1.1743,Strong,Strong,Strong,0.4884,0.6259,0.9474,Strong,Strong,Strong
2014,01,103,Alabama,Morgan County,TRUE,Owner,tenure,3.0798,2.9541,2.1291,Strong,Strong,Strong,0.8612,1.0181,1.0993,Strong,Strong,Strong
2014,01,105,Alabama,Perry County,TRUE,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,107,Alabama,Pickens County,TRUE,All,all,NA,NA,1.5274,NA,NA,Weak,NA,NA,0.9069,NA,NA,Weak
2014,01,107,Alabama,Pickens County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,107,Alabama,Pickens County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,109,Alabama,Pike County,TRUE,All,all,1.7448,1.7448,1.8254,Weak,Weak,Weak,1.1061,1.1061,1.3797,Weak,Weak,Weak
2014,01,109,Alabama,Pike County,TRUE,Renter,tenure,NA,NA,1.935,NA,NA,Weak,NA,NA,1.7254,NA,NA,Weak
2014,01,109,Alabama,Pike County,TRUE,Owner,tenure,NA,NA,1.7177,NA,NA,Weak,NA,NA,1.0396,NA,NA,Weak
2014,01,111,Alabama,Randolph County,TRUE,All,all,NA,NA,1.9421,NA,NA,Weak,NA,NA,1.2946,NA,NA,Weak
2014,01,111,Alabama,Randolph County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,111,Alabama,Randolph County,TRUE,Owner,tenure,NA,NA,1.9869,NA,NA,Weak,NA,NA,1.0557,NA,NA,Weak
2014,01,113,Alabama,Russell County,TRUE,All,all,1.5259,1.5793,1.6696,Marginal,Marginal,Marginal,0.903,0.9708,1.2168,Marginal,Marginal,Marginal
2014,01,113,Alabama,Russell County,TRUE,Renter,tenure,1.0881,1.243,1.7282,Marginal,Marginal,Marginal,0.9018,1.0421,1.458,Marginal,Marginal,Marginal
2014,01,113,Alabama,Russell County,TRUE,Owner,tenure,2.0226,1.9464,1.6137,Marginal,Marginal,Marginal,0.9043,0.893,0.9866,Marginal,Marginal,Marginal
2014,01,115,Alabama,St. Clair County,TRUE,All,all,1.4676,1.7235,1.6254,Marginal,Marginal,Marginal,0.7299,0.8848,0.978,Marginal,Marginal,Marginal
