state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_poverty_exposure,share_poverty_exposure_quality
06,08786,all,All,0.98042285,0.77543688,1.1854089,1,0,1
06,08786,race-ethnicity,"Black, Non-Hispanic",1.2782903,-0.7046411,3.2612216,3,NA,NA
06,08786,race-ethnicity,Hispanic,1.0653359,0.87316555,1.2575061,1,0,2
06,08786,race-ethnicity,"White, Non-Hispanic",0.82488835,0.44407547000000003,1.2057014,1,0,2
06,08954,all,All,0.94087148,0.7837137,1.0980293,1,0,1
06,08954,race-ethnicity,"Black, Non-Hispanic",1.0577643,0.41874903,1.6967796,3,NA,NA
06,08954,race-ethnicity,Hispanic,0.94610631,0.75904495,1.1331676,1,0,2
06,08954,race-ethnicity,"White, Non-Hispanic",0.93565941,0.78598326,1.0853355,1,0,1
06,11194,all,All,1.0438484,0.87206042,1.2156364,1,0,2
06,11194,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,11194,race-ethnicity,Hispanic,1.1778216,0.94075871,1.4148846,1,0,3
06,11194,race-ethnicity,"White, Non-Hispanic",1.0004706,0.85330445,1.1476368,1,0,2
06,11530,all,All,NA,NA,NA,NA,0,1
06,11530,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,11530,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
06,11530,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
06,13014,all,All,1.2907281,1.1237583,1.4576979,1,0.4195600451687187,1
06,13014,race-ethnicity,"Black, Non-Hispanic",1.2483745,0.58886886,1.9078801,3,NA,NA
06,13014,race-ethnicity,Hispanic,1.4333595,1.1185895,1.7481295,2,0.44032287200988546,1
06,13014,race-ethnicity,"White, Non-Hispanic",1.2252134,1.0846245,1.3658023,1,0.4153029283338018,1
06,13210,all,All,0.96211368,0.85187095,1.0723563,1,4.440734161710845e-4,1
06,13210,race-ethnicity,"Black, Non-Hispanic",0.81700814,0.40892908,1.2250872,1,NA,NA
06,13210,race-ethnicity,Hispanic,0.99913126,0.8938719,1.1043905999999999,1,3.22185707842e-4,2
