year,state,county,state_name,county_name,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
2016,02,090,Alaska,Fairbanks North Star Borough,race-ethnicity,Other Races,NA,NA
2016,02,090,Alaska,Fairbanks North Star Borough,race-ethnicity,White,NA,NA
2016,02,100,Alaska,Haines Borough,all,All,NA,NA
2016,02,100,Alaska,Haines Borough,race-ethnicity,Black,NA,NA
2016,02,100,Alaska,Haines Borough,race-ethnicity,Other Races,NA,NA
2016,02,100,Alaska,Haines Borough,race-ethnicity,White,NA,NA
2016,02,105,Alaska,Hoonah-Angoon Census Area,all,All,NA,NA
2016,02,105,Alaska,Hoonah-Angoon Census Area,race-ethnicity,Black,NA,NA
2016,02,105,Alaska,Hoonah-Angoon Census Area,race-ethnicity,Other Races,NA,NA
2016,02,105,Alaska,Hoonah-Angoon Census Area,race-ethnicity,White,NA,NA
2016,02,110,Alaska,Juneau City and Borough,all,All,NA,NA
2016,02,110,Alaska,Juneau City and Borough,race-ethnicity,Black,NA,NA
2016,02,110,Alaska,Juneau City and Borough,race-ethnicity,Other Races,NA,NA
2016,02,110,Alaska,Juneau City and Borough,race-ethnicity,White,NA,NA
2016,02,122,Alaska,Kenai Peninsula Borough,all,All,NA,NA
2016,02,122,Alaska,Kenai Peninsula Borough,race-ethnicity,Black,NA,NA
2016,02,122,Alaska,Kenai Peninsula Borough,race-ethnicity,Other Races,NA,NA
2016,02,122,Alaska,Kenai Peninsula Borough,race-ethnicity,White,NA,NA
2016,02,130,Alaska,Ketchikan Gateway Borough,all,All,NA,NA
2016,02,130,Alaska,Ketchikan Gateway Borough,race-ethnicity,Black,NA,NA
2016,02,130,Alaska,Ketchikan Gateway Borough,race-ethnicity,Other Races,NA,NA
2016,02,130,Alaska,Ketchikan Gateway Borough,race-ethnicity,White,NA,NA
2016,02,150,Alaska,Kodiak Island Borough,all,All,NA,NA
2016,02,150,Alaska,Kodiak Island Borough,race-ethnicity,Black,NA,NA
2016,02,150,Alaska,Kodiak Island Borough,race-ethnicity,Other Races,NA,NA
2016,02,150,Alaska,Kodiak Island Borough,race-ethnicity,White,NA,NA
2016,02,158,Alaska,Kusilvak Census Area,all,All,NA,NA
2016,02,158,Alaska,Kusilvak Census Area,race-ethnicity,Black,NA,NA
2016,02,158,Alaska,Kusilvak Census Area,race-ethnicity,Other Races,NA,NA
2016,02,158,Alaska,Kusilvak Census Area,race-ethnicity,White,NA,NA
2016,02,164,Alaska,Lake and Peninsula Borough,all,All,NA,NA
2016,02,164,Alaska,Lake and Peninsula Borough,race-ethnicity,Black,NA,NA
2016,02,164,Alaska,Lake and Peninsula Borough,race-ethnicity,Other Races,NA,NA
2016,02,164,Alaska,Lake and Peninsula Borough,race-ethnicity,White,NA,NA
2016,02,170,Alaska,Matanuska-Susitna Borough,all,All,NA,NA
2016,02,170,Alaska,Matanuska-Susitna Borough,race-ethnicity,Black,NA,NA
2016,02,170,Alaska,Matanuska-Susitna Borough,race-ethnicity,Other Races,NA,NA
2016,02,170,Alaska,Matanuska-Susitna Borough,race-ethnicity,White,NA,NA
2016,02,180,Alaska,Nome Census Area,all,All,NA,NA
2016,02,180,Alaska,Nome Census Area,race-ethnicity,Black,NA,NA
2016,02,180,Alaska,Nome Census Area,race-ethnicity,Other Races,NA,NA
2016,02,180,Alaska,Nome Census Area,race-ethnicity,White,NA,NA
2016,02,185,Alaska,North Slope Borough,all,All,NA,NA
2016,02,185,Alaska,North Slope Borough,race-ethnicity,Black,NA,NA
2016,02,185,Alaska,North Slope Borough,race-ethnicity,Other Races,NA,NA
2016,02,185,Alaska,North Slope Borough,race-ethnicity,White,NA,NA
2016,02,188,Alaska,Northwest Arctic Borough,all,All,NA,NA
2016,02,188,Alaska,Northwest Arctic Borough,race-ethnicity,Black,NA,NA
2016,02,188,Alaska,Northwest Arctic Borough,race-ethnicity,Other Races,NA,NA
2016,02,188,Alaska,Northwest Arctic Borough,race-ethnicity,White,NA,NA
2016,02,195,Alaska,Petersburg Borough,all,All,NA,NA
2016,02,195,Alaska,Petersburg Borough,race-ethnicity,Black,NA,NA
2016,02,195,Alaska,Petersburg Borough,race-ethnicity,Other Races,NA,NA
2016,02,195,Alaska,Petersburg Borough,race-ethnicity,White,NA,NA
2016,02,198,Alaska,Prince of Wales-Hyder Census Area,all,All,NA,NA
2016,02,198,Alaska,Prince of Wales-Hyder Census Area,race-ethnicity,Black,NA,NA
2016,02,198,Alaska,Prince of Wales-Hyder Census Area,race-ethnicity,Other Races,NA,NA
2016,02,198,Alaska,Prince of Wales-Hyder Census Area,race-ethnicity,White,NA,NA
2016,02,220,Alaska,Sitka City and Borough,all,All,NA,NA
