state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,share_in_preschool_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,share_hs_degree_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,rate_low_birth_weight,rate_low_birth_weight_lb,rate_low_birth_weight_ub,rate_low_birth_weight_quality,share_employed,share_employed_ub,share_employed_lb,share_employed_quality
01,027,race-ethnicity,"Black, Non-Hispanic",0.4777911164,0.6565372297,0.2990450032,3,NA,NA,NA,NA,0.73397028,0.15944423,1.3084964,3,13474.1901,30798.1488,62263.90046,2,0.16537568,0.15524253,0.17550883,3,0.7168210477,0.759757064,0.6738850314,2
01,027,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9709.117968,19893.121197,37340.969325,3,0.083648391,0.07185176,0.095445022,3,0.5964391691,0.7589789355,0.4338994028,3
01,027,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9523.1118,25236.24627,69903.693,3,0.1152,0.090169765,0.14023022,3,0.5809018568,0.7574668876,0.4043368259,3
01,027,race-ethnicity,"White, Non-Hispanic",0.3495717345,0.4470101056,0.2521333633,3,0.7819837087,0.8677673337,0.6962000837,3,0.69250214,0.43940178,0.94560248,1,19819.019616,44809.364875,84575.768816,2,0.083810166,0.079354003,0.088266328,3,0.707552841,0.7276607753,0.6874449067,2
01,029,all,All,0.3743206522,0.5640278773,0.1846134271,3,0.7960679697,0.9726550273,0.6194809121,3,0.96916467,0.73606312,1.2022662,1,15500.38,38497.69,80034.66,2,0.10317565,0.099224299,0.107127,3,0.7148604041,0.7558527241,0.673868084,2
01,029,race-ethnicity,"Black, Non-Hispanic",0.4777911164,0.6565372297,0.2990450032,3,NA,NA,NA,NA,NA,NA,NA,NA,13474.1901,30798.1488,62263.90046,2,0.16537568,0.15524253,0.17550883,3,0.7168210477,0.759757064,0.6738850314,2
01,029,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9709.117968,19893.121197,37340.969325,3,0.083648391,0.07185176,0.095445022,3,0.5964391691,0.7589789355,0.4338994028,3
01,029,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9523.1118,25236.24627,69903.693,3,0.1152,0.090169765,0.14023022,3,0.5809018568,0.7574668876,0.4043368259,3
01,029,race-ethnicity,"White, Non-Hispanic",0.3495717345,0.4470101056,0.2521333633,3,0.7819837087,0.8677673337,0.6962000837,3,0.96905726,0.76996154000000006,1.1681529,1,19819.019616,44809.364875,84575.768816,2,0.083810166,0.079354003,0.088266328,3,0.707552841,0.7276607753,0.6874449067,2
01,031,all,All,0.3583836858,0.5150287214,0.2017386502,2,0.7598039249,0.905562066,0.6140457838,2,0.8297053,0.70983547,0.94957513,1,16918.72,47615.56,97257.31,2,0.10317565,0.099224299,0.107127,3,0.7444219971,0.7774752607,0.7113687335,2
01,031,race-ethnicity,"Black, Non-Hispanic",0.2673521851,0.4206975243,0.1140068459,3,0.7611336032,0.9137156447,0.6085515618,3,0.89092702,0.65348232,1.1283717,1,10174.844768,29145.793776,58042.10674,2,0.16537568,0.15524253,0.17550883,3,0.6925423372,0.7335256835,0.6515589909,2
01,031,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,0.87496668,0.22295281,1.5269805,3,26382.684192,69004.548549,101755.46268,3,0.083648391,0.07185176,0.095445022,3,0.7718191377,0.8566569625,0.686981313,3
01,031,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15367.399872,38497.686,94907.165973,3,0.1152,0.090169765,0.14023022,3,0.6331747919,0.7311251418,0.5352244421,3
01,031,race-ethnicity,"White, Non-Hispanic",0.3226555246,0.399548426,0.2457626232,2,0.8975084938,0.9477491467,0.8472678408,2,0.75383937,0.63447589,0.87320286,1,21338.273,50989.3692,101354.7799,2,0.083810166,0.079354003,0.088266328,3,0.7545522574,0.7714119569,0.7376925579,2
01,033,all,All,0.4404799495,0.6073535022,0.2736063968,2,0.9730375932,1,0.9272150077,2,0.91629004,0.78345191,1.0491282,1,19046.22,48628.66,90165.63,2,0.10317565,0.099224299,0.107127,3,0.7660744261,0.7999757762,0.732173076,2
01,033,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,0.87527633,0.63192838,1.1186242,1,12930.323296,29785.0518,62165.877342,2,0.16537568,0.15524253,0.17550883,3,0.7135401975,0.7713449048,0.6557354902,2
01,033,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13870.885875,26939.086149,88646.584652,3,0.083648391,0.07185176,0.095445022,3,0.7282286331,0.8145645906,0.6418926755,2
01,033,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18417.231024,35848.672428,79021.566,3,0.1152,0.090169765,0.14023022,3,0.5833887043,0.6997145061,0.4670629026,3
01,033,race-ethnicity,"White, Non-Hispanic",0.4280442804,0.5192752735,0.3368132873,2,0.9661405295,0.9946146589,0.9376664002,2,0.90278774,0.77747297,1.0281025,1,20057.57325,46739.00352,90165.633,2,0.083810166,0.079354003,0.088266328,3,0.7218113262,0.7392795644,0.7043430881,2
01,035,all,All,0.1334205363,0.2788532009,0,3,0.83120486,0.9724938092,0.6899159108,3,0.90776753,0.54962271,1.2659124,1,13778.12,37484.59,81047.76,2,0.10317565,0.099224299,0.107127,3,0.6224577178,0.6673482537,0.5775671818,2
01,035,race-ethnicity,"Black, Non-Hispanic",0.3799126638,0.5303287872,0.2294965403,3,0.717872969,0.8556288957,0.5801170423,3,0.90357935,0.58704466,1.220114,1,9495.3298,23472.1003,53130.887975,2,0.16537568,0.15524253,0.17550883,3,0.5226762695,0.5577973984,0.4875551407,2
01,035,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083648391,0.07185176,0.095445022,3,NA,NA,NA,NA
01,035,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16462.980332,35458.395,88646.584652,2,0.1152,0.090169765,0.14023022,3,0.5629984051,0.6666342109,0.4593625993,3
01,035,race-ethnicity,"White, Non-Hispanic",0.1935771632,0.2927287397,0.0944255868,3,0.8623853211,0.9430884011,0.7816822411,3,0.90310019,-0.074832119,1.8810325,3,17199.313701,44513.193648,90140.421027,2,0.083810166,0.079354003,0.088266328,3,0.6555202323,0.6805742258,0.6304662389,2
01,037,all,All,0.4688385269,0.721381548,0.2162955058,3,0.8803399499,0.9984690425,0.7622108573,3,0.80389041,0.37231508,1.2354658,1,15804.31,42854,84593.6,2,0.10317565,0.099224299,0.107127,3,0.6645565516,0.7111187152,0.617994388,2
01,037,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,0.61211884,0.079786912,1.1444508,3,12718.055328,27974.543685,60785.82,2,0.16537568,0.15524253,0.17550883,3,0.638836773,0.6834162899,0.5942572561,2
01,037,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26496.449232,37788.5181,63318.845096,3,0.083648391,0.07185176,0.095445022,3,0.6227786753,0.7659957233,0.4795616273,3
01,037,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10881.914175,52132.60312,70415.292475,3,0.1152,0.090169765,0.14023022,3,0.4665042631,0.6294706759,0.3035378503,3
01,037,race-ethnicity,"White, Non-Hispanic",0.3576874206,0.4691815355,0.2461933057,3,0.8672659968,0.9347867783,0.7997452153,3,0.92795253,0.43624765,1.4196575,3,19501.618928,50654.85,94218.021,2,0.083810166,0.079354003,0.088266328,3,0.6963345865,0.7191464764,0.6735226965,2
01,039,all,All,0.3583836858,0.5150287214,0.2017386502,2,0.759803931,0.9055620708,0.6140457911,2,0.68799418,0.53146255,0.84452581,1,16918.72,47615.56,97257.31,2,0.10317565,0.099224299,0.107127,3,0.7444219877,0.7774752517,0.7113687237,2
01,039,race-ethnicity,"Black, Non-Hispanic",0.2673521851,0.4206975243,0.1140068459,3,0.7611336032,0.9137156447,0.6085515618,3,0.57038379,0.253822,0.88694561,1,10174.844768,29145.793776,58042.10674,2,0.16537568,0.15524253,0.17550883,3,0.6925423372,0.7335256835,0.6515589909,2
01,039,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26382.684192,69004.548549,101755.46268,3,0.083648391,0.07185176,0.095445022,3,0.7718191377,0.8566569625,0.686981313,3
01,039,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15367.399872,38497.686,94907.165973,3,0.1152,0.090169765,0.14023022,3,0.6331747919,0.7311251418,0.5352244421,3
