year,state,county,subgroup_type,subgroup,ratio_living_wage,ratio_living_wage_quality
2021,01,117,industry,Goods Producing,1.0838,1
2021,01,117,industry,Public Administration,.9012713,1
2021,01,117,industry,"Trade, Transit, Utilities",1.030441,1
2021,01,117,industry,Information Services,1.418824,1
2021,01,117,industry,Professional Services,1.353656,1
2021,01,117,industry,Education and Health,.8904829,1
2021,01,117,industry,Leisure and Other,.571641,1
2021,01,119,all,All,.7467533,1
2021,01,119,industry,Goods Producing,.8757216,1
2021,01,119,industry,Public Administration,.8916547,1
2021,01,119,industry,"Trade, Transit, Utilities",.5447331,1
2021,01,119,industry,Information Services,1.357323,3
2021,01,119,industry,Professional Services,.9803392,1
2021,01,119,industry,Education and Health,.6664863,1
2021,01,119,industry,Leisure and Other,.3968254,1
2021,01,121,all,All,.862986,1
2021,01,121,industry,Goods Producing,1.118855,1
2021,01,121,industry,Public Administration,.9054781,1
2021,01,121,industry,"Trade, Transit, Utilities",.7144167,1
2021,01,121,industry,Information Services,.9767058,3
2021,01,121,industry,Professional Services,.7946625,1
2021,01,121,industry,Education and Health,.7694424,1
2021,01,121,industry,Leisure and Other,.5309978,1
2021,01,123,all,All,.7165369,1
2021,01,123,industry,Goods Producing,.7832778,1
2021,01,123,industry,Public Administration,.8772093,1
2021,01,123,industry,"Trade, Transit, Utilities",.7193178,1
2021,01,123,industry,Information Services,1.119763,3
2021,01,123,industry,Professional Services,.7276604,1
2021,01,123,industry,Education and Health,.8398221,1
2021,01,123,industry,Leisure and Other,.5102893,1
2021,01,125,all,All,.8773319,1
2021,01,125,industry,Goods Producing,1.165083,1
2021,01,125,industry,Public Administration,1.059193,1
2021,01,125,industry,"Trade, Transit, Utilities",.6960577,1
2021,01,125,industry,Information Services,1.331397,1
2021,01,125,industry,Professional Services,.9310102,1
2021,01,125,industry,Education and Health,.813974,1
2021,01,125,industry,Leisure and Other,.4747448,1
2021,01,127,all,All,.7506432,1
2021,01,127,industry,Goods Producing,.9206175,1
2021,01,127,industry,Public Administration,.8664095,1
2021,01,127,industry,"Trade, Transit, Utilities",.7120544,1
2021,01,127,industry,Information Services,1.073135,3
2021,01,127,industry,Professional Services,.9582875,1
2021,01,127,industry,Education and Health,.8149578,1
2021,01,127,industry,Leisure and Other,.5246233,1
2021,01,129,all,All,1.199556,1
2021,01,129,industry,Goods Producing,1.807664,1
2021,01,129,industry,Public Administration,.7367641,1
2021,01,129,industry,"Trade, Transit, Utilities",1.043132,1
2021,01,129,industry,Information Services,NA,NA
2021,01,129,industry,Professional Services,.9357645,1
2021,01,129,industry,Education and Health,.7404665,1
2021,01,129,industry,Leisure and Other,NA,NA
2021,01,131,all,All,.8694847,1
2021,01,131,industry,Goods Producing,1.186504,1
2021,01,131,industry,Public Administration,.862378,1
2021,01,131,industry,"Trade, Transit, Utilities",.632184,1
2021,01,131,industry,Information Services,1.000185,3
2021,01,131,industry,Professional Services,.767056,3
2021,01,131,industry,Education and Health,.60901,1
2021,01,131,industry,Leisure and Other,.3420467,1
2021,01,133,all,All,.7675195,1
2021,01,133,industry,Goods Producing,.8602151,1
2021,01,133,industry,Public Administration,.8731925,1
2021,01,133,industry,"Trade, Transit, Utilities",.6924361,1
2021,01,133,industry,Information Services,.6970708,3
2021,01,133,industry,Professional Services,.7596404,1
2021,01,133,industry,Education and Health,.7248796,1
2021,01,133,industry,Leisure and Other,.4602336,1
2021,02,013,all,All,.9113531,1
2021,02,013,industry,Goods Producing,.966563,3
2021,02,013,industry,Public Administration,.9129083,1
2021,02,013,industry,"Trade, Transit, Utilities",.559098,3
2021,02,013,industry,Information Services,NA,NA
2021,02,013,industry,Professional Services,NA,NA
2021,02,013,industry,Education and Health,NA,NA
2021,02,013,industry,Leisure and Other,NA,NA
2021,02,016,all,All,.9348739,1
2021,02,016,industry,Goods Producing,.890056,3
2021,02,016,industry,Public Administration,.971055,1
2021,02,016,industry,"Trade, Transit, Utilities",1.191176,1
2021,02,016,industry,Information Services,.7415966,3
2021,02,016,industry,Professional Services,.97514,3
2021,02,016,industry,Education and Health,.912465,3
2021,02,016,industry,Leisure and Other,.710084,3
2021,02,020,all,All,.9475023,1
2021,02,020,industry,Goods Producing,1.463506,1
2021,02,020,industry,Public Administration,NA,NA
2021,02,020,industry,"Trade, Transit, Utilities",.9086151,1
2021,02,020,industry,Information Services,1.219713,1
2021,02,020,industry,Professional Services,1.072016,1
2021,02,020,industry,Education and Health,.8861801,1
2021,02,020,industry,Leisure and Other,.540682,1
2021,02,050,all,All,.6770239,1
2021,02,050,industry,Goods Producing,1.21793,3
2021,02,050,industry,Public Administration,.8573261,1
2021,02,050,industry,"Trade, Transit, Utilities",.3948118,1
2021,02,050,industry,Information Services,NA,NA
2021,02,050,industry,Professional Services,.7158637,1
2021,02,050,industry,Education and Health,NA,NA
