year,state,county,adults,children,wage
2021,01,051,2 Adults (1 Working),3 Children,38.52
2021,01,051,2 Adults (Both Working),0 Children,12.76
2021,01,051,2 Adults (Both Working),1 Child,17.01
2021,01,051,2 Adults (Both Working),2 Children,21.58
2021,01,051,2 Adults (Both Working),3 Children,24.83
2021,01,053,1 Adult,0 Children,14.8
2021,01,053,1 Adult,1 Child,28.57
2021,01,053,1 Adult,2 Children,35.7
2021,01,053,1 Adult,3 Children,46.41
2021,01,053,2 Adults (1 Working),0 Children,23.76
2021,01,053,2 Adults (1 Working),1 Child,28.19
2021,01,053,2 Adults (1 Working),2 Children,33.62
2021,01,053,2 Adults (1 Working),3 Children,35.91
2021,01,053,2 Adults (Both Working),0 Children,11.88
2021,01,053,2 Adults (Both Working),1 Child,16.01
2021,01,053,2 Adults (Both Working),2 Children,20.63
2021,01,053,2 Adults (Both Working),3 Children,23.68
2021,01,055,1 Adult,0 Children,15.4
2021,01,055,1 Adult,1 Child,28.08
2021,01,055,1 Adult,2 Children,34.07
2021,01,055,1 Adult,3 Children,43.72
2021,01,055,2 Adults (1 Working),0 Children,23.94
2021,01,055,2 Adults (1 Working),1 Child,28.83
2021,01,055,2 Adults (1 Working),2 Children,34.26
2021,01,055,2 Adults (1 Working),3 Children,36.63
2021,01,055,2 Adults (Both Working),0 Children,11.97
2021,01,055,2 Adults (Both Working),1 Child,15.76
2021,01,055,2 Adults (Both Working),2 Children,19.81
2021,01,055,2 Adults (Both Working),3 Children,22.34
2021,01,057,1 Adult,0 Children,14.8
2021,01,057,1 Adult,1 Child,28.17
2021,01,057,1 Adult,2 Children,34.89
2021,01,057,1 Adult,3 Children,45.15
2021,01,057,2 Adults (1 Working),0 Children,23.91
2021,01,057,2 Adults (1 Working),1 Child,28.19
2021,01,057,2 Adults (1 Working),2 Children,33.62
2021,01,057,2 Adults (1 Working),3 Children,35.86
2021,01,057,2 Adults (Both Working),0 Children,11.95
2021,01,057,2 Adults (Both Working),1 Child,15.81
2021,01,057,2 Adults (Both Working),2 Children,20.23
2021,01,057,2 Adults (Both Working),3 Children,23.06
2021,01,059,1 Adult,0 Children,14.8
2021,01,059,1 Adult,1 Child,28.87
2021,01,059,1 Adult,2 Children,36.29
2021,01,059,1 Adult,3 Children,47.2
2021,01,059,2 Adults (1 Working),0 Children,23.77
2021,01,059,2 Adults (1 Working),1 Child,28.19
2021,01,059,2 Adults (1 Working),2 Children,33.62
2021,01,059,2 Adults (1 Working),3 Children,35.81
2021,01,059,2 Adults (Both Working),0 Children,11.89
2021,01,059,2 Adults (Both Working),1 Child,16.15
2021,01,059,2 Adults (Both Working),2 Children,20.92
2021,01,059,2 Adults (Both Working),3 Children,24.08
2021,01,061,1 Adult,0 Children,15.29
2021,01,061,1 Adult,1 Child,28.27
2021,01,061,1 Adult,2 Children,34.54
2021,01,061,1 Adult,3 Children,44.72
2021,01,061,2 Adults (1 Working),0 Children,23.84
2021,01,061,2 Adults (1 Working),1 Child,28.75
2021,01,061,2 Adults (1 Working),2 Children,34.17
2021,01,061,2 Adults (1 Working),3 Children,36.79
2021,01,061,2 Adults (Both Working),0 Children,11.92
2021,01,061,2 Adults (Both Working),1 Child,15.86
2021,01,061,2 Adults (Both Working),2 Children,20.05
2021,01,061,2 Adults (Both Working),3 Children,22.84
2021,01,063,1 Adult,0 Children,14.8
2021,01,063,1 Adult,1 Child,28.17
2021,01,063,1 Adult,2 Children,34.89
2021,01,063,1 Adult,3 Children,45.44
2021,01,063,2 Adults (1 Working),0 Children,23.91
2021,01,063,2 Adults (1 Working),1 Child,28.19
2021,01,063,2 Adults (1 Working),2 Children,33.62
2021,01,063,2 Adults (1 Working),3 Children,36.15
2021,01,063,2 Adults (Both Working),0 Children,11.95
2021,01,063,2 Adults (Both Working),1 Child,15.81
2021,01,063,2 Adults (Both Working),2 Children,20.23
2021,01,063,2 Adults (Both Working),3 Children,23.2
2021,01,065,1 Adult,0 Children,16.43
2021,01,065,1 Adult,1 Child,29.75
2021,01,065,1 Adult,2 Children,36.47
2021,01,065,1 Adult,3 Children,47.15
2021,01,065,2 Adults (1 Working),0 Children,24.98
2021,01,065,2 Adults (1 Working),1 Child,29.77
2021,01,065,2 Adults (1 Working),2 Children,35.2
2021,01,065,2 Adults (1 Working),3 Children,37.85
2021,01,065,2 Adults (Both Working),0 Children,12.49
2021,01,065,2 Adults (Both Working),1 Child,16.6
2021,01,065,2 Adults (Both Working),2 Children,21.01
2021,01,065,2 Adults (Both Working),3 Children,24.05
2021,01,067,1 Adult,0 Children,14.9
2021,01,067,1 Adult,1 Child,27.72
2021,01,067,1 Adult,2 Children,33.99
2021,01,067,1 Adult,3 Children,44.22
2021,01,067,2 Adults (1 Working),0 Children,23.72
2021,01,067,2 Adults (1 Working),1 Child,28.19
2021,01,067,2 Adults (1 Working),2 Children,33.62
2021,01,067,2 Adults (1 Working),3 Children,36.29
2021,01,067,2 Adults (Both Working),0 Children,11.86
2021,01,067,2 Adults (Both Working),1 Child,15.58
2021,01,067,2 Adults (Both Working),2 Children,19.77
2021,01,067,2 Adults (Both Working),3 Children,22.59
2021,01,069,1 Adult,0 Children,15.29
2021,01,069,1 Adult,1 Child,28.27
2021,01,069,1 Adult,2 Children,34.54
2021,01,069,1 Adult,3 Children,44.72
