STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
ILLINOIS,17,1739030,CCSD 146,Yes,22,,.,.,.,22,4,.,.,S,15OCT16
ILLINOIS,17,1739090,Cumberland CUSD 77,Yes,5,,S,.,S,3,S,.,.,S,15OCT16
ILLINOIS,17,1739120,Tolono CUSD 7,Yes,6,,.,.,S,S,S,.,.,.,15OCT16
ILLINOIS,17,1739390,Tremont CUSD 702,Yes,9,,.,.,.,9,.,.,.,.,15OCT16
ILLINOIS,17,1739420,Wesclin CUSD 3,Yes,32,,.,.,.,32,9,S,.,4,15OCT16
ILLINOIS,17,1739450,Tri City CUSD 1,Yes,7,,.,.,.,5,S,.,.,.,15OCT16
ILLINOIS,17,1739480,Tri Point CUSD 6-J,Yes,20,,.,.,.,20,3,.,.,7,15OCT16
ILLINOIS,17,1739510,Troy CCSD 30C,Yes,44,Y,14,.,6,23,10,S,.,S,15OCT16
ILLINOIS,17,1739600,Tuscola CUSD 301,Yes,S,,.,.,.,S,S,.,.,S,15OCT16
ILLINOIS,17,1739630,Century CUSD 100,Yes,45,,S,.,.,S,10,.,.,S,15OCT16
ILLINOIS,17,1739870,United Twp HSD 30,Yes,25,,S,.,S,20,10,.,.,5,15OCT16
ILLINOIS,17,1739930,Unity Point CCSD 140,Yes,31,Y,.,.,.,31,8,S,.,.,15OCT16
ILLINOIS,17,1739960,Urbana SD 116,Yes,134,Y,27,.,11,96,35,11,3,.,15OCT16
ILLINOIS,17,1740070,Valley View CUSD 365U,Yes,349,Y,35,4,5,305,78,37,.,55,15OCT16
ILLINOIS,17,1740080,Valmeyer CUSD 3,Yes,20,Y,.,.,.,20,3,.,.,.,15OCT16
ILLINOIS,17,1740140,Vandalia CUSD 203,Yes,83,Y,S,.,S,77,18,S,.,10,15OCT16
ILLINOIS,17,1740200,Venice CUSD 3,Yes,38,,.,.,.,38,3,.,.,.,15OCT16
ILLINOIS,17,1740260,Vienna SD 55,Yes,38,Y,.,.,.,38,4,.,.,.,15OCT16
ILLINOIS,17,1740290,Vienna HSD 133,Yes,25,,S,.,.,S,5,.,.,6,15OCT16
ILLINOIS,17,1740320,Villa Grove CUSD 302,Yes,15,,.,S,.,S,5,.,.,S,15OCT16
ILLINOIS,17,1740350,SD 45 DuPage County,Yes,38,,7,.,4,27,3,.,.,S,15OCT16
ILLINOIS,17,1740440,CHSD 94,Yes,29,,.,.,S,S,3,9,.,4,15OCT16
ILLINOIS,17,1740470,Wabash CUSD 348,Yes,119,Y,S,S,6,108,33,.,.,6,15OCT16
ILLINOIS,17,1740500,CCSD 89,Yes,35,Y,8,.,7,20,5,4,.,.,15OCT16
ILLINOIS,17,1740530,Wallace CCSD 195,Yes,5,,.,S,.,S,S,.,.,.,15OCT16
ILLINOIS,17,1740620,Waltham CCSD 185,Yes,7,,.,.,.,5,.,.,.,.,15OCT16
ILLINOIS,17,1740650,Waltonville CUSD 1,Yes,28,Y,.,.,.,28,6,.,.,S,15OCT16
ILLINOIS,17,1740680,North Wamac SD 186,Yes,7,,.,.,.,7,.,.,.,.,15OCT16
ILLINOIS,17,1740740,Warren CUSD 205,Yes,S,,.,.,.,S,.,.,.,.,15OCT16
ILLINOIS,17,1740800,Warren Twp HSD 121,Yes,46,,S,.,S,41,4,4,.,15,15OCT16
ILLINOIS,17,1740830,Warrensburg-Latham CUSD 11,Yes,S,,.,.,S,.,.,.,.,.,15OCT16
ILLINOIS,17,1740890,Warsaw CUSD 316,Yes,16,Y,.,.,.,16,5,.,.,.,15OCT16
ILLINOIS,17,1740920,Lowpoint-Washburn CUSD 21,Yes,3,,.,.,.,3,.,.,.,S,15OCT16
ILLINOIS,17,1740980,Washington CHSD 308,Yes,79,,S,.,S,24,12,.,.,.,15OCT16
ILLINOIS,17,1741010,District 50 Schools,Yes,5,,S,.,.,S,S,.,.,.,15OCT16
ILLINOIS,17,1741040,Washington SD 52,Yes,81,,6,24,16,18,5,.,.,S,15OCT16
ILLINOIS,17,1741070,Waterloo CUSD 5,Yes,89,,S,.,S,64,11,.,.,S,15OCT16
ILLINOIS,17,1741190,Wauconda CUSD 118,Yes,26,Y,.,S,S,24,7,8,.,3,15OCT16
ILLINOIS,17,1741250,Waukegan CUSD 60,Yes,359,Y,12,.,36,308,74,68,.,9,15OCT16
ILLINOIS,17,1741280,Waverly CUSD 6,Yes,24,Y,.,.,.,24,6,.,.,S,15OCT16
ILLINOIS,17,1741360,Wayne City CUSD 100,Yes,19,,.,.,.,19,6,.,.,3,15OCT16
ILLINOIS,17,1741370,Webber Twp HSD 204,Yes,14,,.,.,11,3,S,.,.,S,15OCT16
ILLINOIS,17,1741520,Calumet City SD 155,Yes,12,,3,.,.,9,.,.,.,.,15OCT16
ILLINOIS,17,1741550,West Chicago ESD 33,Yes,52,Y,S,.,S,41,15,26,.,.,15OCT16
ILLINOIS,17,1741580,Frankfort CUSD 168,Yes,132,Y,16,.,18,97,30,.,.,S,15OCT16
ILLINOIS,17,1741600,West Lincoln-Broadwell ESD 92,Yes,4,,.,.,S,S,S,.,.,.,15OCT16
ILLINOIS,17,1741690,Indian Prairie CUSD 204,Yes,180,Y,41,.,15,123,51,7,.,S,15OCT16
ILLINOIS,17,1741700,West Northfield SD 31,Yes,3,,.,.,S,S,.,.,.,.,15OCT16
ILLINOIS,17,1741750,West Washington Co CUD 10,Yes,30,,.,.,6,24,6,3,.,S,15OCT16
ILLINOIS,17,1741790,Westchester SD 92-5,Yes,4,,.,.,S,S,S,.,.,S,15OCT16
ILLINOIS,17,1741980,CUSD 201,Yes,12,Y,.,.,S,S,S,.,.,.,15OCT16
ILLINOIS,17,1742060,Wethersfield CUSD 230,Yes,9,,S,.,.,S,.,.,.,5,15OCT16
ILLINOIS,17,1742180,CUSD 200,Yes,169,Y,S,S,42,113,61,8,.,19,15OCT16
ILLINOIS,17,1742210,Wheeling CCSD 21,Yes,299,Y,10,.,31,258,60,123,.,S,15OCT16
ILLINOIS,17,1742240,North Greene CUSD 3,Yes,119,Y,.,.,15,102,33,.,.,S,15OCT16
ILLINOIS,17,1742300,Whiteside SD 115,Yes,33,Y,9,S,S,21,11,.,.,.,15OCT16
ILLINOIS,17,1742310,Sterling CUSD 5,Yes,49,Y,3,.,39,6,13,.,.,3,15OCT16
ILLINOIS,17,1742450,Williamsfield CUSD 210,Yes,12,Y,.,.,.,12,5,.,.,6,15OCT16
ILLINOIS,17,1742480,Williamsville CUSD 15,Yes,7,,.,.,4,3,S,.,.,S,15OCT16
ILLINOIS,17,1742510,Willow Grove SD 46,Yes,31,Y,.,.,.,31,6,.,.,S,15OCT16
ILLINOIS,17,1742570,Willow Springs SD 108,Yes,3,,S,.,.,S,.,S,.,.,15OCT16
ILLINOIS,17,1742600,Wilmette SD 39,Yes,13,Y,.,.,.,13,S,S,.,.,15OCT16
ILLINOIS,17,1742630,Wilmington CUSD 209U,Yes,12,,.,S,.,S,S,.,.,.,15OCT16
ILLINOIS,17,1742660,Winchester CUSD 1,Yes,11,,.,.,S,S,5,.,.,.,15OCT16
ILLINOIS,17,1742690,Windsor CUSD 1,Yes,4,Y,.,S,.,S,S,.,.,.,15OCT16
ILLINOIS,17,1742720,Winfield SD 34,Yes,3,Y,.,.,S,S,S,.,.,.,15OCT16
ILLINOIS,17,1742790,Winnebago CUSD 323,Yes,7,,S,.,.,S,S,S,.,S,15OCT16
ILLINOIS,17,1742900,Winthrop Harbor SD 1,Yes,S,,.,.,.,S,.,.,.,.,15OCT16
ILLINOIS,17,1742990,Shawnee CUSD 84,Yes,62,Y,.,5,5,52,17,.,.,4,15OCT16
ILLINOIS,17,1743020,Wood Dale SD 7,Yes,13,Y,.,.,.,13,S,S,.,.,15OCT16
ILLINOIS,17,1743050,Wood River-Hartford ESD 15,Yes,78,,S,.,S,76,12,.,.,S,15OCT16
ILLINOIS,17,1743110,Woodland CCSD 50,Yes,57,Y,13,.,7,37,16,4,.,S,15OCT16
ILLINOIS,17,1743170,Woodlawn CCSD 4,Yes,15,Y,.,.,.,15,.,.,.,S,15OCT16
ILLINOIS,17,1743200,Woodlawn CHSD 205,Yes,S,,.,.,.,S,S,.,.,.,15OCT16
ILLINOIS,17,1743330,Woodstock CUSD 200,Yes,126,Y,S,.,S,105,11,35,.,8,15OCT16
ILLINOIS,17,1743380,Worth SD 127,Yes,12,,5,.,.,7,S,.,.,.,15OCT16
ILLINOIS,17,1743800,Zeigler-Royalton CUSD 188,Yes,14,,.,.,S,S,S,.,.,3,15OCT16
ILLINOIS,17,1743860,Zion ESD 6,Yes,57,Y,12,.,11,34,10,6,.,.,15OCT16
ILLINOIS,17,1743890,Zion-Benton Twp HSD 126,Yes,14,,S,.,S,10,S,.,.,S,15OCT16
ILLINOIS,17,1743960,Yorkville CUSD 115,Yes,87,Y,S,.,S,64,12,5,.,9,15OCT16
ILLINOIS,17,1743962,Midwest Central CUSD 191,Yes,26,Y,.,.,.,26,6,.,.,.,15OCT16
INDIANA,18,1800014,Irvington Community School,No,21,,.,S,S,10,S,.,.,S,15OCT16
INDIANA,18,1800016,Options Charter School - Carmel,No,3,,.,.,.,3,S,.,.,S,15OCT16
INDIANA,18,1800017,Fall Creek Academy,No,12,,S,.,.,S,S,.,.,5,15OCT16
INDIANA,18,1800023,IN Sch for the Blind & Vis Imprd,No,5,,.,.,.,5,S,S,.,.,15OCT16
INDIANA,18,1800024,Indiana School For The Deaf,No,S,,.,.,S,.,S,.,.,S,15OCT16
INDIANA,18,1800028,KIPP Indpls College Preparatory,No,11,,S,.,5,S,S,.,.,.,15OCT16
INDIANA,18,1800031,University Heights Preparatory Acd,No,25,,4,.,.,21,11,3,.,S,15OCT16
INDIANA,18,1800033,SE Neighborhood Sch of Excellence,No,10,,S,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1800042,Andrew J Brown Academy,No,3,,.,.,.,3,.,S,.,.,15OCT16
INDIANA,18,1800051,Indpls Lighthouse Charter School,No,6,,S,.,4,S,S,.,.,.,15OCT16
INDIANA,18,1800058,Herron Charter,No,3,,.,S,.,S,S,.,.,S,15OCT16
INDIANA,18,1800064,Indianapolis Metropolitan High Sch,No,6,,.,.,.,6,S,.,.,.,15OCT16
INDIANA,18,1800071,Aspire Charter Academy,No,8,,.,.,.,8,.,.,.,.,15OCT16
INDIANA,18,1800072,Hoosier Academy - Indianapolis,No,S,,S,.,.,.,.,.,.,.,15OCT16
INDIANA,18,1800077,Anderson Preparatory Academy,No,S,,.,.,.,S,.,.,.,S,15OCT16
INDIANA,18,1800086,Paramount School Of Excellence Inc,No,19,,.,.,7,12,4,4,.,.,15OCT16
INDIANA,18,1800088,Discovery Charter School,No,7,,3,.,.,4,S,.,.,.,15OCT16
INDIANA,18,1800093,Excel Center for Adult Learners,No,96,,S,S,21,68,10,11,.,.,15OCT16
INDIANA,18,1800098,Indiana Connections Academy,No,6,,S,S,.,3,S,.,.,.,15OCT16
INDIANA,18,1800101,Career Academy at South Bend,No,10,,.,.,.,10,3,.,.,S,15OCT16
INDIANA,18,1800108,Damar Charter Academy,No,S,,.,.,S,.,S,.,.,.,15OCT16
INDIANA,18,1800112,CSUSA Manual,No,118,,3,.,5,110,15,4,.,59,15OCT16
INDIANA,18,1800116,The Excel Center - Anderson,No,20,,S,S,4,14,.,.,.,.,15OCT16
INDIANA,18,1800118,North Central Parke Comm Schl Corp,No,3,,.,.,.,3,.,.,.,.,15OCT16
INDIANA,18,1800119,Edison Learning Roosevelt,No,S,,S,.,.,.,S,.,.,.,15OCT16
INDIANA,18,1800120,Alexandria Com School Corp,No,58,,S,.,.,S,20,.,.,.,15OCT16
INDIANA,18,1800126,CSUSA Howe,No,97,,9,.,15,73,23,3,.,11,15OCT16
INDIANA,18,1800127,CSUSA Donnan,No,52,,S,.,S,45,6,S,.,.,15OCT16
INDIANA,18,1800131,Smith Academy for Excellence,No,4,,.,.,S,S,.,.,.,.,15OCT16
INDIANA,18,1800134,The Excel Center - Richmond,No,16,,.,3,.,13,3,.,.,.,15OCT16
INDIANA,18,1800135,The Excel Center - Kokomo,No,6,,.,.,3,3,.,S,.,.,15OCT16
INDIANA,18,1800138,The Excel Center-Lafayette Square,No,6,,.,S,3,S,.,.,.,.,15OCT16
INDIANA,18,1800142,The Excel Center - Lafayette,No,17,,.,S,S,12,3,S,.,.,15OCT16
INDIANA,18,1800150,Anderson Community School Corp,Yes,297,Y,9,.,64,224,60,6,.,9,15OCT16
INDIANA,18,1800210,Attica Consolidated Sch Corp,No,8,,S,.,S,.,S,.,.,.,15OCT16
INDIANA,18,1800240,South Dearborn Com School Corp,No,24,,.,.,S,S,5,.,.,.,15OCT16
INDIANA,18,1800270,Avon Community School Corp,No,67,Y,8,.,15,44,16,5,.,.,15OCT16
INDIANA,18,1800360,Bartholomew Con School Corp,Yes,402,Y,11,.,102,289,69,26,.,5,15OCT16
INDIANA,18,1800390,Batesville Community Sch Corp,No,13,,.,.,10,3,3,.,.,.,15OCT16
INDIANA,18,1800420,Baugo Community Schools,No,S,,.,.,.,S,.,.,.,S,15OCT16
INDIANA,18,1800450,Beech Grove City Schools,No,96,,S,.,S,87,26,S,.,.,15OCT16
INDIANA,18,1800480,Benton Community School Corp,No,S,,.,.,S,.,.,.,.,.,15OCT16
INDIANA,18,1800570,Blackford County Schools,No,S,,.,.,.,S,.,.,.,.,15OCT16
INDIANA,18,1800600,Bloomfield School District,No,18,,S,S,.,11,3,.,.,.,15OCT16
INDIANA,18,1800630,Monroe County Com Sch Corp,Yes,282,Y,S,S,61,190,64,4,.,.,15OCT16
INDIANA,18,1800720,M S D Bluffton-Harrison,No,S,,S,.,.,.,S,.,.,.,15OCT16
INDIANA,18,1800840,Clay Community Schools,No,14,,.,.,3,11,4,.,.,4,15OCT16
INDIANA,18,1800900,Bremen Public Schools,No,14,,.,S,.,S,4,4,.,.,15OCT16
INDIANA,18,1800960,Brown County School Corporation,No,9,,4,.,S,S,S,.,.,.,15OCT16
INDIANA,18,1801020,Brownsburg Community Sch Corp,No,23,Y,6,.,12,5,6,.,.,.,15OCT16
INDIANA,18,1801050,Brownstown Cnt Com Sch Corp,No,10,,.,S,.,S,S,.,.,S,15OCT16
INDIANA,18,1801060,C A Beard Memorial School Corp,No,4,,S,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1801170,Cannelton City Schools,No,60,Y,.,.,9,51,17,.,.,.,15OCT16
INDIANA,18,1801200,Carmel Clay Schools,No,32,,S,S,.,24,5,5,.,.,15OCT16
INDIANA,18,1801440,Center Grove Com Sch Corp,No,143,,S,.,S,139,26,S,.,.,15OCT16
INDIANA,18,1801590,DeKalb Co Ctl United Sch Dist,No,27,,S,.,S,20,S,S,.,.,15OCT16
INDIANA,18,1801740,Perry Central Com Schools Corp,Yes,106,,S,S,25,77,23,S,.,.,15OCT16
INDIANA,18,1801890,Clark-Pleasant Com School Corp,No,45,,9,.,5,31,7,5,.,S,15OCT16
INDIANA,18,1801920,Clarksville Com School Corp,Yes,77,Y,23,S,S,50,20,3,.,.,15OCT16
INDIANA,18,1802040,Northwestern School Corp,No,10,,.,.,.,10,3,.,.,S,15OCT16
INDIANA,18,1802160,Clinton Prairie School Corp,No,S,,.,.,.,S,.,.,.,.,15OCT16
INDIANA,18,1802220,Cloverdale Community Schools,No,61,Y,S,S,.,54,15,.,.,.,15OCT16
INDIANA,18,1802280,Whitley Co Cons Schools,No,32,,4,.,4,24,7,.,.,S,15OCT16
INDIANA,18,1802400,Concord Community Schools,No,6,,.,.,3,3,.,.,.,.,15OCT16
INDIANA,18,1802430,Covington Community Sch Corp,No,S,,.,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1802440,Crawford Co Com School Corp,Yes,3,,.,.,3,.,S,.,.,S,15OCT16
INDIANA,18,1802460,Crawfordsville Com Schools,No,328,Y,9,.,11,308,78,34,.,.,15OCT16
INDIANA,18,1802490,Crown Point Community Sch Corp,No,214,,4,.,22,188,15,7,.,S,15OCT16
INDIANA,18,1802520,Culver Community Schools Corp,No,17,,.,.,.,17,6,.,.,.,15OCT16
INDIANA,18,1802550,Danville Community School Corp,No,11,,S,.,9,S,S,.,.,.,15OCT16
INDIANA,18,1802640,M S D Decatur Township,No,176,,S,.,.,S,20,6,.,.,15OCT16
INDIANA,18,1802660,Delaware Community School Corp,No,51,,.,.,.,51,20,.,.,.,15OCT16
INDIANA,18,1802700,Delphi Community School Corp,No,25,,S,.,.,S,8,S,.,10,15OCT16
INDIANA,18,1802800,Duneland School Corporation,No,19,,S,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1802830,Zionsville Community Schools,No,12,,S,.,S,8,S,.,.,.,15OCT16
INDIANA,18,1802850,East Allen County Schools,Yes,98,Y,8,.,7,83,S,10,.,.,15OCT16
INDIANA,18,1802880,School City of East Chicago,No,6,,.,.,.,6,S,.,.,.,15OCT16
INDIANA,18,1802970,East Noble School Corp,No,13,,S,S,.,9,6,.,.,5,15OCT16
INDIANA,18,1803000,East Washington School Corp,No,71,,.,S,S,56,13,.,.,S,15OCT16
INDIANA,18,1803030,Eastbrook Community Sch Corp,No,5,Y,.,.,.,5,S,.,.,S,15OCT16
INDIANA,18,1803150,Eastern Howard School Corp,No,S,,.,.,.,S,.,.,.,S,15OCT16
INDIANA,18,1803210,Shelby Eastern Schools,No,S,,.,.,.,S,.,.,.,S,15OCT16
INDIANA,18,1803240,Edinburgh Community Sch Corp,No,S,,.,.,.,S,.,.,.,.,15OCT16
INDIANA,18,1803270,Elkhart Community Schools,No,209,,7,6,62,134,38,14,.,6,15OCT16
INDIANA,18,1803300,Elwood Community School Corp,No,S,,.,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1803330,Eminence Community School Corp,No,9,,.,.,.,9,5,.,.,.,15OCT16
INDIANA,18,1803450,Evansville Vanderburgh Sch Corp,Yes,510,Y,47,.,104,359,106,7,.,28,15OCT16
INDIANA,18,1803510,Fayette County School Corp,No,S,,.,.,.,S,.,.,.,.,15OCT16
INDIANA,18,1803570,Flat Rock-Hawcreek School Corp,No,71,,.,.,.,71,11,.,.,3,15OCT16
INDIANA,18,1803630,Fort Wayne Community Schools,Yes,704,Y,123,3,353,225,122,108,.,45,15OCT16
INDIANA,18,1803660,Community Schools of Frankfort,No,129,Y,.,S,S,125,17,26,S,.,15OCT16
INDIANA,18,1803690,Franklin Community School Corp,Yes,322,,31,S,S,282,66,14,.,3,15OCT16
INDIANA,18,1803700,Franklin County Com Sch Corp,No,25,,.,.,.,25,6,.,.,.,15OCT16
INDIANA,18,1803750,Franklin Township Com Sch Corp,No,49,Y,S,.,S,41,7,S,.,3,15OCT16
INDIANA,18,1803780,Fremont Community Schools,No,29,,S,.,S,26,S,.,.,.,15OCT16
INDIANA,18,1803810,Frontier School Corporation,No,9,,.,6,3,.,3,.,.,.,15OCT16
INDIANA,18,1803840,Garrett-Keyser-Butler Com,No,28,,S,S,.,24,8,4,.,9,15OCT16
INDIANA,18,1803870,Gary Community School Corp,No,14,,.,.,S,S,S,.,.,.,15OCT16
INDIANA,18,1803930,Goshen Community Schools,No,131,Y,7,.,10,114,21,23,.,4,15OCT16
INDIANA,18,1803940,Greater Clark County Schools,No,60,Y,14,.,19,27,13,.,.,.,15OCT16
INDIANA,18,1803990,Greencastle Community Sch Corp,Yes,99,Y,.,.,S,S,21,.,.,.,15OCT16
INDIANA,18,1804050,Greenfield-Central Com Schools,No,20,,5,.,6,9,8,.,.,.,15OCT16
INDIANA,18,1804080,Greensburg Community Schools,No,68,,12,S,S,53,14,.,.,3,15OCT16
INDIANA,18,1804110,Greenwood Community Sch Corp,No,136,Y,S,.,S,111,31,6,.,S,15OCT16
INDIANA,18,1804140,Monroe-Gregg School District,No,S,,.,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1804170,Griffith Public Schools,No,15,,.,.,S,S,S,.,.,.,15OCT16
INDIANA,18,1804260,Hamilton Heights School Corp,No,S,,.,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1804320,School City of Hammond,Yes,214,Y,.,.,34,180,28,13,.,18,15OCT16
INDIANA,18,1804470,Western School Corp,No,33,,.,.,3,30,7,S,.,.,15OCT16
INDIANA,18,1804590,School City of Hobart,No,277,,.,.,.,277,40,7,.,.,15OCT16
INDIANA,18,1804620,River Forest Community Sch Corp,No,5,,.,.,.,5,S,.,.,.,15OCT16
INDIANA,18,1804710,Huntington Co Com Sch Corp,No,52,,S,.,S,46,17,.,.,S,15OCT16
INDIANA,18,1804770,Indianapolis Public Schools,Yes,2974,Y,177,156,336,2305,487,262,.,157,15OCT16
INDIANA,18,1804980,Jay School Corp,No,5,,.,.,S,S,S,.,.,.,15OCT16
INDIANA,18,1805190,Jennings County Schools,Yes,340,Y,.,.,7,333,72,7,.,.,15OCT16
INDIANA,18,1805280,Kankakee Valley School Corp,No,81,,.,.,S,S,13,4,.,S,15OCT16
INDIANA,18,1805340,Knox Community School Corp,No,S,,.,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1805370,Kokomo School Corporation,Yes,333,Y,28,5,57,243,61,4,.,11,15OCT16
INDIANA,18,1805400,Lafayette School Corporation,No,177,,21,.,17,139,22,9,3,.,15OCT16
INDIANA,18,1805450,Lake Central School Corp,No,83,,S,.,S,78,6,S,.,.,15OCT16
INDIANA,18,1805460,Lake Ridge Schools,No,111,,4,.,4,103,20,S,.,S,15OCT16
INDIANA,18,1805550,Wawasee Community School Corp,No,12,,S,S,.,9,S,.,.,.,15OCT16
INDIANA,18,1805580,LaPorte Community School Corp,No,65,,S,.,S,62,12,5,.,.,15OCT16
INDIANA,18,1805670,M S D Lawrence Township,Yes,354,Y,32,.,20,302,72,10,.,34,15OCT16
INDIANA,18,1805790,Lebanon Community School Corp,No,239,,S,.,S,236,63,S,.,S,15OCT16
INDIANA,18,1805910,Linton-Stockton School Corp,No,19,,.,.,.,19,S,.,.,.,15OCT16
INDIANA,18,1806030,Logansport Community Sch Corp,Yes,367,Y,3,.,4,360,56,134,S,.,15OCT16
INDIANA,18,1806090,Maconaquah School Corp,No,45,,.,.,S,S,7,.,.,5,15OCT16
INDIANA,18,1806120,Madison Consolidated Schools,No,79,,5,6,7,61,15,S,S,6,15OCT16
INDIANA,18,1806240,Madison-Grant United Sch Corp,No,3,,.,.,3,.,.,.,.,.,15OCT16
INDIANA,18,1806270,Manchester Community Schools,No,13,,S,.,.,S,S,3,.,.,15OCT16
INDIANA,18,1806390,Marion Community Schools,Yes,116,Y,20,S,S,84,24,4,S,S,15OCT16
INDIANA,18,1806480,Sheridan Community Schools,No,12,,S,.,S,8,S,.,.,.,15OCT16
INDIANA,18,1806510,M S D Martinsville Schools,Yes,411,Y,S,S,36,366,103,S,.,.,15OCT16
INDIANA,18,1806570,Michigan City Area Schools,Yes,166,,S,S,29,114,29,6,.,S,15OCT16
INDIANA,18,1806600,Middlebury Community Schools,No,84,,.,.,.,84,5,4,.,.,15OCT16
INDIANA,18,1806840,School City of Mishawaka,No,13,,6,.,7,.,S,.,S,.,15OCT16
INDIANA,18,1806870,Mississinewa Community School Corp,No,80,,.,66,S,S,17,.,.,.,15OCT16
INDIANA,18,1807020,Cowan Community School Corp,No,S,,.,.,S,.,.,.,.,.,15OCT16
INDIANA,18,1807140,Mooresville Con School Corp,Yes,700,Y,5,.,11,684,101,S,.,32,15OCT16
INDIANA,18,1807230,Yorktown Community Schools,No,11,,.,.,5,6,5,.,.,3,15OCT16
INDIANA,18,1807260,Mt Vernon Community Sch Corp,No,6,,.,.,.,6,S,.,.,.,15OCT16
INDIANA,18,1807290,M S D Mount Vernon,No,18,,.,S,S,11,3,.,.,.,15OCT16
INDIANA,18,1807320,Muncie Community Schools,No,39,,8,.,19,12,6,.,.,.,15OCT16
INDIANA,18,1807350,School Town of Munster,No,4,,.,.,.,4,S,.,.,.,15OCT16
INDIANA,18,1807410,New Albany-Floyd Co Con Sch,No,113,Y,6,9,24,74,35,.,.,3,15OCT16
INDIANA,18,1807440,New Castle Community Sch Corp,No,62,,S,S,12,42,15,.,.,3,15OCT16
INDIANA,18,1807470,M S D of New Durham Township,No,56,,.,.,.,56,11,.,.,.,15OCT16
INDIANA,18,1807560,New Prairie United School Corp,No,S,,.,.,S,.,.,.,.,.,15OCT16
INDIANA,18,1807620,Nineveh-Hensley-Jackson United,No,22,,3,.,.,19,3,.,.,.,15OCT16
INDIANA,18,1807650,Noblesville Schools,No,12,,S,.,.,S,.,S,.,.,15OCT16
INDIANA,18,1807680,North Adams Community Schools,Yes,119,Y,11,3,.,105,21,4,.,3,15OCT16
INDIANA,18,1807770,North Gibson School Corp,No,109,,3,.,14,92,32,.,.,18,15OCT16
INDIANA,18,1807800,North Judson-San Pierre Sch Corp,No,3,,.,.,.,3,S,.,.,.,15OCT16
INDIANA,18,1807860,North Lawrence Com Schools,No,13,,.,.,S,S,6,.,.,.,15OCT16
INDIANA,18,1807900,North Montgomery Com Sch Corp,No,10,,.,.,.,10,S,.,.,.,15OCT16
INDIANA,18,1807980,North Putnam Community Schools,No,5,,.,.,S,S,.,.,.,.,15OCT16
INDIANA,18,1808040,Tri-Central Community Schools,No,5,,.,.,.,5,S,.,.,S,15OCT16
INDIANA,18,1808100,North West Hendricks Schools,No,3,,.,.,3,.,S,.,.,.,15OCT16
INDIANA,18,1808220,Northern Wells Com Schools,No,22,,5,.,.,17,5,.,.,.,15OCT16
INDIANA,18,1808250,Northwest Allen County Schools,No,134,,S,.,121,S,54,8,.,123,15OCT16
INDIANA,18,1808280,Shenandoah School Corporation,No,S,,.,.,.,S,.,.,.,.,15OCT16
INDIANA,18,1808340,Oak Hill United School Corp,No,6,,3,.,3,.,S,.,.,.,15OCT16
INDIANA,18,1808490,Orleans Community Schools,No,3,,.,.,.,3,S,.,.,.,15OCT16
INDIANA,18,1808760,Penn-Harris-Madison Sch Corp,No,4,,S,.,S,S,.,.,.,S,15OCT16
INDIANA,18,1808820,Perry Township Schools,No,355,,54,S,S,285,65,21,.,.,15OCT16
INDIANA,18,1808850,Peru Community Schools,No,19,,.,S,S,17,4,.,.,.,15OCT16
INDIANA,18,1808900,Pike County School Corp,No,19,,.,.,S,S,4,.,.,14,15OCT16
INDIANA,18,1808910,M S D Pike Township,Yes,312,Y,55,.,28,229,55,22,.,53,15OCT16
INDIANA,18,1808970,Plainfield Community Sch Corp,No,68,,20,S,S,35,18,S,.,4,15OCT16
INDIANA,18,1809000,East Porter County School Corp,No,34,,.,.,S,S,5,.,.,.,15OCT16
INDIANA,18,1809060,Plymouth Community School Corp,No,36,,11,S,S,20,6,.,.,S,15OCT16
INDIANA,18,1809150,Portage Township Schools,No,111,,3,.,5,103,25,3,.,.,15OCT16
INDIANA,18,1809180,Porter Township School Corp,No,S,,.,.,.,S,S,.,.,.,15OCT16
INDIANA,18,1809300,Prairie Heights Com Sch Corp,No,14,,S,.,S,11,6,.,.,S,15OCT16
INDIANA,18,1809370,West Clark Community Schools,No,128,,S,.,S,111,27,9,.,5,15OCT16
INDIANA,18,1809420,Rensselaer Central School Corp,No,3,,S,.,S,.,S,.,.,.,15OCT16
INDIANA,18,1809480,Richland-Bean Blossom C S C,No,41,,15,.,12,14,17,.,.,.,15OCT16
INDIANA,18,1809510,Richmond Community Schools,Yes,111,Y,S,.,S,91,29,6,.,.,15OCT16
INDIANA,18,1809630,Rochester Community Sch Corp,No,11,,.,.,.,11,S,.,.,.,15OCT16
INDIANA,18,1809690,Merrillville Community School,No,67,,25,.,14,28,7,S,.,9,15OCT16
INDIANA,18,1809720,Rossville Con School District,No,8,,.,.,.,8,S,.,.,S,15OCT16
