year,statefip,place,state_name,place_name,population,puma,pop10,afact,afact2,products,sum_products,place_pop,puma_flag,size_flag,geographic_allocation_quality
2021,45,16000,South Carolina,Columbia city,136394,00602,559,0.0047,4e-4,1.8800000000000002e-6,0.060431139999999994,129928,3,0,3
2021,45,16000,South Carolina,Columbia city,136394,00603,2942,0.0167,0.0023,3.841e-5,0.060431139999999994,129928,3,0,3
2021,45,16000,South Carolina,Columbia city,136394,00604,125823,0.62,0.0974,0.060388,0.060431139999999994,129928,3,0,3
2021,45,16000,South Carolina,Columbia city,136394,00605,604,0.0057,5e-4,2.8500000000000002e-6,0.060431139999999994,129928,3,0,3
2021,45,48535,South Carolina,Mount Pleasant town,92844,01203,67852,0.494,1,0.494,0.494,67852,2,1,3
2021,45,50875,South Carolina,North Charleston city,117586,01202,1811,0.0094,0.0186,1.7484e-4,0.48763622,97577,2,1,3
2021,45,50875,South Carolina,North Charleston city,117586,01204,95766,0.4967,0.9814,0.48746138,0.48763622,97577,2,1,3
2021,46,59020,South Dakota,Sioux Falls city,196802,00500,1240,0.01,0.0078,7.8e-5,0.9478539600000001,153893,1,0,1
2021,46,59020,South Dakota,Sioux Falls city,196802,00600,152653,0.9846,0.9626,0.9477759600000001,0.9478539600000001,153893,1,0,1
2021,47,14000,Tennessee,Chattanooga city,181163,02001,90984,0.7962,0.0317,0.02523954,0.04404284,169328,3,0,3
2021,47,14000,Tennessee,Chattanooga city,181163,02002,75417,0.714,0.0263,0.0187782,0.04404284,169328,3,0,3
2021,47,14000,Tennessee,Chattanooga city,181163,02003,2927,0.0251,0.001,2.51e-5,0.04404284,169328,3,0,3
2021,47,15160,Tennessee,Clarksville city,170912,00300,132945,0.7161,0.9724,0.69633564,0.69633564,132945,2,0,2
2021,47,27740,Tennessee,Franklin city,85804,02600,62516,0.3413,0.9781,0.33382553,0.33382553,62516,3,1,3
2021,47,40000,Tennessee,Knoxville city,193598,01602,6705,0.0623,0.0087,5.4201e-4,0.20087576,178869,3,0,3
2021,47,40000,Tennessee,Knoxville city,193598,01603,162822,0.9434,0.2115,0.1995291,0.20087576,178869,3,0,3
2021,47,40000,Tennessee,Knoxville city,193598,01604,9342,0.0665,0.0121,8.046500000000001e-4,0.20087576,178869,3,0,3
2021,47,48000,Tennessee,Memphis city,625982,03201,142945,1,0.1246,0.1246,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03202,127375,1,0.111,0.111,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03203,96545,0.8439,0.0842,0.07105638,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03204,10544,0.1011,0.0092,9.3012e-4,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03205,65896,0.6143,0.0574,0.03526082,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03206,2526,0.0208,0.0022,4.576e-5,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03207,103055,0.9674,0.0898,0.08687252000000001,0.51888176,651700,2,0,2
2021,47,48000,Tennessee,Memphis city,625982,03208,102814,0.9946,0.0896,0.08911616,0.51888176,651700,2,0,2
2021,47,51560,Tennessee,Murfreesboro city,156675,02401,8307,0.0689,0.0605,0.00416845,0.52415389,109052,2,0,2
2021,47,51560,Tennessee,Murfreesboro city,156675,02402,100745,0.7092,0.7332,0.51998544,0.52415389,109052,2,0,2
2021,47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),678134,02501,147842,1,0.245,0.245,0.96521669,603524,1,0,1
2021,47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),678134,02502,94427,0.9011,0.1565,0.14102215,0.96521669,603524,1,0,1
2021,47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),678134,02503,114864,1,0.1903,0.1903,0.96521669,603524,1,0,1
2021,47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),678134,02504,117968,0.9962,0.1955,0.1947571,0.96521669,603524,1,0,1
2021,47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),678134,02505,128423,0.9123,0.2128,0.19413744,0.96521669,603524,1,0,1
2021,48,01000,Texas,Abilene city,126160,02600,5145,0.0263,0.0084,2.2092e-4,0.15646452000000002,117063,3,0,3
2021,48,01000,Texas,Abilene city,126160,02700,111918,0.851,0.1836,0.1562436,0.15646452000000002,117063,3,0,3
2021,48,01924,Texas,Allen city,107019,01904,69750,0.5993,0.8275,0.4959207500000001,0.5165000000000001,84290,2,1,3
2021,48,01924,Texas,Allen city,107019,01907,14540,0.1193,0.1725,0.02057925,0.5165000000000001,84290,2,1,3
2021,48,03000,Texas,Amarillo city,200852,00200,105472,0.8711,0.1308,0.11393988,0.18854294,190681,3,0,3
2021,48,03000,Texas,Amarillo city,200852,00300,85209,0.7058,0.1057,0.07460306,0.18854294,190681,3,0,3
2021,48,04000,Texas,Arlington city,393278,02502,35600,0.3148,0.0206,0.00648488,0.14490386,365372,3,0,3
2021,48,04000,Texas,Arlington city,393278,02503,112130,0.8697,0.0647,0.056269589999999994,0.14490386,365372,3,0,3
2021,48,04000,Texas,Arlington city,393278,02504,83499,0.7911,0.0482,0.03813102,0.14490386,365372,3,0,3
2021,48,04000,Texas,Arlington city,393278,02505,42606,0.421,0.0246,0.0103566,0.14490386,365372,3,0,3
2021,48,04000,Texas,Arlington city,393278,02506,6457,0.0602,0.0037,2.2274e-4,0.14490386,365372,3,0,3
2021,48,04000,Texas,Arlington city,393278,02507,80680,0.7158,0.0466,0.03335628,0.14490386,365372,3,0,3
2021,48,04000,Texas,Arlington city,393278,02509,4400,0.0331,0.0025,8.274999999999999e-5,0.14490386,365372,3,0,3
2021,48,05000,Texas,Austin city,969343,05203,52252,0.5219,0.0492,0.025677480000000003,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05204,30,3e-4,0,0,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05301,5018,0.0466,0.0047,2.1902000000000003e-4,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05302,99985,0.9726,0.0942,0.09161892,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05303,110966,0.8879,0.1046,0.09287434,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05304,117909,0.9752,0.1111,0.10834472,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05305,73772,0.6953,0.0695,0.04832335000000001,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05306,133459,1,0.1258,0.1258,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05307,109486,0.9968,0.1032,0.10286976,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05308,92799,0.822,0.0874,0.0718428,0.66964975,810919,2,0,2
2021,48,05000,Texas,Austin city,969343,05309,15243,0.1444,0.0144,0.00207936,0.66964975,810919,2,0,2
2021,48,06128,Texas,Baytown city,84312,04400,4154,0.0375,0.0576,0.00216,0.62452096,72095,2,1,3
2021,48,06128,Texas,Baytown city,84312,04623,67941,0.6604,0.9424,0.62236096,0.62452096,72095,2,1,3
2021,48,07000,Texas,Beaumont city,113638,04301,116076,0.9997,0.1202,0.12016394000000001,0.12020143000000001,118292,3,0,3
2021,48,07000,Texas,Beaumont city,113638,04302,2216,0.0163,0.0023,3.7489999999999995e-5,0.12020143000000001,118292,3,0,3
2021,48,10768,Texas,Brownsville city,187957,06701,30079,0.2582,0.1654,0.04270627999999999,0.83990628,175023,1,0,1
2021,48,10768,Texas,Brownsville city,187957,06703,144944,1,0.7972,0.7972,0.83990628,175023,1,0,1
