GeographicArea,population2020,cityname,statename,state_abbr,fips,city
"Erie city, Pennsylvania",94823,Erie city,Pennsylvania,PA,42,Erie
"Bethlehem city, Pennsylvania",75710,Bethlehem city,Pennsylvania,PA,42,Bethlehem
"Providence city, Rhode Island",190284,Providence city,Rhode Island,RI,44,Providence
"Pawtucket city, Rhode Island",75842,Pawtucket city,Rhode Island,RI,44,Pawtucket
"Warwick city, Rhode Island",82976,Warwick city,Rhode Island,RI,44,Warwick
"Cranston city, Rhode Island",82935,Cranston city,Rhode Island,RI,44,Cranston
"Mount Pleasant town, South Carolina",90668,Mount Pleasant town,South Carolina,SC,45,Mount Pleasant town
"Columbia city, South Carolina",137300,Columbia city,South Carolina,SC,45,Columbia
"Charleston city, South Carolina",150522,Charleston city,South Carolina,SC,45,Charleston
"North Charleston city, South Carolina",115113,North Charleston city,South Carolina,SC,45,North Charleston
"Sioux Falls city, South Dakota",192683,Sioux Falls city,South Dakota,SD,46,Sioux Falls
"Chattanooga city, Tennessee",181234,Chattanooga city,Tennessee,TN,47,Chattanooga
"Franklin city, Tennessee",83347,Franklin city,Tennessee,TN,47,Franklin
"Knoxville city, Tennessee",190011,Knoxville city,Tennessee,TN,47,Knoxville
"Murfreesboro city, Tennessee",152437,Murfreesboro city,Tennessee,TN,47,Murfreesboro
"Clarksville city, Tennessee",166634,Clarksville city,Tennessee,TN,47,Clarksville
"Nashville-Davidson metropolitan government (balance), Tennessee",689504,Nashville-Davidson metropolitan government (balance),Tennessee,TN,47,Nashville-Davidson metropolitan government (balance)
"Memphis city, Tennessee",632207,Memphis city,Tennessee,TN,47,Memphis
"Sugar Land city, Texas",111046,Sugar Land city,Texas,TX,48,Sugar Land
"Killeen city, Texas",152570,Killeen city,Texas,TX,48,Killeen
"Cedar Park city, Texas",77646,Cedar Park city,Texas,TX,48,Cedar Park
"Baytown city, Texas",83698,Baytown city,Texas,TX,48,Baytown
"Wichita Falls city, Texas",102498,Wichita Falls city,Texas,TX,48,Wichita Falls
"Pharr city, Texas",79779,Pharr city,Texas,TX,48,Pharr
"Abilene city, Texas",124797,Abilene city,Texas,TX,48,Abilene
"Tyler city, Texas",105735,Tyler city,Texas,TX,48,Tyler
"Pasadena city, Texas",151955,Pasadena city,Texas,TX,48,Pasadena
"Garland city, Texas",246132,Garland city,Texas,TX,48,Garland
"League City city, Texas",114426,League City city,Texas,TX,48,League City
"Mission city, Texas",85868,Mission city,Texas,TX,48,Mission
"Grand Prairie city, Texas",196272,Grand Prairie city,Texas,TX,48,Grand Prairie
"Bryan city, Texas",85461,Bryan city,Texas,TX,48,Bryan
"Arlington city, Texas",394218,Arlington city,Texas,TX,48,Arlington
"Allen city, Texas",104786,Allen city,Texas,TX,48,Allen
"Brownsville city, Texas",186611,Brownsville city,Texas,TX,48,Brownsville
"Fort Worth city, Texas",918377,Fort Worth city,Texas,TX,48,Fort Worth
"San Angelo city, Texas",100006,San Angelo city,Texas,TX,48,San Angelo
"Lubbock city, Texas",257180,Lubbock city,Texas,TX,48,Lubbock
"Waco city, Texas",137948,Waco city,Texas,TX,48,Waco
"Plano city, Texas",285900,Plano city,Texas,TX,48,Plano
"Temple city, Texas",81938,Temple city,Texas,TX,48,Temple
"Denton city, Texas",141123,Denton city,Texas,TX,48,Denton
"Corpus Christi city, Texas",317929,Corpus Christi city,Texas,TX,48,Corpus Christi
"Longview city, Texas",81760,Longview city,Texas,TX,48,Longview
"Mesquite city, Texas",150308,Mesquite city,Texas,TX,48,Mesquite
"Frisco city, Texas",200675,Frisco city,Texas,TX,48,Frisco
"El Paso city, Texas",678587,El Paso city,Texas,TX,48,El Paso
"Irving city, Texas",256793,Irving city,Texas,TX,48,Irving
"Pearland city, Texas",125944,Pearland city,Texas,TX,48,Pearland
"Flower Mound town, Texas",75859,Flower Mound town,Texas,TX,48,Flower Mound town
"Carrollton city, Texas",133348,Carrollton city,Texas,TX,48,Carrollton
"Midland city, Texas",132448,Midland city,Texas,TX,48,Midland
"Amarillo city, Texas",200904,Amarillo city,Texas,TX,48,Amarillo
"McAllen city, Texas",142242,McAllen city,Texas,TX,48,McAllen
"Conroe city, Texas",89148,Conroe city,Texas,TX,48,Conroe
"San Antonio city, Texas",1434270,San Antonio city,Texas,TX,48,San Antonio
"Houston city, Texas",2302792,Houston city,Texas,TX,48,Houston
"Laredo city, Texas",255181,Laredo city,Texas,TX,48,Laredo
"Odessa city, Texas",114368,Odessa city,Texas,TX,48,Odessa
"Edinburg city, Texas",99678,Edinburg city,Texas,TX,48,Edinburg
"Lewisville city, Texas",111676,Lewisville city,Texas,TX,48,Lewisville
"Austin city, Texas",959549,Austin city,Texas,TX,48,Austin
"New Braunfels city, Texas",90136,New Braunfels city,Texas,TX,48,New Braunfels
"Dallas city, Texas",1304442,Dallas city,Texas,TX,48,Dallas
"Beaumont city, Texas",114586,Beaumont city,Texas,TX,48,Beaumont
"McKinney city, Texas",195057,McKinney city,Texas,TX,48,McKinney
"Richardson city, Texas",117973,Richardson city,Texas,TX,48,Richardson
"College Station city, Texas",118180,College Station city,Texas,TX,48,College Station
"Round Rock city, Texas",119519,Round Rock city,Texas,TX,48,Round Rock
"St. George city, Utah",95284,St. George city,Utah,UT,49,St. George
"Lehi city, Utah",76107,Lehi city,Utah,UT,49,Lehi
"Sandy city, Utah",97430,Sandy city,Utah,UT,49,Sandy
"Ogden city, Utah",86830,Ogden city,Utah,UT,49,Ogden
"Orem city, Utah",98070,Orem city,Utah,UT,49,Orem
"Provo city, Utah",114189,Provo city,Utah,UT,49,Provo
"Layton city, Utah",81759,Layton city,Utah,UT,49,Layton
"Salt Lake City city, Utah",198746,Salt Lake City city,Utah,UT,49,Salt Lake City
"West Valley City city, Utah",140571,West Valley City city,Utah,UT,49,West Valley City
"West Jordan city, Utah",117190,West Jordan city,Utah,UT,49,West Jordan
"South Jordan city, Utah",77661,South Jordan city,Utah,UT,49,South Jordan
"Richmond city, Virginia",226610,Richmond city,Virginia,VA,51,Richmond
"Virginia Beach city, Virginia",459470,Virginia Beach city,Virginia,VA,51,Virginia Beach
"Newport News city, Virginia",186247,Newport News city,Virginia,VA,51,Newport News
"Portsmouth city, Virginia",97915,Portsmouth city,Virginia,VA,51,Portsmouth
"Alexandria city, Virginia",159467,Alexandria city,Virginia,VA,51,Alexandria
"Chesapeake city, Virginia",249422,Chesapeake city,Virginia,VA,51,Chesapeake
"Suffolk city, Virginia",94324,Suffolk city,Virginia,VA,51,Suffolk
"Roanoke city, Virginia",100011,Roanoke city,Virginia,VA,51,Roanoke
"Norfolk city, Virginia",238005,Norfolk city,Virginia,VA,51,Norfolk
"Lynchburg city, Virginia",79009,Lynchburg city,Virginia,VA,51,Lynchburg
"Hampton city, Virginia",137148,Hampton city,Virginia,VA,51,Hampton
"Bellevue city, Washington",152045,Bellevue city,Washington,WA,53,Bellevue
"Renton city, Washington",106966,Renton city,Washington,WA,53,Renton
"Seattle city, Washington",735157,Seattle city,Washington,WA,53,Seattle
"Vancouver city, Washington",190810,Vancouver city,Washington,WA,53,Vancouver
"Yakima city, Washington",96873,Yakima city,Washington,WA,53,Yakima
"Pasco city, Washington",77579,Pasco city,Washington,WA,53,Pasco
"Kent city, Washington",136750,Kent city,Washington,WA,53,Kent
"Tacoma city, Washington",219025,Tacoma city,Washington,WA,53,Tacoma
"Spokane Valley city, Washington",103317,Spokane Valley city,Washington,WA,53,Spokane Valley
"Kennewick city, Washington",83943,Kennewick city,Washington,WA,53,Kennewick
"Auburn city, Washington",87351,Auburn city,Washington,WA,53,Auburn
"Kirkland city, Washington",92247,Kirkland city,Washington,WA,53,Kirkland
"Spokane city, Washington",228831,Spokane city,Washington,WA,53,Spokane
"Bellingham city, Washington",91231,Bellingham city,Washington,WA,53,Bellingham
"Everett city, Washington",110723,Everett city,Washington,WA,53,Everett
"Federal Way city, Washington",101131,Federal Way city,Washington,WA,53,Federal Way
"Kenosha city, Wisconsin",99882,Kenosha city,Wisconsin,WI,55,Kenosha
"Appleton city, Wisconsin",75315,Appleton city,Wisconsin,WI,55,Appleton
"Green Bay city, Wisconsin",107300,Green Bay city,Wisconsin,WI,55,Green Bay
"Madison city, Wisconsin",268414,Madison city,Wisconsin,WI,55,Madison
"Racine city, Wisconsin",77775,Racine city,Wisconsin,WI,55,Racine
"Milwaukee city, Wisconsin",577235,Milwaukee city,Wisconsin,WI,55,Milwaukee
