state,place,state_name,place_name,year
06,04982,California,Bellflower city,2021
06,04982,California,Bellflower city,2022
06,06000,California,Berkeley city,2013
06,06000,California,Berkeley city,2014
06,06000,California,Berkeley city,2015
06,06000,California,Berkeley city,2016
06,06000,California,Berkeley city,2017
06,06000,California,Berkeley city,2018
06,06000,California,Berkeley city,2019
06,06000,California,Berkeley city,2020
06,06000,California,Berkeley city,2021
06,06000,California,Berkeley city,2022
06,08786,California,Buena Park city,2013
06,08786,California,Buena Park city,2014
06,08786,California,Buena Park city,2015
06,08786,California,Buena Park city,2016
06,08786,California,Buena Park city,2017
06,08786,California,Buena Park city,2018
06,08786,California,Buena Park city,2019
06,08786,California,Buena Park city,2020
06,08786,California,Buena Park city,2021
06,08786,California,Buena Park city,2022
06,08954,California,Burbank city,2013
06,08954,California,Burbank city,2014
06,08954,California,Burbank city,2015
06,08954,California,Burbank city,2016
06,08954,California,Burbank city,2017
06,08954,California,Burbank city,2018
06,08954,California,Burbank city,2019
06,08954,California,Burbank city,2020
06,08954,California,Burbank city,2021
06,08954,California,Burbank city,2022
06,11194,California,Carlsbad city,2013
06,11194,California,Carlsbad city,2014
06,11194,California,Carlsbad city,2015
06,11194,California,Carlsbad city,2016
06,11194,California,Carlsbad city,2017
06,11194,California,Carlsbad city,2018
06,11194,California,Carlsbad city,2019
06,11194,California,Carlsbad city,2020
06,11194,California,Carlsbad city,2021
06,11194,California,Carlsbad city,2022
06,11530,California,Carson city,2013
06,11530,California,Carson city,2014
06,11530,California,Carson city,2015
06,11530,California,Carson city,2016
06,11530,California,Carson city,2017
06,11530,California,Carson city,2018
06,11530,California,Carson city,2019
06,11530,California,Carson city,2020
06,11530,California,Carson city,2021
06,11530,California,Carson city,2022
06,13014,California,Chico city,2013
06,13014,California,Chico city,2014
06,13014,California,Chico city,2015
06,13014,California,Chico city,2016
06,13014,California,Chico city,2017
06,13014,California,Chico city,2018
06,13014,California,Chico city,2019
06,13014,California,Chico city,2020
06,13014,California,Chico city,2021
06,13014,California,Chico city,2022
06,13210,California,Chino city,2013
06,13210,California,Chino city,2014
06,13210,California,Chino city,2015
06,13210,California,Chino city,2016
06,13210,California,Chino city,2017
06,13210,California,Chino city,2018
06,13210,California,Chino city,2019
06,13210,California,Chino city,2020
06,13210,California,Chino city,2021
06,13210,California,Chino city,2022
06,13214,California,Chino Hills city,2013
06,13214,California,Chino Hills city,2014
06,13214,California,Chino Hills city,2015
06,13214,California,Chino Hills city,2016
06,13214,California,Chino Hills city,2017
06,13214,California,Chino Hills city,2018
06,13214,California,Chino Hills city,2019
06,13214,California,Chino Hills city,2020
06,13214,California,Chino Hills city,2021
06,13214,California,Chino Hills city,2022
06,13392,California,Chula Vista city,2013
06,13392,California,Chula Vista city,2014
06,13392,California,Chula Vista city,2015
06,13392,California,Chula Vista city,2016
06,13392,California,Chula Vista city,2017
06,13392,California,Chula Vista city,2018
06,13392,California,Chula Vista city,2019
06,13392,California,Chula Vista city,2020
06,13392,California,Chula Vista city,2021
06,13392,California,Chula Vista city,2022
06,13588,California,Citrus Heights city,2013
06,13588,California,Citrus Heights city,2014
06,13588,California,Citrus Heights city,2015
06,13588,California,Citrus Heights city,2016
06,13588,California,Citrus Heights city,2017
06,13588,California,Citrus Heights city,2018
06,13588,California,Citrus Heights city,2019
06,13588,California,Citrus Heights city,2020
06,13588,California,Citrus Heights city,2021
06,13588,California,Citrus Heights city,2022
06,14218,California,Clovis city,2013
06,14218,California,Clovis city,2014
06,14218,California,Clovis city,2015
06,14218,California,Clovis city,2016
06,14218,California,Clovis city,2017
06,14218,California,Clovis city,2018
06,14218,California,Clovis city,2019
06,14218,California,Clovis city,2020
06,14218,California,Clovis city,2021
06,14218,California,Clovis city,2022
06,15044,California,Compton city,2013
06,15044,California,Compton city,2014
06,15044,California,Compton city,2015
06,15044,California,Compton city,2016
06,15044,California,Compton city,2017
06,15044,California,Compton city,2018
06,15044,California,Compton city,2019
06,15044,California,Compton city,2020
06,15044,California,Compton city,2021
06,15044,California,Compton city,2022
06,16000,California,Concord city,2013
06,16000,California,Concord city,2014
06,16000,California,Concord city,2015
06,16000,California,Concord city,2016
06,16000,California,Concord city,2017
06,16000,California,Concord city,2018
06,16000,California,Concord city,2019
06,16000,California,Concord city,2020
06,16000,California,Concord city,2021
06,16000,California,Concord city,2022
06,16350,California,Corona city,2013
06,16350,California,Corona city,2014
06,16350,California,Corona city,2015
06,16350,California,Corona city,2016
06,16350,California,Corona city,2017
06,16350,California,Corona city,2018
06,16350,California,Corona city,2019
06,16350,California,Corona city,2020
06,16350,California,Corona city,2021
06,16350,California,Corona city,2022
06,16532,California,Costa Mesa city,2013
06,16532,California,Costa Mesa city,2014
06,16532,California,Costa Mesa city,2015
06,16532,California,Costa Mesa city,2016
06,16532,California,Costa Mesa city,2017
06,16532,California,Costa Mesa city,2018
06,16532,California,Costa Mesa city,2019
06,16532,California,Costa Mesa city,2020
06,16532,California,Costa Mesa city,2021
06,16532,California,Costa Mesa city,2022
06,17918,California,Daly City city,2013
06,17918,California,Daly City city,2014
06,17918,California,Daly City city,2015
06,17918,California,Daly City city,2016
06,17918,California,Daly City city,2017
06,17918,California,Daly City city,2018
06,17918,California,Daly City city,2019
06,17918,California,Daly City city,2020
06,17918,California,Daly City city,2021
06,17918,California,Daly City city,2022
06,19766,California,Downey city,2013
06,19766,California,Downey city,2014
06,19766,California,Downey city,2015
06,19766,California,Downey city,2016
06,19766,California,Downey city,2017
06,19766,California,Downey city,2018
06,19766,California,Downey city,2019
06,19766,California,Downey city,2020
06,19766,California,Downey city,2021
06,19766,California,Downey city,2022
06,21712,California,El Cajon city,2013
06,21712,California,El Cajon city,2014
06,21712,California,El Cajon city,2015
06,21712,California,El Cajon city,2016
06,21712,California,El Cajon city,2017
06,21712,California,El Cajon city,2018
06,21712,California,El Cajon city,2019
06,21712,California,El Cajon city,2020
06,21712,California,El Cajon city,2021
06,21712,California,El Cajon city,2022
06,22020,California,Elk Grove city,2013
06,22020,California,Elk Grove city,2014
06,22020,California,Elk Grove city,2015
06,22020,California,Elk Grove city,2016
06,22020,California,Elk Grove city,2017
06,22020,California,Elk Grove city,2018
06,22020,California,Elk Grove city,2019
06,22020,California,Elk Grove city,2020
06,22020,California,Elk Grove city,2021
06,22020,California,Elk Grove city,2022
06,22230,California,El Monte city,2013
06,22230,California,El Monte city,2014
06,22230,California,El Monte city,2015
06,22230,California,El Monte city,2016
06,22230,California,El Monte city,2017
06,22230,California,El Monte city,2018
06,22230,California,El Monte city,2019
06,22230,California,El Monte city,2020
06,22230,California,El Monte city,2021
06,22230,California,El Monte city,2022
06,22804,California,Escondido city,2013
06,22804,California,Escondido city,2014
06,22804,California,Escondido city,2015
06,22804,California,Escondido city,2016
06,22804,California,Escondido city,2017
06,22804,California,Escondido city,2018
06,22804,California,Escondido city,2019
06,22804,California,Escondido city,2020
06,22804,California,Escondido city,2021
06,22804,California,Escondido city,2022
06,23182,California,Fairfield city,2013
06,23182,California,Fairfield city,2014
06,23182,California,Fairfield city,2015
06,23182,California,Fairfield city,2016
06,23182,California,Fairfield city,2017
06,23182,California,Fairfield city,2018
06,23182,California,Fairfield city,2019
06,23182,California,Fairfield city,2020
06,23182,California,Fairfield city,2021
06,23182,California,Fairfield city,2022
06,24638,California,Folsom city,2013
06,24638,California,Folsom city,2014
06,24638,California,Folsom city,2015
06,24638,California,Folsom city,2016
06,24638,California,Folsom city,2017
06,24638,California,Folsom city,2018
06,24638,California,Folsom city,2019
06,24638,California,Folsom city,2020
06,24638,California,Folsom city,2021
06,24638,California,Folsom city,2022
06,24680,California,Fontana city,2013
06,24680,California,Fontana city,2014
06,24680,California,Fontana city,2015
06,24680,California,Fontana city,2016
06,24680,California,Fontana city,2017
06,24680,California,Fontana city,2018
06,24680,California,Fontana city,2019
06,24680,California,Fontana city,2020
06,24680,California,Fontana city,2021
06,24680,California,Fontana city,2022
06,26000,California,Fremont city,2013
06,26000,California,Fremont city,2014
06,26000,California,Fremont city,2015
06,26000,California,Fremont city,2016
06,26000,California,Fremont city,2017
06,26000,California,Fremont city,2018
06,26000,California,Fremont city,2019
06,26000,California,Fremont city,2020
06,26000,California,Fremont city,2021
06,26000,California,Fremont city,2022
06,27000,California,Fresno city,2013
06,27000,California,Fresno city,2014
06,27000,California,Fresno city,2015
06,27000,California,Fresno city,2016
06,27000,California,Fresno city,2017
06,27000,California,Fresno city,2018
06,27000,California,Fresno city,2019
06,27000,California,Fresno city,2020
06,27000,California,Fresno city,2021
06,27000,California,Fresno city,2022
06,28000,California,Fullerton city,2013
06,28000,California,Fullerton city,2014
06,28000,California,Fullerton city,2015
06,28000,California,Fullerton city,2016
06,28000,California,Fullerton city,2017
06,28000,California,Fullerton city,2018
06,28000,California,Fullerton city,2019
06,28000,California,Fullerton city,2020
06,28000,California,Fullerton city,2021
06,28000,California,Fullerton city,2022
06,29000,California,Garden Grove city,2013
06,29000,California,Garden Grove city,2014
06,29000,California,Garden Grove city,2015
06,29000,California,Garden Grove city,2016
06,29000,California,Garden Grove city,2017
06,29000,California,Garden Grove city,2018
06,29000,California,Garden Grove city,2019
06,29000,California,Garden Grove city,2020
06,29000,California,Garden Grove city,2021
06,29000,California,Garden Grove city,2022
06,30000,California,Glendale city,2013
06,30000,California,Glendale city,2014
06,30000,California,Glendale city,2015
06,30000,California,Glendale city,2016
06,30000,California,Glendale city,2017
06,30000,California,Glendale city,2018
06,30000,California,Glendale city,2019
06,30000,California,Glendale city,2020
06,30000,California,Glendale city,2021
06,30000,California,Glendale city,2022
06,32548,California,Hawthorne city,2013
06,32548,California,Hawthorne city,2014
06,32548,California,Hawthorne city,2015
06,32548,California,Hawthorne city,2016
06,32548,California,Hawthorne city,2017
06,32548,California,Hawthorne city,2018
06,32548,California,Hawthorne city,2019
06,32548,California,Hawthorne city,2020
06,32548,California,Hawthorne city,2021
06,32548,California,Hawthorne city,2022
06,33000,California,Hayward city,2013
06,33000,California,Hayward city,2014
06,33000,California,Hayward city,2015
06,33000,California,Hayward city,2016
06,33000,California,Hayward city,2017
06,33000,California,Hayward city,2018
06,33000,California,Hayward city,2019
06,33000,California,Hayward city,2020
06,33000,California,Hayward city,2021
06,33000,California,Hayward city,2022
06,33182,California,Hemet city,2013
06,33182,California,Hemet city,2014
06,33182,California,Hemet city,2015
06,33182,California,Hemet city,2016
06,33182,California,Hemet city,2017
06,33182,California,Hemet city,2018
06,33182,California,Hemet city,2019
06,33182,California,Hemet city,2020
06,33182,California,Hemet city,2021
06,33182,California,Hemet city,2022
06,33434,California,Hesperia city,2013
06,33434,California,Hesperia city,2014
06,33434,California,Hesperia city,2015
06,33434,California,Hesperia city,2016
06,33434,California,Hesperia city,2017
06,33434,California,Hesperia city,2018
06,33434,California,Hesperia city,2019
06,33434,California,Hesperia city,2020
06,33434,California,Hesperia city,2021
06,33434,California,Hesperia city,2022
06,36000,California,Huntington Beach city,2013
06,36000,California,Huntington Beach city,2014
06,36000,California,Huntington Beach city,2015
06,36000,California,Huntington Beach city,2016
06,36000,California,Huntington Beach city,2017
06,36000,California,Huntington Beach city,2018
06,36000,California,Huntington Beach city,2019
06,36000,California,Huntington Beach city,2020
06,36000,California,Huntington Beach city,2021
06,36000,California,Huntington Beach city,2022
06,36448,California,Indio city,2013
06,36448,California,Indio city,2014
06,36448,California,Indio city,2015
06,36448,California,Indio city,2016
06,36448,California,Indio city,2017
06,36448,California,Indio city,2018
06,36448,California,Indio city,2019
06,36448,California,Indio city,2020
06,36448,California,Indio city,2021
06,36448,California,Indio city,2022
06,36546,California,Inglewood city,2013
06,36546,California,Inglewood city,2014
06,36546,California,Inglewood city,2015
06,36546,California,Inglewood city,2016
06,36546,California,Inglewood city,2017
06,36546,California,Inglewood city,2018
06,36546,California,Inglewood city,2019
06,36546,California,Inglewood city,2020
06,36546,California,Inglewood city,2021
06,36546,California,Inglewood city,2022
06,36770,California,Irvine city,2013
06,36770,California,Irvine city,2014
06,36770,California,Irvine city,2015
06,36770,California,Irvine city,2016
06,36770,California,Irvine city,2017
06,36770,California,Irvine city,2018
06,36770,California,Irvine city,2019
06,36770,California,Irvine city,2020
06,36770,California,Irvine city,2021
06,36770,California,Irvine city,2022
06,37692,California,Jurupa Valley city,2013
06,37692,California,Jurupa Valley city,2014
06,37692,California,Jurupa Valley city,2015
06,37692,California,Jurupa Valley city,2016
06,37692,California,Jurupa Valley city,2017
06,37692,California,Jurupa Valley city,2018
06,37692,California,Jurupa Valley city,2019
06,37692,California,Jurupa Valley city,2020
06,37692,California,Jurupa Valley city,2021
06,37692,California,Jurupa Valley city,2022
06,39496,California,Lake Forest city,2013
06,39496,California,Lake Forest city,2014
06,39496,California,Lake Forest city,2015
06,39496,California,Lake Forest city,2016
06,39496,California,Lake Forest city,2017
06,39496,California,Lake Forest city,2018
06,39496,California,Lake Forest city,2019
06,39496,California,Lake Forest city,2020
06,39496,California,Lake Forest city,2021
06,39496,California,Lake Forest city,2022
06,39892,California,Lakewood city,2013
06,39892,California,Lakewood city,2014
06,39892,California,Lakewood city,2015
06,39892,California,Lakewood city,2016
06,39892,California,Lakewood city,2017
06,39892,California,Lakewood city,2018
06,39892,California,Lakewood city,2019
06,39892,California,Lakewood city,2020
06,39892,California,Lakewood city,2021
06,39892,California,Lakewood city,2022
06,40130,California,Lancaster city,2013
06,40130,California,Lancaster city,2014
06,40130,California,Lancaster city,2015
06,40130,California,Lancaster city,2016
06,40130,California,Lancaster city,2017
06,40130,California,Lancaster city,2018
06,40130,California,Lancaster city,2019
06,40130,California,Lancaster city,2020
06,40130,California,Lancaster city,2021
06,40130,California,Lancaster city,2022
06,41992,California,Livermore city,2013
06,41992,California,Livermore city,2014
06,41992,California,Livermore city,2015
06,41992,California,Livermore city,2016
06,41992,California,Livermore city,2017
06,41992,California,Livermore city,2018
06,41992,California,Livermore city,2019
06,41992,California,Livermore city,2020
06,41992,California,Livermore city,2021
06,41992,California,Livermore city,2022
06,43000,California,Long Beach city,2013
06,43000,California,Long Beach city,2014
06,43000,California,Long Beach city,2015
06,43000,California,Long Beach city,2016
06,43000,California,Long Beach city,2017
06,43000,California,Long Beach city,2018
06,43000,California,Long Beach city,2019
