crosswalk_period,statefip,county,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,04,019,00205,1,0.1247,122285,0.1247,0.9999,1
2012,04,019,00206,1,0.1042,102159,0.1042,0.9999,1
2012,04,019,00207,1,0.104,101927,0.104,0.9999,1
2012,04,019,00208,1,0.1102,108063,0.1102,0.9999,1
2012,04,019,00209,1,0.1178,115440,0.1178,0.9999,1
2012,04,021,00800,0.0986,0.0289,10860,0.00284954,0.97394954,1
2012,04,021,00803,1,0.3287,123512,0.3287,0.97394954,1
2012,04,021,00805,1,0.3038,114145,0.3038,0.97394954,1
2012,04,021,00807,1,0.3386,127253,0.3386,0.97394954,1
2012,04,023,00900,0.2653,1,47420,0.2653,0.2653,3
2012,04,025,00500,1,1,211033,1,1,1
2012,04,027,00700,1,1,195751,1,1,1
2012,05,001,01700,0.1072,0.6016,11441,0.06449152000000001,0.09269824000000002,3
2012,05,001,01800,0.0708,0.3984,7578,0.028206719999999998,0.09269824000000002,3
2012,05,003,01800,0.2041,1,21853,0.2041,0.2041,3
2012,05,005,00300,0.2682,1,41513,0.2682,0.2682,3
2012,05,007,00100,1,1,221339,1,1,1
2012,05,009,00300,0.2385,1,36903,0.2385,0.2385,3
2012,05,011,01800,0.1075,1,11508,0.1075,0.1075,3
2012,05,013,01900,0.0507,1,5368,0.0507,0.0507,3
2012,05,015,00300,0.1773,1,27446,0.1773,0.1773,3
2012,05,017,01800,0.1102,1,11800,0.1102,0.1102,3
2012,05,019,01600,0.1424,1,22995,0.1424,0.1424,3
2012,05,021,00500,0.0892,1,16083,0.0892,0.0892,3
2012,05,023,00400,0.1916,1,25970,0.1916,0.1916,3
2012,05,025,01800,0.0811,1,8689,0.0811,0.0811,3
2012,05,027,01900,0.2321,1,24552,0.2321,0.2321,3
2012,05,029,01300,0.1507,1,21273,0.1507,0.1507,3
2012,05,031,00500,0.4811,0.8993,86730,0.43265323,0.44178672,2
2012,05,031,00600,0.0907,0.1007,9713,0.00913349,0.44178672,2
2012,05,033,01400,0.3301,1,61948,0.3301,0.3301,3
2012,05,035,00600,0.4753,1,50902,0.4753,0.4753,2
2012,05,037,00700,0.1609,1,17870,0.1609,0.1609,3
2012,05,039,01900,0.0767,1,8116,0.0767,0.0767,3
2012,05,041,01800,0.1215,1,13008,0.1215,0.1215,3
2012,05,043,01800,0.1729,1,18509,0.1729,0.1729,3
2012,05,045,01100,0.6236,1,113237,0.6236,0.6236,2
2012,05,047,01500,0.1756,1,18125,0.1756,0.1756,3
2012,05,049,00400,0.0904,1,12245,0.0904,0.0904,3
2012,05,051,01600,0.5948,1,96024,0.5948,0.5948,2
2012,05,053,01700,0.1673,1,17853,0.1673,0.1673,3
2012,05,055,00500,0.2335,1,42090,0.2335,0.2335,3
2012,05,057,02000,0.211,1,22609,0.211,0.211,3
2012,05,059,01600,0.2039,1,32923,0.2039,0.2039,3
2012,05,061,01500,0.1336,1,13789,0.1336,0.1336,3
2012,05,063,00400,0.2704,1,36647,0.2704,0.2704,3
2012,05,065,00400,0.1011,1,13696,0.1011,0.1011,3
2012,05,067,00800,0.1621,1,17997,0.1621,0.1621,3
2012,05,069,01700,0.7255,1,77435,0.7255,0.7255,2
2012,05,071,01300,0.1809,1,25540,0.1809,0.1809,3
2012,05,073,02000,0.0713,1,7645,0.0713,0.0713,3
2012,05,075,00500,0.0966,1,17415,0.0966,0.0966,3
2012,05,077,00700,0.0939,1,10424,0.0939,0.0939,3
2012,05,079,01800,0.132,1,14134,0.132,0.132,3
2012,05,081,02000,0.1229,1,13171,0.1229,0.1229,3
2012,05,083,01500,0.2166,1,22353,0.2166,0.2166,3
2012,05,085,01100,0.3764,1,68356,0.3764,0.3764,2
2012,05,087,00300,0.1016,1,15717,0.1016,0.1016,3
2012,05,089,00300,0.1076,1,16653,0.1076,0.1076,3
2012,05,091,02000,0.4055,1,43462,0.4055,0.4055,2
2012,05,093,00600,0.434,1,46480,0.434,0.434,2
2012,05,095,00700,0.0734,1,8149,0.0734,0.0734,3
2012,05,097,01600,0.0588,1,9487,0.0588,0.0588,3
2012,05,099,02000,0.0839,1,8997,0.0839,0.0839,3
2012,05,101,00300,0.0538,1,8330,0.0538,0.0538,3
2012,05,103,01900,0.2469,1,26120,0.2469,0.2469,3
2012,05,105,01300,0.074,1,10445,0.074,0.074,3
2012,05,107,00700,0.1959,1,21757,0.1959,0.1959,3
2012,05,109,02000,0.1054,1,11291,0.1054,0.1054,3
2012,05,111,00700,0.2214,1,24583,0.2214,0.2214,3
2012,05,113,01500,0.2002,1,20662,0.2002,0.2002,3
2012,05,115,01300,0.4374,1,61754,0.4374,0.4374,2
2012,05,117,00800,0.0785,1,8715,0.0785,0.0785,3
2012,05,119,00900,1,0.5166,197726,0.5166,1,1
2012,05,119,01000,1,0.4834,185022,0.4834,1,1
2012,05,121,00500,0.0997,1,17969,0.0997,0.0997,3
2012,05,123,00700,0.2545,1,28258,0.2545,0.2545,3
2012,05,125,01200,1,1,107118,1,1,1
2012,05,127,01500,0.1088,1,11233,0.1088,0.1088,3
2012,05,129,00300,0.053,1,8195,0.053,0.053,3
2012,05,131,01400,0.6699,1,125744,0.6699,0.6699,2
2012,05,133,01500,0.1653,1,17058,0.1653,0.1653,3
2012,05,135,00400,0.1274,1,17264,0.1274,0.1274,3
2012,05,137,00400,0.0915,1,12394,0.0915,0.0915,3
2012,05,139,01900,0.3936,1,41639,0.3936,0.3936,2
2012,05,141,00400,0.1276,1,17295,0.1276,0.1276,3
2012,05,143,00200,1,1,203065,1,1,1
2012,05,145,00800,0.6941,1,77076,0.6941,0.6941,2
2012,05,147,00800,0.0654,1,7260,0.0654,0.0654,3
2012,05,149,01300,0.1571,1,22185,0.1571,0.1571,3
2012,06,001,00101,1,0.0868,131119,0.0868,0.9999,1
2012,06,001,00102,1,0.1047,158091,0.1047,0.9999,1
2012,06,001,00103,1,0.0829,125229,0.0829,0.9999,1
2012,06,001,00104,1,0.0825,124608,0.0825,0.9999,1
2012,06,001,00105,1,0.1083,163534,0.1083,0.9999,1
2012,06,001,00106,1,0.0892,134752,0.0892,0.9999,1
2012,06,001,00107,1,0.0964,145655,0.0964,0.9999,1
2012,06,001,00108,1,0.0897,135402,0.0897,0.9999,1
2012,06,001,00109,1,0.1256,189764,0.1256,0.9999,1
2012,06,001,00110,1,0.1338,202117,0.1338,0.9999,1
2012,06,003,00300,0.0061,1,1175,0.0061,0.0061,3
2012,06,005,00300,0.1992,1,38091,0.1992,0.1992,3
2012,06,007,00701,1,0.5063,111389,0.5063,1,1
2012,06,007,00702,1,0.49370000000000003,108611,0.49370000000000003,1,1
2012,06,009,00300,0.2384,1,45578,0.2384,0.2384,3
2012,06,011,01100,0.1689,1,21419,0.1689,0.1689,3
2012,06,013,01301,1,0.1094,114777,0.1094,1,1
2012,06,013,01302,1,0.1131,118671,0.1131,1,1
2012,06,013,01303,1,0.1236,129625,0.1236,1,1
2012,06,013,01304,1,0.1123,117784,0.1123,1,1
2012,06,013,01305,1,0.1188,124585,0.1188,1,1
2012,06,013,01306,1,0.107,112211,0.107,1,1
2012,06,013,01307,1,0.1148,120474,0.1148,1,1
2012,06,013,01308,1,0.1022,107213,0.1022,1,1
2012,06,013,01309,1,0.0988,103685,0.0988,1,1
2012,06,015,01500,0.2072,1,28610,0.2072,0.2072,3
2012,06,017,01700,1,1,181058,1,1,1
2012,06,019,01901,1,0.1555,144724,0.1555,1,1
2012,06,019,01902,1,0.1866,173649,0.1866,1,1
2012,06,019,01903,1,0.1095,101880,0.1095,1,1
2012,06,019,01904,1,0.1829,170140,0.1829,1,1
2012,06,019,01905,1,0.1163,108177,0.1163,1,1
2012,06,019,01906,1,0.1103,102642,0.1103,1,1
2012,06,019,01907,1,0.1389,129238,0.1389,1,1
2012,06,021,01100,0.2218,1,28122,0.2218,0.2218,3
2012,06,023,02300,1,1,134623,1,1,1
2012,06,025,02500,1,1,174528,1,1,1
2012,06,027,00300,0.097,1,18546,0.097,0.097,3
2012,06,029,02901,1,0.2262,189962,0.2262,0.9999,1
2012,06,029,02902,1,0.2386,200370,0.2386,0.9999,1
2012,06,029,02903,1,0.1848,155144,0.1848,0.9999,1
2012,06,029,02904,1,0.1284,107850,0.1284,0.9999,1
2012,06,029,02905,1,0.2219,186305,0.2219,0.9999,1
2012,06,031,03100,1,1,152982,1,1,1
2012,06,033,03300,0.424,1,64665,0.424,0.424,2
2012,06,035,01500,0.2527,1,34895,0.2527,0.2527,3
2012,06,037,03701,1,0.0142,139801,0.0142,1.0001,1
2012,06,037,03702,1,0.0192,188102,0.0192,1.0001,1
2012,06,037,03703,1,0.0167,163632,0.0167,1.0001,1
2012,06,037,03704,1,0.0167,164268,0.0167,1.0001,1
2012,06,037,03705,1,0.017,166932,0.017,1.0001,1
2012,06,037,03706,1,0.0139,136414,0.0139,1.0001,1
2012,06,037,03707,1,0.0154,150967,0.0154,1.0001,1
2012,06,037,03708,1,0.0139,136833,0.0139,1.0001,1
2012,06,037,03709,1,0.0112,110202,0.0112,1.0001,1
2012,06,037,03710,1,0.0177,174037,0.0177,1.0001,1
2012,06,037,03711,1,0.0167,163941,0.0167,1.0001,1
2012,06,037,03712,1,0.015,146895,0.015,1.0001,1
2012,06,037,03713,1,0.0112,109666,0.0112,1.0001,1
2012,06,037,03714,1,0.0111,109128,0.0111,1.0001,1
2012,06,037,03715,1,0.0122,120111,0.0122,1.0001,1
2012,06,037,03716,1,0.0112,110351,0.0112,1.0001,1
2012,06,037,03717,1,0.0193,189098,0.0193,1.0001,1
2012,06,037,03718,1,0.0138,135128,0.0138,1.0001,1
2012,06,037,03719,1,0.0194,190790,0.0194,1.0001,1
2012,06,037,03720,1,0.012,118143,0.012,1.0001,1
2012,06,037,03721,1,0.0136,133453,0.0136,1.0001,1
2012,06,037,03722,1,0.0162,159310,0.0162,1.0001,1
2012,06,037,03723,1,0.0144,141253,0.0144,1.0001,1
2012,06,037,03724,1,0.017,167320,0.017,1.0001,1
2012,06,037,03725,1,0.0172,168469,0.0172,1.0001,1
2012,06,037,03726,1,0.0103,101503,0.0103,1.0001,1
2012,06,037,03727,1,0.0154,151268,0.0154,1.0001,1
