year,state,place,rate_affordable_available_80_ami,rate_affordable_available_50_ami,rate_affordable_available_30_ami,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,06,36448,49.23793046129889,34.35200289628613,21.269942974708634,0.6246169147784686,0.4856097845715652,0.3672701633208613,2,2,2
2022,06,36546,80.33726738483378,33.477842188374765,4.918009132887971,0.9165652301821108,0.43312128599929706,0.05502786568393945,1,1,1
2022,06,36770,35.15053873649943,23.145109615116635,14.398721094568948,0.5345584950159279,0.30467499609749576,0.17073521918597792,2,2,2
2022,06,37692,17.263873543138857,11.777888446215142,4.432773109243698,0.2564075981476197,0.1476593625498008,0.05987394957983193,2,2,2
2022,06,39496,35.693359584249336,14.144432716688172,5.000716385856425,0.4922403056682412,0.179569413881469,0.07582892824061667,3,3,3
2022,06,39892,35.04995770876004,20.90715040693686,2.4602689486552567,0.4798682354866984,0.27403526578052295,0.0406479217603912,2,2,2
2022,06,40130,48.093672579546755,33.854879466712674,20.16596858446925,0.6246971832453075,0.4009700459683015,0.25078787619564274,1,1,1
2022,06,41992,41.961084323815975,29.86260936709314,27.248701900001986,0.49272691383298656,0.35963174502580747,0.3235344056178762,2,2,2
2022,06,43000,64.53906890062164,26.47148754455116,12.623379691811632,0.7849634967816385,0.3914788330494324,0.1625036618514451,1,1,1
2022,06,44000,64.4876423429403,38.03332173502725,19.198115642353745,0.7871117776804811,0.5105571572819853,0.2421486573882874,1,1,1
2022,06,45484,19.866019791304737,14.982117684387713,19.37268621395008,0.2515668316857657,0.16652787793089896,0.1940188345995813,3,3,3
2022,06,46842,24.191059096358725,7.78155186538239,2.7457771148958336,0.2559938382455337,0.09958384451455204,0.02777552439813761,2,2,2
2022,06,46898,55.17372141191379,26.01395870661973,10.977572342048814,0.7679520104508012,0.38730096738657166,0.14997214244711973,2,2,2
2022,06,47766,54.01783332350041,28.33185271022413,25.466841371681337,0.803989603023454,0.3386544250194093,0.2800573000906268,2,2,2
2022,06,48256,23.227674676045424,6.356671494028792,6.2472946501625515,0.3071623285303207,0.06392393438878728,0.0629897979550616,1,1,1
2022,06,48354,37.86331423220826,21.64835949900293,18.171877130479462,0.48959014437055415,0.3159958716754566,0.2510778725305044,1,1,1
2022,06,49270,19.096495609232026,9.452994813570099,6.289869831750281,0.2696914551381171,0.14620306977396175,0.08705013652728598,1,1,1
2022,06,49670,72.36986652992343,45.714298589883924,16.107185823126333,0.973377396469983,0.5786966252616098,0.24862791336684545,2,2,2
2022,06,50076,14.256277727277569,9.705003655117949,NA,0.17524743717239927,0.13164336809191843,NA,2,2,NA
2022,06,50258,41.56464883467299,18.222819244055838,11.508189746862369,0.5226434830296304,0.28667145673512373,0.16273133375877472,2,2,2
2022,06,51182,51.65307285171238,13.182924106433688,16.953538800307914,0.6264298989874573,0.1530366957782666,0.19623584087048904,3,3,3
2022,06,52526,32.76692314958388,11.480899056014087,7.6906505816458415,0.390987056444952,0.14600971144322264,0.07690650581645841,1,1,1
2022,06,53000,66.1243011763744,50.38799505809515,34.58648217136775,0.8047075416739061,0.6486944209225814,0.4652048962213944,1,1,1
2022,06,53322,46.97590103454777,23.793855265238868,13.011728846571572,0.5589002085420176,0.296249121763866,0.14615282799886734,2,2,2
2022,06,53896,23.39171718548836,13.7014019662145,15.129091741058836,0.2635930958646514,0.1517685899802679,0.16667138152283878,1,1,1
2022,06,53980,57.79416865099838,26.246632238005667,20.110155628485046,0.6593579291999806,0.3532629031851353,0.2391105995718379,2,2,2
2022,06,54652,48.1671800217402,29.1351433201468,26.151743506577624,0.5856423154763608,0.3689883521089158,0.30277778361304086,1,1,1
2022,06,55156,34.423321324324704,28.26250300001047,10.324283950959542,0.4281780075329007,0.3468309327921813,0.14515639531911456,1,1,1
2022,06,56000,62.2584889492669,28.805316798511,23.564285168521938,0.8017465187178684,0.3908845936906082,0.2581274770304153,1,1,1
2022,06,56700,24.613202941284502,13.84331982278669,NA,0.27946527749009675,0.20902596913837365,NA,2,2,NA
2022,06,57456,38.21180646171512,16.886147691281884,19.04687985097796,0.4355655305600501,0.24929154859143193,0.219962744489289,2,2,2
2022,06,57792,39.300514358966176,15.628108914624244,8.606282416287492,0.5130724836570019,0.19005272853702856,0.08606282416287492,3,3,3
2022,06,58072,45.858246884089446,25.323132895219114,13.253166176282463,0.5524944640187125,0.3724323598800262,0.13253166176282463,1,1,1
