year,state,county,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,08,079,NA,NA,NA,3
2018,08,081,NA,NA,NA,3
2018,08,083,NA,NA,NA,3
2018,08,085,NA,NA,NA,3
2018,08,087,NA,NA,NA,3
2018,08,089,NA,NA,NA,3
2018,08,091,NA,NA,NA,3
2018,08,093,NA,NA,NA,3
2018,08,095,NA,NA,NA,3
2018,08,097,NA,NA,NA,3
2018,08,099,NA,NA,NA,3
2018,08,101,0.9632408687966193,0.9153036401509114,1,3
2018,08,103,NA,NA,NA,3
2018,08,105,NA,NA,NA,3
2018,08,107,NA,NA,NA,3
2018,08,109,NA,NA,NA,3
2018,08,111,NA,NA,NA,3
2018,08,113,NA,NA,NA,3
2018,08,115,NA,NA,NA,3
2018,08,117,NA,NA,NA,3
2018,08,119,NA,NA,NA,3
2018,08,121,NA,NA,NA,3
2018,08,123,0.8386722313800501,0.7491055830937652,0.928238879666335,1
2018,08,125,NA,NA,NA,3
2018,09,001,0.8973990386775077,0.8423884632144283,0.9524096141405871,1
2018,09,003,0.9157017543859649,0.8574028732281085,0.9740006355438213,1
2018,09,005,0.93024494142705,0.8452883380327018,1,3
2018,09,007,0.9961692812842029,0.9885922357348549,1,3
2018,09,009,0.9138517840805124,0.841642834900938,0.9860607332600867,1
2018,09,011,0.9594386181369525,0.8873639195530895,1,3
2018,09,013,0.9861415025528811,0.9591988022475922,1,1
2018,09,015,1,1,1,3
2018,10,001,0.873512836568566,0.753409660536192,0.9936160126009401,3
2018,10,003,0.8346631710931266,0.7527760519505036,0.9165502902357496,1
2018,10,005,NA,NA,NA,3
2018,11,001,0.9174391657010429,0.8719147611177919,0.9629635702842939,1
2018,12,001,0.9859771146511106,0.9663448284390924,1,1
2018,12,003,NA,NA,NA,3
2018,12,005,0.8352601156069365,0.7123359705113449,0.958184260702528,3
2018,12,007,NA,NA,NA,3
2018,12,009,0.9266136162687887,0.8553387441593252,0.9978884883782522,3
2018,12,011,0.8783783783783784,0.8266362842044291,0.9301204725523277,1
2018,12,013,NA,NA,NA,3
2018,12,015,NA,NA,NA,3
2018,12,017,NA,NA,NA,3
2018,12,019,NA,NA,NA,3
2018,12,021,0.8075197276806436,0.6539601313931203,0.961079323968167,3
2018,12,023,NA,NA,NA,3
2018,12,027,NA,NA,NA,3
2018,12,029,NA,NA,NA,3
2018,12,031,0.8876560332871013,0.8326076976957035,0.9427043688784991,1
2018,12,033,0.8857390550498483,0.8118715909009471,0.9596065191987495,1
2018,12,035,NA,NA,NA,3
2018,12,037,NA,NA,NA,3
2018,12,039,NA,NA,NA,3
2018,12,041,NA,NA,NA,3
2018,12,043,NA,NA,NA,3
2018,12,045,NA,NA,NA,3
2018,12,047,NA,NA,NA,3
2018,12,049,NA,NA,NA,3
2018,12,051,NA,NA,NA,3
2018,12,053,0.8005644402634055,0.6540201688276593,0.9471087116991516,3
2018,12,055,NA,NA,NA,3
2018,12,057,0.8820985709785504,0.8436883645389641,0.9205087774181366,1
2018,12,059,NA,NA,NA,3
2018,12,061,NA,NA,NA,3
2018,12,063,NA,NA,NA,3
2018,12,065,NA,NA,NA,3
2018,12,067,NA,NA,NA,3
2018,12,069,0.8267253658274756,0.7047630951374333,0.9486876365175179,3
2018,12,071,0.8262601046124584,0.7442032242095745,0.9083169850153422,1
2018,12,073,0.9394173756122712,0.8912427291196048,0.9875920221049377,1
2018,12,075,NA,NA,NA,3
2018,12,077,NA,NA,NA,3
2018,12,079,NA,NA,NA,3
2018,12,081,0.8280451734337188,0.6864146011678444,0.9696757456995931,3
2018,12,083,0.7912119471568064,0.6590521425019242,0.9233717518116886,3
2018,12,085,NA,NA,NA,3
2018,12,086,0.8825134768171542,0.8494589506040024,0.9155680030303059,1
2018,12,087,NA,NA,NA,3
2018,12,089,NA,NA,NA,3
2018,12,091,0.8548327820654171,0.6807071956300266,1,3
2018,12,093,NA,NA,NA,3
2018,12,095,0.8689497828913475,0.8195868755651965,0.9183126902174985,1
2018,12,097,0.9416096791162546,0.8812180840910088,1,3
2018,12,099,0.8072594182558683,0.7467347183468167,0.86778411816492,1
2018,12,101,0.8008508375432066,0.6772509094925638,0.9244507655938494,1
2018,12,103,0.8957519061959377,0.8191742934631366,0.9723295189287388,1
2018,12,105,0.8253862767901645,0.7256107116239457,0.9251618419563833,1
2018,12,107,NA,NA,NA,3
2018,12,109,0.9872985541079901,0.9706008265249583,1,3
2018,12,111,0.9816915422885572,0.94537016640772,1,3
2018,12,113,NA,NA,NA,3
2018,12,115,0.585574185384372,0.3742507996176465,0.7968975711510975,3
2018,12,117,0.8671838489578465,0.7767341062224941,0.957633591693199,1
2018,12,119,NA,NA,NA,3
2018,12,121,NA,NA,NA,3
2018,12,123,NA,NA,NA,3
2018,12,125,NA,NA,NA,3
2018,12,127,0.798853656373854,0.6980952947049412,0.8996120180427667,1
2018,12,129,NA,NA,NA,3
2018,12,131,NA,NA,NA,3
2018,12,133,NA,NA,NA,3
2018,13,001,NA,NA,NA,3
2018,13,003,NA,NA,NA,3
2018,13,005,NA,NA,NA,3
2018,13,007,NA,NA,NA,3
2018,13,009,NA,NA,NA,3
2018,13,011,NA,NA,NA,3
2018,13,013,NA,NA,NA,3
2018,13,015,NA,NA,NA,3
2018,13,017,NA,NA,NA,3
2018,13,019,NA,NA,NA,3
2018,13,021,0.8536477848798766,0.6773069767904365,1,3
2018,13,023,NA,NA,NA,3
2018,13,025,NA,NA,NA,3
2018,13,027,NA,NA,NA,3
2018,13,029,NA,NA,NA,3
2018,13,031,0.9368213228035538,0.8661456941110267,1,3
2018,13,033,NA,NA,NA,3
2018,13,035,NA,NA,NA,3
2018,13,037,NA,NA,NA,3
2018,13,039,NA,NA,NA,3
2018,13,043,NA,NA,NA,3
2018,13,045,0.8614653122973849,0.7336072151075902,0.9893234094871796,3
2018,13,047,NA,NA,NA,3
2018,13,049,NA,NA,NA,3
2018,13,051,0.9463008240514353,0.8966884395788491,0.9959132085240215,3
2018,13,053,NA,NA,NA,3
2018,13,055,NA,NA,NA,3
2018,13,057,0.8192480719794344,0.6802941159155901,0.9582020280432787,3
2018,13,059,0.9923471606226628,0.9816872327435124,1,1
2018,13,061,NA,NA,NA,3
2018,13,063,0.8229361763434664,0.720544696535258,0.9253276561516748,3
2018,13,065,NA,NA,NA,3
2018,13,067,0.8485822199673037,0.7720058829311429,0.9251585570034644,1
2018,13,069,NA,NA,NA,3
2018,13,071,NA,NA,NA,3
2018,13,073,0.919453207150368,0.8281169097009399,1,3
2018,13,075,NA,NA,NA,3
2018,13,077,NA,NA,NA,3
2018,13,079,NA,NA,NA,3
2018,13,081,NA,NA,NA,3
2018,13,083,NA,NA,NA,3
2018,13,085,NA,NA,NA,3
2018,13,087,NA,NA,NA,3
2018,13,089,0.8042208815843683,0.7270140319691409,0.8814277311995957,1
2018,13,091,NA,NA,NA,3
2018,13,093,NA,NA,NA,3
2018,13,095,0.8948763250883393,0.7781682323224698,1,3
2018,13,097,NA,NA,NA,3
2018,13,099,NA,NA,NA,3
2018,13,101,NA,NA,NA,3
2018,13,103,0.9368213228035538,0.8661456941110267,1,3
2018,13,105,NA,NA,NA,3
2018,13,107,NA,NA,NA,3
2018,13,109,NA,NA,NA,3
2018,13,111,NA,NA,NA,3
2018,13,113,NA,NA,NA,3
2018,13,115,NA,NA,NA,3
2018,13,117,0.8787073926516158,0.7590153481890921,0.9983994371141395,3
2018,13,119,NA,NA,NA,3
2018,13,121,0.8951989051212438,0.8480403475165864,0.9423574627259012,1
2018,13,123,NA,NA,NA,3
2018,13,125,NA,NA,NA,3
2018,13,127,NA,NA,NA,3
2018,13,129,NA,NA,NA,3
2018,13,131,NA,NA,NA,3
2018,13,133,NA,NA,NA,3
2018,13,135,0.8950573429412362,0.8369991140171259,0.9531155718653465,1
2018,13,137,NA,NA,NA,3
2018,13,139,0.8365919567636306,0.708251494890962,0.9649324186362993,3
2018,13,141,NA,NA,NA,3
2018,13,143,NA,NA,NA,3
2018,13,145,NA,NA,NA,3
2018,13,147,NA,NA,NA,3
2018,13,149,NA,NA,NA,3
2018,13,151,NA,NA,NA,3
2018,13,153,NA,NA,NA,3
2018,13,155,NA,NA,NA,3
2018,13,157,NA,NA,NA,3
2018,13,159,NA,NA,NA,3
2018,13,161,NA,NA,NA,3
2018,13,163,NA,NA,NA,3
2018,13,165,NA,NA,NA,3
2018,13,167,NA,NA,NA,3
2018,13,169,NA,NA,NA,3
2018,13,171,NA,NA,NA,3
2018,13,173,NA,NA,NA,3
2018,13,175,NA,NA,NA,3
2018,13,177,NA,NA,NA,3
2018,13,179,NA,NA,NA,3
2018,13,181,NA,NA,NA,3
2018,13,183,NA,NA,NA,3
2018,13,185,1,1,1,3
2018,13,187,NA,NA,NA,3
2018,13,189,NA,NA,NA,3
2018,13,191,NA,NA,NA,3
2018,13,193,NA,NA,NA,3
2018,13,195,NA,NA,NA,3
2018,13,197,NA,NA,NA,3
2018,13,199,NA,NA,NA,3
2018,13,201,NA,NA,NA,3
2018,13,205,NA,NA,NA,3
2018,13,207,NA,NA,NA,3
2018,13,209,NA,NA,NA,3
2018,13,211,NA,NA,NA,3
2018,13,213,NA,NA,NA,3
2018,13,215,0.9607237422771403,0.9236529092408897,0.9977945753133909,3
2018,13,217,NA,NA,NA,3
2018,13,219,NA,NA,NA,3
2018,13,221,NA,NA,NA,3
2018,13,223,NA,NA,NA,3
2018,13,225,NA,NA,NA,3
2018,13,227,NA,NA,NA,3
2018,13,229,NA,NA,NA,3
2018,13,231,NA,NA,NA,3
2018,13,233,NA,NA,NA,3
2018,13,235,NA,NA,NA,3
2018,13,237,NA,NA,NA,3
2018,13,239,NA,NA,NA,3
2018,13,241,NA,NA,NA,3
2018,13,243,NA,NA,NA,3
2018,13,245,0.9616917341560612,0.9175488122404762,1,3
2018,13,247,NA,NA,NA,3
2018,13,249,NA,NA,NA,3
2018,13,251,NA,NA,NA,3
2018,13,253,NA,NA,NA,3
2018,13,255,NA,NA,NA,3
2018,13,257,NA,NA,NA,3
2018,13,259,NA,NA,NA,3
2018,13,261,NA,NA,NA,3
2018,13,263,NA,NA,NA,3
2018,13,265,NA,NA,NA,3
2018,13,267,NA,NA,NA,3
2018,13,269,NA,NA,NA,3
2018,13,271,NA,NA,NA,3
2018,13,273,NA,NA,NA,3
2018,13,275,NA,NA,NA,3
2018,13,277,NA,NA,NA,3
2018,13,279,NA,NA,NA,3
2018,13,281,NA,NA,NA,3
2018,13,283,NA,NA,NA,3
2018,13,285,NA,NA,NA,3
2018,13,287,NA,NA,NA,3
2018,13,289,NA,NA,NA,3
2018,13,291,NA,NA,NA,3
2018,13,293,NA,NA,NA,3
2018,13,295,NA,NA,NA,3
2018,13,297,NA,NA,NA,3
2018,13,299,NA,NA,NA,3
2018,13,301,NA,NA,NA,3
2018,13,303,NA,NA,NA,3
2018,13,305,NA,NA,NA,3
2018,13,307,NA,NA,NA,3
2018,13,309,NA,NA,NA,3
2018,13,311,NA,NA,NA,3
2018,13,313,NA,NA,NA,3
2018,13,315,NA,NA,NA,3
2018,13,317,NA,NA,NA,3
2018,13,319,NA,NA,NA,3
2018,13,321,NA,NA,NA,3
2018,15,001,0.8595505617977528,0.6808445291226697,1,3
2018,15,003,0.9460099965529127,0.9079027536240315,0.984117239481794,1
2018,15,005,NA,NA,NA,3
2018,15,007,NA,NA,NA,3
2018,15,009,NA,NA,NA,3
2018,16,001,0.9159790390469509,0.8625560363246719,0.9694020417692298,3
2018,16,003,NA,NA,NA,3
2018,16,005,NA,NA,NA,3
2018,16,007,NA,NA,NA,3
2018,16,009,NA,NA,NA,3
2018,16,011,NA,NA,NA,3
2018,16,013,NA,NA,NA,3
2018,16,015,NA,NA,NA,3
2018,16,017,NA,NA,NA,3
2018,16,019,NA,NA,NA,3
2018,16,021,NA,NA,NA,3
2018,16,023,NA,NA,NA,3
2018,16,025,NA,NA,NA,3
2018,16,027,0.9077452538286314,0.8341037888182387,0.9813867188390241,3
2018,16,029,NA,NA,NA,3
2018,16,031,NA,NA,NA,3
2018,16,033,NA,NA,NA,3
2018,16,035,NA,NA,NA,3
2018,16,037,NA,NA,NA,3
2018,16,039,NA,NA,NA,3
2018,16,041,NA,NA,NA,3
2018,16,043,NA,NA,NA,3
2018,16,045,NA,NA,NA,3
2018,16,047,NA,NA,NA,3
2018,16,049,NA,NA,NA,3
2018,16,051,NA,NA,NA,3
2018,16,053,NA,NA,NA,3
2018,16,055,NA,NA,NA,3
2018,16,057,NA,NA,NA,3
2018,16,059,NA,NA,NA,3
2018,16,061,NA,NA,NA,3
2018,16,063,NA,NA,NA,3
2018,16,065,NA,NA,NA,3
2018,16,067,NA,NA,NA,3
2018,16,069,NA,NA,NA,3
2018,16,071,NA,NA,NA,3
2018,16,073,NA,NA,NA,3
2018,16,075,NA,NA,NA,3
2018,16,077,NA,NA,NA,3
2018,16,079,NA,NA,NA,3
2018,16,081,NA,NA,NA,3
2018,16,083,NA,NA,NA,3
2018,16,085,NA,NA,NA,3
2018,16,087,NA,NA,NA,3
2018,17,001,NA,NA,NA,3
2018,17,003,NA,NA,NA,3
2018,17,005,NA,NA,NA,3
2018,17,007,NA,NA,NA,3
2018,17,009,NA,NA,NA,3
2018,17,011,NA,NA,NA,3
2018,17,013,NA,NA,NA,3
2018,17,015,NA,NA,NA,3
2018,17,017,NA,NA,NA,3
2018,17,019,0.9272930025090604,0.8823660218866305,0.9722199831314904,1
2018,17,021,NA,NA,NA,3
2018,17,023,NA,NA,NA,3
2018,17,025,NA,NA,NA,3
2018,17,027,NA,NA,NA,3
2018,17,029,NA,NA,NA,3
2018,17,031,0.8970575010341912,0.8705533349369156,0.9235616671314669,1
2018,17,033,NA,NA,NA,3
2018,17,035,NA,NA,NA,3
2018,17,037,1,1,1,3
2018,17,039,NA,NA,NA,3
2018,17,041,NA,NA,NA,3
2018,17,043,0.9459757995682081,0.9077522607463531,0.9841993383900631,1
2018,17,045,NA,NA,NA,3
2018,17,047,NA,NA,NA,3
2018,17,049,NA,NA,NA,3
2018,17,051,NA,NA,NA,3
2018,17,053,NA,NA,NA,3
2018,17,055,NA,NA,NA,3
2018,17,057,NA,NA,NA,3
2018,17,059,NA,NA,NA,3
2018,17,061,NA,NA,NA,3
2018,17,063,NA,NA,NA,3
2018,17,065,NA,NA,NA,3
2018,17,067,NA,NA,NA,3
2018,17,069,NA,NA,NA,3
2018,17,071,NA,NA,NA,3
2018,17,073,NA,NA,NA,3
2018,17,075,NA,NA,NA,3
2018,17,077,NA,NA,NA,3
2018,17,079,NA,NA,NA,3
2018,17,081,NA,NA,NA,3
2018,17,083,NA,NA,NA,3
2018,17,085,NA,NA,NA,3
2018,17,087,NA,NA,NA,3
2018,17,089,0.8424052436591621,0.7443041430574837,0.9405063442608406,3
2018,17,091,0.9480908410282006,0.8818680073581588,1,3
2018,17,093,NA,NA,NA,3
2018,17,095,NA,NA,NA,3
2018,17,097,0.920295605594683,0.8705471836466094,0.9700440275427566,1
2018,17,099,NA,NA,NA,3
2018,17,101,NA,NA,NA,3
2018,17,103,NA,NA,NA,3
2018,17,105,NA,NA,NA,3
2018,17,107,NA,NA,NA,3
2018,17,109,NA,NA,NA,3
2018,17,111,1,1,1,3
