year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,12,086,0.5562871135893543,0.5345969017726282,0.5779773254060805,1
2018,12,087,0.5556377079482437,0.43492147628182765,0.6763539396146598,2
2018,12,089,0.393123446561723,0.2920102254139409,0.4942366677095051,2
2018,12,091,0.4716646989374262,0.38979267095315556,0.5535367269216968,1
2018,12,093,0.4117424242424243,0.28558343212945103,0.5379014163553976,2
2018,12,095,0.4879478265866061,0.4504585571628044,0.5254370960104078,1
2018,12,097,0.31824626458719596,0.23353596923626097,0.40295655993813095,1
2018,12,099,0.556544769927883,0.527257594241127,0.5858319456146391,1
2018,12,101,0.41440472991131416,0.36144758227904844,0.4673618775435799,1
2018,12,103,0.4867363344051447,0.4445669217999427,0.5289057470103466,1
2018,12,105,0.3941435605079036,0.3414453299197057,0.4468417910961015,1
2018,12,107,0.2462970799830722,0.15733442608722803,0.3352597338789164,2
2018,12,109,0.4894808242660225,0.39150856510889676,0.5874530834231483,1
2018,12,111,0.39255289914811764,0.309323805180544,0.4757819931156913,1
2018,12,113,0.4226875287620801,0.3270617580947903,0.5183132994293699,1
2018,12,115,0.43379278302617313,0.3580687141210662,0.50951685193128,1
2018,12,117,0.5855689176688251,0.523480975853156,0.6476568594844943,1
2018,12,119,0.38550088469781507,0.2730796389550941,0.49792213044053607,2
2018,12,121,0.4891304347826087,0.3561176606583215,0.6221432089068959,2
2018,12,123,NA,NA,NA,NA
2018,12,125,NA,NA,NA,NA
2018,12,127,0.4201318822921135,0.3474954067661137,0.49276835781811335,1
2018,12,129,0.4364937388193204,0.34327244129485723,0.5297150363437836,3
2018,12,131,0.4681914571342021,0.39442177670530815,0.5419611375630962,3
2018,12,133,NA,NA,NA,NA
2018,13,001,NA,NA,NA,NA
2018,13,003,NA,NA,NA,NA
2018,13,005,NA,NA,NA,NA
2018,13,007,NA,NA,NA,NA
2018,13,009,0.4357763975155281,0.3328902914989922,0.538662503532064,3
2018,13,011,NA,NA,NA,NA
2018,13,013,0.4413015737983842,0.366614670544833,0.5159884770519354,2
2018,13,015,0.33946360153256705,0.228157651665725,0.4507695513994091,1
2018,13,017,NA,NA,NA,NA
2018,13,019,NA,NA,NA,NA
2018,13,021,0.49109217660728116,0.3928113329288531,0.5893730202857093,1
2018,13,023,NA,NA,NA,NA
2018,13,025,NA,NA,NA,NA
2018,13,027,NA,NA,NA,NA
2018,13,029,0.45349772179040443,0.3685852318159202,0.5384102117648887,3
2018,13,031,0.35586635586635573,0.27069997207242374,0.4410327396602877,2
2018,13,033,0.45811437403400346,0.37470591553541066,0.5415228325325963,3
2018,13,035,NA,NA,NA,NA
2018,13,037,NA,NA,NA,NA
2018,13,039,0.44294117647058845,0.36441575817508987,0.521466594766087,3
2018,13,043,NA,NA,NA,NA
2018,13,045,0.3921149144254279,0.2912790821019493,0.4929507467489065,1
2018,13,047,0.39694254085397995,0.2990525179008462,0.4948325638071137,2
2018,13,049,NA,NA,NA,NA
2018,13,051,0.45310226220399524,0.38108346246828956,0.5251210619397009,1
2018,13,053,NA,NA,NA,NA
2018,13,055,NA,NA,NA,NA
2018,13,057,0.556432400238237,0.4805760607831566,0.6322887396933174,1
2018,13,059,0.43561643835616437,0.3093489445000408,0.5618839322122879,1
2018,13,061,NA,NA,NA,NA
2018,13,063,0.42947888483707797,0.3665227051746341,0.49243506449952185,1
2018,13,065,NA,NA,NA,NA
2018,13,067,0.5704811844540407,0.5272121391803527,0.6137502297277287,1
2018,13,069,0.32116004296455397,0.24690878170701486,0.3954113042220931,3
2018,13,071,0.4321378340365681,0.30478894800115164,0.5594867200719845,2
2018,13,073,0.4132602193419741,0.2980247585381483,0.5284956801457998,1
2018,13,075,NA,NA,NA,NA
2018,13,077,0.5027104136947218,0.4169828367227105,0.5884379906667331,1
