year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,04,55000,gender,Male,0.78406440753556494,0.7512689776693503,0.8168598374017796,2
2018,04,65000,gender,Female,0.9307234212372725,0.8714527375826585,0.9899941048918864,3
2018,04,65000,gender,Male,0.8987087325467108,0.8278454243992569,0.9695720406941647,3
2018,04,71510,gender,Female,0.9064015580285748,0.7677924292051554,1,1
2018,04,71510,gender,Male,0.8936281273955787,0.8012258604804059,0.9860303943107516,1
2018,04,73000,gender,Female,0.9798699961670821,0.9633396577937019,0.9964003345404624,3
2018,04,73000,gender,Male,0.9488551156988332,0.909903519776631,0.9878067116210354,3
2018,04,77000,gender,Female,0.8738737418970408,0.8268828381162379,0.9208646456778438,2
2018,04,77000,gender,Male,0.8571218726190898,0.8186088249141948,0.8956349203239847,2
2018,04,85540,gender,Female,0.8934337997847147,0.8226503772271128,0.9642172223423167,2
2018,04,85540,gender,Male,0.8076588337684943,0.7056959005461101,0.9096217669908786,2
2018,05,23290,gender,Female,0.922384701912261,0.8674178406057771,0.9773515632187448,2
2018,05,23290,gender,Male,0.9243140964995269,0.868731947375188,0.9798962456238658,2
2018,05,24550,gender,Female,0.8818933823529412,0.8056698623023272,0.9581169024035553,2
2018,05,24550,gender,Male,0.9356029532403609,0.8739800720832335,0.9972258343974884,2
2018,05,35710,gender,Female,0.9288476829665826,0.8770917404683714,0.9806036254647938,2
2018,05,35710,gender,Male,0.9171075178032609,0.8464993327326377,0.9877157028738842,2
2018,05,41000,gender,Female,0.9462722651658229,0.9007124859742816,0.9918320443573642,1
2018,05,41000,gender,Male,0.8698831815120459,0.7815779166187635,0.9581884464053283,1
2018,05,66080,gender,Female,0.9237486195649383,0.8714869969503861,0.9760102421794904,3
2018,05,66080,gender,Male,0.9201648072223294,0.8679237599820079,0.9724058544626509,3
2018,06,00562,gender,Female,NA,NA,NA,NA
2018,06,00562,gender,Male,0.8828270303781774,0.7962340295769648,0.9694200311793901,2
2018,06,00884,gender,Female,0.9591419816138916,0.9104923750097267,1,2
2018,06,00884,gender,Male,0.9645161290322581,0.9223149707930862,1,2
2018,06,02000,gender,Female,0.9541024251491002,0.924679204247316,0.9835256460508843,3
2018,06,02000,gender,Male,0.9025725650465813,0.8541812417352884,0.9509638883578743,3
2018,06,02252,gender,Female,0.9427409112728022,0.8732254598090081,1,1
2018,06,02252,gender,Male,0.7910064715003823,0.6385738937945753,0.9434390492061893,1
2018,06,02364,gender,Female,0.8762110146667559,0.7992815671983522,0.9531404621351596,2
2018,06,02364,gender,Male,0.8530926887890248,0.7698657377395461,0.9363196398385034,2
2018,06,03526,gender,Female,0.8969398123250527,0.856978264731753,0.9369013599183524,2
2018,06,03526,gender,Male,0.8654761594601016,0.8182580244160621,0.9126942945041411,2
2018,06,04982,gender,Female,0.9690840389407416,0.9431635211930084,0.9950045566884748,2
2018,06,04982,gender,Male,0.9332348175170464,0.8861193876940459,0.9803502473400469,2
2018,06,06000,gender,Female,0.9896907216494845,0.9777755690703905,1,1
2018,06,06000,gender,Male,0.9921348314606742,0.979524517574031,1,1
2018,06,08786,gender,Female,0.9625713843297053,0.9219843317772705,1,3
2018,06,08786,gender,Male,0.9083915235595941,0.8404648728688368,0.9763181742503514,3
2018,06,08954,gender,Female,0.9270122783083219,0.8576421847859199,0.9963823718307239,1
2018,06,08954,gender,Male,0.9501590668080594,0.889478474259955,1,1
2018,06,11194,gender,Female,NA,NA,NA,NA
2018,06,11194,gender,Male,0.9135796599372682,0.8024256749042264,1,1
2018,06,11530,gender,Female,0.8890403150144676,0.8126454269237717,0.9654352031051634,1
2018,06,11530,gender,Male,0.9067791218317308,0.8274558047670288,0.9861024388964328,1
2018,06,13014,gender,Female,0.9898242368177613,0.9756230535240136,1,1
2018,06,13014,gender,Male,0.9582052858020897,0.9215752787829161,0.9948352928212634,1
2018,06,13210,gender,Female,0.9363602118645903,0.8750534030806972,0.9976670206484833,2
2018,06,13210,gender,Male,0.8335211796847323,0.7246479129401102,0.9423944464293543,2
2018,06,13214,gender,Female,0.9374592833876222,0.8688358111106464,1,2
2018,06,13214,gender,Male,0.8304732189287571,0.7127513854346802,0.9481950524228341,2
2018,06,13392,gender,Female,0.954194322047695,0.9240309115775664,0.9843577325178237,1
2018,06,13392,gender,Male,0.9421819817331082,0.9142032254765704,0.970160737989646,1
2018,06,13588,gender,Female,0.8781540465650622,0.7764007421594026,0.9799073509707219,1
2018,06,13588,gender,Male,0.936861533538265,0.8834854614517946,0.9902376056247353,1
2018,06,14218,gender,Female,0.9034155039902,0.8104382401080549,0.9963927678723451,1
2018,06,14218,gender,Male,0.9345976600482078,0.880226287240471,0.9889690328559445,1
2018,06,15044,gender,Female,0.8787650180041715,0.8185749304997382,0.9389551055086048,2
2018,06,15044,gender,Male,0.7239236060065434,0.6415089415389802,0.8063382704741066,2
2018,06,16000,gender,Female,0.8516536704173757,0.7620343652145557,0.9412729756201957,3
2018,06,16000,gender,Male,0.9130401575488604,0.8571735403272196,0.9689067747705011,3
2018,06,16350,gender,Female,0.9618070598907552,0.9271477302138986,0.9964663895676118,2
2018,06,16350,gender,Male,0.9539449161390757,0.923370273710233,0.9845195585679185,2
2018,06,16532,gender,Female,0.9628865278870854,0.9201877435421938,1,2
2018,06,16532,gender,Male,0.9705187697455588,0.9407884013525895,1,2
2018,06,17918,gender,Female,0.9409523968815138,0.8763380941226385,1,2
2018,06,17918,gender,Male,0.9715263190344404,0.9434211562771639,0.9996314817917169,2
2018,06,19766,gender,Female,0.9353092219488583,0.8795587142398641,0.9910597296578526,1
2018,06,19766,gender,Male,0.8869216621811523,0.7972186414915208,0.9766246828707839,1
2018,06,21712,gender,Female,0.9388790631051279,0.8908714984582948,0.986886627751961,2
2018,06,21712,gender,Male,0.8201662513334584,0.7004981601771763,0.9398343424897406,2
2018,06,22020,gender,Female,0.8740895654442489,0.7888765241343556,0.9593026067541421,1
2018,06,22020,gender,Male,0.8319946272978395,0.7436136021377062,0.9203756524579727,1
2018,06,22230,gender,Female,0.9264186099034499,0.8631188750668572,0.9897183447400426,1
2018,06,22230,gender,Male,0.8198645622912445,0.7340943718378621,0.9056347527446269,1
2018,06,22804,gender,Female,0.9091068759329038,0.8434562709877975,0.9747574808780102,1
2018,06,22804,gender,Male,0.755089843551399,0.6568191035001691,0.8533605836026288,1
2018,06,23182,gender,Female,0.9501483679525224,0.8994261781796213,1,1
2018,06,23182,gender,Male,0.8249849124924563,0.7042177465010487,0.9457520784838639,1
2018,06,24638,gender,Female,0.9464627151051624,0.8754634846013787,1,2
2018,06,24638,gender,Male,0.9387159533073931,0.8664047297101585,1,2
2018,06,24680,gender,Female,0.9172871207534319,0.8607810725882962,0.9737931689185676,1
2018,06,24680,gender,Male,0.9143211536053641,0.8696790137401798,0.9589632934705485,1
2018,06,26000,gender,Female,0.9632670014200448,0.9196153125144984,1,2
2018,06,26000,gender,Male,0.8890367414870864,0.8031806135628561,0.9748928694113168,2
2018,06,27000,gender,Female,0.8978040180219058,0.865978969591439,0.9296290664523725,3
2018,06,27000,gender,Male,0.8590102984288867,0.8250099787203733,0.8930106181374,3
2018,06,28000,gender,Female,0.92236647174796,0.8539188006528606,0.9908141428430595,3
2018,06,28000,gender,Male,0.965175833254264,0.9323580458710194,0.9979936206375086,3
2018,06,29000,gender,Female,0.9361383709959707,0.8998322177425694,0.9724445242493721,3
