year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,02,063,income,"Less than $50,000",NA,NA,NA,NA
2014,02,066,all,All,NA,NA,NA,NA
2014,02,066,income,"$50,000 or More",NA,NA,NA,NA
2014,02,066,income,"Less than $50,000",NA,NA,NA,NA
2014,02,068,all,All,NA,NA,NA,NA
2014,02,068,income,"$50,000 or More",NA,NA,NA,NA
2014,02,068,income,"Less than $50,000",NA,NA,NA,NA
2014,02,070,all,All,NA,NA,NA,NA
2014,02,070,income,"$50,000 or More",NA,NA,NA,NA
2014,02,070,income,"Less than $50,000",NA,NA,NA,NA
2014,02,090,all,All,0.46247125235208025,0.36956929129185834,0.5553732134123022,2
2014,02,090,income,"$50,000 or More",0.49299474605954463,0.3754162971107293,0.6105731950083599,2
2014,02,090,income,"Less than $50,000",NA,NA,NA,NA
2014,02,100,all,All,NA,NA,NA,NA
2014,02,100,income,"$50,000 or More",NA,NA,NA,NA
2014,02,100,income,"Less than $50,000",NA,NA,NA,NA
2014,02,105,all,All,NA,NA,NA,NA
2014,02,105,income,"$50,000 or More",NA,NA,NA,NA
2014,02,105,income,"Less than $50,000",NA,NA,NA,NA
2014,02,110,all,All,NA,NA,NA,NA
2014,02,110,income,"$50,000 or More",NA,NA,NA,NA
2014,02,110,income,"Less than $50,000",NA,NA,NA,NA
2014,02,122,all,All,0.3706264403938823,0.29301245592466363,0.448240424863101,2
2014,02,122,income,"$50,000 or More",0.3383757961783439,0.25327972874010796,0.42347186361657985,2
2014,02,122,income,"Less than $50,000",NA,NA,NA,NA
2014,02,130,all,All,NA,NA,NA,NA
2014,02,130,income,"$50,000 or More",NA,NA,NA,NA
2014,02,130,income,"Less than $50,000",NA,NA,NA,NA
2014,02,150,all,All,0.44041867954911434,0.3801393396791056,0.5006980194191232,3
2014,02,150,income,"$50,000 or More",0.4425553838227718,0.35315044028830744,0.5319603273572362,3
2014,02,150,income,"Less than $50,000",0.4380952380952381,0.3630945810344925,0.51309589515598375,3
2014,02,158,all,All,0.44041867954911434,0.3801393396791056,0.5006980194191232,3
2014,02,158,income,"$50,000 or More",NA,NA,NA,NA
2014,02,158,income,"Less than $50,000",NA,NA,NA,NA
2014,02,164,all,All,NA,NA,NA,NA
2014,02,164,income,"$50,000 or More",NA,NA,NA,NA
2014,02,164,income,"Less than $50,000",NA,NA,NA,NA
2014,02,170,all,All,0.37062644039388226,0.2930124559246636,0.44824042486310095,2
2014,02,170,income,"$50,000 or More",0.33837579617834396,0.253279728740108,0.4234718636165799,2
2014,02,170,income,"Less than $50,000",0.491542288557214,0.30971282973554376,0.6733717473788843,2
2014,02,180,all,All,0.44041867954911434,0.3801393396791056,0.5006980194191231,3
2014,02,180,income,"$50,000 or More",NA,NA,NA,NA
2014,02,180,income,"Less than $50,000",NA,NA,NA,NA
2014,02,185,all,All,0.4404186795491144,0.3801393396791057,0.5006980194191231,3
2014,02,185,income,"$50,000 or More",NA,NA,NA,NA
2014,02,185,income,"Less than $50,000",NA,NA,NA,NA
2014,02,188,all,All,0.44041867954911434,0.3801393396791056,0.5006980194191231,3
2014,02,188,income,"$50,000 or More",NA,NA,NA,NA
2014,02,188,income,"Less than $50,000",NA,NA,NA,NA
2014,02,195,all,All,NA,NA,NA,NA
2014,02,195,income,"$50,000 or More",NA,NA,NA,NA
2014,02,195,income,"Less than $50,000",NA,NA,NA,NA
2014,02,198,all,All,NA,NA,NA,NA
2014,02,198,income,"$50,000 or More",NA,NA,NA,NA
2014,02,198,income,"Less than $50,000",NA,NA,NA,NA
2014,02,220,all,All,0.44041867954911434,0.3801393396791056,0.5006980194191231,3
2014,02,220,income,"$50,000 or More",NA,NA,NA,NA
2014,02,220,income,"Less than $50,000",NA,NA,NA,NA
2014,02,230,all,All,NA,NA,NA,NA
2014,02,230,income,"$50,000 or More",NA,NA,NA,NA
2014,02,230,income,"Less than $50,000",NA,NA,NA,NA
2014,02,240,all,All,NA,NA,NA,NA
2014,02,240,income,"$50,000 or More",NA,NA,NA,NA
2014,02,240,income,"Less than $50,000",NA,NA,NA,NA
2014,02,275,all,All,NA,NA,NA,NA
2014,02,275,income,"$50,000 or More",NA,NA,NA,NA
2014,02,275,income,"Less than $50,000",NA,NA,NA,NA
2014,02,282,all,All,NA,NA,NA,NA
2014,02,282,income,"$50,000 or More",NA,NA,NA,NA
2014,02,282,income,"Less than $50,000",NA,NA,NA,NA
2014,02,290,all,All,NA,NA,NA,NA
2014,02,290,income,"$50,000 or More",NA,NA,NA,NA
2014,02,290,income,"Less than $50,000",NA,NA,NA,NA
2014,04,001,all,All,0.3737389911929544,0.3088260129738508,0.438651969412058,2
2014,04,001,income,"$50,000 or More",0.30998644374152734,0.20676713460039065,0.413205752882664,2
2014,04,001,income,"Less than $50,000",0.4087301587301587,0.32782864935641287,0.48963166810390457,2
2014,04,003,all,All,0.32259194395796853,0.2531886287303231,0.3919952591856139,2
2014,04,003,income,"$50,000 or More",0.34168377823408624,0.23719301879531088,0.4461745376728616,2
2014,04,003,income,"Less than $50,000",0.30839694656488553,0.217658463529333,0.3991354296004381,2
2014,04,005,all,All,0.459511391710129,0.3618806913172647,0.5571420921029934,1
2014,04,005,income,"$50,000 or More",0.4707585408222351,0.33447680693830717,0.6070402747061631,1
2014,04,005,income,"Less than $50,000",0.4493736951983298,0.3043143605775863,0.5944330298190734,1
2014,04,007,all,All,0.27460770328102707,0.2126265077479585,0.33658889881409565,2
2014,04,007,income,"$50,000 or More",0.25697151424287856,0.17234188295324016,0.34160114553251697,2
2014,04,007,income,"Less than $50,000",0.2888707037643208,0.20401714388104128,0.37372426364760025,2
2014,04,009,all,All,0.2746077032810271,0.21262650774795855,0.3365888988140957,3
2014,04,009,income,"$50,000 or More",0.25697151424287856,0.17234188295324013,0.34160114553251697,3
2014,04,009,income,"Less than $50,000",0.2888707037643207,0.2040171438810412,0.37372426364760025,3
2014,04,011,all,All,NA,NA,NA,NA
2014,04,011,income,"$50,000 or More",NA,NA,NA,NA
2014,04,011,income,"Less than $50,000",NA,NA,NA,NA
2014,04,012,all,All,NA,NA,NA,NA
2014,04,012,income,"$50,000 or More",NA,NA,NA,NA
2014,04,012,income,"Less than $50,000",NA,NA,NA,NA
2014,04,013,all,All,0.3262136091681348,0.309239379425141,0.3431878389111286,1
2014,04,013,income,"$50,000 or More",0.41953771616984054,0.3951004784977658,0.44397495384191527,1
