year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,097,gender,Male,0.6939321832242713,0.5732205011951602,0.8146438652533824,1
2014,01,099,all,All,0.8008879023307436,0.7211771010749118,0.8805987035865753,3
2014,01,099,gender,Female,NA,NA,NA,NA
2014,01,099,gender,Male,NA,NA,NA,NA
2014,01,101,all,All,0.8293732063365108,0.7730613668736419,0.8856850457993797,1
2014,01,101,gender,Female,0.8866228190449963,0.815806432142963,0.9574392059470296,1
2014,01,101,gender,Male,0.7734171968012353,0.6848298107593603,0.8620045828431103,1
2014,01,103,all,All,0.9249768447051558,0.8698092024343039,0.9801444869760078,1
2014,01,103,gender,Female,0.8980699638118215,0.8130636883201177,0.9830762393035252,1
2014,01,103,gender,Male,0.9531941808981657,0.9044130291215968,1,1
2014,01,105,all,All,NA,NA,NA,NA
2014,01,105,gender,Female,NA,NA,NA,NA
2014,01,105,gender,Male,NA,NA,NA,NA
2014,01,107,all,All,NA,NA,NA,NA
2014,01,107,gender,Female,NA,NA,NA,NA
2014,01,107,gender,Male,NA,NA,NA,NA
2014,01,109,all,All,0.9211683969734296,0.8768117430625109,0.9655250508843484,3
2014,01,109,gender,Female,0.9540798304486048,0.8992339870621158,1,3
2014,01,109,gender,Male,NA,NA,NA,NA
2014,01,111,all,All,NA,NA,NA,NA
2014,01,111,gender,Female,NA,NA,NA,NA
2014,01,111,gender,Male,NA,NA,NA,NA
2014,01,113,all,All,0.9211683969734294,0.8768117430625106,0.9655250508843484,2
2014,01,113,gender,Female,0.9540798304486048,0.899233987062116,1,2
2014,01,113,gender,Male,0.8884992987377278,0.813166619303445,0.9638319781720106,2
2014,01,115,all,All,0.7829477514946711,0.7075876387908969,0.8583078641984453,2
2014,01,115,gender,Female,0.7541528239202657,0.640971825138333,0.8673338227021985,2
2014,01,115,gender,Male,0.8084272415482606,0.6967753141768235,0.9200791689196978,2
2014,01,117,all,All,0.9322916666666666,0.892310085471876,0.9722732478614572,1
2014,01,117,gender,Female,0.9203865623561897,0.8561010251486069,0.9846720995637724,1
2014,01,117,gender,Male,0.9438252340615249,0.8895955205856735,0.998054947537376,1
2014,01,119,all,All,0.9161536206391088,0.871608562882907,0.9606986783953104,3
2014,01,119,gender,Female,NA,NA,NA,NA
2014,01,119,gender,Male,NA,NA,NA,NA
2014,01,121,all,All,0.8234582829504231,0.752867675791559,0.8940488901092872,2
2014,01,121,gender,Female,0.8998655913978495,0.8226498353613234,0.9770813474343756,2
2014,01,121,gender,Male,0.760989010989011,0.6628510433978859,0.859126978580136,2
2014,01,123,all,All,0.8463919980947844,0.7818449383552806,0.9109390578342882,3
2014,01,123,gender,Female,0.8780366881507189,0.7930217151143059,0.963051661187132,3
2014,01,123,gender,Male,0.8171402383134739,0.7194906022082431,0.9147898744187049,3
2014,01,125,all,All,0.9054610905478082,0.8680732538126332,0.9428489272829832,1
2014,01,125,gender,Female,0.9404507583176216,0.8966028053287767,0.9842987113064668,1
2014,01,125,gender,Male,0.8773873786191281,0.8213507349530266,0.9334240222852296,1
2014,01,127,all,All,0.9092364334880744,0.8564792639211,0.9619936030550486,2
2014,01,127,gender,Female,0.933,0.8564325293886937,1,2
2014,01,127,gender,Male,0.8872805666769324,0.8245535331155749,0.95000760023829,2
2014,01,129,all,All,NA,NA,NA,NA
2014,01,129,gender,Female,NA,NA,NA,NA
2014,01,129,gender,Male,NA,NA,NA,NA
2014,01,131,all,All,NA,NA,NA,NA
2014,01,131,gender,Female,NA,NA,NA,NA
2014,01,131,gender,Male,NA,NA,NA,NA
2014,01,133,all,All,0.8798403193612774,0.8159643922254777,0.9437162464970772,3
2014,01,133,gender,Female,NA,NA,NA,NA
2014,01,133,gender,Male,NA,NA,NA,NA
2014,02,013,all,All,NA,NA,NA,NA
2014,02,013,gender,Female,NA,NA,NA,NA
2014,02,013,gender,Male,NA,NA,NA,NA
2014,02,016,all,All,NA,NA,NA,NA
2014,02,016,gender,Female,NA,NA,NA,NA
2014,02,016,gender,Male,NA,NA,NA,NA
