year,state,county,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality
2017,01,079,.66238958,1,.66307199,1,.85628742,1,.67664671,1
2018,01,047,.97727644,1,.99857956,1,.97435415,1,1,1
2014,01,101,.67167097,1,.26593575,1,.75703472,1,.78442794,1
2017,01,091,.67644006,1,.62543434,1,.71825397,1,.56074768,1
2016,01,115,.26922199,1,.26976055,1,.22492836,1,.32588455,1
2015,01,065,.73380494,1,.51142132,1,.83360791,1,.627451,1
2018,01,109,1,1,1,1,1,1,1,1
2016,01,093,.65019423,1,.64612424,1,.64204544,1,.65562916,1
2015,01,059,.14176182,1,.16885285,1,.06666667,1,.086845465,1
2018,01,097,.72124922,1,.60245317,1,.82397097,1,.71451551,1
2015,01,093,.48083922,1,.48081049,1,.37640449,1,.4520548,1
2015,01,133,.60557961,1,.59866393,1,.52941179,1,.70886075,1
2018,01,119,.81895506,1,.1392405,1,.89542037,1,1,3
2014,01,111,.92395639,1,.93126214,1,.93361431,1,.78048778,1
2014,01,045,.90448463,1,.88543791,1,.93447739,1,.94941634,1
2014,01,029,.56066793,1,.54723924,1,.6796875,1,.59154928,1
2018,01,093,.52793169,1,.52416837,1,.4509804,1,.65217394,1
2015,01,079,.6077702,1,.58503592,1,.805668,1,.67669171,1
2015,01,085,1.0006406,1,1,2,1,1,1,3
2017,01,103,.39735031,1,.30581674,1,.52241319,1,.63195908,1
2018,01,125,.36369541,1,.17614624,1,.56119645,1,.54831254,1
2016,01,097,.73657793,1,.64967012,1,.81372613,1,.7202633,1
2017,01,043,.52186543,1,.5121299,1,.51304346,1,.59397811,1
2017,01,063,1,1,1,3,1,1,1,3
2015,01,127,.70750165,1,.71791458,1,.61290324,1,.68513852,1
2017,01,083,.2659581,1,.2575919,1,.20600858,1,.43253747,1
2015,01,099,.71150637,1,.50617284,1,.87907463,1,.37931034,2
2017,01,085,1,1,1,2,1,1,1,3
2017,01,027,.55677658,1,.55444843,1,.55459768,1,.55445546,1
2017,01,005,1,1,1,1,1,1,1,1
2017,01,003,.32867661,1,.29176152,1,.39968026,1,.49723566,1
2015,01,107,.55091184,1,.19979613,1,.79452056,1,.084745765,1
2018,01,111,1,1,1,1,1,1,1,1
2018,01,053,.93366873,1,.92011017,1,.94556838,1,.93859649,1
2018,01,011,1,1,1,1,1,1,1,1
2015,01,097,.42642117,1,.22312093,1,.62729597,1,.32953367,1
2015,01,003,.37544054,1,.33372867,1,.47288933,1,.6438356,1
2016,01,049,1,1,1,1,1,1,1,1
2014,01,077,.52231556,1,.48185328,1,.69421965,1,.68972749,1
2018,01,127,.66614652,1,.66832656,1,.61814111,1,.70809793,1
2014,01,085,1.0006317,1,1,3,1,1,1,3
2014,01,117,.11616964,1,.1098009,1,.14916231,1,.11762909,1
2016,01,113,.81269366,1,.8487367,1,.79582274,1,.81451613,1
2017,01,121,.79544109,1,.72821987,1,.88407344,1,.86241609,1
2016,01,005,1,1,1,1,1,1,1,1
2014,01,011,1.0006588,1,1,2,1,1,1,1
2014,01,001,.33281574,1,.32461447,1,.36405724,1,.23904383,1
2016,01,077,.52636075,1,.54086488,1,.46686217,1,.55714285,1
2018,01,057,1,1,1,1,1,1,1,1
2017,01,037,1,1,1,1,1,1,1,1
2015,01,007,.62722069,1,.55136013,1,.86956519,1,.70129871,1
2016,01,053,.80191231,1,.71571678,1,.90667266,1,.77777779,1
2016,01,071,.78991491,1,.78014076,1,.77814567,1,.8037383,1
2017,01,123,1,1,1,1,1,1,1,1
2017,01,105,1,1,1,3,1,1,,
2017,01,089,.25206184,1,.15254487,1,.40785241,1,.40115207,1
2017,01,077,.53185964,1,.52562803,1,.54518431,1,.61525702,1
2017,01,075,1,1,1,1,1,1,1,1
2017,01,061,.85967982,1,.85622388,1,.8309859,1,.92250925,1
2017,01,059,.79762489,1,.85626835,1,.66483516,1,.66995358,1
2017,01,057,1,1,1,1,1,1,1,1
2017,01,051,.39190936,1,.39604771,1,.37052342,1,.38363636,1
2017,01,025,.86225307,1,.88586158,1,.84655851,1,.80952382,1
2017,01,013,1,1,1,1,1,1,1,1
2014,01,131,1.0005498,1,1,3,1,1,1,3
2014,01,009,.61951065,1,.57888055,1,.50314468,1,.85735083,1
2014,01,125,.41442269,1,.26359466,1,.56230879,1,.61147422,1
2015,01,095,.47168851,1,.41565681,1,.36132315,1,.64975899,1
2018,01,063,1,1,1,3,1,1,1,3
2016,01,015,.59598327,1,.53730059,1,.71685624,1,.65415823,1
2014,01,065,.63525182,1,.57159907,1,.65939331,1,.75,1
2015,01,063,1.0017079,1,1,3,1,1,1,3
2016,01,021,.69894278,1,.69639295,1,.65751922,1,.73440284,1
2018,01,101,.69203007,1,.28183079,1,.77618414,1,.81962425,1
2016,01,039,.82883465,1,.80962086,1,.89999998,1,.92156863,1
2015,01,101,.64863092,1,.23118918,1,.74360991,1,.75186104,1
2014,01,003,.40930933,1,.37769753,1,.47340825,1,.61861217,1
2018,01,059,.65579116,1,.66148055,1,.56020945,1,.6524123,1
2018,01,049,1,1,1,1,1,1,1,1
2018,01,033,.41481942,1,.39699459,1,.50390118,1,.39825583,1
2014,01,015,.7450304,1,.68761671,1,.86543655,1,.79457366,1
2018,01,027,.55620986,1,.55767816,1,.53488374,1,.61165047,1
2016,01,041,1,1,1,1,1,1,1,1
2014,01,043,.67678028,1,.67114967,1,.80147058,1,.74325907,1
2017,01,067,.84949291,1,.8222366,1,.90520692,1,.78888887,1
2017,01,101,.71667421,1,.34842628,1,.79419726,1,.84234035,1
2018,01,115,.27342016,1,.26873875,1,.25053686,1,.38253969,1
2017,01,023,1,1,1,1,1,1,1,3
2015,01,129,.64054513,1,.55458039,1,.76047122,1,.52941179,2
2017,01,093,.66659307,1,.67044616,1,.54189944,1,.71069181,1
2017,01,001,.44803721,1,.44984606,1,.45929733,1,.40753424,1
2018,01,061,.75718927,1,.75428385,1,.71721309,1,.80204779,1
2014,01,037,1.0009515,1,1,1,1,1,1,2
2015,01,081,.24319705,1,.19591141,1,.34649062,1,.3387931,1
2015,01,103,.42789793,1,.28908738,1,.70303822,1,.75198346,1
2016,01,111,1,1,1,1,1,1,1,1
2015,01,117,.062830612,1,.057663981,1,.083113685,1,.07295271,1
2014,01,109,.8598547,1,.86823106,1,.84369528,1,.91803277,1
2016,01,125,.4134022,1,.23392753,1,.58611643,1,.5948661,1
2018,01,123,.85504806,1,.85855806,1,.84704185,1,.98039216,1
2015,01,013,1.0003191,1,1,1,1,1,1,2
2015,01,055,.54517591,1,.42750201,1,.87525219,1,.85741442,1
2016,01,129,1,1,1,1,1,1,1,2
2018,01,095,.58392799,1,.51790679,1,.55984557,1,.74153024,1
2016,01,035,1,1,1,1,1,1,1,1
2014,01,017,.82286322,1,.74377978,1,.87656742,1,.91228068,1
2018,01,023,1,1,1,1,1,1,1,3
2017,01,049,1,1,1,1,1,1,1,1
2015,01,025,.64858198,1,.6485275,1,.64273793,1,.72340423,1
2018,01,117,.050568037,1,.049803,1,.049426585,1,.06487266,1
2014,01,041,1.0004404,1,1,1,1,1,1,1
2014,01,133,.62399048,1,.61980748,1,.61290324,1,.6418919,1
2016,01,107,.78919125,1,.62893081,1,.89466757,1,.69999999,1
2016,01,131,1,1,1,3,1,1,1,3
2017,01,021,.89516127,1,.88996285,1,.84703195,1,.95191526,1
2015,01,045,.69966948,1,.65650642,1,.8436712,1,.47277227,1
2015,01,067,.30366287,1,.16071428,1,.57972807,1,.29268292,1
2015,01,061,.90791601,1,.90185314,1,.90546221,1,.96728975,1
2018,01,003,.28183594,1,.2331679,1,.38966632,1,.47148907,1
2017,01,033,.46612465,1,.45015469,1,.57404023,1,.39595374,1
2016,01,133,.6291548,1,.62196058,1,.60000002,1,.72316384,1
2017,01,053,.93693691,1,.92559111,1,.94470263,1,.94067794,1
2016,01,091,.81188118,1,.77252907,1,.83970463,1,.78640777,1
2014,01,129,1.0003315,1,1,1,1,1,1,3
2017,01,133,.58360088,1,.57329422,1,.6388889,1,.72043014,1
2018,01,037,1,1,1,1,1,1,1,1
2016,01,105,1,1,1,3,1,1,1,3
2016,01,037,.69897962,1,.69999999,1,.69103771,1,.79069769,1
2018,01,099,.69359165,1,.48563421,1,.85904872,1,.56410259,1
2018,01,083,.12796967,1,.10631861,1,.13227057,1,.26491407,1
2018,01,075,1,1,1,1,1,1,1,1
2018,01,055,.35906878,1,.29288864,1,.53367174,1,.52570093,1
2018,01,051,.28788796,1,.2502839,1,.35574538,1,.42293906,1
2018,01,045,.93664944,1,.90290481,1,.98449999,1,.97455472,1
2018,01,039,.79484266,1,.79615623,1,.77666998,1,.8347826,1
2018,01,019,.87900358,1,.8923651,1,.75977653,1,.859375,1
2016,01,119,1,1,1,2,1,1,1,3
2018,01,001,.39454585,1,.40221775,1,.39991519,1,.33333334,1
2014,01,087,1.0004655,1,1,2,1,1,1,2
2015,01,087,1.0004689,1,1,2,1,1,1,3
2015,02,240,.8539626,1,.81109643,1,.8888889,2,.95161289,1
2015,02,282,0,1,0,2,,,0,3
2017,02,195,0,1,0,1,0,3,0,3
2015,02,060,.90845072,1,.83999997,1,1,3,1,3
2014,02,110,.1723205,1,.14297624,1,.2,1,.16791044,1
2018,02,122,.21678716,1,.20240512,1,.13513513,1,.20769231,1
2018,02,220,.79782081,1,.74425727,1,1,3,.78431374,1
2014,02,180,.88906372,1,.8019802,1,.75,3,.625,3
2016,02,198,.375,1,.13706563,1,.5,3,.55263156,1
2018,02,060,.9537037,1,.80000001,2,1,3,1,3
2016,02,016,.031380754,1,.032967035,1,0,3,.081632651,1
2016,02,020,.23960319,1,.098829649,1,.39783785,1,.29784948,1
2016,02,060,0,1,0,1,0,3,0,3
2016,02,220,0,1,0,1,0,3,0,1
2016,02,185,.28544775,1,.29411766,1,.0625,2,.11111111,3
2016,02,195,0,1,0,1,0,3,0,2
2016,02,110,.058738664,1,.064730294,1,.049180329,1,.017857144,1
2018,02,110,0,1,0,1,0,1,0,1
2014,02,282,.89898992,1,.60869563,2,,,1,3
2018,02,020,.29141769,1,.24825086,1,.36727738,1,.31201807,1
2018,02,100,.94615382,1,.92631578,1,,,1,3
2018,02,185,.32391798,1,.13432837,1,.18181819,3,0,3
2015,02,130,.48461539,1,.3871513,1,.56521738,2,.35593221,1
2018,02,150,.82742614,1,.68801653,1,.8888889,3,.8757062,1
2018,02,016,.023255814,1,.010416667,1,0,3,.11320755,1
2018,02,050,.99764013,1,.99358976,1,1,3,1,2
2016,02,275,0,1,0,1,0,3,0,3
2017,02,170,.31502154,1,.30215621,1,.3104693,1,.243762,1
2017,02,090,.10567816,1,.063049383,1,.17867036,1,.13745454,1
2016,02,050,.9067499,1,.69620252,1,.55555558,3,.55555558,2
2017,02,185,.32144511,1,.3137255,1,.13333334,2,0,3
2018,02,275,0,1,0,1,,,0,3
2016,02,230,0,1,0,1,0,3,0,3
2017,02,016,.030181086,1,.010309278,1,0,3,.087719299,1
2017,02,275,0,1,0,1,0,3,0,3
2017,02,164,1,1,1,1,1,3,1,3
2017,02,070,.76993585,1,.49253732,1,,,.33333334,3
2017,02,110,0,1,0,1,0,1,0,1
2018,02,290,.50875002,1,.13885505,1,.13725491,1,.13114753,1
2016,02,240,.22983521,1,.091377094,1,.11111111,2,0,1
2014,02,188,.93079096,1,1,1,1,3,1,3
2017,02,020,.42120254,1,.21920781,1,.63257277,1,.50663036,1
2015,02,275,0,1,0,1,0,3,0,3
2016,02,290,.43637994,1,.069252081,1,0,1,.07692308,1
2018,02,240,.33248731,1,.20576671,1,.22222222,3,0,1
2018,02,105,.25,1,.036585364,1,0,3,0,3
2015,02,220,.26193181,1,.09327846,1,.17647059,2,0,1
2016,02,100,0,1,0,1,0,3,0,3
2016,02,282,0,1,0,2,0,3,0,3
2015,02,110,.17212945,1,.13728744,1,.2173913,1,.17667845,1
2014,02,122,.3562403,1,.32863709,1,.45945945,1,.34239131,1
2016,02,180,.66201961,1,.11363637,1,0,3,0,3
2014,02,050,.99492186,1,1,1,1,3,1,2
2014,02,220,.25995448,1,.077868849,1,.1875,2,.040816326,1
2015,02,013,0,1,0,2,,,0,3
2016,02,105,.30000001,1,.072289154,1,0,3,0,3
2014,02,130,.47846684,1,.3893581,1,.47368422,2,.46666667,1
2018,02,195,0,1,0,1,0,3,0,2
2014,02,195,.77367204,1,.77377051,1,.625,3,.80952382,2
2017,02,230,0,1,0,1,0,3,0,3
2017,02,130,.48367953,1,.38533676,1,.72727275,2,.40000001,1
2017,02,122,.23085523,1,.21008015,1,.16216215,1,.23821341,1
2016,02,188,.7752229,1,.55555558,1,.5,3,1,3
2018,02,158,1,1,1,3,1,3,,
2018,02,188,.86823189,1,.92982459,1,1,3,1,3
2017,02,060,.8888889,1,.76190478,1,1,3,1,3
2017,02,150,.82328653,1,.67336684,1,.85714287,3,.8669951,1
2014,02,275,.45848376,1,.39097744,1,0,3,.5,3
2015,02,180,.8992337,1,.76363635,1,.60000002,3,.71428573,3
2015,02,050,.97017813,1,1,1,1,3,1,2
2015,02,230,0,1,0,1,,,0,3
2014,02,100,.96309966,1,.95192307,1,1,3,1,3
2018,02,198,.3897281,1,.51599145,1,0,3,.58333331,1
