year,state,city,city_name,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,statename,state_abbr
2018,06,0672016,Simi Valley,.040517747,1,.010423247,1,.0039467192,1,.10091358,1,California,CA
2018,06,0673080,South Gate,1,1,1,1,1,1,1,1,California,CA
2018,06,0675000,Stockton,.76712924,1,.53948241,1,.77968234,1,.83113098,1,California,CA
2018,06,0677000,Sunnyvale,0,1,0,1,0,1,0,1,California,CA
2018,06,0678120,Temecula,.22167067,1,.21522367,1,.3078261,1,.26144812,1,California,CA
2018,06,0678582,Thousand Oaks,.027907411,1,.005725896,1,.050925925,1,.070180304,1,California,CA
2018,06,0680000,Torrance,.06327384,1,.011980831,1,.11877394,1,.14267032,1,California,CA
2018,06,0680238,Tracy,.2279,1,.12640885,1,.17821783,1,.31593132,1,California,CA
2018,06,0680854,Tustin,.53633547,1,.24803862,1,.44444445,1,.68948877,1,California,CA
2018,06,0681344,Upland,.29623735,1,.12952381,1,.3897883,1,.37273327,1,California,CA
2018,06,0681554,Vacaville,.14513579,1,.068446845,1,.16625917,1,.24181548,1,California,CA
2018,06,0681666,Vallejo,.52747256,1,.48615092,1,.52646673,1,.5890612,1,California,CA
2018,06,0682590,Victorville,.94431502,1,.90214306,1,.95358652,1,.94994193,1,California,CA
2018,06,0682954,Visalia,.66285431,1,.51805133,1,.69650656,1,.71514517,1,California,CA
2018,06,0682996,Vista,.59589404,1,.38795474,1,.50362319,1,.66906947,1,California,CA
2018,06,0684200,West Covina,.42639932,1,.27549946,1,.45023698,1,.44385323,1,California,CA
2018,06,0684550,Westminster,.67375368,1,.46683672,1,.71875,1,.83285242,1,California,CA
2018,06,0685292,Whittier,.53874856,1,.23987256,1,.5,1,.56942707,1,California,CA
2018,08,0803455,Arvada,.12736967,1,.076311134,1,.22,1,.25334132,1,Colorado,CO
2018,08,0804000,Aurora,.2728098,1,.089199379,1,.3172704,1,.40870199,1,Colorado,CO
2018,08,0807850,Boulder,0,1,0,1,0,1,0,1,Colorado,CO
2018,08,0812815,Centennial,.079331256,1,.012383329,1,.10034602,1,.29796955,1,Colorado,CO
2018,08,0816000,Colorado Springs,.23482159,1,.14072604,1,.39337891,1,.3966172,1,Colorado,CO
2018,08,0820000,Denver,.43139771,1,.13256404,1,.44153747,1,.57932949,1,Colorado,CO
2018,08,0827425,Fort Collins,.062792391,1,.044248637,1,.096256681,1,.13982499,1,Colorado,CO
2018,08,0832155,Greeley,.31148642,1,.1252384,1,.41720429,1,.40800068,1,Colorado,CO
2018,08,0843000,Lakewood,.19395649,1,.10409476,1,.22162162,1,.33894321,1,Colorado,CO
2018,08,0845970,Longmont,.13650613,1,.047857367,1,.0867052,1,.27869099,1,Colorado,CO
2018,08,0846465,Loveland,.086221091,1,.066457354,1,.07272727,1,.14271012,1,Colorado,CO
2018,08,0862000,Pueblo,.54744637,1,.41201928,1,.47416973,1,.62432718,1,Colorado,CO
2018,08,0877290,Thornton,.1706831,1,.064995356,1,.26463103,1,.2628437,1,Colorado,CO
2018,08,0883835,Westminster,.085271709,1,.033603828,1,.10243902,1,.15057385,1,Colorado,CO
2018,09,0908000,Bridgeport,.76399744,1,.63523746,1,.78942704,1,.78695726,1,Connecticut,CT
2018,09,0918430,Danbury,.27154565,1,.18800889,1,.22952853,1,.33660772,1,Connecticut,CT
